"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","157/2970","467/18805",0.336188436830835,2.12862745946258,10.6961474349392,4.80003537353403e-22,2.91458147880986e-18,2.26106929437524e-18,"CSNK2A2/UBR4/HSPA1B/KLHL7/ARIH2/FAF1/APC/ANAPC16/RNF139/MAPK9/FEM1B/RAD23B/DESI1/KLHL42/APPBP2/NEDD4L/KLHL2/TRIM28/PSMB2/PSMD7/ANAPC11/WAC/DERL1/FBXW7/KLHDC3/PAQR3/RNF4/PSMD4/RMND5A/USP7/CUL3/ZSWIM8/RNF10/AKT1/UBE4B/TRIP12/DCAF12/SMAD7/SPSB1/ARRB2/AMBRA1/KLHDC10/ANAPC1/MARCHF6/UBE2A/CUL5/ASCC2/UBE2N/STYX/EIF3H/UBR5/RNF216/CUL4A/UBXN7/DCAF1/PSMC3/PPP2CB/NFE2L2/NPLOC4/NSFL1C/TRIM2/FBXL20/PSMA1/SYVN1/PSMA5/PSMF1/KBTBD6/CDC23/UBE2D3/ASCC3/FBXO11/CSNK1A1/USP9X/KLHL24/PCBP2/CDK2/LTN1/UBE3A/PLAA/FBXW4/CDC34/SMARCC1/PSMB3/ELOB/SIRT1/CUL1/ANAPC7/KLHL15/PELI1/UBR2/ANAPC5/PSMB7/KLHL22/DCAF11/CSNK1E/SOCS2/PSMA7/MTA1/GNA12/GCLC/WWTR1/ANAPC13/CDC16/COMMD1/UBE2S/TAF9/PSEN1/UCHL5/FEM1C/PML/CCAR2/AKIRIN2/KCTD10/CEBPA/CSNK2A1/PSMB1/UBE2G1/UBXN1/SUMO1/DDA1/PJA2/SOCS4/VHL/UBE2K/SPOPL/GAN/SMURF1/UFD1/WDR26/UBQLN4/VCP/SIAH1/ZER1/KCMF1/TLK2/PSMA6/N4BP1/FBXL19/RYBP/SIAH2/UBE2H/CSNK1D/CDC20/OGT/HSPBP1/FBXL14/ZNRF1/SEM1/TRIM9/KLHL12/USP38/FBXO7/TRIB1/TNFAIP1/SUMO2/COP1/RBCK1",157
"GO:0040029","epigenetic regulation of gene expression","108/2970","308/18805",0.350649350649351,2.22018890200708,9.35074239387786,5.14298012870973e-17,1.56140876707627e-13,1.21130716189348e-13,"ATRX/HDAC6/ATAD2B/PIK3CA/CBX1/ZMPSTE24/APOBEC3F/TRIM28/SMCHD1/UHRF2/LBR/RBM14/TP53/H1-0/USP7/PHB1/SAMD1/TPR/RBBP5/TEX15/ING2/HNRNPU/PCGF5/H3-3A/TRIP12/UHRF1/TUT7/BAP1/ARID1A/H2AC17/PHF8/MTA2/ZNF304/EPC1/H2AC18/H3-3B/SMARCA4/LMNB1/UBR5/MPHOSPH8/PHF19/EED/SCMH1/H2AZ2/METTL3/DOT1L/VPS72/TET1/KDM1A/H3C10/H3C11/H2AX/APEX1/H2AC6/CDK2/WDR5/HDAC2/DPY30/MBD3/SIRT1/H3C7/TRIM37/UBR2/MACROH2A2/RBM15/SPEN/MTA1/LRIF1/PPM1D/SPHK2/MTF2/CTR9/H3C2/APOBEC3C/APP/TRMT112/MSL2/H2AC13/HMGA2/BAHD1/ATF7IP/PHF2/CGGBP1/HDAC8/TASOR/RB1/KMT2E/BAZ1A/GPX1/RLF/EGR1/PCGF3/ZNF445/HMGB1/LMNA/H2AC8/ASH2L/H2AC19/H3C4/H2AJ/DYRK1A/HELLS/EP300/WBP2/RIF1/SMARCA5/KDM5A/RNF8",108
"GO:0042176","regulation of protein catabolic process","122/2970","375/18805",0.325333333333333,2.05989674523008,8.97864574788471,3.68360955172674e-16,7.45562573269493e-13,5.78391324350076e-13,"CSNK2A2/HSPA1B/FAF1/APC/PRKCG/PLK2/MAPK9/RAD23B/DESI1/SMAD4/NEDD4L/PSME3/NRDC/SGSM3/UBQLN1/WAC/TMEM132A/SNX3/FBXW7/XBP1/PAQR3/USP7/PHB1/LRIG2/AKT1/SMAD7/TMF1/ODC1/SNRNP70/FMR1/PITHD1/STYX/EIF3H/CUL4A/DCAF1/PSMC3/NFE2L2/TIMP2/LRP1/RNF185/ANXA2/FBXL20/FYN/PSMF1/STX5/CSNK1A1/USP9X/MSN/AZIN1/TIMP3/DEDD/CDK2/ADGRB1/LAPTM4B/SH3D19/SF3B3/SMARCC1/SNF8/UBB/ELOB/IDE/SIRT1/ROCK1/NDUFA13/VPS35/CSNK1E/RELA/GNA12/GCLC/PRKACA/COMMD1/OAZ2/PSME3IP1/TAF9/PSEN1/UCHL5/NUPR1/CCAR2/RNF41/TMEM9/APP/CEBPA/CSNK2A1/USP19/UBXN1/SUMO1/DDA1/SOCS4/SNX12/CDKN1B/UBE2K/HSP90AA1/BAG2/CYP51A1/UBQLN4/VCP/ZER1/EGLN2/GPX1/BCAP31/USP25/TLK2/N4BP1/RHBDD3/SEC22B/CUL4B/RYBP/CSNK1D/CDC20/GPC3/OGT/CD81/HSPBP1/VGLL4/MYLIP/TIPARP/ZDHHC2/MARCHF7/USP38/TRIB1/SUMO2/COP1",122
"GO:0009895","negative regulation of catabolic process","120/2970","368/18805",0.326086956521739,2.06466842336408,8.93279705289326,5.31396613389321e-16,8.06660059124989e-13,6.2578943287295e-13,"CSNK2A2/PDE3B/HDAC6/RRAGD/RPL5/PIK3CA/PRKCG/GOLGA2/MEIOC/SMAD4/NAF1/GIT1/SYNCRIP/MAPK14/RPL23/HNRNPAB/HNRNPC/PAIP1/TMEM39A/WAC/TP53/TMEM132A/SNX3/IGF2BP2/FLCN/RRAGA/USP7/PHB1/DHX9/IREB2/HNRNPU/LRIG2/AKT1/YBX3/SNRNP70/RPS7/MAPKAPK2/TENT4B/NOCT/STYX/EIF3H/STAT3/PPP1R3B/DFFA/QKI/RUBCN/ELAVL1/TIMP2/BSCL2/TENT5C/ANXA2/CIRBP/FXR1/TAB2/TENT2/FYN/PSMF1/USP9X/AZIN1/TIMP3/DEDD/EIF4G1/LARP1B/ADGRB1/MTMR9/LAPTM4B/RBM38/MTMR2/SF3B3/SMARCC1/WNK1/ROCK1/VPS35/KLHL22/RELA/LARP1/PRKACA/PSME3IP1/PPP2CA/TAF9/SMCR8/HGF/PSEN1/RBM10/UCHL5/NUPR1/PML/CCAR2/RNF41/DAP/CSNK2A1/TSPO/UBXN1/RRAGC/MTOR/VHL/SNX12/LARP4B/CYP51A1/UBQLN4/TSC1/ANGEL2/USP25/TENT4A/TLK2/RRAGB/N4BP1/QRICH2/ATP2B4/SEC22B/EIF4ENIF1/IGF2BP1/RYBP/EIF4G2/OGT/ZDHHC7/MARCHF7/EP300/USP38/THRAP3",120
"GO:0006913","nucleocytoplasmic transport","113/2970","340/18805",0.332352941176471,2.10434244404833,8.89944408323804,8.32860246681118e-16,8.42854569641291e-13,6.53868351561053e-13,"RBM4/PTTG1IP/RANBP1/DESI1/SEH1L/NCBP2/RAB23/KPNA3/TRIM28/MAPK14/RPL23/ALYREF/PTPN14/FAM53B/TP53/NUTF2/XBP1/KHDRBS1/NUP62/NFATC3/DHX9/TPR/CTDSPL2/AKT1/IPO7/APPL1/RANBP2/TNPO3/SRSF3/IPO5/POM121/NXT1/FMR1/PPP1R12A/SMG7/UPF1/STAT3/UBR5/POLDIP3/SMG6/LZTS2/ELAVL1/PTPN11/RITA1/MALT1/SNUPN/AHCTF1/GLI3/SUPT6H/KPNB1/STRADA/UHMK1/NUP58/RANGAP1/WNK1/PPP1CC/NPM1/HIKESHI/SMG1/THOC5/BAG3/NUP98/SSB/CHTOP/CAMK1/NF1/XPOT/PIK3R1/AAAS/PRKACA/ING1/CITED1/ZIC1/PSEN1/RBM10/PML/AKIRIN2/AGFG1/SUMO1/TNPO1/CDKN1B/HSP90AA1/NUP188/RBM22/SETD2/SMURF1/MAVS/PABPN1/AKAP8L/KPNA1/TXNIP/XPO4/CHP1/PPM1A/MDFIC/TMEM53/ANP32B/EIF4ENIF1/RBM33/LMNA/CDKN1A/EIF6/NUP153/EIF4A3/SEM1/E2F3/XPO5/NUP210/NCBP3/EP300/IPO8/KPNA4/ALKBH5",113
"GO:0051169","nuclear transport","113/2970","340/18805",0.332352941176471,2.10434244404833,8.89944408323804,8.32860246681118e-16,8.42854569641291e-13,6.53868351561053e-13,"RBM4/PTTG1IP/RANBP1/DESI1/SEH1L/NCBP2/RAB23/KPNA3/TRIM28/MAPK14/RPL23/ALYREF/PTPN14/FAM53B/TP53/NUTF2/XBP1/KHDRBS1/NUP62/NFATC3/DHX9/TPR/CTDSPL2/AKT1/IPO7/APPL1/RANBP2/TNPO3/SRSF3/IPO5/POM121/NXT1/FMR1/PPP1R12A/SMG7/UPF1/STAT3/UBR5/POLDIP3/SMG6/LZTS2/ELAVL1/PTPN11/RITA1/MALT1/SNUPN/AHCTF1/GLI3/SUPT6H/KPNB1/STRADA/UHMK1/NUP58/RANGAP1/WNK1/PPP1CC/NPM1/HIKESHI/SMG1/THOC5/BAG3/NUP98/SSB/CHTOP/CAMK1/NF1/XPOT/PIK3R1/AAAS/PRKACA/ING1/CITED1/ZIC1/PSEN1/RBM10/PML/AKIRIN2/AGFG1/SUMO1/TNPO1/CDKN1B/HSP90AA1/NUP188/RBM22/SETD2/SMURF1/MAVS/PABPN1/AKAP8L/KPNA1/TXNIP/XPO4/CHP1/PPM1A/MDFIC/TMEM53/ANP32B/EIF4ENIF1/RBM33/LMNA/CDKN1A/EIF6/NUP153/EIF4A3/SEM1/E2F3/XPO5/NUP210/NCBP3/EP300/IPO8/KPNA4/ALKBH5",113
"GO:0072594","establishment of protein localization to organelle","141/2970","467/18805",0.301927194860814,1.91169727251098,8.64027218286259,2.05365584561085e-15,1.78139975636415e-12,1.38197141490354e-12,"TRAM2/CSNK2A2/PTTG1IP/TCP1/ARIH2/SCARB2/TOMM70/FIS1/RAB23/RAB10/KPNA3/TRIM28/MAPK14/RPL23/TRMT10B/FAM53B/CD68/MFN2/IMMP1L/TP53/AP3D1/NUTF2/FBXW7/XBP1/NUP62/NFATC3/USP7/DNAJA1/VPS13A/TOMM5/TPR/PEX6/VPS54/SRP9/STAM/PEX13/AKT1/IPO7/VPS53/BAP1/APPL1/RANBP2/CCT7/TNPO3/TRAM1/IPO5/POM121/MVB12A/STAT3/UBR5/SREBF1/HSPA4/ELAVL1/EDEM1/ANKRD10/NMT1/SNUPN/MFF/RALA/GLI3/SRP72/TIMM50/TOMM20/KPNB1/UBE2D3/HK2/MTX2/UBE2J2/USP9X/NCOA4/NUP58/HSPA5/SNF8/BAX/UBL5/AP3B1/RNF31/NPM1/GOLPH3/HIKESHI/NDUFA13/BAG3/NUP98/TRIM37/MACROH2A2/ROMO1/RAB11A/NF1/PIK3R1/TIMM21/ING1/ZIC1/PSEN1/SRP14/PML/AKIRIN2/SH3GLB1/MAIP1/TSPO/SUMO1/TNPO1/HSP90AA1/LAMP2/NUP188/RBM22/TIMM23/MON1B/HSPD1/SMURF1/MAVS/NPEPPS/CBL/KPNA1/TXNIP/GDAP1/BCAP31/AP3M1/CHP1/VPS37C/IMMP2L/ATP5IF1/MDFIC/EIF4ENIF1/SEC63/LMNA/CDKN1A/SREBF2/SPCS3/NUP153/BNIP3L/PARL/E2F3/STAM2/CHMP4B/VPS37A/EP300/IPO8/FBXO7/WBP2/KPNA4/TERF1",141
"GO:0006403","RNA localization","79/2970","206/18805",0.383495145631068,2.42815697427348,8.92604496128532,3.01990448058672e-15,2.29210750076532e-12,1.77816744087179e-12,"TCP1/RFTN1/SEH1L/NCBP2/NAF1/PEG10/ALYREF/HNRNPAB/DCP2/ATXN2/NUTF2/IGF2BP2/KHDRBS1/NUP62/DHX9/TPR/HNRNPU/ZNHIT6/ZFP36L1/RANBP2/CCT7/SRSF3/POM121/NXT1/FMR1/SMG7/UPF1/SRSF1/POLDIP3/YY1/QKI/SMG6/BICD2/SNUPN/STAU1/AHCTF1/STAU2/SUPT6H/FXR1/TOMM20/KPNB1/NUP58/WNK1/TST/SHQ1/TNKS/HSF1/SMG1/THOC5/NUP98/SSB/CHTOP/XPOT/SIDT2/AAAS/G3BP2/CCT8/PRPF6/ARC/AGFG1/BICD1/SRSF7/PIH1D1/CAPRIN1/NUP188/SETD2/PABPN1/AKAP8L/IGF2BP1/RBM33/NUP153/EIF4A3/SEM1/XPO5/FXR2/NUP210/NCBP3/ALKBH5/TERF1",79
"GO:0016236","macroautophagy","119/2970","374/18805",0.318181818181818,2.01461585552495,8.58335961440372,5.29982153632031e-15,3.57561292983744e-12,2.77388320175829e-12,"CSNK2A2/HDAC6/ATG12/PIK3CA/WIPI2/PIKFYVE/EFNB1/MTMR14/RAB23/UBQLN1/PIP4K2A/TMEM39A/WAC/MFN2/RAB43/ATP6V0A1/TP53/TP53INP2/EPG5/OPTN/FBXW7/ULK1/HIF1A/RAB5A/SPTLC2/PIP4K2B/STAM/AKT1/ATG3/RAB2A/AMBRA1/CHMP5/UBE2A/ATG5/ARL8B/MVB12A/CHMP1A/UBXN6/SREBF1/RALB/RUBCN/VTI1B/DIAPH3/ABI2/NSFL1C/MAP3K7/CHMP3/ATP6V1H/ATP2A2/PIK3C2B/HK2/EIF2AK1/PLAA/ATP6V0A2/MAP1LC3B/SNF8/RHEB/RNF31/CTTN/SUPT5H/SIRT1/WDFY3/VPS35/BAG3/PIM2/LRBA/VMP1/GABARAPL1/DNM1L/LARP1/SESN1/PRKACA/GNAI3/SMCR8/EI24/PSEN1/NUPR1/RNF41/SNX18/CALM1/SH3GLB1/SESN3/CSNK2A1/ATP6V1B2/TSPO/EIF2S1/MTOR/LAMP2/TIMM23/VTI1A/SNX30/SMURF1/UBQLN4/TBC1D5/TSC1/SESN2/RIPK2/VCP/ILRUN/VPS37C/RAB2B/ATP5IF1/ATG9A/SEC22B/SLC25A4/SREBF2/OGT/BNIP3L/ZNRF1/PARL/CHMP2B/VPS26B/STAM2/CHMP4B/VPS37A/TMEM41B/FBXO7/CHMP4C/GAPDH",119
"GO:0008380","RNA splicing","143/2970","482/18805",0.296680497925311,1.87847702474259,8.46155044744841,6.34255782549518e-15,3.85120111164067e-12,2.98767855464115e-12,"RBM4/ARMC7/DDX42/RBM3/U2AF2/ZNF638/SDE2/NCBP2/SRSF11/SYNCRIP/CDC5L/ALYREF/HNRNPC/RBM6/CELF1/SLU7/KHDRBS1/RBFOX2/NOVA2/DHX9/ZMAT5/USP39/NOVA1/HNRNPM/HNRNPU/PRPF8/ACIN1/SLC38A2/SON/SF3B4/PRPF38B/TGS1/HNRNPH2/SRSF6/MTREX/BUD31/HNRNPUL1/SNRNP70/SRSF3/CDK13/FMR1/SNRPD1/TMBIM6/GRSF1/UPF1/SRSF1/DDX5/TRA2B/TSEN15/QKI/LUC7L2/SART3/PSIP1/AQR/LUC7L/SRSF4/ECD/DAZAP1/METTL3/SNRPN/TXNL4A/CIRBP/PRPF19/PPP4R2/SUPT6H/SRSF5/HNRNPLL/CWC27/HABP4/TRA2A/RBM38/SF3B3/CTNNBL1/CLNS1A/SAP18/UBL5/TXNL4B/PUS1/SRPK2/TIA1/THOC5/YJU2B/NUP98/GEMIN4/MBNL1/PTBP3/RBM15/RRP1B/HNRNPUL2/PIK3R1/DDX17/SRSF2/TAF10/RBMXL1/RBM25/TAF9/TAF12/RBM10/CCNL2/CCAR2/HNRNPF/SNRPD3/PRPF6/RSRP1/CDK11B/RBM17/RRAGC/SRRM2/JMJD6/SRSF7/RBPMS2/RBM22/HNRNPR/SNU13/SF1/ARGLU1/AKAP8L/LSM4/ARL6IP4/TRRAP/LUC7L3/DHX38/HTATSF1/CDK12/HNRNPA3/AAR2/HNRNPH3/HNRNPH1/SMNDC1/SRSF10/EIF4A3/RBPMS/STRAP/NONO/POLR2A/DYRK1A/SRPK1/SRSF8/USP22/CCNL1/THRAP3/PRPF40A/RALY",143
