"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","122/2523","424/19880",0.287735849056604,2.26721707461169,10.0560106794062,4.82500324685352e-19,3.49330235072195e-16,2.43789637735757e-16,"LPP/RHOA/HSPA1B/RPL5/SCARB2/WASF1/RAB21/FZD2/GIT1/RAB10/RPL23/PIP5K1A/MAP2K2/CLASP2/RPS17/MAP2K1/CD46/ACTR2/CLASP1/EPB41L5/DST/HSP90B1/PDIA3/ACTB/CPNE3/PPP1CB/TPM4/PALLD/AMBRA1/TWF1/G3BP1/PACSIN2/RPL27/LIMS1/RPS7/ARPC1B/HMGA1/CNN2/CNN3/LIMA1/RPS8/NRP1/DCAF6/SSH2/TSPAN4/MRC2/PAK1/CD59/STX16/ITGA6/RPS3/RPS2/SPRY4/NECTIN2/RPS3A/RPS19/AIF1L/TLN1/CASK/FZD1/GNB2/HACD3/USP33/MSN/PCBP2/ADGRB1/MYH9/SORBS3/HSPA5/ATP6V0A2/PTK7/FERMT2/SHC1/RSU1/CDC42EP1/YWHAZ/PRKAR2A/RPS10/NPM1/RHOB/CTTN/ALCAM/RRAS2/RPL12/VCL/RPS16/ARF6/HSPB1/RPL31/PTPN12/GNA12/LAP3/LASP1/ILK/FLNC/SLC4A2/ITGAV/YWHAG/EHD3/GJA1/ARL2/CHP1/ACTN1/CYFIP1/ANXA5/ARPC2/MAPRE2/RPL6/ADAM10/DDR2/DAG1/GDI2/RPS4X/REXO2/PXN/FLOT2/PTK2/RPLP2/ENAH/ARPC5L/CAP1/ACTG1",122
"GO:0030055","cell-substrate junction","122/2523","434/19880",0.28110599078341,2.21497704985105,9.75700121103468,3.71776151312139e-18,1.34582966774994e-15,9.39223961209615e-16,"LPP/RHOA/HSPA1B/RPL5/SCARB2/WASF1/RAB21/FZD2/GIT1/RAB10/RPL23/PIP5K1A/MAP2K2/CLASP2/RPS17/MAP2K1/CD46/ACTR2/CLASP1/EPB41L5/DST/HSP90B1/PDIA3/ACTB/CPNE3/PPP1CB/TPM4/PALLD/AMBRA1/TWF1/G3BP1/PACSIN2/RPL27/LIMS1/RPS7/ARPC1B/HMGA1/CNN2/CNN3/LIMA1/RPS8/NRP1/DCAF6/SSH2/TSPAN4/MRC2/PAK1/CD59/STX16/ITGA6/RPS3/RPS2/SPRY4/NECTIN2/RPS3A/RPS19/AIF1L/TLN1/CASK/FZD1/GNB2/HACD3/USP33/MSN/PCBP2/ADGRB1/MYH9/SORBS3/HSPA5/ATP6V0A2/PTK7/FERMT2/SHC1/RSU1/CDC42EP1/YWHAZ/PRKAR2A/RPS10/NPM1/RHOB/CTTN/ALCAM/RRAS2/RPL12/VCL/RPS16/ARF6/HSPB1/RPL31/PTPN12/GNA12/LAP3/LASP1/ILK/FLNC/SLC4A2/ITGAV/YWHAG/EHD3/GJA1/ARL2/CHP1/ACTN1/CYFIP1/ANXA5/ARPC2/MAPRE2/RPL6/ADAM10/DDR2/DAG1/GDI2/RPS4X/REXO2/PXN/FLOT2/PTK2/RPLP2/ENAH/ARPC5L/CAP1/ACTG1",122
"GO:0016607","nuclear speck","107/2523","415/19880",0.257831325301205,2.03158412484659,8.09692384975581,2.37368604862838e-13,5.72849566402316e-11,3.99778702926885e-11,"RBM4/DDX42/HSPA1B/NRIP1/U2AF2/PPP4R3A/ZNF638/SDE2/MAPK9/SRSF11/DZIP1/PSPC1/AK6/MSL1/CNOT7/ALYREF/PIP5K1A/WAC/RBM14/ATP6V0A1/SLU7/DOCK1/STK17A/HIF1A/REXO4/HNRNPU/PRPF8/TRIP12/SRSF6/MTREX/SNRNP70/PACSIN2/NXT1/NAMPT/ASCC2/SRSF1/DDX5/POLDIP3/LUC7L2/SMC4/SART3/SRSF4/SNURF/SMC5/GADD45A/FTO/PRPF19/TIMM50/VPS72/API5/MORF4L1/ASCC3/GATAD2B/CSNK1A1/UHMK1/H2AX/CBLL1/TCF12/CDC34/SAP18/SRPK2/HIKESHI/INPPL1/HP1BP3/RBM15/ATXN2L/DDX17/SRSF2/RBM25/NFATC4/CTR9/GATAD2A/PRPF6/SRRM2/SRSF7/ITPKC/PCBP1/BRD2/ZC3H18/ARGLU1/PRCC/PABPN1/AKAP8L/ILRUN/ARL6IP4/ZC3H14/RUFY1/CDK12/LMNA/DYRK3/SMNDC1/SRSF10/C12orf57/MEOX2/BNIP3L/RBM27/ZNF217/DYRK1A/SRPK1/SRSF8/CCNL1/THRAP3/PPP4R3B/ALKBH5/EAF1/PRPF40A/COP1",107
"GO:0032993","protein-DNA complex","71/2523","240/19880",0.295833333333333,2.33102127097371,7.90930704472484,2.83571500722391e-12,5.13264416307528e-10,3.58195579859862e-10,"H2BC14/TEAD4/H3C15/PCNA/GTF2A1/RPRD1B/H4C11/H4C5/H1-0/H2BC4/DONSON/PRIM2/H4C4/H3-3A/ACTB/H2AC17/PAX2/EPC1/H2AC18/H3-3B/MPHOSPH8/H2BC7/NFE2L2/H2AZ2/MCM4/PRPF19/VPS72/MORF4L1/H3C10/H3C11/H2AX/H2AC6/CENPA/H4C12/ERCC5/NPM1/H3C7/MACROH2A2/HP1BP3/MAX/H1-10/MCM2/XRCC5/TAF10/NUPR1/RPRD2/H3C2/H2AC13/HMGA2/MBTD1/EPC2/H4C14/TOP1/CTC1/NFYC/NFYA/TRRAP/MORF4L2/TCF7L2/SP3/H2AC19/H3C4/H2AJ/H3C14/H2BC6/EP300/RPRD1A/H4C2/SMARCAL1/KDM5A/TERF1",71
"GO:0035770","ribonucleoprotein granule","77/2523","278/19880",0.276978417266187,2.18245379914855,7.56963514154502,1.31768403415184e-11,1.90800648145186e-09,1.33155439240607e-09,"RBM4/AGO2/GHR/UBAP2/APOBEC3D/CNOT7/HNRNPAB/PUM1/CELF1/DCP2/ATXN2/IGF2BP2/YTHDF3/DHX9/CNOT8/HNRNPU/ACTB/YTHDF2/G3BP1/EDC3/FMR1/GRSF1/NOCT/UPF1/POLDIP3/EIF4A1/PSMC3/QKI/AGO3/ELAVL1/STAU1/CIRBP/FXR1/ISG20/UHMK1/FASTKD5/LIN28A/EIF4G1/TIAL1/ROCK1/HSF1/SMG1/YTHDF1/KHNYN/PNRC2/SSB/TUBA1A/AGO1/DDX6/LARP1/DDX3X/ATXN2L/APOBEC3C/SAMD4B/ARC/EIF2S1/LARP4B/CAPRIN1/RBPMS2/LSM14B/PCBP1/RC3H2/TOP1/TRIM5/VCP/LSM4/PSMA6/LARP4/RPL6/IGF2BP1/DYRK3/RBPMS/CNOT1/RPS4X/FXR2/YTHDC2/EIF4EBP2",77
"GO:0036464","cytoplasmic ribonucleoprotein granule","73/2523","261/19880",0.279693486590038,2.20384721102258,7.46400207404583,2.70816738731152e-11,3.26785531402257e-09,2.2805620103676e-09,"RBM4/AGO2/GHR/UBAP2/APOBEC3D/CNOT7/HNRNPAB/PUM1/CELF1/DCP2/ATXN2/IGF2BP2/YTHDF3/DHX9/CNOT8/HNRNPU/ACTB/YTHDF2/G3BP1/EDC3/FMR1/NOCT/UPF1/POLDIP3/EIF4A1/PSMC3/QKI/AGO3/ELAVL1/STAU1/CIRBP/FXR1/ISG20/UHMK1/LIN28A/EIF4G1/TIAL1/ROCK1/SMG1/YTHDF1/KHNYN/PNRC2/SSB/TUBA1A/AGO1/DDX6/LARP1/DDX3X/ATXN2L/APOBEC3C/SAMD4B/ARC/EIF2S1/LARP4B/CAPRIN1/RBPMS2/LSM14B/PCBP1/RC3H2/TOP1/TRIM5/VCP/LSM4/PSMA6/LARP4/RPL6/IGF2BP1/DYRK3/RBPMS/CNOT1/RPS4X/FXR2/EIF4EBP2",73
"GO:0005635","nuclear envelope","115/2523","496/19880",0.231854838709677,1.82690217738739,7.110363991633,5.27397029145629e-11,5.45479213002051e-09,3.80677554872033e-09,"TMEM33/FAF1/RANBP1/MATR3/SURF4/SEH1L/VAPA/SCRN1/LBR/GCH1/PRNP/AEN/NUP62/EIF5A/ATP11B/TPR/ABL1/CMTM3/INSR/DST/IPO7/DCTN5/RANBP2/CCND1/TNPO3/IPO5/PHF8/EPC1/POM121/NXT1/DNAJC1/SRSF1/TRA2B/LMNB1/DCTN1/SREBF1/BICD2/MGST3/OSBPL8/MTDH/ATF6/PAK1/SNUPN/AHCTF1/DHCR7/FXR1/HACD3/CCND2/CDK2/TNKS2/NUP58/BRAP/BNIP2/LRRC59/TMX4/RANGAP1/CCAR1/ANKRD17/BAX/CDK4/TNKS/ATP5MF/WDFY3/NUP98/RBM15/XPOT/MTA1/AAAS/SLC30A1/TNRC18/CENPF/CANX/TMPO/EI24/BIN1/PML/APP/TAF3/AGFG1/INPP4A/BANF1/NEMP1/DTX2/MTOR/MINDY3/DHRS2/NUP188/GNAQ/OSBPL6/NSMF/KPNA1/AKIRIN1/NUDT9/XPO4/UBXN4/TENT4A/QRICH2/TMEM53/MTMR6/LMNA/RTN4/CPNE1/NUP153/BNIP3L/CHMP2B/SIGMAR1/VRK2/TMEM170A/SHISA5/NUP210/IPO8/RIF1/KPNA4/CHMP4C/GAPDH",115
"GO:0098687","chromosomal region","98/2523","408/19880",0.240196078431373,1.89262704685521,6.94565813325613,1.84940724843204e-10,1.673713559831e-08,1.16804668322024e-08,"ATRX/PURA/APC/ANAPC16/PCNA/SEH1L/SEPTIN2/SMCHD1/ALYREF/UHRF2/NDEL1/CLASP2/RAD21/H4C11/H4C5/CLASP1/DYNLL1/SPAG5/CDCA5/TPR/HNRNPU/H4C4/TP53BP1/LUZP1/H3-3A/ACTB/DCTN5/PPP1CB/SMARCD2/MTA2/SEPTIN7/FMR1/H3-3B/UPF1/SMARCA4/DCTN1/SMG6/SMC4/CEBPB/SMC5/RAD51D/NCAPD2/SLF2/MCM4/AHCTF1/DOT1L/BIRC5/GATAD2B/CSNK1A1/H2AX/CDK2/TNKS2/CENPA/HDAC2/RANGAP1/H4C12/BOD1/SMARCC1/STAG2/TNKS/HSF1/ZNF330/NUP98/CDCA8/MACROH2A2/SSB/ARID2/SEPTIN6/LRIF1/WRNIP1/MCM2/XRCC5/CENPF/PPP2CA/PML/FLYWCH1/PHF2/DCLRE1B/H4C14/CTC1/KDM4C/CHD4/PTGES3/DCTN2/CDC20/WDR82/CHMP2B/HELLS/MRE11/RIF1/BUB3/H4C2/PHF6/PBRM1/RAD50/CHMP4C/TERF1/RNF8",98
"GO:0010494","cytoplasmic stress granule","36/2523","96/19880",0.375,2.95481569560048,7.31986282873523,5.69264015373381e-10,4.57941274589253e-08,3.19586815648214e-08,"RBM4/PUM1/CELF1/ATXN2/IGF2BP2/YTHDF3/YTHDF2/G3BP1/FMR1/EIF4A1/QKI/ELAVL1/STAU1/CIRBP/FXR1/LIN28A/EIF4G1/TIAL1/ROCK1/YTHDF1/SSB/DDX6/LARP1/DDX3X/ATXN2L/EIF2S1/LARP4B/CAPRIN1/RBPMS2/RC3H2/VCP/LARP4/IGF2BP1/DYRK3/RBPMS/FXR2",36
"GO:0005819","spindle","100/2523","435/19880",0.229885057471264,1.81138126933362,6.52355296742308,1.55864829252024e-09,1.12846136378465e-07,7.87527558326014e-08,"TUBB6/ALMS1/KLHL42/KIF2A/SEPTIN2/EVI5/GIT1/NDEL1/CLASP2/NUDC/CDC25B/RAD21/FLCN/CLASP1/NUP62/DYNLL1/SPAG5/TPR/SBDS/LATS1/CCDC117/CALM2/MZT2B/HNRNPU/PKP4/LUZP1/ASPM/UHRF1/TPX2/SEPTIN7/ARL8B/CALM3/ZZZ3/DCTN1/CEP95/DIAPH3/MAP4/RALBP1/UNC119/KIFAP3/PRPF19/RPS3/ODF2/BIRC5/CCSAP/CSNK1A1/ACOT13/MYH9/WDR5/RANGAP1/BOD1/WNK1/STAG2/NPM1/CTTN/TNKS/ANAPC7/HSF1/INPPL1/CDCA8/TACC3/ANAPC5/KLHL22/RAB11A/SEPTIN6/HSPB1/KIF11/AAAS/CENPF/PPP2CA/CCAR2/CKAP2/TMEM9/CALM1/APP/MAP7D1/RMDN3/MAPKBP1/MMS19/POC1B/RB1/CDC6/EML4/TBCK/YPEL5/MAPRE2/BIRC6/CDC20/CDC14A/EML2/HAUS6/CHMP2B/MICAL3/BCCIP/ABRAXAS2/RIF1/MZT2A/CHMP4C/TERF1/CEP350",100
