"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003712","transcription coregulator activity","125/2494","495/18639",0.252525252525253,1.88725668878035,7.86346967889101,5.30223758298633e-13,6.56417012773707e-10,5.23526195035913e-10,"NRIP1/SS18/TRIM28/CNOT7/SETD5/PTPN14/NSD1/LMO1/PKM/PAWR/JMJD1C/RBFOX2/PHB1/DHX9/RERE/ABL1/CBFB/HNRNPU/TP53BP1/NCOR2/TLE4/SND1/SMAD7/ARID1A/COPS2/CCND1/SMARCD2/LCOR/MED14/PHF8/MTA2/CREBBP/TSC22D1/HMGA1/RBBP8/NAB2/SMARCA4/NCOA5/MED13/KMT5A/QKI/LMO4/YAP1/PSIP1/MED13L/HDGF/MTDH/TAF6/ZMYND11/PHF12/PARP14/IRF2BP2/DOT1L/RCOR3/KDM3A/NCOA4/UBE3A/SMARCC1/SAP18/CCAR1/JMY/NPM1/TRERF1/ZNF410/CTBP1/EWSR1/NUP98/NME2/PARP9/KDM5B/BCORL1/MTA1/NUCKS1/DDX17/SRSF2/TRIM52/CRTC1/CITED1/TAF9/TAF12/URI1/TLE3/NUPR1/PML/PIR/MIDEAS/RAD54L2/HMGA2/MED26/ATF7IP/FLYWCH1/PHF2/MMS19/SF1/TRIM5/RB1/MED17/AKIRIN1/BCL9/TRRAP/ATN1/MRTFA/HMGB2/ACSS2/BTG1/BCL10/FBXL19/TRIP11/RYBP/CHD4/SIAH2/TOB2/MED27/RBPMS/ZMIZ1/NFKB1/DYRK1A/EP300/WBP2/USP22/ZFPM1/KDM5A/THRAP3/RALY/RBCK1",125
"GO:0044389","ubiquitin-like protein ligase binding","87/2494","322/18639",0.270186335403727,2.01924743608262,7.25118932332032,4.60236902344593e-11,1.89754793469015e-08,1.51339168670977e-08,"JUN/HDAC6/TCP1/HSPA1B/PER3/RPL5/FAF1/APC/NLK/TRIM28/RPL23/SMAD6/MFN2/CUL7/TP53/XBP1/HIF1A/DNAJA1/STAM/SMAD7/SMAD2/ARRB2/AMBRA1/CUL5/TNK2/TMBIM6/UBE2N/PRKAR1A/CUL4A/UBXN7/RALB/NFE2L2/ABI2/CEBPB/SLF2/MAP3K7/HM13/TOLLIP/CBS/CCDC50/UBE2J2/PCBP2/LAPTM4B/HSPA5/RANGAP1/MAP1LC3B/BAG1/YWHAZ/UBB/PRKAR2A/ELOB/RNF31/CUL1/PARP9/GABARAPL1/VCL/RELA/DNM1L/DTX3L/XRCC5/RIPK1/PML/FAU/UBE2G1/UBXN1/SMAD5/UBE2K/BAG2/HSPD1/RB1/VCP/HLTF/UBC/USP25/BCL10/ERLIN1/CUL4B/NEDD8/CDKN1A/RTN4/HSPBP1/PRKACB/POLR2A/NGFR/TRIB1/ACTG1/RNF8",87
"GO:0031625","ubiquitin protein ligase binding","83/2494","302/18639",0.274834437086093,2.05398519360372,7.2577614989605,5.04330525661505e-11,1.89754793469015e-08,1.51339168670977e-08,"JUN/HDAC6/TCP1/HSPA1B/PER3/RPL5/FAF1/APC/NLK/TRIM28/RPL23/SMAD6/MFN2/CUL7/TP53/XBP1/HIF1A/DNAJA1/SMAD7/SMAD2/ARRB2/AMBRA1/CUL5/TNK2/TMBIM6/UBE2N/PRKAR1A/CUL4A/UBXN7/RALB/NFE2L2/ABI2/SLF2/MAP3K7/HM13/TOLLIP/CBS/CCDC50/UBE2J2/PCBP2/LAPTM4B/HSPA5/RANGAP1/MAP1LC3B/BAG1/YWHAZ/UBB/PRKAR2A/ELOB/RNF31/CUL1/GABARAPL1/VCL/RELA/DNM1L/XRCC5/RIPK1/PML/FAU/UBE2G1/UBXN1/SMAD5/UBE2K/BAG2/HSPD1/RB1/VCP/HLTF/UBC/USP25/BCL10/ERLIN1/CUL4B/NEDD8/CDKN1A/RTN4/HSPBP1/PRKACB/POLR2A/NGFR/TRIB1/ACTG1/RNF8",83
"GO:0045296","cadherin binding","89/2494","334/18639",0.266467065868263,1.99145133950223,7.18602335333043,6.13101109754492e-11,1.89754793469015e-08,1.51339168670977e-08,"RANBP1/CRKL/UBAP2/EIF2S3/VAPA/SEPTIN2/RAB10/KIF5B/ESYT2/EEF2/LRRFIP1/PKM/NUDC/BZW1/CD46/SH3GLB2/CAST/ZC3H15/EHD4/PKP4/SND1/NEO1/PKN2/TWF1/PACSIN2/GAPVD1/SEPTIN7/CNN2/CNN3/LIMA1/PTPN1/CLINT1/PDLIM5/ERC1/DIAPH3/PTPN11/FSCN1/USO1/ITGA6/RPS2/STX5/H3C10/H3C11/TLN1/EIF4H/MYH9/LRRC59/HSPA5/RANGAP1/CDC42EP1/YWHAZ/TJP1/ZC3HAV1/CTTN/H3C7/ATIC/BAG3/SPTAN1/VCL/MARK2/H1-10/DDX6/LARP1/DDX3X/ATXN2L/LASP1/TMPO/VAPB/CAPZB/H3C2/CCT8/SH3GLB1/CALD1/LDHA/PCBP1/BAIAP2L1/ARGLU1/EEF1D/ABCF3/RPL6/RTN4/WASF2/H3C4/ABI1/CHMP2B/CTNND1/MRE11/SPTBN1/SEPTIN9",89
"GO:0140297","DNA-binding transcription factor binding","117/2494","488/18639",0.239754098360656,1.79181100214285,6.96642583818046,1.04535102224571e-10,2.58828913108038e-08,2.064293176561e-08,"PURA/JUN/ANKRD42/PBX1/NRIP1/FAF1/CRKL/TCF3/PCNA/CREM/NLK/CRY1/GTF2A1/PTMA/CNOT7/UHRF2/NSD1/LMO1/JMJD1C/TP53/RAD21/XBP1/TBX2/HIF1A/RBFOX2/DHX9/DNAJA1/LATS1/TP53BP1/NCOR2/TLE4/TRIP12/ACTB/SRF/SMAD2/ARID1A/TMF1/BHLHE40/BUD31/LCOR/MED14/MTA2/CREBBP/HMGA1/RBBP8/DDX5/STAT3/SMARCA4/MED13/UBXN7/DCAF1/TACC1/YY1/LMO4/YAP1/PSIP1/NFE2L2/MTDH/TAF6/MAP3K7/DOT1L/RPS3/KDM3A/CEBPG/TCF12/HDAC2/YWHAZ/NPM1/TRERF1/CTBP1/HSF1/PARP9/GABARAPL1/MAX/USF1/RELA/HSPB1/MTA1/LRIF1/NUCKS1/DTX3L/TAF10/CENPF/CRTC1/TAF9/TAF12/CEBPA/MKKS/PKN1/HMGA2/VHL/MMS19/CGGBP1/HDAC8/EEF1D/RB1/BCAS3/MED17/KDM4C/HMGB2/PSMA6/STRN/PPARD/BCL10/TCF7L2/MDFIC/SP3/MEF2D/CHD4/CPNE1/TOB2/CNOT1/EP300/WBP2/ZFPM1/TRIB1/THRAP3",117
"GO:0031490","chromatin DNA binding","43/2494","128/18639",0.3359375,2.5106411637931,6.74031530282665,3.76367519443456e-09,7.76571648451665e-07,6.19355672347301e-07,"ATRX/HMGN2/HMGN4/FOXO3/HNRNPC/JMJD1C/XBP1/H1-0/DHX9/HNRNPU/H3-3A/ACTB/RCC1/SRF/BAP1/SMARCD2/KDM6A/MTA2/CREBBP/H3-3B/STAT3/SMARCA4/CEBPB/HMGN1/KDM3A/GATAD2B/PCBP2/HDAC2/SMARCC1/MBD3/HSF1/MACROH2A2/RELA/H1-10/MSL2/CEBPA/HMGA2/CHD4/OGT/EP300/WBP2/KDM5A/RARA",43
"GO:0051020","GTPase binding","80/2494","315/18639",0.253968253968254,1.89804101271623,6.31786235552699,6.26387344582102e-09,9.945173955802e-07,7.93178570745878e-07,"DVL3/SRGAP2/MYO9B/RANBP1/GNB1/WASF1/EVI5/GIT1/SGSM3/CYRIB/RILPL2/HACE1/DMXL2/ULK1/DOCK1/TMEM127/IPO7/RCC1/PKN2/RAB11FIP2/RANBP2/AMBRA1/TNPO3/IPO5/GAPVD1/NXT1/BRK1/CDC42EP4/BICD2/ERC1/DIAPH3/PAK1/ABI2/RALBP1/GOLGA5/ODF2/EXOC2/PREB/BIRC5/GNB2/MAPKAP1/USP33/RANGAP1/CDC42EP1/VPS9D1/ROCK1/MARCHF5/RAPGEF6/GCC1/XPOT/DNM1L/EXOC5/WDR44/OCRL/BIN1/RNF41/RAB3IP/EPRS1/BICD1/PKN1/RRAGC/MYO1C/STRN3/FGD1/XPO4/AP3M1/AP1G1/CYFIP1/RIMS4/TRIP11/GDI2/RASA1/RABGEF1/PAK3/WHAMM/IPO8/NGFR/SPTBN1/TNFAIP1/SOD1",80
"GO:0042393","histone binding","67/2494","247/18639",0.271255060728745,2.02723459379434,6.38752315731655,6.42660675657641e-09,9.945173955802e-07,7.93178570745878e-07,"ATRX/ATAD2B/SSRP1/SPIN4/PTMA/UHRF2/SETD5/MORC3/PYGO1/PHIP/RBBP5/TP53BP1/IPO7/UHRF1/RCC1/ANP32E/PYGO2/MLLT1/PHF8/FMR1/SMARCA4/ZZZ3/MPHOSPH8/PHF19/SART3/SCMH1/NCAPD2/ZMYND11/VPS72/TSPYL2/BPTF/H2AX/MLLT10/WDR5/HDAC2/ZNF689/SMARCC1/NPM1/TNKS/CHD7/PARP9/KDM5B/DEK/MCM2/PHC1/DTX3L/ING1/WDTC1/PHF14/MTF2/PKN1/MBTD1/PIH1D1/PHF2/BRD2/CHD3/BCAS3/SET/MSH6/PHF13/CHD4/RSF1/MORC4/PHF6/KDM5A/RNF8/BRD3",67
"GO:0019787","ubiquitin-like protein transferase activity","109/2494","479/18639",0.227557411273486,1.70065861616941,6.10583628180103,1.02565471452334e-08,1.41084504064432e-06,1.12522119558233e-06,"UBE2G2/UBR4/ATG12/RNF139/KLHL42/NEDD4L/RNF167/TRIM28/RNF220/UHRF2/ANAPC11/HACE1/RNF4/UBE2D2/ANKIB1/LNX2/RNF215/RNF10/PCGF5/TRIM11/UBE4B/TRIP12/UBE3C/UHRF1/ATG3/RANBP2/MIB1/MARCHF6/ATG5/CUL5/RNF38/UBE2N/UBR5/RNF216/CUL4A/UBE2L6/RNF185/TRIM2/PRPF19/ZMIZ2/SYVN1/CDC23/FBXO11/RNF138/AMFR/UBE2E1/UBE2J2/CBLL1/UBE3A/BRAP/CDC34/CCAR1/RNF31/TRIM44/MKRN1/PELI1/UBR2/MARCHF5/RNF103/HERC3/DTX3L/TRIM52/UBE2S/PJA1/RNF114/TRIM4/DDB2/PML/RNF41/KCTD10/MSL2/ZFP91/UBE2G1/PJA2/DTX2/VHL/TRIM41/UBE2K/RC3H2/SMURF1/TRIM5/MED17/SIAH1/HLTF/KCMF1/CNOT4/BIRC6/RNF11/PCGF3/RNF44/SIAH2/UBE2H/FBXW2/MED27/FBXL14/TTC3/TRAF7/ZNRF1/VPS18/RABGEF1/TRIM9/ZMIZ1/MARCHF7/TNFAIP1/MEX3C/UBE2Z/RNF8/COP1/RBCK1",109
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","85/2494","349/18639",0.243553008595989,1.82020229639961,6.07932967380892,1.74791089197161e-08,2.16391368426085e-06,1.7258320175467e-06,"JUN/ANKRD42/NRIP1/FAF1/CRKL/TCF3/PCNA/CRY1/GTF2A1/UHRF2/NSD1/JMJD1C/TP53/XBP1/HIF1A/DHX9/DNAJA1/LATS1/TP53BP1/NCOR2/TRIP12/ACTB/SRF/SMAD2/ARID1A/TMF1/BHLHE40/BUD31/LCOR/MED14/MTA2/CREBBP/HMGA1/RBBP8/DDX5/STAT3/SMARCA4/MED13/UBXN7/DCAF1/TACC1/NFE2L2/MTDH/TAF6/DOT1L/KDM3A/HDAC2/NPM1/TRERF1/CTBP1/HSF1/PARP9/GABARAPL1/RELA/HSPB1/MTA1/LRIF1/DTX3L/TAF10/CEBPA/MKKS/PKN1/HMGA2/MMS19/RB1/BCAS3/MED17/KDM4C/PSMA6/STRN/PPARD/BCL10/TCF7L2/MDFIC/SP3/MEF2D/CHD4/CPNE1/TOB2/CNOT1/EP300/WBP2/ZFPM1/TRIB1/THRAP3",85
"GO:0004842","ubiquitin-protein transferase activity","102/2494","449/18639",0.2271714922049,1.69777443592908,5.8823482043465,3.33378493526531e-08,3.75202340896223e-06,2.99243087969269e-06,"UBE2G2/UBR4/RNF139/KLHL42/NEDD4L/RNF167/TRIM28/RNF220/UHRF2/ANAPC11/HACE1/RNF4/UBE2D2/ANKIB1/LNX2/RNF215/RNF10/PCGF5/TRIM11/UBE4B/TRIP12/UBE3C/UHRF1/MIB1/MARCHF6/CUL5/RNF38/UBE2N/UBR5/RNF216/CUL4A/UBE2L6/RNF185/TRIM2/PRPF19/SYVN1/CDC23/FBXO11/RNF138/AMFR/UBE2E1/UBE2J2/CBLL1/UBE3A/BRAP/CDC34/CCAR1/RNF31/TRIM44/MKRN1/PELI1/UBR2/MARCHF5/RNF103/HERC3/DTX3L/TRIM52/UBE2S/PJA1/RNF114/TRIM4/DDB2/RNF41/KCTD10/MSL2/ZFP91/UBE2G1/PJA2/DTX2/VHL/TRIM41/UBE2K/RC3H2/SMURF1/TRIM5/MED17/SIAH1/HLTF/KCMF1/CNOT4/BIRC6/RNF11/PCGF3/RNF44/SIAH2/UBE2H/FBXW2/MED27/FBXL14/TTC3/TRAF7/ZNRF1/VPS18/RABGEF1/TRIM9/MARCHF7/TNFAIP1/MEX3C/UBE2Z/RNF8/COP1/RBCK1",102
"GO:0003713","transcription coactivator activity","66/2494","256/18639",0.2578125,1.92677112570168,5.86831120691098,7.05828402340248e-08,6.8706482685041e-06,5.47969396807826e-06,"NRIP1/SS18/TRIM28/LMO1/PKM/DHX9/RERE/ABL1/CBFB/ARID1A/SMARCD2/MED14/MTA2/CREBBP/TSC22D1/HMGA1/SMARCA4/MED13/QKI/YAP1/PSIP1/MTDH/TAF6/DOT1L/NCOA4/UBE3A/SMARCC1/CCAR1/JMY/NPM1/TRERF1/CTBP1/NUP98/NME2/MTA1/NUCKS1/DDX17/TRIM52/CRTC1/CITED1/TAF9/TAF12/NUPR1/PML/MED26/PHF2/MMS19/TRIM5/MED17/BCL9/ATN1/MRTFA/HMGB2/ACSS2/BCL10/TRIP11/MED27/RBPMS/ZMIZ1/DYRK1A/EP300/WBP2/USP22/KDM5A/THRAP3/RBCK1",66
"GO:0016755","aminoacyltransferase activity","109/2494","496/18639",0.219758064516129,1.64236991359909,5.69902199933508,7.21473566159558e-08,6.8706482685041e-06,5.47969396807826e-06,"UBE2G2/UBR4/ATG12/RNF139/KLHL42/NEDD4L/RNF167/TRIM28/RNF220/UHRF2/ANAPC11/HACE1/RNF4/UBE2D2/ANKIB1/LNX2/RNF215/RNF10/PCGF5/TRIM11/UBE4B/TRIP12/UBE3C/UHRF1/ATG3/RANBP2/MIB1/MARCHF6/ATG5/CUL5/RNF38/UBE2N/UBR5/RNF216/CUL4A/UBE2L6/RNF185/TRIM2/PRPF19/ZMIZ2/SYVN1/CDC23/FBXO11/RNF138/AMFR/UBE2E1/UBE2J2/CBLL1/UBE3A/BRAP/CDC34/CCAR1/RNF31/TRIM44/MKRN1/PELI1/UBR2/MARCHF5/RNF103/HERC3/DTX3L/TRIM52/UBE2S/PJA1/RNF114/TRIM4/DDB2/PML/RNF41/KCTD10/MSL2/ZFP91/UBE2G1/PJA2/DTX2/VHL/TRIM41/UBE2K/RC3H2/SMURF1/TRIM5/MED17/SIAH1/HLTF/KCMF1/CNOT4/BIRC6/RNF11/PCGF3/RNF44/SIAH2/UBE2H/FBXW2/MED27/FBXL14/TTC3/TRAF7/ZNRF1/VPS18/RABGEF1/TRIM9/ZMIZ1/MARCHF7/TNFAIP1/MEX3C/UBE2Z/RNF8/COP1/RBCK1",109
"GO:0031267","small GTPase binding","69/2494","283/18639",0.243816254416961,1.82216967364785,5.47765278974467,3.60519723416053e-07,3.18802441135053e-05,2.54261278619743e-05,"DVL3/SRGAP2/MYO9B/RANBP1/WASF1/EVI5/GIT1/SGSM3/CYRIB/RILPL2/HACE1/DMXL2/ULK1/DOCK1/TMEM127/IPO7/RCC1/PKN2/RAB11FIP2/RANBP2/TNPO3/IPO5/GAPVD1/NXT1/BRK1/CDC42EP4/BICD2/ERC1/DIAPH3/PAK1/ABI2/RALBP1/GOLGA5/ODF2/EXOC2/BIRC5/MAPKAP1/USP33/RANGAP1/CDC42EP1/VPS9D1/ROCK1/RAPGEF6/GCC1/XPOT/DNM1L/EXOC5/WDR44/OCRL/RNF41/BICD1/PKN1/MYO1C/STRN3/FGD1/XPO4/AP3M1/AP1G1/CYFIP1/RIMS4/TRIP11/GDI2/RABGEF1/PAK3/WHAMM/IPO8/NGFR/TNFAIP1/SOD1",69
