"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","77/1294","467/18805",0.164882226980728,2.39614395546568,8.30518750506107,5.52266654539373e-13,3.02421220025761e-09,2.55844794381872e-09,"CSNK2A2/HSPA1B/KLHL7/ARIH2/APC/ANAPC16/RNF139/DESI1/KLHL42/KLHL2/TRIM28/WAC/RNF4/RMND5A/PSMD4/ZSWIM8/RNF10/AKT1/SMAD7/SPSB1/AMBRA1/KLHDC10/UBE2A/ASCC2/EIF3H/UBR5/PPP2CB/NFE2L2/NSFL1C/TRIM2/PSMA1/SYVN1/CDC23/UBE2D3/FBXO11/KLHL24/UBE3A/FBXW4/CDC34/SMARCC1/SIRT1/CUL1/PELI1/UBR2/ANAPC5/PSMB7/DCAF11/CSNK1E/SOCS2/MTA1/GCLC/ANAPC13/CDC16/UBE2S/FEM1C/PML/AKIRIN2/CEBPA/UBE2G1/DDA1/SOCS4/VHL/WDR26/UBQLN4/VCP/KCMF1/PSMA6/N4BP1/FBXL19/UBE2H/FBXL14/ZNRF1/SEM1/FBXO7/TRIB1/COP1/RBCK1",77
"GO:0019827","stem cell population maintenance","38/1294","187/18805",0.203208556149733,2.95311970509716,7.29658989400722,1.27037086555989e-09,1.78031079598961e-06,1.50612198937954e-06,"FZD7/TEAD4/PAF1/SS18/LBH/FOXO3/CDC73/RAF1/SKI/BCL7C/ACTB/ASPM/MED14/SAP30/ACTL6A/BMP7/BICRA/SMARCA4/ELAVL1/PHF19/RBBP7/BRMS1L/VPS72/TET1/HDAC2/SMARCC1/SRRT/DDX6/CTR9/WDR47/RBBP4/MED17/SUDS3/BCL9/EIF4ENIF1/IGF2BP1/MED27/RIF1",38
"GO:0043484","regulation of RNA splicing","38/1294","187/18805",0.203208556149733,2.95311970509716,7.29658989400722,1.27037086555989e-09,1.78031079598961e-06,1.50612198937954e-06,"KHDRBS1/RBFOX2/NOVA2/HNRNPU/SON/HNRNPH2/SRSF3/TMBIM6/GRSF1/UPF1/SRSF1/QKI/SRSF4/DAZAP1/HNRNPLL/TRA2A/RBM38/SAP18/SRPK2/NUP98/PTBP3/DDX17/RBMXL1/HNRNPF/CDK11B/JMJD6/SRSF7/RBPMS2/SF1/HNRNPH3/HNRNPH1/SRSF10/RBPMS/DYRK1A/SRPK1/SRSF8/USP22/CCNL1",38
"GO:0050684","regulation of mRNA processing","31/1294","133/18805",0.233082706766917,3.38726452917456,7.51048065330218,1.30122399499456e-09,1.78031079598961e-06,1.50612198937954e-06,"CDC73/KHDRBS1/RBFOX2/NOVA2/DHX9/HNRNPU/SON/SRSF3/UPF1/QKI/SRSF4/DAZAP1/TRA2A/SAP18/SRPK2/NUP98/SAFB2/DDX17/RBMXL1/SAFB/CDK11B/JMJD6/SRSF7/RBPMS2/SF1/SRSF10/RBPMS/DYRK1A/SRPK1/SRSF8/ALKBH5",31
"GO:0016032","viral process","64/1294","421/18805",0.152019002375297,2.209209690624,6.82117900421888,1.62555770269321e-09,1.78031079598961e-06,1.50612198937954e-06,"ATG12/HSPA1B/SCARB2/PIKFYVE/VAPA/PEG10/APOBEC3D/KPNA3/LGALS1/TRIM28/CNOT7/GALNT1/EIF2AK4/CD46/DHX9/INSR/PKN2/RCC1/CHMP5/TARBP2/ARL8B/NRP1/SMARCA4/FUT8/ZDHHC9/CHMP3/NECTIN2/TOP2B/SLC7A1/ATP7B/ZDHHC20/IDE/FAM111A/ZC3HAV1/SRPK2/CTBP1/ISG15/USF1/DEK/DDX6/LARP1/DDX3X/NUCKS1/OAZ2/CANX/MGAT1/APOBEC3C/BICD1/BANF1/ITGAV/MON1B/VCP/NECTIN1/MGAT5/N4BP1/MDFIC/CD81/NUP153/RSF1/CHMP2B/SRPK1/VPS37A/YTHDC2/MYH10",64
"GO:0098727","maintenance of cell number","38/1294","191/18805",0.198952879581152,2.89127426624696,7.14147841008311,2.375588771427e-09,2.16812068538904e-06,1.83420459351758e-06,"FZD7/TEAD4/PAF1/SS18/LBH/FOXO3/CDC73/RAF1/SKI/BCL7C/ACTB/ASPM/MED14/SAP30/ACTL6A/BMP7/BICRA/SMARCA4/ELAVL1/PHF19/RBBP7/BRMS1L/VPS72/TET1/HDAC2/SMARCC1/SRRT/DDX6/CTR9/WDR47/RBBP4/MED17/SUDS3/BCL9/EIF4ENIF1/IGF2BP1/MED27/RIF1",38
"GO:0045814","negative regulation of gene expression, epigenetic","39/1294","206/18805",0.189320388349515,2.75129049684128,6.87042794807274,6.40756294515519e-09,5.01254495538141e-06,4.24055406340271e-06,"ATRX/HDAC6/CBX1/TRIM28/UHRF2/TEX15/HNRNPU/TUT7/ZNF304/EPC1/H3-3B/SMARCA4/LMNB1/UBR5/MPHOSPH8/PHF19/EED/SCMH1/DOT1L/H2AX/HDAC2/MBD3/SIRT1/UBR2/SPEN/MTA1/CTR9/APOBEC3C/BAHD1/PHF2/HDAC8/RB1/BAZ1A/RLF/DYRK1A/HELLS/RIF1/SMARCA5/KDM5A",39
"GO:0040029","epigenetic regulation of gene expression","50/1294","308/18805",0.162337662337662,2.35916517794416,6.53783167153846,1.14831000595565e-08,7.86018199076641e-06,6.64962149501422e-06,"ATRX/HDAC6/ATAD2B/PIK3CA/CBX1/TRIM28/UHRF2/SAMD1/RBBP5/TEX15/HNRNPU/TUT7/ZNF304/EPC1/H3-3B/SMARCA4/LMNB1/UBR5/MPHOSPH8/PHF19/EED/SCMH1/DOT1L/VPS72/TET1/H2AX/APEX1/HDAC2/MBD3/SIRT1/UBR2/SPEN/MTA1/CTR9/APOBEC3C/TRMT112/MSL2/BAHD1/PHF2/CGGBP1/HDAC8/RB1/BAZ1A/RLF/ASH2L/DYRK1A/HELLS/RIF1/SMARCA5/KDM5A",50
"GO:0070936","protein K48-linked ubiquitination","24/1294","100/18805",0.24,3.48778979907264,6.78065443529504,5.12988400040078e-08,3.1212494206883e-05,2.64054029073261e-05,"ARIH2/UBE2R2/ANAPC16/HACE1/RNF4/UBE2D2/UBE2A/UBR5/SYVN1/CDC23/UBE2D3/UBE3A/CDC34/CUL1/PELI1/ANAPC5/ANAPC13/CDC16/UBE2G1/KCMF1/UBE2H/TTC3/ZNRF1/FBXO7",24
"GO:0000819","sister chromatid segregation","40/1294","234/18805",0.170940170940171,2.48418076857026,6.21031843110038,7.95367606151092e-08,4.03470879824773e-05,3.41331617798014e-05,"RHOA/HSPA1B/APC/KIF2A/NUDC/BCL7C/RAD21/CLASP1/CDCA5/HNRNPU/ACTB/BAZ1B/RCC1/TPX2/CHMP5/ACTL6A/SMARCA4/SMC4/CHMP3/KPNB1/CDC23/BIRC5/TOP2B/SKA2/SMARCC1/STAG2/SIRT1/ANAPC5/KIF11/CDC16/RB1/PHF13/RACGAP1/EML4/MYBL2/CHMP2B/ABRAXAS2/BUB3/SMARCA5/PBRM1",40
"GO:1902459","positive regulation of stem cell population maintenance","16/1294","49/18805",0.326530612244898,4.74529224363625,7.13592742687667,8.80590596179303e-08,4.03470879824773e-05,3.41331617798014e-05,"TEAD4/SS18/LBH/BCL7C/ACTB/SAP30/ACTL6A/BICRA/SMARCA4/RBBP7/BRMS1L/TET1/HDAC2/SMARCC1/RBBP4/SUDS3",16
"GO:0016241","regulation of macroautophagy","35/1294","191/18805",0.183246073298429,2.66301577154325,6.27957110190651,8.84158246511556e-08,4.03470879824773e-05,3.41331617798014e-05,"CSNK2A2/HDAC6/ATG12/PIK3CA/UBQLN1/PIP4K2A/WAC/ULK1/HIF1A/SPTLC2/PIP4K2B/AKT1/AMBRA1/UBE2A/MAP3K7/EIF2AK1/RHEB/RNF31/SIRT1/BAG3/PIM2/LARP1/SH3GLB1/SESN3/TSPO/MTOR/UBQLN4/ATP5IF1/SEC22B/SLC25A4/SREBF2/PARL/VPS26B/FBXO7/GAPDH",35
