"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","77/1336","424/19880",0.181603773584906,2.70230764885324,9.51027306051932,8.35116816666131e-16,5.56187799899643e-13,4.26349111666393e-13,"LPP/RHOA/HSPA1B/RPL5/SH3KBP1/SCARB2/RAB21/RPL23/PIP5K1A/RPS17/MAP2K1/CD46/CLASP1/RPL18/HSP90B1/PDIA3/ACTB/CPNE3/PALLD/AMBRA1/AJUBA/G3BP1/PACSIN2/LIMS1/ARPC1B/HMGA1/CNN2/PPP1R12A/LIMA1/NRP1/DCAF6/TSPAN4/MRC2/CD59/LRP1/ITGA6/RPS2/SPRY4/NECTIN2/AIF1L/MPRIP/CASK/FZD1/VASP/DNM2/SORBS3/HSPA5/PTK7/SHC1/RSU1/YWHAZ/PRKAR2A/RPL9/ALCAM/PTPN12/LAP3/CLTC/LASP1/ILK/FLNC/SLC4A2/ITGAV/YWHAG/ARL2/CHP1/CAPN2/ACTN1/CYFIP1/ARPC2/MAPRE2/RPL6/CD81/GNA13/RPLP2/ENAH/CAP1/ACTG1",77
"GO:0030055","cell-substrate junction","77/1336","434/19880",0.17741935483871,2.64004249565385,9.27221753422513,3.12484957099757e-15,1.04057490714219e-12,7.97658969438853e-13,"LPP/RHOA/HSPA1B/RPL5/SH3KBP1/SCARB2/RAB21/RPL23/PIP5K1A/RPS17/MAP2K1/CD46/CLASP1/RPL18/HSP90B1/PDIA3/ACTB/CPNE3/PALLD/AMBRA1/AJUBA/G3BP1/PACSIN2/LIMS1/ARPC1B/HMGA1/CNN2/PPP1R12A/LIMA1/NRP1/DCAF6/TSPAN4/MRC2/CD59/LRP1/ITGA6/RPS2/SPRY4/NECTIN2/AIF1L/MPRIP/CASK/FZD1/VASP/DNM2/SORBS3/HSPA5/PTK7/SHC1/RSU1/YWHAZ/PRKAR2A/RPL9/ALCAM/PTPN12/LAP3/CLTC/LASP1/ILK/FLNC/SLC4A2/ITGAV/YWHAG/ARL2/CHP1/CAPN2/ACTN1/CYFIP1/ARPC2/MAPRE2/RPL6/CD81/GNA13/RPLP2/ENAH/CAP1/ACTG1",77
"GO:0070603","SWI/SNF superfamily-type complex","28/1336","95/19880",0.294736842105263,4.38575480617712,8.87867308789278,1.28696101469336e-11,2.85705345261925e-09,2.19009155132027e-09,"SS18/CDK2AP1/BCL7C/CFDP1/LUZP1/ACTB/BAZ1B/ACTL6A/BICRA/SMARCA4/YY1/RBBP7/HDAC2/SMARCC1/MBD3/MTA1/DEK/GATAD2A/RBBP4/YY1AP1/CHD3/RB1/BAZ1A/INO80E/CHD4/RSF1/SMARCA5/PBRM1",28
"GO:0098687","chromosomal region","65/1336","408/19880",0.159313725490196,2.37062639427028,7.50831835444014,6.35510318055959e-11,1.05812467956317e-08,8.11111853308263e-09,"ATRX/PURA/APC/PLK2/ANAPC16/CBX1/PCNA/UHRF2/CDC73/NDEL1/RAD21/CLASP1/CDCA5/HNRNPU/CFDP1/TP53BP1/LUZP1/ACTB/BAZ1B/NUDCD2/CHMP5/ACTL6A/PPP1R12A/H3-3B/UPF1/SMARCA4/SMG6/SMC4/PPP2CB/RBBP7/RAD51D/AHCTF1/CHMP3/DOT1L/BIRC5/ZBTB10/H2AX/APEX1/HDAC2/RANGAP1/SKA2/SMARCC1/STAG2/HSF1/THOC5/NUP98/MCM2/PML/KMT5B/PPP2R5A/PHF2/H4C14/RBBP4/BAZ1A/PTGES3/CHD4/H4C15/WDR82/CHMP2B/HELLS/BUB3/DYNC1LI2/RIF1/SMARCA5/PBRM1",65
"GO:0034399","nuclear periphery","35/1336","155/19880",0.225806451612903,3.36005408537763,7.91731794159972,1.54024009661218e-10,2.05159980868742e-08,1.57266620390928e-08,"MATR3/PCNA/RNF220/MORC3/RAD21/CLIC4/HNRNPM/HNRNPU/NCOR2/ACTB/ACTL6A/EBNA1BP2/SMARCA4/LMNB1/YY1/AHCTF1/ARFGEF1/CASK/MSX1/PAXIP1/SMARCC1/STAG2/DCAF7/NUP98/XPOT/PML/NSMF/ATN1/PSMA6/EIF6/NUP153/NONO/SRPK1/PBRM1/PRPF40A",35
"GO:0000118","histone deacetylase complex","23/1336","83/19880",0.27710843373494,4.12343986725345,7.65369744903345,3.2709424174998e-09,3.63074608342478e-07,2.78317030260948e-07,"HDAC6/CDK2AP1/SETD5/KDM3B/RERE/CFDP1/SAP30/RCOR1/RBBP7/PHF12/BRMS1L/RCOR3/TET1/HDAC2/SAP18/MBD3/MTA1/GATAD2A/RBBP4/HDAC8/CHD3/SUDS3/CHD4",23
"GO:1904949","ATPase complex","29/1336","127/19880",0.228346456692913,3.39784996935263,7.27622502379213,4.31447640749958e-09,4.1049161248496e-07,3.14664820697338e-07,"SS18/CDK2AP1/BCL7C/CFDP1/LUZP1/ACTB/BAZ1B/ACTL6A/BICRA/SMARCA4/YY1/RBBP7/HDAC2/SMARCC1/MBD3/MTA1/DEK/GATAD2A/RBBP4/YY1AP1/CHD3/RB1/VCP/BAZ1A/INO80E/CHD4/RSF1/SMARCA5/PBRM1",29
"GO:0000775","chromosome, centromeric region","45/1336","265/19880",0.169811320754717,2.52683312620043,6.71613073106682,7.64778700906698e-09,6.36678268504826e-07,4.88049565710195e-07,"ATRX/APC/PLK2/ANAPC16/CBX1/UHRF2/NDEL1/RAD21/CLASP1/CDCA5/HNRNPU/CFDP1/TP53BP1/LUZP1/ACTB/BAZ1B/NUDCD2/CHMP5/ACTL6A/PPP1R12A/H3-3B/SMARCA4/SMC4/PPP2CB/AHCTF1/CHMP3/BIRC5/RANGAP1/SKA2/SMARCC1/STAG2/HSF1/NUP98/KMT5B/PPP2R5A/PHF2/H4C14/BAZ1A/H4C15/CHMP2B/HELLS/BUB3/DYNC1LI2/SMARCA5/PBRM1",45
"GO:0035770","ribonucleoprotein granule","46/1336","278/19880",0.165467625899281,2.46219790634558,6.58987459195051,1.20234724661284e-08,8.89736962493505e-07,6.82033233458748e-07,"RC3H1/APOBEC3D/RPL28/CNOT7/HNRNPAB/IGF2BP2/YTHDF3/DHX9/HNRNPU/ACTB/AJUBA/YTHDF2/G3BP1/GRSF1/UPF1/QKI/ELAVL1/PRRC2C/KPNB1/UHMK1/FASTKD5/EIF4G1/LARP1B/TIAL1/ROCK1/HSF1/SMG1/YTHDF1/KHNYN/DDX6/LARP1/DDX3X/G3BP2/APOBEC3C/EIF2S1/CAPRIN1/RBPMS2/TOP1/VCP/LSM4/PSMA6/RPL6/EIF4ENIF1/IGF2BP1/RBPMS/YTHDC2",46
"GO:0010494","cytoplasmic stress granule","24/1336","96/19880",0.25,3.72005988023952,7.17060527541131,1.40034496950141e-08,9.32629749687939e-07,7.14912958113878e-07,"RC3H1/IGF2BP2/YTHDF3/YTHDF2/G3BP1/QKI/ELAVL1/PRRC2C/KPNB1/EIF4G1/LARP1B/TIAL1/ROCK1/YTHDF1/DDX6/LARP1/DDX3X/G3BP2/EIF2S1/CAPRIN1/RBPMS2/VCP/IGF2BP1/RBPMS",24
