"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003712","transcription coregulator activity","75/1317","495/18639",0.151515151515152,2.1443363015117,7.11513721899014,2.48487016563624e-10,2.77311510485004e-07,2.27823359396754e-07,"KDM2A/SS18/TRIM28/CNOT7/SETD5/PKM/PAWR/RBFOX2/KDM3B/DHX9/RERE/CBFB/HNRNPU/TP53BP1/NCOR2/TLE4/SND1/SMAD7/CAMTA1/AJUBA/MED14/SAP30/ACTL6A/RCOR1/CREBBP/TSC22D1/HMGA1/SMARCA4/MED13/QKI/LMO4/MED13L/ZMYND11/PHF12/DOT1L/RCOR3/GPS2/APEX1/ARID3A/UBE3A/SMARCC1/SAP18/SIRT1/CTBP1/NUP98/NME2/SPEN/KDM5B/MTA1/NUCKS1/DDX17/CRTC1/URI1/PML/AKIRIN2/RAD54L2/PHF2/SSBP3/SF1/RB1/MED17/ASXL1/ASAH1/AKIRIN1/BCL9/ATN1/FBXL19/CHD4/MED27/RBPMS/DYRK1A/USP22/ZFPM1/KDM5A/RBCK1",75
"GO:0042393","histone binding","43/1317","247/18639",0.174089068825911,2.46381636586648,6.38578246409953,3.22513111927989e-08,1.79962316455818e-05,1.47846800257515e-05,"ATRX/ATAD2B/CBX1/NAP1L1/UHRF2/SETD5/MORC3/RBBP5/TP53BP1/BAZ1B/RCC1/PYGO2/MLLT1/SMARCA4/MPHOSPH8/PHF19/SART3/RBBP7/SCMH1/ZMYND11/VPS72/H2AX/HDAC2/ZNF689/SMARCC1/SIRT1/CHD7/PSME4/KDM5B/DEK/MCM2/MBTD1/PHF2/BRD2/RBBP4/CHD3/BCAS3/PHF13/CHD4/RSF1/SMARCA5/KDM5A/BRD3",43
"GO:0004674","protein serine/threonine kinase activity","62/1317","433/18639",0.143187066974596,2.02647208909605,5.9590543704649,7.68739416728959e-08,2.85971063023173e-05,2.34937555077517e-05,"PRKAB2/CSNK2A2/PIK3CA/PLK2/PIKFYVE/STK10/EIF2AK4/RAF1/PKM/MAP2K1/ULK1/STK17A/TLK1/NEK4/PHKA2/AKT1/CPNE3/PKN2/CDK13/MAPKAPK2/PKMYT1/CCND3/CDC42BPB/HIPK3/BCR/CILK1/RIOK3/MAP3K7/CSNK1G1/PGK1/CDK8/CASK/UHMK1/EIF2AK1/MAP4K3/MAST2/SRPK2/ROCK1/SMG1/PIM2/CSNK1E/MARK2/IRAK1/PRKCI/RIPK1/RPS6KA3/OXSR1/CDK11B/MTOR/CDK19/CAMK1D/BRD2/MASTL/MARK4/TOP1/ACVR2B/BCKDK/PRKACB/VRK2/DYRK1A/SRPK1/BRD3",62
"GO:0051020","GTPase binding","49/1317","315/18639",0.155555555555556,2.20151860288535,5.93019751749959,1.43732456512182e-07,4.01013553668987e-05,3.29449920058185e-05,"RRAGD/GNB1/HACE1/DMXL2/ULK1/CDC42EP2/TMEM127/RANBP9/PKN2/RCC1/YBX3/RAB11FIP2/RANBP2/AMBRA1/IPO5/CDC42BPB/CDC42EP4/BICD2/DIAPH3/ABI2/RALBP1/EXOC2/PREB/KPNB1/BIRC5/RANGAP1/VPS9D1/ROCK1/RAPGEF6/GCC1/XPOT/CDC42SE1/BIN1/BICD1/TNPO1/AFDN/CLTA/HSP90AA1/PICALM/STRN3/FGD1/AP1G1/RRAGB/CYFIP1/RAB29/DENND5A/RABGEF1/IPO8/SPTBN1",49
"GO:0140857","histone H3T45 kinase activity","40/1317","246/18639",0.16260162601626,2.30123895771987,5.6648948012395,6.2065168465487e-07,6.09205082430878e-05,5.00488235047439e-05,"CSNK2A2/PIK3CA/PIKFYVE/STK10/EIF2AK4/RAF1/ULK1/STK17A/TLK1/NEK4/AKT1/MAPKAPK2/PKMYT1/CDC42BPB/HIPK3/BCR/CILK1/RIOK3/CSNK1G1/CASK/UHMK1/EIF2AK1/MAP4K3/MAST2/SRPK2/ROCK1/SMG1/PIM2/CSNK1E/MARK2/IRAK1/RIPK1/RPS6KA3/OXSR1/MTOR/MASTL/MARK4/VRK2/DYRK1A/SRPK1",40
"GO:0031625","ubiquitin protein ligase binding","46/1317","302/18639",0.152317880794702,2.15569702363891,5.58311852725581,6.35481019075295e-07,6.09205082430878e-05,5.00488235047439e-05,"HDAC6/HSPA1B/PER3/RPL5/SH3KBP1/APC/TRIM28/RPL23/SMAD6/SKI/XBP1/HIF1A/SMAD7/SMAD2/AMBRA1/UBE2A/TMBIM6/NFE2L2/ABI2/MAP3K7/HM13/CBS/HSPA5/RANGAP1/CACUL1/BAG1/YWHAZ/PRKAR2A/RNF31/CUL1/ISG15/RIPK1/PML/TANK/UBE2G1/SMAD5/HSP90AA1/BAG2/RB1/VCP/NEDD8/PRKACB/FBXO7/TRIB1/ACTG1/CASP8",46
"GO:0035402","histone H3T11 kinase activity","40/1317","247/18639",0.161943319838057,2.29192220080603,5.6359078414898,6.91106383932676e-07,6.09205082430878e-05,5.00488235047439e-05,"CSNK2A2/PIK3CA/PIKFYVE/STK10/EIF2AK4/RAF1/PKM/ULK1/STK17A/TLK1/NEK4/AKT1/MAPKAPK2/PKMYT1/CDC42BPB/HIPK3/BCR/CILK1/RIOK3/CSNK1G1/CASK/UHMK1/EIF2AK1/MAP4K3/MAST2/SRPK2/ROCK1/SMG1/PIM2/CSNK1E/MARK2/IRAK1/RIPK1/RPS6KA3/OXSR1/MTOR/MASTL/MARK4/VRK2/SRPK1",40
"GO:0106310","protein serine kinase activity","52/1317","361/18639",0.14404432132964,2.03860448387484,5.49456077825889,7.10491223014117e-07,6.09205082430878e-05,5.00488235047439e-05,"CSNK2A2/PIK3CA/PLK2/PIKFYVE/STK10/EIF2AK4/RAF1/MAP2K1/ULK1/STK17A/TLK1/NEK4/AKT1/PKN2/CDK13/MAPKAPK2/PKMYT1/CDC42BPB/HIPK3/BCR/CILK1/RIOK3/MAP3K7/CSNK1G1/CDK8/CASK/UHMK1/EIF2AK1/MAP4K3/MAST2/SRPK2/ROCK1/SMG1/PIM2/CSNK1E/MARK2/IRAK1/PRKCI/RIPK1/RPS6KA3/OXSR1/CDK11B/MTOR/CDK19/CAMK1D/MASTL/MARK4/BCKDK/PRKACB/VRK2/DYRK1A/SRPK1",52
"GO:0004679","AMP-activated protein kinase activity","40/1317","248/18639",0.161290322580645,2.28268057902858,5.60706010345375,7.68962283864222e-07,6.09205082430878e-05,5.00488235047439e-05,"PRKAB2/CSNK2A2/PIK3CA/PIKFYVE/STK10/EIF2AK4/RAF1/ULK1/STK17A/TLK1/NEK4/AKT1/MAPKAPK2/PKMYT1/CDC42BPB/HIPK3/BCR/CILK1/RIOK3/CSNK1G1/CASK/UHMK1/EIF2AK1/MAP4K3/MAST2/SRPK2/ROCK1/SMG1/PIM2/CSNK1E/MARK2/IRAK1/RIPK1/RPS6KA3/OXSR1/MTOR/MASTL/MARK4/VRK2/SRPK1",40
"GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity","39/1317","243/18639",0.160493827160494,2.27140808234202,5.50072493260162,1.19549065406998e-06,6.09205082430878e-05,5.00488235047439e-05,"CSNK2A2/PIK3CA/PIKFYVE/STK10/EIF2AK4/RAF1/ULK1/STK17A/TLK1/NEK4/AKT1/MAPKAPK2/PKMYT1/CDC42BPB/HIPK3/BCR/CILK1/RIOK3/CSNK1G1/CASK/UHMK1/EIF2AK1/MAP4K3/MAST2/SRPK2/ROCK1/SMG1/PIM2/CSNK1E/MARK2/IRAK1/RIPK1/RPS6KA3/OXSR1/MTOR/MASTL/MARK4/VRK2/SRPK1",39
