"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003712","transcription coregulator activity","146/2846","495/18639",0.294949494949495,1.9316808279563,8.91842210476622,3.05383666584442e-16,3.8295111789689e-13,2.99597449743895e-13,"NRIP1/SS18/TRIM28/CNOT7/SETD5/PTPN14/NSD1/KMT2C/PA2G4/LMO1/PKM/PAWR/JMJD1C/RBFOX2/KDM3B/PHB1/DHX9/RERE/ABL1/CBFB/HNRNPU/TP53BP1/NCOR2/TLE4/SND1/SMAD7/ARID1A/COPS2/AJUBA/CAMTA1/CCND1/SMARCD2/LCOR/MED14/SAP30/PHF8/MTA2/RCOR1/CREBBP/TSC22D1/HMGA1/RBBP8/NAB2/SMARCA4/NCOA5/MED13/KMT5A/QKI/LMO4/YAP1/PSIP1/MED13L/HDGF/MTDH/TAF6/ZMYND11/PHF12/PARP14/IRF2BP2/DOT1L/RCOR3/KDM1A/KDM3A/GPS2/APEX1/NCOA4/ARID3A/UBE3A/SMARCC1/SAP18/CCAR1/JMY/NPM1/TRERF1/ZNF410/CTBP1/EWSR1/NUP98/TRIM37/NME2/PARP9/SPEN/KDM5B/BCORL1/RRP1B/MTA1/NUCKS1/DDX17/SRSF2/TRIM52/CRTC1/CITED1/TAF9/TAF12/URI1/TLE3/NUPR1/PML/PIR/MIDEAS/RAD54L2/N4BP2L2/HMGA2/MED26/ATF7IP/FLYWCH1/SMARCD3/PHF2/MMS19/SSBP3/BRD4/SF1/TRIM5/RB1/MED17/ASAH1/AKIRIN1/BCL9/TRRAP/ATN1/MRTFA/HMGB2/ACSS2/CNOT2/BTG1/BCL10/FBXL19/TRIP11/RYBP/CHD4/SIAH2/MAML1/TOB2/MED27/RBPMS/ZMIZ1/NFKB1/DYRK1A/EP300/WBP2/USP22/ZFPM1/KDM5A/THRAP3/RALY/RBCK1",146
"GO:0051020","GTPase binding","104/2846","315/18639",0.33015873015873,2.16227286417026,8.83157207494218,1.95999689163965e-15,1.22891805105806e-12,9.61430054214816e-13,"DVL3/SRGAP2/RRAGD/ROCK2/MYO9B/DAPK3/RANBP1/GNB1/NCKAP1/WASF1/EVI5/GIT1/RABGAP1L/SGSM3/CYRIB/RILPL2/HACE1/DMXL2/NUTF2/ULK1/DOCK1/TMEM127/RANBP9/IPO7/PKN2/RCC1/YBX3/RAB11FIP2/RANBP2/AMBRA1/STOML2/TNPO3/IPO5/GAPVD1/NXT1/CDC42BPB/BRK1/CDC42EP4/BICD2/ERC1/DIAPH3/PAK1/ABI2/RALBP1/GOLGA5/ODF2/EXOC2/PREB/KPNB1/BIRC5/GNB2/MAPKAP1/USP33/GDI1/RANGAP1/CDC42EP1/VPS9D1/ROCK1/MARCHF5/RAPGEF6/GCC1/XPOT/DNM1L/CDC42SE1/EXOC5/WDR44/OCRL/BIN1/RNF41/RAB3IP/EPRS1/BICD1/PKN1/RRAGC/TNPO1/AFDN/CLTA/HSP90AA1/PICALM/MYO1C/FMNL2/STRN3/FGD1/XPO4/AP3M1/AP1G1/RRAGB/CYFIP1/RIMS4/TRIP11/GDI2/RAB29/RASA1/DIAPH1/DENND5A/RABGEF1/PAK3/XPO5/WHAMM/IPO8/NGFR/SPTBN1/TNFAIP1/SOD1",104
"GO:0031625","ubiquitin protein ligase binding","100/2846","302/18639",0.33112582781457,2.16860657225431,8.69145402694902,5.51023475548488e-15,2.30327812779268e-12,1.80194343582874e-12,"JUN/HDAC6/TCP1/HSPA1B/PER3/RPL5/FAF1/APC/NLK/TRIM28/RPL23/SMAD6/PA2G4/MFN2/SKI/CUL7/DERL1/TP53/FBXW7/XBP1/HIF1A/DNAJA1/CACYBP/CUL3/SMAD7/SMAD2/ARRB2/AMBRA1/UBE2A/CUL5/TNK2/TMBIM6/UBE2N/PRKAR1A/CUL4A/UBXN7/PATZ1/RALB/NFE2L2/ABI2/NPLOC4/SLF2/MAP3K7/HM13/TOLLIP/CBS/CCDC50/UBE2J2/PCBP2/LAPTM4B/HSPA5/RANGAP1/MAP1LC3B/CACUL1/BAG1/YWHAZ/UBB/PRKAR2A/ELOB/RNF31/CUL1/TRIM37/GABARAPL1/VCL/RELA/DNM1L/PRKACA/XRCC5/RIPK1/PML/PRKAR2B/FAU/TANK/UBE2G1/UBXN1/SMAD5/UBE2K/HSP90AA1/SPOPL/BAG2/HSPD1/RB1/VCP/HLTF/UBC/USP25/BCL10/ERLIN1/CUL4B/NEDD8/CDKN1A/RTN4/HSPBP1/PRKACB/POLR2A/FBXO7/NGFR/TRIB1/ACTG1/RNF8",100
"GO:0044389","ubiquitin-like protein ligase binding","104/2846","322/18639",0.322981366459627,2.11526693234048,8.5696754088913,1.01582329962136e-14,3.18460604431298e-12,2.49144030328187e-12,"JUN/HDAC6/TCP1/HSPA1B/PER3/RPL5/FAF1/APC/NLK/TRIM28/RPL23/SMAD6/PA2G4/MFN2/SKI/CUL7/DERL1/TP53/FBXW7/XBP1/HIF1A/DNAJA1/CACYBP/CUL3/STAM/SMAD7/SMAD2/ARRB2/AMBRA1/UBE2A/CUL5/TNK2/TMBIM6/UBE2N/PRKAR1A/CUL4A/UBXN7/PATZ1/RALB/NFE2L2/ABI2/NPLOC4/CEBPB/SLF2/MAP3K7/HM13/TOLLIP/CBS/CCDC50/UBE2J2/PCBP2/LAPTM4B/HSPA5/RANGAP1/MAP1LC3B/CACUL1/BAG1/YWHAZ/UBB/PRKAR2A/ELOB/RNF31/CUL1/TRIM37/PARP9/GABARAPL1/VCL/RELA/DNM1L/PRKACA/DTX3L/XRCC5/RIPK1/PML/PRKAR2B/FAU/TANK/UBE2G1/UBXN1/SMAD5/UBE2K/HSP90AA1/SPOPL/BAG2/HSPD1/RB1/VCP/HLTF/UBC/USP25/BCL10/ERLIN1/CUL4B/NEDD8/CDKN1A/RTN4/HSPBP1/PRKACB/POLR2A/FBXO7/NGFR/TRIB1/ACTG1/RNF8",104
"GO:0045296","cadherin binding","102/2846","334/18639",0.305389221556886,2.00005260035095,7.82881434385228,9.4527731636006e-13,2.37075550943103e-10,1.85473359757384e-10,"RANBP1/CRKL/GOLGA2/UBAP2/EIF2S3/VAPA/SEPTIN2/RAB10/KIF5B/ESYT2/EEF2/LRRFIP1/PKM/NUDC/BZW1/CD46/SH3GLB2/CAST/ZC3H15/EHD4/PKP4/BAIAP2/SND1/NEO1/PKN2/TWF1/PACSIN2/CHMP5/GAPVD1/SEPTIN7/CNN2/CNN3/LIMA1/PTPN1/CLINT1/PDLIM5/ERC1/DIAPH3/PTPN11/FSCN1/USO1/ANXA2/ITGA6/RPS2/STX5/H3C10/H3C11/TLN1/MPRIP/VASP/EIF4H/MYH9/LRRC59/HSPA5/RANGAP1/CDC42EP1/YWHAZ/TJP1/ZC3HAV1/CTTN/H3C7/ATIC/BAG3/SPTAN1/VCL/MARK2/ALDOA/H1-10/DDX6/LARP1/DDX3X/ATXN2L/LASP1/TMPO/PSEN1/VAPB/CAPZB/H3C2/EIF5/CCT8/SH3GLB1/AFDN/CALD1/LDHA/PCBP1/BAIAP2L1/PICALM/FMNL2/ARGLU1/EEF1D/ABCF3/RPL6/SWAP70/RTN4/WASF2/H3C4/ABI1/CHMP2B/CTNND1/MRE11/SPTBN1/SEPTIN9",102
"GO:0031267","small GTPase binding","88/2846","283/18639",0.31095406360424,2.03649781852405,7.45860090486856,1.17251299460915e-11,2.45055215873313e-09,1.91716159820304e-09,"DVL3/SRGAP2/ROCK2/MYO9B/DAPK3/RANBP1/NCKAP1/WASF1/EVI5/GIT1/RABGAP1L/SGSM3/CYRIB/RILPL2/HACE1/DMXL2/NUTF2/ULK1/DOCK1/TMEM127/RANBP9/IPO7/PKN2/RCC1/YBX3/RAB11FIP2/RANBP2/TNPO3/IPO5/GAPVD1/NXT1/CDC42BPB/BRK1/CDC42EP4/BICD2/ERC1/DIAPH3/PAK1/ABI2/RALBP1/GOLGA5/ODF2/EXOC2/KPNB1/BIRC5/MAPKAP1/USP33/GDI1/RANGAP1/CDC42EP1/VPS9D1/ROCK1/RAPGEF6/GCC1/XPOT/DNM1L/CDC42SE1/EXOC5/WDR44/OCRL/RNF41/BICD1/PKN1/TNPO1/AFDN/PICALM/MYO1C/FMNL2/STRN3/FGD1/XPO4/AP3M1/AP1G1/CYFIP1/RIMS4/TRIP11/GDI2/RAB29/DIAPH1/DENND5A/RABGEF1/PAK3/XPO5/WHAMM/IPO8/NGFR/TNFAIP1/SOD1",88
"GO:0140297","DNA-binding transcription factor binding","128/2846","488/18639",0.262295081967213,1.71782081264472,6.82119496318439,1.68284010511005e-10,3.00636157970525e-08,2.35199277451968e-08,"PURA/JUN/ANKRD42/PBX1/YWHAH/NRIP1/DAPK3/FAF1/CRKL/TCF3/PCNA/RAD23B/CREM/NLK/CRY1/GTF2A1/PTMA/CNOT7/MAPK14/UHRF2/NSD1/LMO1/SKI/JMJD1C/TP53/RAD21/XBP1/TBX2/HIF1A/RBFOX2/DHX9/DNAJA1/LATS1/TP53BP1/NCOR2/TLE4/TRIP12/ACTB/SRF/SMAD2/ARID1A/TMF1/BHLHE40/LCOR/BUD31/MED14/MTA2/CREBBP/HMGA1/RBBP8/DDX5/STAT3/SMARCA4/MED13/UBXN7/DCAF1/YY1/TACC1/LMO4/YAP1/PSIP1/NFE2L2/MTDH/TAF6/MAP3K7/DOT1L/RPS3/KDM1A/KDM3A/CEBPG/TCF12/HDAC2/FOXO4/YWHAZ/NPM1/TRERF1/CTBP1/HSF1/PARP9/GABARAPL1/SPEN/MAX/USF1/RELA/HSPB1/MTA1/LRIF1/DTX3L/NUCKS1/TAF10/CENPF/CRTC1/TAF9/TAF12/CEBPA/MKKS/PKN1/HMGA2/VHL/SMARCD3/MMS19/CGGBP1/HDAC8/EEF1D/RB1/BCAS3/MED17/ASAH1/KDM4C/HMGB2/PSMA6/STRN/PPARD/BCL10/TCF7L2/MDFIC/SP3/MEF2D/CHD4/CPNE1/TOB2/CNOT1/EP300/WBP2/ZFPM1/TRIB1/ZNF516/THRAP3",128
"GO:0019787","ubiquitin-like protein transferase activity","126/2846","479/18639",0.263048016701461,1.7227519266685,6.80274006223494,1.91793402214051e-10,3.00636157970525e-08,2.35199277451968e-08,"UBE2G2/UBR4/ATG12/ARIH2/UBE2R2/RNF139/KLHL42/NEDD4L/RNF167/TRIM28/RNF220/UHRF2/ANAPC11/HACE1/RNF4/RMND5A/UBE2D2/ANKIB1/LNX2/RNF215/CUL3/RNF10/PCGF5/TRIM11/UBE4B/TRIP12/UBE3C/UHRF1/ATG3/RANBP2/MIB1/MARCHF6/UBE2A/ATG5/CUL5/RNF38/UBE2N/UBR5/RNF216/CUL4A/TRIM33/UBE2L6/MALT1/RNF185/TRIM2/PRPF19/ZMIZ2/SYVN1/CDC23/UBE2D3/FBXO11/RNF138/AMFR/UBE2E1/UBE2J2/CBLL1/WSB1/LTN1/UBE3A/BRAP/CDC34/RNF19B/CCAR1/RNF31/RNF115/TRIM44/UBE2M/MKRN1/PELI1/TRIM37/UBR2/MARCHF5/RNF103/HERC3/DTX3L/TRIM52/UBE2S/PJA1/RNF114/TRIM4/DDB2/PML/RNF41/KCTD10/MSL2/ZFP91/UBE2G1/PJA2/DTX2/VHL/TRIM41/UBE2K/RC3H2/SMURF1/TRIM5/MED17/SIAH1/HLTF/KCMF1/CNOT4/BIRC6/RNF11/PCGF3/RNF44/SIAH2/UBE2H/FBXW2/NOSIP/MED27/FBXL14/TTC3/MYLIP/TRAF7/ZNRF1/VPS18/RABGEF1/TRIM9/ZMIZ1/MARCHF7/FBXO7/TNFAIP1/MEX3C/UBE2Z/RNF8/COP1/RBCK1",126
"GO:0004842","ubiquitin-protein transferase activity","119/2846","449/18639",0.265033407572383,1.73575463237584,6.69922570577838,3.73797842670613e-10,5.20824994121054e-08,4.07461508033931e-08,"UBE2G2/UBR4/ARIH2/UBE2R2/RNF139/KLHL42/NEDD4L/RNF167/TRIM28/RNF220/UHRF2/ANAPC11/HACE1/RNF4/RMND5A/UBE2D2/ANKIB1/LNX2/RNF215/CUL3/RNF10/PCGF5/TRIM11/UBE4B/TRIP12/UBE3C/UHRF1/MIB1/MARCHF6/UBE2A/CUL5/RNF38/UBE2N/UBR5/RNF216/CUL4A/TRIM33/UBE2L6/MALT1/RNF185/TRIM2/PRPF19/SYVN1/CDC23/UBE2D3/FBXO11/RNF138/AMFR/UBE2E1/UBE2J2/CBLL1/WSB1/LTN1/UBE3A/BRAP/CDC34/RNF19B/CCAR1/RNF31/RNF115/TRIM44/UBE2M/MKRN1/PELI1/TRIM37/UBR2/MARCHF5/RNF103/HERC3/DTX3L/TRIM52/UBE2S/PJA1/RNF114/TRIM4/DDB2/RNF41/KCTD10/MSL2/ZFP91/UBE2G1/PJA2/DTX2/VHL/TRIM41/UBE2K/RC3H2/SMURF1/TRIM5/MED17/SIAH1/HLTF/KCMF1/CNOT4/BIRC6/RNF11/PCGF3/RNF44/SIAH2/UBE2H/FBXW2/NOSIP/MED27/FBXL14/TTC3/MYLIP/TRAF7/ZNRF1/VPS18/RABGEF1/TRIM9/MARCHF7/FBXO7/TNFAIP1/MEX3C/UBE2Z/RNF8/COP1/RBCK1",119
"GO:0042393","histone binding","76/2846","247/18639",0.307692307692308,2.01513595329477,6.8177801237018,5.03325460184835e-10,6.31170127071783e-08,4.93788767255017e-08,"ATRX/ATAD2B/SSRP1/SPIN4/PTMA/UHRF2/SETD5/MORC3/PYGO1/CKS1B/PHIP/RBBP5/ING2/TP53BP1/IPO7/UHRF1/RCC1/ANP32E/PYGO2/MLLT1/PHF8/FMR1/SMARCA4/ZZZ3/MPHOSPH8/PHF19/SART3/SCMH1/NCAPD2/ZMYND11/VPS72/SUPT6H/TSPYL2/BPTF/H2AX/MLLT10/WDR5/HDAC2/ZNF689/SMARCC1/NPM1/TNKS/CHD7/PSME4/PARP9/KDM5B/DEK/MCM2/PHC1/DTX3L/ING1/WDTC1/PHF14/MTF2/PKN1/MBTD1/PIH1D1/PHF2/BRD2/BRD4/RBBP4/CHD3/BCAS3/SET/MSH6/PHF13/ANP32B/CHD4/RSF1/MORC4/SMARCA5/PHF6/KDM5A/RNF8/BRD3/NAP1L4",76
