"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006446","regulation of translational initiation","33/1769","83/18805",0.397590361445783,4.2265046619491,9.49293363418888,1.38090787209183e-13,7.79384403008627e-10,6.62835778604077e-10,"AGO2/KLHL25/NCBP2/PAIP1/BZW1/KHDRBS1/YTHDF3/TPR/YTHDF2/FMR1/EIF3H/METTL3/HABP4/UHMK1/EIF4G1/EIF4H/EIF2AK1/NPM1/YTHDF1/HSPB1/LARP1/DDX3X/EIF5B/PML/EIF5/PPP1R15A/EIF4A2/EIF2S1/EIF3K/EIF1B/EIF4G3/RPS6KB1/EIF4EBP2",33
"GO:0072594","establishment of protein localization to organelle","95/1769","467/18805",0.203426124197002,2.1624806475549,8.19734870423269,3.02737473307201e-13,8.54325149672922e-10,7.26569935937283e-10,"TRAM2/TCP1/ARIH2/TOMM70/FIS1/RAB23/RAB10/MAPK14/RPL23/TRMT10B/FAM53B/CD68/MFN2/IMMP1L/TP53/AP3D1/NUTF2/FBXW7/XBP1/NUP62/NFATC3/USP7/DNAJA1/VPS13A/TOMM5/TPR/PEX6/VPS54/SRP9/STAM/AKT1/IPO7/VPS53/BAP1/CCT7/TNPO3/TRAM1/POM121/MVB12A/STAT3/UBR5/ELAVL1/ANKRD10/SNUPN/MFF/GLI3/TIMM50/MTX2/UBE2J2/USP9X/NCOA4/NUP58/HSPA5/SNF8/BAX/UBL5/AP3B1/RNF31/NPM1/HIKESHI/NDUFA13/NUP98/MACROH2A2/ROMO1/PIK3R1/TIMM21/ING1/ZIC1/PSEN1/SRP14/PML/TNPO1/HSP90AA1/LAMP2/NUP188/RBM22/TIMM23/MON1B/HSPD1/MAVS/GDAP1/BCAP31/CHP1/AP3M1/ATP5IF1/EIF4ENIF1/CDKN1A/SPCS3/BNIP3L/E2F3/STAM2/IPO8/WBP2/KPNA4/TERF1",95
"GO:0006413","translational initiation","39/1769","124/18805",0.314516129032258,3.34340068199639,8.4365047690434,5.53738976782477e-12,1.04176759498677e-08,8.85982362851963e-09,"AGO2/KLHL25/EIF2S3/NCBP2/PAIP1/BZW1/RPS17/KHDRBS1/YTHDF3/TPR/YTHDF2/EIF3CL/FMR1/EIF3H/METTL3/RPS3A/HABP4/UHMK1/EIF4G1/EIF4H/EIF2AK1/NPM1/YTHDF1/HSPB1/LARP1/DDX3X/EIF5B/PML/EIF5/EIF3C/PPP1R15A/EIF4A2/EIF2S1/EIF3K/EIF1B/DENR/EIF4G3/RPS6KB1/EIF4EBP2",39
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","91/1769","467/18805",0.194860813704497,2.07142883081575,7.55528770000467,1.1896097855797e-11,1.48776261978172e-08,1.26528358875837e-08,"HSPA1B/ARIH2/FAF1/ANAPC16/RNF139/MAPK9/FEM1B/APPBP2/PSMB2/PSMD7/ANAPC11/WAC/FBXW7/KLHDC3/PAQR3/RNF4/RMND5A/USP7/CUL3/RNF10/AKT1/UBE4B/TRIP12/SMAD7/SPSB1/AMBRA1/KLHDC10/ANAPC1/MARCHF6/UBE2A/CUL5/ASCC2/UBE2N/STYX/EIF3H/UBR5/RNF216/CUL4A/UBXN7/PSMC3/PPP2CB/NSFL1C/TRIM2/PSMA1/PSMA5/PSMF1/CDC23/ASCC3/USP9X/KLHL24/PCBP2/CDK2/LTN1/PLAA/CDC34/PELI1/UBR2/ANAPC5/DCAF11/SOCS2/GCLC/CDC16/COMMD1/TAF9/PSEN1/UCHL5/FEM1C/PML/CCAR2/PSMB1/UBE2G1/UBXN1/DDA1/PJA2/SOCS4/UBE2K/SPOPL/GAN/WDR26/UBQLN4/ZER1/KCMF1/TLK2/PSMA6/RYBP/UBE2H/OGT/SEM1/USP38/SUMO2/RBCK1",91
"GO:0009895","negative regulation of catabolic process","77/1769","368/18805",0.209239130434783,2.22427464546415,7.64298238969173,1.31800373828997e-11,1.48776261978172e-08,1.26528358875837e-08,"RPL5/PIK3CA/PRKCG/GOLGA2/MEIOC/SMAD4/SYNCRIP/MAPK14/RPL23/PAIP1/TMEM39A/WAC/TP53/SNX3/IGF2BP2/USP7/DHX9/IREB2/LRIG2/AKT1/SNRNP70/RPS7/MAPKAPK2/TENT4B/STYX/EIF3H/STAT3/PPP1R3B/DFFA/RUBCN/ELAVL1/TIMP2/BSCL2/CIRBP/TAB2/FXR1/TENT2/FYN/PSMF1/USP9X/AZIN1/TIMP3/DEDD/EIF4G1/LARP1B/ADGRB1/LAPTM4B/RBM38/SF3B3/ROCK1/VPS35/LARP1/PSME3IP1/PPP2CA/TAF9/HGF/PSEN1/RBM10/UCHL5/PML/CCAR2/RNF41/UBXN1/LARP4B/CYP51A1/UBQLN4/TSC1/USP25/TLK2/RRAGB/EIF4ENIF1/RYBP/OGT/ZDHHC7/MARCHF7/USP38/THRAP3",77
"GO:0044772","mitotic cell cycle phase transition","89/1769","457/18805",0.194748358862144,2.07023340214959,7.46358455942742,2.0749870697605e-11,1.95187117028805e-08,1.6599896558084e-08,"RRM2/PBX1/PLK2/TCF3/SDE2/PSME3/PTEN/ANAPC11/CLASP2/WAC/BCL7C/TP53/RAD21/CLASP1/KHDRBS1/DONSON/TPR/CUL3/CALM2/SPAST/CCNH/AKT1/ACTB/RCC1/ZFP36L1/AMBRA1/CCND1/ANAPC1/PHF8/ACTL6A/FOXM1/UBE2A/CUL5/PKMYT1/CCND3/RBBP8/CALM3/ATAD5/SMARCA4/CUL4A/CCNA2/DCUN1D3/ECD/SMC5/CDC23/BIRC5/CCND2/EIF4G1/CDK2/ARPP19/ADAMTS1/DNM2/LCMT1/MEPCE/CDC34/CACUL1/FOXO4/ANKRD17/CDK4/CDCA8/PIM2/ANAPC5/ARID2/TMEM14B/CDC16/DDX3X/TAF10/CENPF/PPP2CA/PPM1D/CALM1/APP/CDKN1B/ZFYVE19/BRD4/CTC1/TAF2/KMT2E/TAOK1/RNASEH2B/CDKN1A/ZFP36L2/CDC14A/E2F3/MRE11/BUB3/RPS6KB1/TMOD3/RAD50",89
"GO:0042176","regulation of protein catabolic process","77/1769","375/18805",0.205333333333333,2.18275485208216,7.45509061578527,3.45619014206562e-11,2.78667673740262e-08,2.36995895455928e-08,"HSPA1B/FAF1/PRKCG/PLK2/MAPK9/SMAD4/PSME3/NRDC/SGSM3/WAC/SNX3/FBXW7/XBP1/PAQR3/USP7/LRIG2/AKT1/SMAD7/TMF1/ODC1/SNRNP70/FMR1/STYX/EIF3H/CUL4A/PSMC3/TIMP2/FYN/PSMF1/STX5/USP9X/MSN/AZIN1/TIMP3/DEDD/CDK2/ADGRB1/LAPTM4B/SH3D19/SF3B3/SNF8/UBB/ROCK1/NDUFA13/VPS35/GCLC/COMMD1/PSME3IP1/TAF9/PSEN1/UCHL5/CCAR2/RNF41/TMEM9/APP/UBXN1/DDA1/SOCS4/CDKN1B/UBE2K/HSP90AA1/BAG2/CYP51A1/UBQLN4/ZER1/GPX1/BCAP31/USP25/TLK2/RHBDD3/RYBP/OGT/MYLIP/ZDHHC2/MARCHF7/USP38/SUMO2",77
"GO:0040029","epigenetic regulation of gene expression","67/1769","308/18805",0.217532467532468,2.31243530353197,7.48355295324216,4.79037733012902e-11,3.37961120640603e-08,2.87422639807741e-08,"ATRX/PIK3CA/ZMPSTE24/APOBEC3F/UHRF2/LBR/RBM14/TP53/USP7/TPR/RBBP5/TEX15/H3-3A/TRIP12/UHRF1/TUT7/BAP1/PHF8/ZNF304/EPC1/H2AC18/H3-3B/SMARCA4/LMNB1/UBR5/MPHOSPH8/PHF19/EED/SCMH1/METTL3/KDM1A/H3C10/H3C11/APEX1/H2AC6/CDK2/WDR5/HDAC2/UBR2/MACROH2A2/RBM15/SPEN/LRIF1/PPM1D/MTF2/CTR9/H3C2/APOBEC3C/APP/MSL2/H2AC13/HMGA2/BAHD1/ATF7IP/HDAC8/TASOR/KMT2E/BAZ1A/GPX1/PCGF3/H2AC8/H3C4/DYRK1A/HELLS/WBP2/SMARCA5/RNF8",67
"GO:0006417","regulation of translation","87/1769","451/18805",0.19290465631929,2.05063429173785,7.27745788672893,5.86811182710085e-11,3.67995812801746e-08,3.12965964112045e-08,"AGO2/RPL5/KLHL25/RNF139/NCBP2/SYNCRIP/PA2G4/PAIP1/PKM/BZW1/SERP1/ATXN2/ETF1/IGF2BP2/KHDRBS1/YTHDF3/DHX9/CNOT11/TPR/IREB2/SRP9/LARP6/AKT1/ZFP36L1/AJUBA/TACO1/YTHDF2/METTL5/FMR1/NCK2/EIF3H/UQCC2/AGO3/ELAVL1/METTL3/CIRBP/FXR1/HABP4/UHMK1/EIF4G1/EIF4H/LARP1B/EIF2AK1/PELO/NPM1/ELP1/RPL26/TIA1/YTHDF1/SSB/AGO1/HSPB1/DDX6/LARP1/DDX3X/RCC1L/EIF5B/PML/EIF5/EIF3C/APP/PPP1R15A/EPRS1/EIF4A2/EIF2S1/EIF3K/LARP4B/CAPRIN1/MTPN/LSM14B/ALKBH3/ACO1/EIF1B/CNOT2/LARP4/EIF4ENIF1/EEF2K/OGT/EIF4A3/RPL10/CNOT1/RPS4X/EIF4G3/RPS6KB1/EIF4EBP2/RARA/GAPDH",87
"GO:0006913","nucleocytoplasmic transport","71/1769","340/18805",0.208823529411765,2.21985668207362,7.3144021435473,9.11932710754266e-11,4.67904383590643e-08,3.9793427378368e-08,"RANBP1/NCBP2/RAB23/MAPK14/RPL23/ALYREF/PTPN14/FAM53B/TP53/NUTF2/XBP1/KHDRBS1/NUP62/NFATC3/DHX9/TPR/CTDSPL2/AKT1/IPO7/TNPO3/SRSF3/POM121/NXT1/FMR1/PPP1R12A/SMG7/STAT3/UBR5/SMG6/LZTS2/ELAVL1/SNUPN/GLI3/SUPT6H/STRADA/UHMK1/NUP58/RANGAP1/PPP1CC/NPM1/HIKESHI/SMG1/THOC5/NUP98/SSB/CHTOP/XPOT/PIK3R1/ING1/CITED1/ZIC1/PSEN1/RBM10/PML/TNPO1/CDKN1B/HSP90AA1/NUP188/RBM22/MAVS/CHP1/TMEM53/EIF4ENIF1/RBM33/CDKN1A/EIF4A3/SEM1/E2F3/XPO5/IPO8/KPNA4",71
