"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","83/1831","408/19880",0.20343137254902,2.2087469613733,7.85733125763649,3.38149352409202e-12,2.35690098629214e-09,1.70498462951587e-09,"ATRX/PLK2/ANAPC16/PCNA/SEPTIN2/ALYREF/UHRF2/CLASP2/RAD21/H4C5/CLASP1/SPAG5/TPR/TP53BP1/H3-3A/ACTB/DCTN5/CHMP5/ACTL6A/SEPTIN7/FMR1/PPP1R12A/H3-3B/CHMP1A/SMARCA4/DCTN1/SMG6/SMC4/PPP2CB/RBBP7/SMC5/NCAPD2/SLF2/MCM4/KDM1A/BIRC5/GATAD2B/APEX1/CDK2/TNKS2/HDAC2/RANGAP1/SKA2/H4C12/BOD1/STAG2/PPP1CC/ZNF330/THOC5/CDCA8/NUP98/MACROH2A2/SSB/ARID2/SEPTIN6/LRIF1/WRNIP1/MCM2/XRCC5/CENPF/PPP2CA/PSEN1/PML/DCLRE1B/RBBP4/CTC1/KDM4C/BAZ1A/CHD4/PTGES3/DCTN2/H2AC8/H4C15/CHMP2B/HELLS/MRE11/BUB3/SMARCA5/H4C2/PHF6/RAD50/TERF1/RNF8",83
"GO:0016607","nuclear speck","81/1831","415/19880",0.195180722891566,2.11916590446987,7.33848112799777,5.48337493760578e-11,1.91095616575561e-08,1.38238768163851e-08,"DDX42/HSPA1B/NRIP1/U2AF2/PPP4R3A/SDE2/MAPK9/PSPC1/MAPK14/ALYREF/WAC/RBM14/DOCK1/STK17A/REXO4/TRIP12/ACIN1/SRSF6/MTREX/SNRNP70/PACSIN2/SRSF3/CDK13/NXT1/ASCC2/LUC7L2/SMC4/SNURF/SMC5/METTL3/GADD45A/FTO/GLI3/TIMM50/SRSF5/API5/MORF4L1/ASCC3/GATAD2B/HABP4/UHMK1/APEX1/CBLL1/TCF12/CDC34/FOXO4/PPP1CC/HIKESHI/HP1BP3/RBM15/HBP1/CHTOP/SRSF2/RBM10/CCNL2/CTR9/GATAD2A/PRPF6/SRRM2/AFDN/SRSF7/ITPKC/BRD2/ZC3H18/ARGLU1/PRCC/KMT2E/ARL6IP4/ZC3H14/EIF4ENIF1/SRSF10/EIF4A3/BNIP3L/ZNF217/DYRK1A/SRSF8/CCNL1/THRAP3/PPP4R3B/EAF1/PRPF40A",81
"GO:0036464","cytoplasmic ribonucleoprotein granule","57/1831","261/19880",0.218390804597701,2.37116832080956,7.10211102918008,5.2312621899249e-10,1.21539658212589e-07,8.79219154025975e-08,"AGO2/GHR/UBAP2/APOBEC3F/RPL28/DCP2/ATXN2/IGF2BP2/YTHDF3/DHX9/ACTB/ZFP36L1/AJUBA/YTHDF2/G3BP1/EDC3/FMR1/PSMC3/AGO3/ELAVL1/PRRC2C/CIRBP/STAU2/FXR1/HABP4/UHMK1/EIF4G1/LARP1B/ROCK1/TIA1/SMG1/YTHDF1/PNRC2/SSB/AGO1/MBNL1/DDX6/LARP1/DDX3X/G3BP2/APOBEC3C/NUFIP2/EIF2S1/LARP4B/CAPRIN1/LSM14B/RC3H2/TRIM5/LSM4/PSMA6/CNOT2/LARP4/RPL6/EIF4ENIF1/CNOT1/RPS4X/EIF4EBP2",57
"GO:0035770","ribonucleoprotein granule","59/1831","278/19880",0.212230215827338,2.30428000581512,6.97521998231044,8.44505635127347e-10,1.4715510692094e-07,1.06452157691052e-07,"AGO2/GHR/UBAP2/APOBEC3F/RPL28/DCP2/ATXN2/IGF2BP2/YTHDF3/DHX9/ACTB/ZFP36L1/AJUBA/YTHDF2/G3BP1/EDC3/FMR1/GRSF1/PSMC3/AGO3/ELAVL1/PRRC2C/CIRBP/STAU2/FXR1/HABP4/UHMK1/FASTKD5/EIF4G1/LARP1B/ROCK1/TIA1/SMG1/YTHDF1/PNRC2/SSB/AGO1/MBNL1/DDX6/LARP1/DDX3X/G3BP2/APOBEC3C/NUFIP2/EIF2S1/LARP4B/CAPRIN1/LSM14B/RC3H2/TRIM5/LSM4/PSMA6/CNOT2/LARP4/RPL6/EIF4ENIF1/CNOT1/RPS4X/EIF4EBP2",59
"GO:0005840","ribosome","53/1831","244/19880",0.217213114754098,2.35838160639622,6.79993967979589,2.56769421044206e-09,3.57936572935622e-07,2.58931689852999e-07,"MRPL2/RPL5/RPL17/RPL28/RPL23/RPL37/RPS17/SERP1/ETF1/RNF10/RPS7/MRPS6/ASCC2/MRPL37/MRPS7/RPS2/RPS3A/FXR1/RPS19/ASCC3/APEX1/EIF4G1/LTN1/PELO/MRPS21/RPS10/RPL9/RPL26/MRPS17/RPS16/RPL31/MRPS16/DDX3X/RPL32/DNAJC21/RPL7L1/NUFIP2/FAU/MRPS5/MRPS25/MRPL53/RPL39L/MRPL38/SF1/PSMA6/LARP4/RPS15A/RPL6/MRPS28/RPL10/RPS4X/MRPL12/RPS6KL1",53
"GO:0010494","cytoplasmic stress granule","29/1831","96/19880",0.302083333333333,3.27985618059348,7.13182836367087,4.99276116768944e-09,5.0036913911474e-07,3.61967556650246e-07,"ATXN2/IGF2BP2/YTHDF3/YTHDF2/G3BP1/FMR1/ELAVL1/PRRC2C/CIRBP/STAU2/FXR1/HABP4/EIF4G1/LARP1B/ROCK1/TIA1/YTHDF1/SSB/MBNL1/DDX6/LARP1/DDX3X/G3BP2/NUFIP2/EIF2S1/LARP4B/CAPRIN1/RC3H2/LARP4",29
"GO:0005925","focal adhesion","77/1831","424/19880",0.181603773584906,1.9717547891141,6.44210361411696,5.02522808293139e-09,5.0036913911474e-07,3.61967556650246e-07,"RHOA/HSPA1B/RPL5/SH3KBP1/WASF1/RAB10/RPL23/CLASP2/RPS17/CLASP1/EPB41L5/DST/ACTB/YWHAB/CPNE3/AMBRA1/AJUBA/TWF1/G3BP1/PACSIN2/ZYX/LIMS1/RPS7/HMGA1/CNN3/PPP1R12A/LIMA1/YWHAQ/PAK1/CD59/STX16/MAPK1/ITGA6/SPRY4/RPS2/RPS3A/ACTR3/RPS19/TLN1/CASK/HACD3/MSN/PCBP2/ADGRB1/DNM2/SORBS3/HSPA5/ATP6V0A2/FERMT2/SHC1/RSU1/CDC42EP1/PRKAR2A/RPS10/PPP1CC/RPL9/NPM1/RPS16/HSPB1/RPL31/LASP1/ILK/YWHAG/EHD3/GJA1/ARL2/CHP1/ACTN1/MAPRE2/RPL6/ADAM10/DAG1/GDI2/RPS4X/FLOT2/PTK2/CAP1",77
"GO:0030055","cell-substrate junction","78/1831","434/19880",0.179723502304147,1.95133982840331,6.38234490107791,6.4556554515128e-09,5.62448981213053e-07,4.06876179115083e-07,"RHOA/HSPA1B/RPL5/SH3KBP1/WASF1/RAB10/RPL23/CLASP2/RPS17/CLASP1/CIB2/EPB41L5/DST/ACTB/YWHAB/CPNE3/AMBRA1/AJUBA/TWF1/G3BP1/PACSIN2/ZYX/LIMS1/RPS7/HMGA1/CNN3/PPP1R12A/LIMA1/YWHAQ/PAK1/CD59/STX16/MAPK1/ITGA6/SPRY4/RPS2/RPS3A/ACTR3/RPS19/TLN1/CASK/HACD3/MSN/PCBP2/ADGRB1/DNM2/SORBS3/HSPA5/ATP6V0A2/FERMT2/SHC1/RSU1/CDC42EP1/PRKAR2A/RPS10/PPP1CC/RPL9/NPM1/RPS16/HSPB1/RPL31/LASP1/ILK/YWHAG/EHD3/GJA1/ARL2/CHP1/ACTN1/MAPRE2/RPL6/ADAM10/DAG1/GDI2/RPS4X/FLOT2/PTK2/CAP1",78
"GO:0000775","chromosome, centromeric region","54/1831","265/19880",0.20377358490566,2.21246251661635,6.32866297530191,1.9159277194818e-08,1.48377957830979e-06,1.07336769313659e-06,"ATRX/PLK2/ANAPC16/SEPTIN2/UHRF2/CLASP2/RAD21/H4C5/CLASP1/SPAG5/TPR/TP53BP1/H3-3A/ACTB/DCTN5/CHMP5/ACTL6A/SEPTIN7/FMR1/PPP1R12A/H3-3B/CHMP1A/SMARCA4/DCTN1/SMC4/PPP2CB/SMC5/NCAPD2/BIRC5/RANGAP1/SKA2/H4C12/BOD1/STAG2/PPP1CC/ZNF330/CDCA8/NUP98/ARID2/SEPTIN6/CENPF/PPP2CA/PSEN1/KDM4C/BAZ1A/DCTN2/H2AC8/H4C15/CHMP2B/HELLS/BUB3/SMARCA5/H4C2/PHF6",54
"GO:0005819","spindle","76/1831","435/19880",0.174712643678161,1.89693465664765,6.02443504640321,3.49714473870318e-08,2.43750988287612e-06,1.76329718930403e-06,"PLK2/TUBB6/GOLGA2/ALMS1/KIF2A/SEPTIN2/EVI5/MAPK14/CLASP2/RAD21/CLASP1/TTL/NUP62/SPAG5/TPR/SBDS/CUL3/CALM2/SPAST/PKP4/AKT1/UHRF1/TPX2/CHMP5/SEPTIN7/CALM3/CHMP1A/ZZZ3/DCTN1/CEP95/PPP2CB/DIAPH3/RALBP1/UNC119/KIFAP3/MAPK1/ODF2/BIRC5/ACOT13/WDR5/RANGAP1/SKA2/BOD1/STAG2/NPM1/CDCA8/ANAPC5/SEPTIN6/HSPB1/CDC16/CENPF/PPP2CA/CCAR2/CKAP2/TMEM9/CALM1/APP/MAP7D1/RMDN3/MAPKBP1/NIN/MMS19/POC1B/RACGAP1/EML4/TBCK/MAPRE2/PIN4/CDC14A/EML2/DCUN1D5/CHMP2B/MICAL3/BCCIP/TERF1/CEP350",76
