"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031625","ubiquitin protein ligase binding","112/3045","302/18639",0.370860927152318,2.27010733044074,9.83318678435317,1.41398462635937e-18,1.80707235248728e-15,1.39314695818145e-15,"JUN/HDAC6/TCP1/HSPA1B/PER3/RPL5/SH3KBP1/FAF1/APC/NLK/TRIM28/RPL23/SMAD6/PA2G4/MFN2/SKI/CUL7/DERL1/TP53/FBXW7/XBP1/RRAGA/HIF1A/DNAJA1/CACYBP/CUL3/SMAD7/SMAD2/ARRB2/AMBRA1/UBE2A/CUL5/TNK2/TMBIM6/UBE2N/PRKAR1A/CUL4A/UBXN7/PATZ1/RALB/NFE2L2/ABI2/NPLOC4/SLF2/MAP3K7/RALA/HM13/TOLLIP/CBS/CCDC50/UBE2J2/MFHAS1/PCBP2/LAPTM4B/HSPA5/RANGAP1/MAP1LC3B/CACUL1/BAG1/YWHAZ/UBB/PRKAR2A/ELOB/RNF31/CUL1/ARIH1/TRIM37/ISG15/GABARAPL1/VCL/RELA/DNM1L/UBE2J1/PRKACA/XRCC5/RIPK1/PML/PRKAR2B/FAU/TANK/UBE2G1/UBXN1/SUMO1/CDKN1B/SMAD5/UBE2K/HSP90AA1/SPOPL/BAG2/HSPD1/RB1/VCP/HLTF/TXNIP/UBC/USP25/BCL10/ERLIN1/CUL4B/NEDD8/CDKN1A/RTN4/HSPBP1/PRKACB/POLR2A/FBXO7/NGFR/TRIB1/SUMO2/ACTG1/RNF8/CASP8",112
"GO:0044389","ubiquitin-like protein ligase binding","116/3045","322/18639",0.360248447204969,2.20514640638864,9.63951337948732,4.60403891526964e-18,2.9419808668573e-15,2.26809496036441e-15,"JUN/HDAC6/TCP1/HSPA1B/PER3/RPL5/SH3KBP1/FAF1/APC/NLK/TRIM28/RPL23/SMAD6/PA2G4/MFN2/SKI/CUL7/DERL1/TP53/FBXW7/XBP1/RRAGA/HIF1A/DNAJA1/CACYBP/CUL3/STAM/SMAD7/SMAD2/ARRB2/AMBRA1/UBE2A/CUL5/TNK2/TMBIM6/UBE2N/PRKAR1A/CUL4A/UBXN7/PATZ1/RALB/NFE2L2/ABI2/NPLOC4/CEBPB/SLF2/MAP3K7/RALA/HM13/TOLLIP/CBS/CCDC50/UBE2J2/MFHAS1/PCBP2/LAPTM4B/HSPA5/RANGAP1/MAP1LC3B/CACUL1/BAG1/YWHAZ/UBB/PRKAR2A/ELOB/RNF31/CUL1/ARIH1/TRIM37/PARP9/ISG15/GABARAPL1/VCL/RELA/DNM1L/UBE2J1/PRKACA/DTX3L/XRCC5/RIPK1/PML/PRKAR2B/FAU/TANK/UBE2G1/UBXN1/SUMO1/CDKN1B/SMAD5/UBE2K/HSP90AA1/SPOPL/BAG2/HSPD1/RB1/VCP/HLTF/TXNIP/UBC/USP25/BCL10/ERLIN1/CUL4B/NEDD8/CDKN1A/RTN4/HSPBP1/PRKACB/POLR2A/FBXO7/NGFR/TRIB1/SUMO2/ACTG1/RNF8/CASP8",116
"GO:0003712","transcription coregulator activity","155/3045","495/18639",0.313131313131313,1.91673384087177,9.13469143201078,4.67549970966345e-17,1.99176287631663e-14,1.53553253622631e-14,"NRIP1/KDM2A/SS18/TRIM28/CNOT7/SETD5/PTPN14/NSD1/KMT2C/PA2G4/LMO1/PKM/PAWR/JMJD1C/RBFOX2/KDM3B/PHB1/DHX9/RERE/ABL1/CBFB/AEBP2/HNRNPU/TP53BP1/NCOR2/TLE4/SND1/SMAD7/ARID1A/COPS2/AJUBA/CAMTA1/CCND1/SMARCD2/LCOR/MED14/SAP30/PHF8/ACTL6A/MTA2/RCOR1/CREBBP/TSC22D1/HMGA1/RBBP8/NAB2/SMARCA4/NCOA5/MED13/KMT5A/QKI/LMO4/YAP1/PSIP1/MED13L/HDGF/MTDH/TAF6/ZMYND11/PHF12/PARP14/IRF2BP2/DOT1L/RCOR3/KDM1A/KDM3A/GPS2/APEX1/NCOA4/ARID3A/UBE3A/SMARCC1/SAP18/CCAR1/JMY/NPM1/TRERF1/ZNF410/SIRT1/CTBP1/EWSR1/NUP98/TRIM37/NME2/PARP9/SPEN/KDM5B/BCORL1/RRP1B/MTA1/WWTR1/NUCKS1/DDX17/SRSF2/TRIM52/CRTC1/CITED1/TAF9/TAF12/URI1/TLE3/NUPR1/PML/AKIRIN2/PIR/MIDEAS/RAD54L2/N4BP2L2/HMGA2/MED26/ATF7IP/FLYWCH1/SMARCD3/PHF2/MMS19/SSBP3/BRD4/SF1/TRIM5/RB1/MED17/ASXL1/ASAH1/AKIRIN1/KMT2E/BCL9/TRRAP/ATN1/MRTFA/HMGB2/ACSS2/CNOT2/BTG1/BCL10/FBXL19/TRIP11/RYBP/HMGB1/CHD4/SIAH2/MAML1/TOB2/MED27/RBPMS/ZMIZ1/NFKB1/DYRK1A/EP300/WBP2/USP22/ZFPM1/KDM5A/THRAP3/RALY/RBCK1",155
"GO:0045296","cadherin binding","113/3045","334/18639",0.338323353293413,2.07093891035663,8.72705277112776,2.30255388852185e-15,7.35665967382731e-13,5.67155378856961e-13,"RANBP1/CRKL/GOLGA2/UBAP2/EIF2S3/VAPA/SEPTIN2/RAB10/KIF5B/ESYT2/EEF2/LRRFIP1/PKM/NUDC/BZW1/CD46/SH3GLB2/CAST/ZC3H15/EHD4/PKP4/BAIAP2/YWHAB/SND1/NEO1/PKN2/TWF1/SH3GL1/PACSIN2/CHMP5/GAPVD1/SEPTIN7/CNN2/CNN3/LIMA1/PTPN1/CLINT1/PDLIM5/ERC1/DIAPH3/PTPN11/FSCN1/USO1/ANXA2/ITGA6/RPS2/STX5/H3C10/H3C11/TLN1/MPRIP/VASP/EIF4H/MYH9/LRRC59/HSPA5/RANGAP1/TRPC4/CAPZA1/CDC42EP1/YWHAZ/TJP1/ZC3HAV1/CTTN/SLK/H3C7/ATIC/BAG3/SPTAN1/VCL/MARK2/H1-10/ALDOA/DDX6/LARP1/DDX3X/ATXN2L/LASP1/TMPO/PSEN1/VAPB/CAPZB/EIF5/H3C2/CCT8/SH3GLB1/AFDN/CALD1/LDHA/PCBP1/BAIAP2L1/PICALM/FMNL2/ARGLU1/EEF1D/CBL/ABCF3/RPL6/SWAP70/RTN4/CSNK1D/WASF2/EIF4G2/H3C4/ABI1/CHMP2B/CTNND1/CHMP4B/OLA1/MRE11/SPTBN1/SEPTIN9/TMOD3",113
"GO:0051020","GTPase binding","106/3045","315/18639",0.336507936507937,2.05982641332395,8.38290243302999,2.54360366042597e-14,6.50145095604878e-12,5.01223794980781e-12,"DVL3/SRGAP2/RRAGD/ROCK2/MYO9B/RANBP1/GNB1/NCKAP1/WASF1/EVI5/GIT1/RABGAP1L/SGSM3/CYRIB/RILPL2/HACE1/DMXL2/NUTF2/ULK1/DOCK1/CDC42EP2/TMEM127/RANBP9/IPO7/PKN2/RCC1/YBX3/RAB11FIP2/RANBP2/AMBRA1/STOML2/TNPO3/IPO5/GAPVD1/NXT1/CDC42BPB/BRK1/CDC42EP4/BICD2/ERC1/DIAPH3/PAK1/ABI2/RALBP1/GOLGA5/ODF2/EXOC2/PREB/KPNB1/BIRC5/GNB2/MAPKAP1/USP33/GDI1/RANGAP1/CDC42EP1/VPS9D1/ROCK1/MARCHF5/RAPGEF6/GCC1/XPOT/DNM1L/CDC42SE1/EXOC5/SPHK2/WDR44/OCRL/BIN1/RNF41/RAB3IP/EPRS1/BICD1/PKN1/RRAGC/TNPO1/AFDN/CLTA/HSP90AA1/PICALM/MYO1C/FMNL2/STRN3/FGD1/XPO4/AP3M1/AP1G1/RRAGB/CYFIP1/RIMS4/TRIP11/GDI2/RAB29/RASA1/DIAPH1/DENND5A/RABGEF1/PAK3/XPO5/WHAMM/IPO8/NGFR/SPTBN1/TNFAIP1/SOD1/DAPK3",106
"GO:0042393","histone binding","83/3045","247/18639",0.336032388663968,2.05691549829481,7.38905332985312,1.75949616687583e-11,3.74772683544551e-09,2.88927791613294e-09,"ATRX/ATAD2B/SSRP1/CBX1/NAP1L1/SPIN4/PTMA/UHRF2/SETD5/MORC3/PYGO1/CKS1B/PHIP/RBBP5/ING2/TP53BP1/IPO7/UHRF1/BAZ1B/RCC1/ANP32E/PYGO2/MLLT1/PHF8/FMR1/SMARCA4/ZZZ3/MPHOSPH8/PHF19/SART3/RBBP7/SCMH1/NCAPD2/ZMYND11/VPS72/SUPT6H/TSPYL2/BPTF/H2AX/MLLT10/WDR5/HDAC2/ZNF689/SMARCC1/NPM1/SIRT1/TNKS/CHD7/PSME4/PARP9/KDM5B/DEK/MCM2/PHC1/DTX3L/ING1/WDTC1/PHF14/SPHK2/MTF2/PKN1/MBTD1/PIH1D1/PHF2/BRD2/BRD4/RBBP4/CHD3/BCAS3/SET/KMT2E/MSH6/PHF13/ANP32B/CHD4/RSF1/MORC4/SMARCA5/PHF6/KDM5A/RNF8/BRD3/NAP1L4",83
"GO:0031267","small GTPase binding","90/3045","283/18639",0.318021201413428,1.94666573830702,7.09112906372346,7.32528601206917e-11,1.33738793191777e-08,1.03104777553335e-08,"DVL3/SRGAP2/ROCK2/MYO9B/RANBP1/NCKAP1/WASF1/EVI5/GIT1/RABGAP1L/SGSM3/CYRIB/RILPL2/HACE1/DMXL2/NUTF2/ULK1/DOCK1/CDC42EP2/TMEM127/RANBP9/IPO7/PKN2/RCC1/YBX3/RAB11FIP2/RANBP2/TNPO3/IPO5/GAPVD1/NXT1/CDC42BPB/BRK1/CDC42EP4/BICD2/ERC1/DIAPH3/PAK1/ABI2/RALBP1/GOLGA5/ODF2/EXOC2/KPNB1/BIRC5/MAPKAP1/USP33/GDI1/RANGAP1/CDC42EP1/VPS9D1/ROCK1/RAPGEF6/GCC1/XPOT/DNM1L/CDC42SE1/EXOC5/SPHK2/WDR44/OCRL/RNF41/BICD1/PKN1/TNPO1/AFDN/PICALM/MYO1C/FMNL2/STRN3/FGD1/XPO4/AP3M1/AP1G1/CYFIP1/RIMS4/TRIP11/GDI2/RAB29/DIAPH1/DENND5A/RABGEF1/PAK3/XPO5/WHAMM/IPO8/NGFR/TNFAIP1/SOD1/DAPK3",90
"GO:0019787","ubiquitin-like protein transferase activity","132/3045","479/18639",0.275574112734864,1.68683937184405,6.72944974529039,2.44637212540187e-10,3.90807947032949e-08,3.01290040707388e-08,"UBE2G2/UBR4/RC3H1/ATG12/ARIH2/UBE2R2/RNF139/KLHL42/NEDD4L/RNF167/TRIM28/RNF220/UHRF2/ANAPC11/HACE1/RNF4/RMND5A/UBE2D2/ANKIB1/LNX2/RNF215/CUL3/RNF10/PCGF5/TRIM11/UBE4B/TRIP12/UBE3C/UHRF1/ATG3/COP1/RANBP2/MIB1/MARCHF6/UBE2A/ATG5/CUL5/RNF38/UBE2N/UBR5/RNF216/CUL4A/TRIM33/UBE2L6/MALT1/RNF185/TRIM2/PRPF19/ZMIZ2/SYVN1/CDC23/UBE2D3/FBXO11/RNF138/AMFR/UBE2E1/UBE2J2/CBLL1/WSB1/LTN1/UBE3A/BRAP/CDC34/RNF19B/CCAR1/RNF31/RNF115/TRIM44/ARIH1/UBE2M/MKRN1/PELI1/TRIM37/UBR2/MARCHF5/RNF103/HERC3/UBE2J1/DTX3L/TRIM52/UBE2S/PJA1/RNF114/TRIM4/DDB2/PML/RNF41/KCTD10/MSL2/ZFP91/UBE2G1/PJA2/DTX2/VHL/TRIM41/UBE2K/RC3H2/SMURF1/TRIM5/MED17/CBL/SIAH1/HLTF/UBE2Q1/KCMF1/CNOT4/BIRC6/RNF11/PCGF3/RNF44/SIAH2/UBE2H/FBXW2/NOSIP/MED27/FBXL14/TTC3/MYLIP/TRAF7/ZNRF1/VPS18/RABGEF1/TRIM9/ZMIZ1/MARCHF7/FBXO7/TNFAIP1/MEX3C/SUMO2/UBE2Z/RNF8/RBCK1",132
"GO:0003713","transcription coactivator activity","82/3045","256/18639",0.3203125,1.96069119458128,6.83927609912214,3.4269964644664e-10,4.86633497954229e-08,3.75165928741585e-08,"NRIP1/SS18/TRIM28/KMT2C/LMO1/PKM/DHX9/RERE/ABL1/CBFB/ARID1A/SMARCD2/MED14/ACTL6A/MTA2/CREBBP/TSC22D1/HMGA1/SMARCA4/MED13/QKI/YAP1/PSIP1/MTDH/TAF6/DOT1L/KDM1A/GPS2/APEX1/NCOA4/UBE3A/SMARCC1/CCAR1/JMY/NPM1/TRERF1/SIRT1/CTBP1/NUP98/TRIM37/NME2/RRP1B/MTA1/WWTR1/NUCKS1/DDX17/TRIM52/CRTC1/CITED1/TAF9/TAF12/NUPR1/PML/MED26/SMARCD3/PHF2/MMS19/SSBP3/BRD4/TRIM5/MED17/ASXL1/KMT2E/BCL9/ATN1/MRTFA/HMGB2/ACSS2/BCL10/TRIP11/HMGB1/MAML1/MED27/RBPMS/ZMIZ1/DYRK1A/EP300/WBP2/USP22/KDM5A/THRAP3/RBCK1",82
"GO:0140297","DNA-binding transcription factor binding","133/3045","488/18639",0.272540983606557,1.66827303561334,6.61040560249892,4.62700117400078e-10,5.913307500373e-08,4.55881378827866e-08,"PURA/JUN/ANKRD42/PBX1/YWHAH/NRIP1/FAF1/CRKL/TWIST1/TCF3/PCNA/RAD23B/SMAD4/CREM/NLK/CRY1/GTF2A1/PTMA/CNOT7/MAPK14/UHRF2/NSD1/LMO1/SKI/JMJD1C/TP53/RAD21/XBP1/TBX2/HIF1A/RBFOX2/DHX9/DNAJA1/LATS1/TP53BP1/NCOR2/TLE4/TRIP12/ACTB/SRF/SMAD2/ARID1A/TMF1/BHLHE40/LCOR/BUD31/MED14/MTA2/CREBBP/HMGA1/RBBP8/DDX5/STAT3/SMARCA4/MED13/UBXN7/DCAF1/YY1/TACC1/LMO4/YAP1/PSIP1/NFE2L2/MTDH/TAF6/MAP3K7/DOT1L/RPS3/KDM1A/KDM3A/CEBPG/TCF12/HDAC2/FOXO4/YWHAZ/NPM1/TRERF1/SIRT1/CTBP1/HSF1/PARP9/GABARAPL1/SPEN/MAX/USF1/RELA/HSPB1/MTA1/LRIF1/DTX3L/NUCKS1/TAF10/CENPF/CRTC1/TAF9/TAF12/CEBPA/MKKS/PKN1/HMGA2/VHL/SMARCD3/MMS19/CGGBP1/HDAC8/EEF1D/RB1/BCAS3/MED17/ASXL1/ASAH1/KDM4C/HMGB2/PSMA6/STRN/PPARD/BCL10/TCF7L2/MDFIC/SP3/HMGB1/MEF2D/CHD4/TOB2/CPNE1/CNOT1/EP300/WBP2/ZFPM1/TRIB1/ZNF516/THRAP3/DAPK3",133
