"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","146/3079","424/19880",0.344339622641509,2.22327758951387,10.8997293565565,1.68789330813113e-22,1.24228947478451e-19,8.06635328306879e-20,"LPP/RHOA/HSPA1B/RPL5/SH3KBP1/SCARB2/NCKAP1/WASF1/RAB21/FZD2/GIT1/RAB10/RPL23/PIP5K1A/MAP2K2/CLASP2/RPS17/MAP2K1/CD46/ACTR2/CLASP1/RPL18/EPB41L5/DST/HSP90B1/PDIA3/ACTB/YWHAB/CPNE3/PPP1CB/TPM4/PALLD/AMBRA1/AJUBA/TWF1/G3BP1/PACSIN2/ZYX/RPL27/LIMS1/RPS7/ARPC1B/HMGA1/CNN2/PPP1R12A/CNN3/LIMA1/RPS8/NRP1/DCAF6/SSH2/TSPAN4/YWHAQ/MRC2/PAK1/CD59/LRP1/STX16/MAPK1/RALA/ITGA6/RPS3/SPRY4/RPS2/NECTIN2/RPS3A/ACTR3/RPS19/AIF1L/TLN1/MPRIP/CASK/FZD1/GNB2/HACD3/USP33/MSN/VASP/PCBP2/ADGRB1/MYH9/DNM2/SORBS3/HSPA5/ATP6V0A2/PTK7/FERMT2/SHC1/RSU1/CDC42EP1/YWHAZ/PRKAR2A/RPS10/PPP1CC/RPL9/NPM1/RHOB/CTTN/ALCAM/RRAS2/RPL12/VCL/RPS16/ARF6/HSPB1/RPL31/PTPN12/GNA12/LAP3/CLTC/LASP1/ILK/FLNC/SLC4A2/ITGAV/YWHAG/EHD3/GJA1/ARL2/CBL/CHP1/CAPN2/ACTN1/CYFIP1/ANXA5/ARPC2/MAPRE2/RPL6/ADAM10/DDR2/DAG1/CD81/GDI2/RPS4X/REXO2/PXN/FLOT2/RPL8/PTK2/GNA13/RPS14/RPLP2/ENAH/ARPC5L/CAP1/ACTG1",146
"GO:0030055","cell-substrate junction","147/3079","434/19880",0.338709677419355,2.18692705004767,10.7025754204256,7.39375376233004e-22,2.72090138453746e-19,1.76671800426202e-19,"LPP/RHOA/HSPA1B/RPL5/SH3KBP1/SCARB2/NCKAP1/WASF1/RAB21/FZD2/GIT1/RAB10/RPL23/PIP5K1A/MAP2K2/CLASP2/RPS17/MAP2K1/CD46/ACTR2/CLASP1/CIB2/RPL18/EPB41L5/DST/HSP90B1/PDIA3/ACTB/YWHAB/CPNE3/PPP1CB/TPM4/PALLD/AMBRA1/AJUBA/TWF1/G3BP1/PACSIN2/ZYX/RPL27/LIMS1/RPS7/ARPC1B/HMGA1/CNN2/PPP1R12A/CNN3/LIMA1/RPS8/NRP1/DCAF6/SSH2/TSPAN4/YWHAQ/MRC2/PAK1/CD59/LRP1/STX16/MAPK1/RALA/ITGA6/RPS3/SPRY4/RPS2/NECTIN2/RPS3A/ACTR3/RPS19/AIF1L/TLN1/MPRIP/CASK/FZD1/GNB2/HACD3/USP33/MSN/VASP/PCBP2/ADGRB1/MYH9/DNM2/SORBS3/HSPA5/ATP6V0A2/PTK7/FERMT2/SHC1/RSU1/CDC42EP1/YWHAZ/PRKAR2A/RPS10/PPP1CC/RPL9/NPM1/RHOB/CTTN/ALCAM/RRAS2/RPL12/VCL/RPS16/ARF6/HSPB1/RPL31/PTPN12/GNA12/LAP3/CLTC/LASP1/ILK/FLNC/SLC4A2/ITGAV/YWHAG/EHD3/GJA1/ARL2/CBL/CHP1/CAPN2/ACTN1/CYFIP1/ANXA5/ARPC2/MAPRE2/RPL6/ADAM10/DDR2/DAG1/CD81/GDI2/RPS4X/REXO2/PXN/FLOT2/RPL8/PTK2/GNA13/RPS14/RPLP2/ENAH/ARPC5L/CAP1/ACTG1",147
"GO:0016607","nuclear speck","138/3079","415/19880",0.332530120481928,2.14702786462511,10.1089339285118,8.81401203422729e-20,2.16237095239709e-17,1.4040566538734e-17,"RBM4/DDX42/HSPA1B/NRIP1/U2AF2/PPP4R3A/ZNF638/SDE2/MAPK9/SRSF11/DZIP1/PSPC1/AK6/MSL1/CNOT7/CDC5L/MAPK14/ALYREF/PIP5K1A/WAC/RBM14/ATP6V0A1/SLU7/DOCK1/STK17A/HIF1A/REXO4/HNRNPU/PRPF8/TRIP12/ACIN1/SON/SRSF6/COP1/MTREX/SNRNP70/PACSIN2/SRSF3/CDK13/NXT1/NAMPT/ASCC2/PNISR/SRSF1/DDX5/GPATCH2/POLDIP3/LUC7L2/SMC4/SART3/SRSF4/SNURF/SMC5/METTL3/GADD45A/FTO/PRPF19/GLI3/TIMM50/VPS72/SRSF5/API5/MORF4L1/ASCC3/GATAD2B/CSNK1A1/HABP4/UHMK1/H2AX/APEX1/CBLL1/TCF12/CDC34/SAP18/FOXO4/PPP1CC/SRPK2/HIKESHI/INPPL1/PSME4/HP1BP3/RBM15/HBP1/CHTOP/PRKACA/ATXN2L/DDX17/SRSF2/RBM25/RBM10/CCNL2/NFATC4/CTR9/GATAD2A/PRPF6/SUMO1/SRRM2/AFDN/SRSF7/ITPKC/PCBP1/BRD2/ZC3H18/ARGLU1/PRCC/PABPN1/AKAP8L/ILRUN/KMT2E/ARL6IP4/ZC3H14/LUC7L3/RUFY1/CDK12/EIF4ENIF1/LMNA/YLPM1/MAML1/DYRK3/SMNDC1/SRSF10/C12orf57/MEOX2/EIF4A3/BNIP3L/NONO/RBM27/ZNF217/DYRK1A/SRPK1/NCBP3/SRSF8/CCNL1/THRAP3/PPP4R3B/ALKBH5/EAF1/PRPF40A",138
"GO:0098687","chromosomal region","128/3079","408/19880",0.313725490196078,2.02561310331213,8.96072000757207,3.68816006641645e-16,6.78621452220626e-14,4.40638071092912e-14,"ATRX/PURA/APC/PLK2/ANAPC16/CBX1/PCNA/SEH1L/SEPTIN2/SMCHD1/ALYREF/UHRF2/CDC73/NDEL1/CLASP2/RAD21/H4C11/H4C5/CLASP1/DYNLL1/SPAG5/CDCA5/TPR/HNRNPU/H4C4/CFDP1/TP53BP1/LUZP1/H3-3A/ACTB/DCTN5/BAZ1B/PPP1CB/NUDCD2/SMARCD2/CHMP5/ACTL6A/SEPTIN7/MTA2/FMR1/PPP1R12A/H3-3B/UPF1/CHMP1A/SMARCA4/DCTN1/SMG6/SMC4/PPP2CB/RBBP7/CEBPB/SMC5/RAD51D/NCAPD2/SLF2/MCM4/AHCTF1/CHMP3/DOT1L/KDM1A/BIRC5/GATAD2B/CSNK1A1/ZBTB10/H2AX/APEX1/CDK2/TNKS2/CENPA/HDAC2/RANGAP1/SKA2/H4C12/BOD1/SMARCC1/STAG2/PPP1CC/TNKS/HSF1/ZNF330/THOC5/CDCA8/NUP98/MACROH2A2/SSB/ARID2/SEPTIN6/LRIF1/WRNIP1/MCM2/XRCC5/CENPF/PPP2CA/PSEN1/PML/KMT5B/PPP2R5A/FLYWCH1/PHF2/DCLRE1B/H4C14/RBBP4/CTC1/KDM4C/BAZ1A/CHD4/PTGES3/DCTN2/H2AC8/CDC20/H4C15/WDR82/CHMP2B/CHMP4B/HELLS/MRE11/RIF1/BUB3/DYNC1LI2/SMARCA5/H4C2/PHF6/PBRM1/RAD50/CHMP4C/TERF1/RNF8/DAPK3",128
"GO:0035770","ribonucleoprotein granule","96/3079","278/19880",0.345323741007194,2.22963168925723,8.83856576899771,2.49875919096961e-15,3.67817352910726e-13,2.38828773200042e-13,"RBM4/RC3H1/EDC4/AGO2/ROCK2/GHR/UBAP2/APOBEC3D/APOBEC3F/RPL28/CNOT7/HNRNPAB/PUM1/CELF1/DCP2/ATXN2/IGF2BP2/YTHDF3/DHX9/CNOT8/HNRNPU/ACTB/ZFP36L1/AJUBA/YTHDF2/G3BP1/EDC3/FMR1/GRSF1/NOCT/UPF1/POLDIP3/EIF4A1/PSMC3/QKI/AGO3/ELAVL1/PRRC2C/STAU1/CIRBP/STAU2/FXR1/KPNB1/HABP4/ISG20/UHMK1/FASTKD5/LIN28A/EIF4G1/LARP1B/TIAL1/ROCK1/HSF1/TIA1/SMG1/YTHDF1/KHNYN/PNRC2/SSB/TUBA1A/AGO1/MBNL1/DDX6/LARP1/DDX3X/ATXN2L/G3BP2/APOBEC3C/NUFIP2/SAMD4B/ARC/SUMO1/EIF2S1/LARP4B/CAPRIN1/RBPMS2/LSM14B/PCBP1/RC3H2/TOP1/TRIM5/VCP/LSM4/PSMA6/CNOT2/LARP4/RPL6/EIF4ENIF1/IGF2BP1/DYRK3/RBPMS/CNOT1/RPS4X/FXR2/YTHDC2/EIF4EBP2",96
"GO:0036464","cytoplasmic ribonucleoprotein granule","91/3079","261/19880",0.348659003831418,2.25116628651139,8.71026561918841,6.8500040119303e-15,8.40267158796784e-13,5.455968107748e-13,"RBM4/RC3H1/EDC4/AGO2/ROCK2/GHR/UBAP2/APOBEC3D/APOBEC3F/RPL28/CNOT7/HNRNPAB/PUM1/CELF1/DCP2/ATXN2/IGF2BP2/YTHDF3/DHX9/CNOT8/HNRNPU/ACTB/ZFP36L1/AJUBA/YTHDF2/G3BP1/EDC3/FMR1/NOCT/UPF1/POLDIP3/EIF4A1/PSMC3/QKI/AGO3/ELAVL1/PRRC2C/STAU1/CIRBP/STAU2/FXR1/KPNB1/HABP4/ISG20/UHMK1/LIN28A/EIF4G1/LARP1B/TIAL1/ROCK1/TIA1/SMG1/YTHDF1/KHNYN/PNRC2/SSB/TUBA1A/AGO1/MBNL1/DDX6/LARP1/DDX3X/ATXN2L/G3BP2/APOBEC3C/NUFIP2/SAMD4B/ARC/EIF2S1/LARP4B/CAPRIN1/RBPMS2/LSM14B/PCBP1/RC3H2/TOP1/TRIM5/VCP/LSM4/PSMA6/CNOT2/LARP4/RPL6/EIF4ENIF1/IGF2BP1/DYRK3/RBPMS/CNOT1/RPS4X/FXR2/EIF4EBP2",91
"GO:0010494","cytoplasmic stress granule","46/3079","96/19880",0.479166666666667,3.09380751326188,8.8033884207315,7.44158636109474e-14,7.40490546529098e-12,4.80810509330965e-12,"RBM4/RC3H1/PUM1/CELF1/ATXN2/IGF2BP2/YTHDF3/YTHDF2/G3BP1/FMR1/EIF4A1/QKI/ELAVL1/PRRC2C/STAU1/CIRBP/STAU2/FXR1/KPNB1/HABP4/LIN28A/EIF4G1/LARP1B/TIAL1/ROCK1/TIA1/YTHDF1/SSB/MBNL1/DDX6/LARP1/DDX3X/ATXN2L/G3BP2/NUFIP2/EIF2S1/LARP4B/CAPRIN1/RBPMS2/RC3H2/VCP/LARP4/IGF2BP1/DYRK3/RBPMS/FXR2",46
"GO:0005819","spindle","128/3079","435/19880",0.294252873563218,1.89988539345137,8.123859480145,8.04881028835976e-14,7.40490546529098e-12,4.80810509330965e-12,"PLK2/TUBB6/GOLGA2/CBX1/ALMS1/KLHL42/KIF2A/SEPTIN2/EVI5/GIT1/MAPK14/NDEL1/CLASP2/NUDC/CDC25B/RAD21/FLCN/CLASP1/TTL/NUP62/DYNLL1/SPAG5/TPR/SBDS/LATS1/CCDC117/CUL3/CALM2/MZT2B/HNRNPU/SPAST/PKP4/AKT1/LUZP1/ASPM/UHRF1/TPX2/NUDCD2/CHMP5/SEPTIN7/ARL8B/CALM3/CHMP1A/ZZZ3/DCTN1/CEP95/PPP2CB/DIAPH3/MAP4/UNC119/RALBP1/KIFAP3/MAPK1/PRPF19/CHMP3/RPS3/ODF2/BIRC5/CCSAP/CSNK1A1/ACOT13/MYH9/WDR5/RANGAP1/SKA2/BOD1/WNK1/STAG2/NPM1/CTTN/TNKS/ANAPC7/HSF1/INPPL1/CDCA8/TACC3/ANAPC5/KLHL22/RAB11A/SEPTIN6/HSPB1/KIF11/AAAS/CDC16/CLTC/CENPF/PPP2CA/CCAR2/CKAP2/TMEM9/TUBGCP4/CALM1/APP/MAP7D1/RMDN3/MAPKBP1/CLTA/MAP2K5/NIN/MMS19/POC1B/RB1/CDC6/RACGAP1/EML4/TBCK/YPEL5/MAPRE2/BIRC6/CSNK1D/CDC20/PIN4/CDC14A/EML2/DIAPH1/HAUS6/DCUN1D5/CHMP2B/MICAL3/BCCIP/ABRAXAS2/CHMP4B/RIF1/MZT2A/CHMP4C/TERF1/CEP350/DAPK3",128
"GO:0000151","ubiquitin ligase complex","109/3079","352/19880",0.309659090909091,1.99935781983525,8.098377347384,1.5290120070662e-13,1.25039204133414e-11,8.11896434161469e-12,"KLHL7/ARIH2/KLHL25/ANAPC16/FEM1B/KLHL42/APPBP2/KLHL2/FAM8A1/ANAPC11/MKLN1/CUL7/CAND1/FBXW7/CKS1B/KLHDC3/RMND5A/ANKIB1/CUL3/ZSWIM8/RANBP9/PCGF5/UBE4B/DCAF12/SPSB1/COP1/AMBRA1/KLHDC10/ANAPC1/MARCHF6/UBE2A/CUL5/UBE2N/DCAF6/CUL4A/DCAF1/FBXO42/TMEM183A/DCUN1D3/FBXL20/SYVN1/KBTBD6/CDC23/FBH1/FBXO11/PCGF2/AMFR/UBE2E1/UBE2J2/USP33/KLHL24/CBLL1/BRAP/SEL1L/FBXW4/RNF19B/ELOB/RNF31/CUL1/ANAPC7/ARIH1/KLHL15/DCAF16/DCAF7/UBR2/ANAPC5/DCAF5/KLHL22/DCAF11/SOCS2/DCAF10/ANAPC13/CDC16/DCAF17/PHC1/COMMD1/WDTC1/UBE2S/USP47/DDB2/FEM1C/KCTD10/PCMTD1/DDA1/CDKN1B/SPOPL/GAN/ELOC/MAVS/WDR26/MED17/ZER1/YPEL5/FBXL19/RNF11/PCGF3/CUL4B/ZSWIM4/OTULIN/CDC20/MED27/FBXL14/TRAF7/DCUN1D5/KLHL12/FBXO7/TNFAIP1/RNF8/RBCK1",109
"GO:0005635","nuclear envelope","138/3079","496/19880",0.278225806451613,1.79640436253916,7.68930899556374,9.43944094849158e-13,6.9474285380898e-11,4.51105914801598e-11,"TMEM33/FAF1/RANBP1/MATR3/SURF4/SEH1L/VAPA/ZMPSTE24/DNAJB14/KPNA3/PCM1/SCRN1/LBR/GCH1/PRNP/NUTF2/AEN/NUP62/EIF5A/ATP11B/TPR/ABL1/CMTM3/INSR/DST/SPAST/IPO7/DCTN5/RANBP2/TOR1AIP1/CCND1/SEPHS1/TNPO3/CHMP5/IPO5/PHF8/EPC1/POM121/NXT1/TEX2/DNAJC1/SRSF1/CHMP1A/TRA2B/LMNB1/DCTN1/SREBF1/BICD2/MGST3/OSBPL8/ATF6/MTDH/PAK1/SNUPN/AHCTF1/CHMP3/DHCR7/STAU2/FXR1/KPNB1/HACD3/HABP4/CCND2/CDK2/TNKS2/NUP58/BRAP/BNIP2/LRRC59/TMX4/RANGAP1/CCAR1/ANKRD17/BAX/CDK4/SIRT1/TNKS/ATP5MF/WDFY3/NUP98/RBM15/XPOT/MTA1/AAAS/SLC30A1/TNRC18/CENPF/CANX/TMPO/EI24/PSEN1/BIN1/PML/ARL6IP6/APP/TAF3/AGFG1/SUMO1/INPP4A/BANF1/NEMP1/DTX2/MTOR/MINDY3/DHRS2/NUP188/CCNI/GNAQ/OSBPL6/NSMF/KPNA1/AKIRIN1/NUDT9/XPO4/UBXN4/TENT4A/QRICH2/TMEM53/MTMR6/LMNA/RTN4/CPNE1/PGRMC2/NRXN1/NUP153/BNIP3L/CHMP2B/SIGMAR1/VRK2/TMEM170A/CHMP4B/SHISA5/NUP210/IPO8/RIF1/KPNA4/CHMP4C/GAPDH",138
