"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","31/476","336/18805",0.0922619047619048,3.64492672068828,7.88353144444913,5.93130656243391e-10,1.06868328386075e-06,9.86331299774087e-07,"U2AF2/SNRPD1/CWC22/HNRNPL/SMN1/U2AF1/PABPC1/SAP18/EFTUD2/HNRNPA1/TRA2B/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/RBM6/DDX5/LSM2/HNRNPH1/ESS2/RALY/SON/YTHDC1/RBFOX2/SNU13/TRA2A/HNRNPM/CASC3/METTL14/PRPF40A",31
"GO:0000398","mRNA splicing, via spliceosome","31/476","336/18805",0.0922619047619048,3.64492672068828,7.88353144444913,5.93130656243391e-10,1.06868328386075e-06,9.86331299774087e-07,"U2AF2/SNRPD1/CWC22/HNRNPL/SMN1/U2AF1/PABPC1/SAP18/EFTUD2/HNRNPA1/TRA2B/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/RBM6/DDX5/LSM2/HNRNPH1/ESS2/RALY/SON/YTHDC1/RBFOX2/SNU13/TRA2A/HNRNPM/CASC3/METTL14/PRPF40A",31
"GO:0000375","RNA splicing, via transesterification reactions","31/476","340/18805",0.0911764705882353,3.60204522985665,7.80259124193379,7.93184030574534e-10,1.06868328386075e-06,9.86331299774087e-07,"U2AF2/SNRPD1/CWC22/HNRNPL/SMN1/U2AF1/PABPC1/SAP18/EFTUD2/HNRNPA1/TRA2B/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/RBM6/DDX5/LSM2/HNRNPH1/ESS2/RALY/SON/YTHDC1/RBFOX2/SNU13/TRA2A/HNRNPM/CASC3/METTL14/PRPF40A",31
"GO:0008380","RNA splicing","37/476","482/18805",0.0767634854771784,3.03264147982845,7.28526282735264,2.23032328040867e-09,2.25374167485296e-06,2.08006992257062e-06,"U2AF2/SNRPD1/CWC22/HNRNPL/SMN1/U2AF1/PABPC1/SAP18/YBX1/EFTUD2/HNRNPA1/TRA2B/HNRNPC/SUGP1/NUP98/SF3B2/CTNNBL1/PRPF8/RBM6/DDX5/LSM2/HNRNPH1/ESS2/RALY/SON/YTHDC1/RBFOX2/C2orf49/TMBIM6/CLASRP/SNU13/TRA2A/HNRNPM/CASC3/METTL14/NONO/PRPF40A",37
"GO:1901292","nucleoside phosphate catabolic process","19/476","184/18805",0.103260869565217,4.07945515162587,6.7645748558192,2.3155373576568e-07,0.000187188039992976,0.000172763460958646,"NUDT9/ACAT1/PKM/PGK1/ENTPD4/HK1/UCHL1/PDE5A/SUCLA2/PGAM1/TDG/STAT3/ADA/NUDT11/UPP1/GSK3A/ENO1/NUDT17/SUCLG1",19
"GO:0072523","purine-containing compound catabolic process","16/476","156/18805",0.102564102564103,4.05192846369317,6.16833690776912,2.26942124939304e-06,0.00152883344834111,0.00141102261541209,"NUDT9/ACAT1/PKM/PGK1/ENTPD4/HK1/UCHL1/PDE5A/SUCLA2/PGAM1/STAT3/ADA/NUDT11/ENO1/NUDT17/SUCLG1",16
"GO:0046434","organophosphate catabolic process","20/476","242/18805",0.0826446280991736,3.26498367942218,5.71489018609945,3.82943521383055e-06,0.00207526838242905,0.00191534965684746,"ABHD16A/NUDT9/ACAT1/PKM/PGK1/ENTPD4/HK1/UCHL1/PDE5A/SUCLA2/PGAM1/TDG/STAT3/ADA/NUDT11/UPP1/GSK3A/ENO1/NUDT17/SUCLG1",20
"GO:0006163","purine nucleotide metabolic process","29/476","448/18805",0.0647321428571429,2.55732761854742,5.37622394397138,4.1074089706661e-06,0.00207526838242905,0.00191534965684746,"DLG1/NUDT9/TALDO1/GART/PKM/PGK1/ATP6V1A/ENTPD4/HK1/UCHL1/PDE5A/PGAM1/TMSB4X/MDH1/PGD/STAT3/PARG/FIS1/ADA/BPNT1/NDUFB6/NDUFB7/GMPS/NUDT11/ME2/TPST1/ENO1/NDUFS2/NUDT17",29
"GO:0006457","protein folding","19/476","227/18805",0.0837004405286344,3.3066949246659,5.63459650303542,5.55073798677852e-06,0.00249289810472875,0.00230079712574773,"PFDN6/PDIA4/NUDC/TBCE/TTC4/PTGES3/ATF6/B2M/CHCHD4/NUDCD3/DNAJA3/CLU/SIL1/CANX/CCT6A/DNAJC1/DNAJB11/ERO1A/FUT10",19
"GO:0030520","estrogen receptor signaling pathway","9/476","53/18805",0.169811320754717,6.70861740922784,6.70662907314357,6.51684772145238e-06,0.00263410984901105,0.00243112719208708,"UBA5/UFM1/WBP2/DDX5/STRN3/MED1/RBFOX2/PHB2/BRCA1",9
"GO:0050684","regulation of mRNA processing","14/476","133/18805",0.105263157894737,4.15855816010615,5.89085714813178,7.1749689358018e-06,0.00263647494895554,0.00243331003908915,"U2AF2/CWC22/HNRNPL/SAP18/HNRNPA1/TRA2B/AHCYL1/NUP98/DDX5/SON/SAFB2/YTHDC1/RBFOX2/TRA2A",14
