"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","32/413","336/18805",0.0952380952380952,4.33644644298397,9.24736018835723,3.41806799029399e-12,5.91481082370846e-09,5.36984036417915e-09,"DDX17/SNRPD1/NCBP2/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/SMN2/EFTUD2/DDX39B/CDC5L/LUC7L2/LSM3/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/SF3B2/CTNNBL1/PRPF8/RBM6/LSM2/SRSF4/SNRNP40/SETX/PQBP1/SNU13/CASC3/EIF4A3/PTBP1",32
"GO:0000398","mRNA splicing, via spliceosome","32/413","336/18805",0.0952380952380952,4.33644644298397,9.24736018835723,3.41806799029399e-12,5.91481082370846e-09,5.36984036417915e-09,"DDX17/SNRPD1/NCBP2/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/SMN2/EFTUD2/DDX39B/CDC5L/LUC7L2/LSM3/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/SF3B2/CTNNBL1/PRPF8/RBM6/LSM2/SRSF4/SNRNP40/SETX/PQBP1/SNU13/CASC3/EIF4A3/PTBP1",32
"GO:0000375","RNA splicing, via transesterification reactions","32/413","340/18805",0.0941176470588235,4.28542942600769,9.1609943031676,4.69305275618233e-12,5.91481082370846e-09,5.36984036417915e-09,"DDX17/SNRPD1/NCBP2/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/SMN2/EFTUD2/DDX39B/CDC5L/LUC7L2/LSM3/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/SF3B2/CTNNBL1/PRPF8/RBM6/LSM2/SRSF4/SNRNP40/SETX/PQBP1/SNU13/CASC3/EIF4A3/PTBP1",32
"GO:0008380","RNA splicing","38/413","482/18805",0.0788381742738589,3.58971396421287,8.63103136565928,1.00357150727244e-11,9.48625967249278e-09,8.612228118988e-09,"DDX17/SNRPD1/NCBP2/DDX39A/SMN1/PPIL2/PABPC1/SAP18/SNRNP70/SMN2/TADA3/EFTUD2/DDX39B/CDC5L/LUC7L2/LSM3/PPIL3/PRPF6/HNRNPC/SUGP1/NUP98/SNRPG/SF3B2/CTNNBL1/PRPF8/RBM6/LSM2/RPS26/SRSF4/SNRNP40/TAF9/SETX/USP22/PQBP1/SNU13/CASC3/EIF4A3/PTBP1",38
"GO:0007005","mitochondrion organization","27/413","445/18805",0.0606741573033708,2.76265745300215,5.63893718331476,2.11926388716302e-06,0.00160258735147268,0.00145493042863971,"SLIRP/TOP3A/COA4/NDUFS7/RAB5IF/HGF/MFN2/AURKA/NDUFA3/NDUFAF7/TFRC/LONP1/MIGA1/FIS1/RRM1/MIEF1/COA1/CLU/SLC30A9/NDUFAF2/MYH14/APOO/VDAC2/TMEM11/NDUFAB1/GSK3A/PHB2",27
"GO:0006403","RNA localization","17/413","206/18805",0.0825242718446602,3.7575518935565,5.96345813822309,3.23368706343828e-06,0.00203776179781002,0.00185000938839864,"FLOT1/WRAP53/NCBP2/DDX39A/DCP2/DDX39B/CCT7/PRPF6/NUP98/NUP153/XPOT/ZC3H11A/SARNP/CASC3/CCT3/EIF4A3/NDC1",17
"GO:0002181","cytoplasmic translation","15/413","169/18805",0.0887573964497041,4.0413628092898,5.95142411405599,5.03994089378582e-06,0.00245944099129849,0.00223283650179551,"NCBP2/AARS1/PABPC1/MTOR/CNBP/PKM/EIF2S3/RPL9/RPL28/RPS5/EEF1D/RPS26/RPLP1/RPS18/RPS10",15
"GO:0072594","establishment of protein localization to organelle","27/413","467/18805",0.0578158458244111,2.63251084922046,5.35333227298253,5.20378945527319e-06,0.00245944099129849,0.00223283650179551,"WRAP53/MBTPS1/ATG13/MFN2/TNPO1/CBL/NPM1/TIMM44/CCT7/BAG6/HIKESHI/HK1/RAB3GAP1/NUP98/WBP2/FIS1/NUP153/CLU/MED1/ARIH2/TRIM37/GSK3A/PHB2/NPEPPS/VPS41/CCT3/CHP1",27
"GO:0006457","protein folding","17/413","227/18805",0.0748898678414097,3.40993696067242,5.47400008343808,1.18039157871306e-05,0.00495895617679342,0.00450205489845998,"NUDC/ANP32E/PPIL2/SNRNP70/CCT7/TTC4/DNAJC18/ST13/AHSA1/PPIL3/CLU/SIL1/PDCD5/TBCA/PDIA6/CCT3/ERO1A",17
"GO:0048259","regulation of receptor-mediated endocytosis","12/413","128/18805",0.09375,4.26868946731235,5.56046046171953,2.56754300605413e-05,0.00970788010589066,0.00881342920288686,"FLOT1/ANKRD13B/PPT1/CBL/RABEP1/CCDC32/ATAD1/CLU/TBC1D5/PICALM/AP2A1/RAC1",12
