"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071013","catalytic step 2 spliceosome","15/430","90/19880",0.166666666666667,7.70542635658915,9.47974044644186,8.67423969767795e-10,2.5489609006296e-07,1.94677267044524e-07,"SNRPD1/PPIL2/PABPC1/EFTUD2/CDC5L/LSM3/PPIL3/PRPF6/HNRNPC/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/EIF4A3",15
"GO:0005681","spliceosomal complex","22/430","208/19880",0.105769230769231,4.88998211091234,8.38545640711433,9.58255977680301e-10,2.5489609006296e-07,1.94677267044524e-07,"SNRPD1/PPIL2/PABPC1/SNRNP70/EFTUD2/DDX39B/CDC5L/LUC7L2/LSM3/PPIL3/PRPF6/HNRNPC/SUGP1/SNRPG/SF3B2/CTNNBL1/PRPF8/LSM2/SNRNP40/SNU13/CASC3/EIF4A3",22
"GO:0005684","U2-type spliceosomal complex","15/430","95/19880",0.157894736842105,7.29987760097919,9.15161157387514,1.89433226922668e-09,3.35928255742864e-07,2.56565703832104e-07,"SNRPD1/SNRNP70/EFTUD2/CDC5L/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13/CASC3/EIF4A3",15
"GO:0120114","Sm-like protein family complex","15/430","119/19880",0.126050420168067,5.82763337893297,7.85371242366283,4.42687695139774e-08,5.88774634535899e-06,4.49677500852507e-06,"SNRPD1/SMN1/SNRNP70/SMN2/EFTUD2/DDX39B/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13",15
"GO:0097525","spliceosomal snRNP complex","13/430","97/19880",0.134020618556701,6.19611603931911,7.62764240681678,1.69881004591115e-07,1.80753388884946e-05,1.38050668994043e-05,"SNRPD1/SNRNP70/EFTUD2/DDX39B/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13",13
"GO:0016607","nuclear speck","27/430","415/19880",0.0650602409638554,3.00790137293359,6.14625978665146,4.21271797451138e-07,3.20913318910019e-05,2.45098023544257e-05,"DDX17/DDX39A/SAP18/SNRNP70/PIAS1/EFTUD2/DDX39B/CDC5L/LUC7L2/TRIP12/HIKESHI/PRPF6/SF3B2/PRPF8/HEATR5B/NFKBIZ/PIP5K1A/SRSF4/SNRNP40/COPS4/SARNP/AK6/ZNF106/PQBP1/CASC3/ATP6V0A1/EIF4A3",27
"GO:0046540","U4/U6 x U5 tri-snRNP complex","9/430","45/19880",0.2,9.24651162790698,8.23440307567286,4.23650172397431e-07,3.20913318910019e-05,2.45098023544257e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/SNU13",9
"GO:0097526","spliceosomal tri-snRNP complex","9/430","46/19880",0.195652173913043,9.04550050556117,8.12266457938047,5.16715602706593e-07,3.20913318910019e-05,2.45098023544257e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/SNU13",9
"GO:0030532","small nuclear ribonucleoprotein complex","13/430","107/19880",0.121495327102804,5.61703977396218,7.12017902396236,5.42898471840258e-07,3.20913318910019e-05,2.45098023544257e-05,"SNRPD1/SNRNP70/EFTUD2/DDX39B/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13",13
"GO:0071005","U2-type precatalytic spliceosome","9/430","50/19880",0.18,8.32186046511628,7.70755770740492,1.08850838067683e-06,5.79086458520072e-05,4.42278142043426e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNU13",9
