"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005681","spliceosomal complex","18/307","208/19880",0.0865384615384615,5.60385868203458,8.35924685392509,4.2046168124831e-09,2.08548993899162e-06,1.61988395091454e-06,"SNRPD1/U2AF1/PABPC1/SNRNP70/EFTUD2/CDC5L/LUC7L2/LSM3/PPIL3/PRPF6/HNRNPC/SUGP1/CTNNBL1/SMU1/PRPF8/LSM2/SNU13/CASC3",18
"GO:0035770","ribonucleoprotein granule","20/307","278/19880",0.0719424460431655,4.65868347667143,7.69369208525222,1.37840530136861e-08,3.28180680273106e-06,2.54911139600927e-06,"EDC3/HNRNPL/SMN1/PABPC1/SMN2/CAPRIN1/LSM3/G3BP1/GIGYF2/RPL28/LARP1/LARP4/YTHDF1/RPLP0/LSM2/LSM14A/SARNP/FXR2/TUBB/CASC3",20
"GO:0005684","U2-type spliceosomal complex","12/307","95/19880",0.126315789473684,8.17966740956626,8.7848805033849,2.5856956688508e-08,3.28180680273106e-06,2.54911139600927e-06,"SNRPD1/SNRNP70/EFTUD2/CDC5L/LUC7L2/LSM3/PRPF6/SMU1/PRPF8/LSM2/SNU13/CASC3",12
"GO:0036464","cytoplasmic ribonucleoprotein granule","19/307","261/19880",0.0727969348659004,4.71401649880814,7.56420700314051,2.64661838929924e-08,3.28180680273106e-06,2.54911139600927e-06,"EDC3/SMN1/PABPC1/SMN2/CAPRIN1/LSM3/G3BP1/GIGYF2/RPL28/LARP1/LARP4/YTHDF1/RPLP0/LSM2/LSM14A/SARNP/FXR2/TUBB/CASC3",19
"GO:0016607","nuclear speck","24/307","415/19880",0.0578313253012048,3.74490797064479,7.07721499779645,3.39444767468778e-08,3.36729209329027e-06,2.61551126091732e-06,"PRKACA/AKAP8L/DDX17/ITPKC/ACIN1/U2AF1/SAP18/SNRNP70/EFTUD2/CDC5L/LUC7L2/TRIP12/HIKESHI/PRPF6/ZNF217/SMU1/PRPF8/MORF4L1/SRSF4/COPS4/SARNP/AK6/CASC3/ATP6V0A1",24
"GO:0005925","focal adhesion","24/307","424/19880",0.0566037735849057,3.66541699956979,6.94798815349695,5.08725083095499e-08,4.20546068692279e-06,3.26655053356057e-06,"FLOT1/CYFIP1/ARPC2/PABPC1/RPS3A/PTK7/G3BP1/PTPN12/B2M/ARHGEF2/DNM2/CTNNA1/PRKAR2A/RPLP0/RPLP1/RPS18/PTK2/TPM4/YWHAE/AIF1L/LAMTOR3/CHP1/TSPAN9/YWHAZ",24
"GO:0030055","cell-substrate junction","24/307","434/19880",0.0552995391705069,3.58096038667647,6.80845889011986,7.86860123335969e-08,5.57546601678058e-06,4.33068879911225e-06,"FLOT1/CYFIP1/ARPC2/PABPC1/RPS3A/PTK7/G3BP1/PTPN12/B2M/ARHGEF2/DNM2/CTNNA1/PRKAR2A/RPLP0/RPLP1/RPS18/PTK2/TPM4/YWHAE/AIF1L/LAMTOR3/CHP1/TSPAN9/YWHAZ",24
"GO:0071013","catalytic step 2 spliceosome","11/307","90/19880",0.122222222222222,7.91458559536735,8.2338371132167,1.40232792972499e-07,8.69443316429492e-06,6.75331608262296e-06,"SNRPD1/U2AF1/PABPC1/EFTUD2/CDC5L/LSM3/PPIL3/PRPF6/HNRNPC/PRPF8/LSM2",11
"GO:0071005","U2-type precatalytic spliceosome","8/307","50/19880",0.16,10.3609120521173,8.3000281741663,9.02367406652567e-07,4.97304704110748e-05,3.86276574075836e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SMU1/PRPF8/LSM2/SNU13",8
"GO:0071011","precatalytic spliceosome","8/307","52/19880",0.153846153846154,9.96241543472814,8.10447793379032,1.23142217706208e-06,6.10785399822792e-05,4.74421596636549e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SMU1/PRPF8/LSM2/SNU13",8
