"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","24/406","336/18805",0.0714285714285714,3.30840957072484,6.34237391975424,3.34182568976725e-07,0.000303811583955296,0.000280982315996212,"DDX17/SNRPD1/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/EFTUD2/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/PRPF8/RBM6/LSM2/SNRNP40/SETX/PQBP1/SNU13/CASC3/EIF4A3",24
"GO:0000398","mRNA splicing, via spliceosome","24/406","336/18805",0.0714285714285714,3.30840957072484,6.34237391975424,3.34182568976725e-07,0.000303811583955296,0.000280982315996212,"DDX17/SNRPD1/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/EFTUD2/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/PRPF8/RBM6/LSM2/SNRNP40/SETX/PQBP1/SNU13/CASC3/EIF4A3",24
"GO:0045727","positive regulation of translation","15/406","140/18805",0.107142857142857,4.96261435608726,6.99073529215035,3.74342342595148e-07,0.000303811583955296,0.000280982315996212,"PABPC1/NPM1/CNBP/PKM/MIR15B/EIF3D/RMND1/DHX9/LARP4/ABCF1/EIF4G2/PRKDC/FXR2/EIF4A3/EIF2AK4",15
"GO:0022613","ribonucleoprotein complex biogenesis","30/406","494/18805",0.0607287449392713,2.8128178536527,6.06530495136031,3.89738510989647e-07,0.000303811583955296,0.000280982315996212,"DDX17/SNRPD1/SMN1/DDX27/NPM1/RPL7L1/EIF1AX/PTGES3/EIF2S3/EIF3D/PRPF6/CINP/PDCD11/SNRPG/DHX9/SF3B2/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/TAF9/SETX/RPL14/AK6/EIF3G/EXOSC9/SNU13/XRCC5/EIF4A3",30
"GO:0000375","RNA splicing, via transesterification reactions","24/406","340/18805",0.0705882352941176,3.2694871051869,6.2731193505141,4.14363862459487e-07,0.000303811583955296,0.000280982315996212,"DDX17/SNRPD1/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/EFTUD2/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/PRPF8/RBM6/LSM2/SNRNP40/SETX/PQBP1/SNU13/CASC3/EIF4A3",24
"GO:0008380","RNA splicing","29/406","482/18805",0.0601659751037344,2.78675163011263,5.90310412277797,7.39958151097218e-07,0.0004521144303204,0.000418141263979674,"AKAP8L/DDX17/SNRPD1/DDX39A/SMN1/PABPC1/SAP18/SNRNP70/EFTUD2/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/PRPF8/RBM6/LSM2/SNRNP40/C2orf49/TAF9/TMBIM6/SETX/THOC5/PQBP1/SNU13/CASC3/EIF4A3",29
"GO:0006418","tRNA aminoacylation for protein translation","8/406","41/18805",0.195121951219512,9.03760663222396,7.65326924371565,2.25593909165674e-06,0.00112962033505235,0.00104473744485705,"LARS2/LRRC47/EPRS1/RARS2/IARS2/LARS1/YARS1/MARS1",8
"GO:0022618","protein-RNA complex assembly","18/406","228/18805",0.0789473684210526,3.65666320974851,5.99524813780832,2.46507438091075e-06,0.00112962033505235,0.00104473744485705,"SNRPD1/SMN1/PTGES3/EIF2S3/EIF3D/PRPF6/SNRPG/DHX9/SF3B2/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/TAF9/SETX/EIF3G/XRCC5",18
"GO:0043039","tRNA aminoacylation","8/406","44/18805",0.181818181818182,8.42140618002687,7.32108714498635,3.95428293194091e-06,0.00156102968991394,0.00144372947173538,"LARS2/LRRC47/EPRS1/RARS2/IARS2/LARS1/YARS1/MARS1",8
"GO:0071826","protein-RNA complex organization","18/406","237/18805",0.0759493670886076,3.51780258153021,5.79434449616391,4.25812790483889e-06,0.00156102968991394,0.00144372947173538,"SNRPD1/SMN1/PTGES3/EIF2S3/EIF3D/PRPF6/SNRPG/DHX9/SF3B2/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/TAF9/SETX/EIF3G/XRCC5",18
"GO:0043038","amino acid activation","8/406","45/18805",0.177777777777778,8.23426382047072,7.2173075274004,4.71942053009352e-06,0.00157285415121117,0.00145466540932356,"LARS2/LRRC47/EPRS1/RARS2/IARS2/LARS1/YARS1/MARS1",8
"GO:0051168","nuclear export","15/406","174/18805",0.0862068965517241,3.99290810259895,5.89170443235708,5.86625011964927e-06,0.00179213941155285,0.00165747295047283,"PRKACA/AKAP8L/DDX39A/NPM1/NXT2/NUP98/DHX9/XPOT/ZC3H11A/SARNP/THOC5/SMURF1/YWHAE/CASC3/EIF4A3",15
"GO:0006405","RNA export from nucleus","11/406","96/18805",0.114583333333333,5.30724035303777,6.28493028024914,7.06334447428497e-06,0.00199186314174836,0.00184218887058072,"AKAP8L/DDX39A/NXT2/NUP98/DHX9/XPOT/ZC3H11A/SARNP/THOC5/CASC3/EIF4A3",11
"GO:0044772","mitotic cell cycle phase transition","26/406","457/18805",0.0568927789934354,2.63514460337821,5.25667259029799,7.64825838749906e-06,0.00200275108918368,0.00185225866662665,"MBTPS1/DDB1/CCNB1/CDK7/PIAS1/CCNI/INTS3/ITGB1/TAOK1/MIR15B/GIGYF2/FZR1/KNL1/UIMC1/ORC1/DPF2/DNM2/ENSA/LATS2/PRKDC/RRM1/CLASP2/BCL7A/ANAPC5/SMARCC1/BRCA1",26
