"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","27/415","424/19880",0.0636792452830189,3.05046601500341,6.23164688639315,3.19475947353712e-07,6.55656617191949e-05,5.21739307161918e-05,"CYFIP1/SRP68/ARPC2/PABPC1/NPM1/ITGB1/PTK7/KRAS/PTPN12/CPNE3/ARHGEF2/DNM2/CTNNA1/PRKAR2A/CAPN2/RPS5/CLASP2/NUMB/RPLP1/RPS18/RPS10/PPP1R12A/TPM4/YWHAE/TSPAN9/MAPRE1/RAC1",27
"GO:0071013","catalytic step 2 spliceosome","12/415","90/19880",0.133333333333333,6.38714859437751,7.47913588358469,3.68536958204028e-07,6.55656617191949e-05,5.21739307161918e-05,"SNRPD1/PABPC1/EFTUD2/PPIL3/PRPF6/HNRNPC/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/EIF4A3",12
"GO:0030055","cell-substrate junction","27/415","434/19880",0.0622119815668203,2.98017877963467,6.09015347711405,5.04998592696941e-07,6.55656617191949e-05,5.21739307161918e-05,"CYFIP1/SRP68/ARPC2/PABPC1/NPM1/ITGB1/PTK7/KRAS/PTPN12/CPNE3/ARHGEF2/DNM2/CTNNA1/PRKAR2A/CAPN2/RPS5/CLASP2/NUMB/RPLP1/RPS18/RPS10/PPP1R12A/TPM4/YWHAE/TSPAN9/MAPRE1/RAC1",27
"GO:0036464","cytoplasmic ribonucleoprotein granule","20/415","261/19880",0.0766283524904215,3.67077505423995,6.34181023288762,6.55038976161642e-07,6.55656617191949e-05,5.21739307161918e-05,"EDC3/SMN1/PABPC1/DCP2/UBAP2L/DCP1A/GIGYF2/RPL28/SNRPG/DHX9/LARP4/RC3H2/LSM2/LSM14A/SARNP/FXR2/PQBP1/TUBB/CASC3/RAC1",20
"GO:0005684","U2-type spliceosomal complex","12/415","95/19880",0.126315789473684,6.05098287888396,7.20549436592045,6.69530745870743e-07,6.55656617191949e-05,5.21739307161918e-05,"SNRPD1/SNRNP70/EFTUD2/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13/CASC3/EIF4A3",12
"GO:0016607","nuclear speck","26/415","415/19880",0.0626506024096386,3.0011903033822,6.01560546756086,7.2182379874343e-07,6.55656617191949e-05,5.21739307161918e-05,"PRKACA/PIAS2/AKAP8L/DDX17/DDX39A/ITPKC/SAP18/SNRNP70/PIAS1/EFTUD2/TRIP12/HIKESHI/PRPF6/CSNK1A1/SF3B2/PRPF8/PSPC1/SNRNP40/SARNP/AK6/ZNF106/PQBP1/CASC3/ATP6V0A1/EIF4A3/BRD2",26
"GO:0035770","ribonucleoprotein granule","20/415","278/19880",0.0719424460431655,3.44630319840513,5.99758759875678,1.75291015124035e-06,0.000136476576060856,0.000108601350723462,"EDC3/SMN1/PABPC1/DCP2/UBAP2L/DCP1A/GIGYF2/RPL28/SNRPG/DHX9/LARP4/RC3H2/LSM2/LSM14A/SARNP/FXR2/PQBP1/TUBB/CASC3/RAC1",20
"GO:0046540","U4/U6 x U5 tri-snRNP complex","8/415","45/19880",0.177777777777778,8.51619812583668,7.37025450977594,3.69446713499083e-06,0.00025168557357125,0.00020027900784424,"SNRPD1/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/SNU13",8
"GO:0097526","spliceosomal tri-snRNP complex","8/415","46/19880",0.173913043478261,8.33106338397067,7.26833351234534,4.39143426544101e-06,0.000265925741629483,0.000211610633609555,"SNRPD1/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/SNU13",8
"GO:0071005","U2-type precatalytic spliceosome","8/415","50/19880",0.16,7.66457831325301,6.88954326595833,8.40025792854971e-06,0.000457814057105959,0.000364305922796051,"SNRPD1/EFTUD2/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNU13",8
"GO:0071011","precatalytic spliceosome","8/415","52/19880",0.153846153846154,7.36978683966636,6.71554443578646,1.13533743930678e-05,0.00056250809492927,0.000447616291860665,"SNRPD1/EFTUD2/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNU13",8
"GO:0015935","small ribosomal subunit","9/415","74/19880",0.121621621621622,5.8261152718984,6.07308380993652,2.29991163596745e-05,0.00104454320133521,0.000831196135104024,"MRPL42/DAP3/MRPS9/LARP4/RPS5/MRPS18B/MRPS33/RPS18/RPS10",9
"GO:0005681","spliceosomal complex","15/415","208/19880",0.0721153846153846,3.4545875810936,5.19613054324748,3.34470352445233e-05,0.00137031829112799,0.00109043193808737,"SNRPD1/PABPC1/SNRNP70/EFTUD2/PPIL3/PRPF6/HNRNPC/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13/CASC3/EIF4A3",15
"GO:0097525","spliceosomal snRNP complex","10/415","97/19880",0.103092783505155,4.9385169544156,5.67762392325028,3.52008368363155e-05,0.00137031829112799,0.00109043193808737,"SNRPD1/SNRNP70/EFTUD2/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRNP40/SNU13",10
