"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","20/205","424/19880",0.0471698113207547,4.57432121491026,7.59392939952,1.76610503111799e-08,5.39585576100103e-06,4.73548787141752e-06,"RPS5/PPP1R12A/SRP68/ARPC3/PTK7/DCAF6/ACTN1/G3BP1/PABPC1/YWHAE/LAMTOR3/RPLP1/NPM1/PTPN12/PVR/CHP1/RPS18/SDCBP/RPS3A/ARHGEF2",20
"GO:0030055","cell-substrate junction","20/205","434/19880",0.0460829493087558,4.46892210857592,7.45832148231017,2.60041241494025e-08,5.39585576100103e-06,4.73548787141752e-06,"RPS5/PPP1R12A/SRP68/ARPC3/PTK7/DCAF6/ACTN1/G3BP1/PABPC1/YWHAE/LAMTOR3/RPLP1/NPM1/PTPN12/PVR/CHP1/RPS18/SDCBP/RPS3A/ARHGEF2",20
"GO:0022626","cytosolic ribosome","8/205","118/19880",0.0677966101694915,6.57461761058289,6.19951143607373,3.09266616078369e-05,0.00399966145118256,0.00351016578848235,"RPS5/GCN1/RPLP1/RPS18/RPL7L1/DDX3X/RPS3A/EIF2AK4",8
"GO:0071013","catalytic step 2 spliceosome","7/205","90/19880",0.0777777777777778,7.54254742547425,6.3498294964223,4.05462547752483e-05,0.00399966145118256,0.00351016578848235,"SNRPD1/PPIL2/LSM2/PPIL3/PABPC1/PRPF6/HNRNPC",7
"GO:0005840","ribosome","11/205","244/19880",0.0450819672131148,4.3718512594962,5.40945655162671,4.81886921829225e-05,0.00399966145118256,0.00351016578848235,"RPS5/MRPS18B/GCN1/SRP68/DAP3/RPLP1/RPS18/RPL7L1/DDX3X/RPS3A/EIF2AK4",11
"GO:0010494","cytoplasmic stress granule","7/205","96/19880",0.0729166666666667,7.07113821138211,6.08647036175842,6.14027165500008e-05,0.00424702122804172,0.00372725261864917,"RBPMS2/LSM14A/FXR2/G3BP1/PABPC1/CASC3/DDX3X",7
"GO:0036464","cytoplasmic ribonucleoprotein granule","11/205","261/19880",0.0421455938697318,4.08709466405009,5.12446574074173,8.8174679664971e-05,0.00522749886585185,0.0045877352126436,"RBPMS2/EDC3/LSM14A/SMN1/FXR2/CNOT1/LSM2/G3BP1/PABPC1/CASC3/DDX3X",11
"GO:0015935","small ribosomal subunit","6/205","74/19880",0.0810810810810811,7.86288727752142,6.03727787059112,0.000115537172800372,0.0059934908390193,0.00525998181433273,"RPS5/MRPS18B/DAP3/RPS18/DDX3X/RPS3A",6
"GO:0035770","ribonucleoprotein granule","11/205","278/19880",0.039568345323741,3.83716441480962,4.86265587910019,0.000153698233244214,0.00696808426358941,0.00611530033025222,"RBPMS2/EDC3/LSM14A/SMN1/FXR2/CNOT1/LSM2/G3BP1/PABPC1/CASC3/DDX3X",11
"GO:0001650","fibrillar center","8/205","150/19880",0.0533333333333333,5.1720325203252,5.23536058204525,0.000167905644905769,0.00696808426358941,0.00611530033025222,"CILK1/IP6K2/TRIM27/DUSP11/PSPC1/TXNRD1/CDK7/YY1AP1",8
