"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140694","membraneless organelle assembly","23/323","427/18805",0.053864168618267,3.13596189122759,5.90214960151718,1.47779462472588e-06,0.00202416041205759,0.00182649428718795,"EDC3/EZR/AURKA/NPM1/EIF1AX/UBAP2L/CENPH/RRP7A/CAPRIN1/UHRF1/NEK7/G3BP1/RPS5/STAG1/YTHDF1/CNOT1/PSPC1/POGZ/LSM14A/TRIM37/WDR62/TUBB/BRCA1",23
"GO:0006413","translational initiation","12/323","124/18805",0.0967741935483871,5.63417557175672,6.84439657671806,1.53565779376919e-06,0.00202416041205759,0.00182649428718795,"NPM1/MTOR/RPS3A/EIF1AX/EIF2S3/EIF3D/GIGYF2/RPS5/ABCF1/YTHDF1/EIF3C/EIF2AK4",12
"GO:0006605","protein targeting","20/323","339/18805",0.0589970501474926,3.43479730038266,5.98037124331082,1.83680618154046e-06,0.00202416041205759,0.00182649428718795,"PRKCI/SRP68/TRAK1/ZDHHC2/UBE2D3/TIMM17A/FIS1/MIEF1/VPS4A/SIL1/PITRM1/ARIH2/GSK3A/SMURF1/YWHAE/NPEPPS/CHP1/YWHAZ/SGTA/FUT10",20
"GO:0022613","ribonucleoprotein complex biogenesis","24/323","494/18805",0.048582995951417,2.82849299958637,5.44443283585189,5.19435981687424e-06,0.00429313838864656,0.00387389887395305,"SNRPD1/SMN1/GTPBP4/POP4/NPM1/BMS1/RPL7L1/RPS3A/EIF1AX/PTGES3/LUC7L2/EIF2S3/RRP7A/EIF3D/PRPF6/CINP/PDCD11/RPS5/PAK1IP1/LSM2/EIF3C/SETX/EXOSC9/RBM5",24
"GO:0006457","protein folding","15/323","227/18805",0.066079295154185,3.84712428908498,5.70521184435717,9.52350828767911e-06,0.00629694367981343,0.00568202578679633,"CCDC47/PDIA4/NUDC/ANP32E/TBCE/SNRNP70/CCT7/PTGES3/ST13/PPIL3/DNAJA3/SIL1/DNAJC1/ERO1A/FUT10",15
"GO:0007051","spindle organization","14/323","206/18805",0.0679611650485437,3.95668640476119,5.64086851609963,1.37564962069662e-05,0.00757982941003839,0.00683963337728812,"NUDC/EZR/AURKA/TBCE/DLG1/CCNB1/PDE4DIP/CENPH/UHRF1/NEK7/STAG1/LSM14A/WDR62/TUBB",14
"GO:0044839","cell cycle G2/M phase transition","12/323","160/18805",0.075,4.36648606811146,5.65337141250132,2.14215647378072e-05,0.00785429665485828,0.00708729796537981,"AKAP8L/AURKA/CCNB1/NPM1/TAOK1/TAF2/UIMC1/DNM2/RRM1/VPS4A/USP22/BRCA1",12
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","18/323","336/18805",0.0535714285714286,3.11891862007961,5.18100635371605,2.23428958088913e-05,0.00785429665485828,0.00708729796537981,"SNRPD1/SMN1/ACIN1/PABPC1/SAP18/SNRNP70/LUC7L2/PPIL3/PRPF6/HNRNPC/RBM6/LSM2/SRSF4/RBPMS2/SETX/PQBP1/CASC3/RBM5",18
"GO:0000398","mRNA splicing, via spliceosome","18/323","336/18805",0.0535714285714286,3.11891862007961,5.18100635371605,2.23428958088913e-05,0.00785429665485828,0.00708729796537981,"SNRPD1/SMN1/ACIN1/PABPC1/SAP18/SNRNP70/LUC7L2/PPIL3/PRPF6/HNRNPC/RBM6/LSM2/SRSF4/RBPMS2/SETX/PQBP1/CASC3/RBM5",18
"GO:1903311","regulation of mRNA metabolic process","20/323","404/18805",0.0495049504950495,2.88216902185575,5.05569063005921,2.45878223354036e-05,0.00785429665485828,0.00708729796537981,"IGF2BP1/ACIN1/PABPC1/SAP18/NPM1/SNRNP70/CAPRIN1/DCP1A/GIGYF2/HNRNPC/AHCYL1/YTHDF1/RC3H2/CNOT1/CNOT10/SRSF4/RBPMS2/FXR2/CASC3/RBM5",20
"GO:0000375","RNA splicing, via transesterification reactions","18/323","340/18805",0.0529411764705882,3.08222545984338,5.12205755728259,2.61334734432671e-05,0.00785429665485828,0.00708729796537981,"SNRPD1/SMN1/ACIN1/PABPC1/SAP18/SNRNP70/LUC7L2/PPIL3/PRPF6/HNRNPC/RBM6/LSM2/SRSF4/RBPMS2/SETX/PQBP1/CASC3/RBM5",18
"GO:0045727","positive regulation of translation","11/323","140/18805",0.0785714285714286,4.57441397611676,5.61185924603744,3.06699096582365e-05,0.00844956011084416,0.0076244319273195,"IGF2BP1/PABPC1/NPM1/MTOR/CNBP/EIF3D/ABCF1/YTHDF1/EIF3C/FXR2/EIF2AK4",11
"GO:0008380","RNA splicing","22/323","482/18805",0.045643153526971,2.65733591973588,4.87290192719897,3.3507556448375e-05,0.00852122935525598,0.00768910242710078,"AKAP8L/SNRPD1/SMN1/ACIN1/PABPC1/SAP18/SNRNP70/TADA3/LUC7L2/PPIL3/PRPF6/HNRNPC/RBM6/LSM2/SRSF4/RBPMS2/SETX/USP22/PPP4R2/PQBP1/CASC3/RBM5",22
"GO:0006417","regulation of translation","21/323","451/18805",0.0465631929046563,2.71090044139957,4.86182749185345,3.79371450185961e-05,0.0089585858165342,0.00808374954757153,"IGF2BP1/PABPC1/NPM1/MTOR/CNBP/EPRS1/CAPRIN1/EIF3D/GIGYF2/DAPK3/ABCF1/YTHDF1/CNOT1/CNOT10/EIF3C/LSM14A/GCN1/FXR2/DNAJC1/CASC3/EIF2AK4",21
