"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010494","cytoplasmic stress granule","13/338","96/19880",0.135416666666667,7.96474358974359,8.99611108814989,8.94934296629143e-09,4.37622871051651e-06,3.61741863058517e-06,"IGF2BP1/PABPC1/UBAP2L/CAPRIN1/G3BP1/GIGYF2/YTHDF1/RC3H2/RBPMS2/LSM14A/FXR2/PQBP1/CASC3",13
"GO:0036464","cytoplasmic ribonucleoprotein granule","19/338","261/19880",0.0727969348659004,4.28166587317781,7.0185483060017,1.20838063129486e-07,2.95449064351594e-05,2.44220085482751e-05,"IGF2BP1/EDC3/SMN1/PABPC1/UBAP2L/CAPRIN1/G3BP1/DCP1A/GIGYF2/YTHDF1/RC3H2/CNOT1/LSM2/RBPMS2/LSM14A/FXR2/TUBB/PQBP1/CASC3",19
"GO:0035770","ribonucleoprotein granule","19/338","278/19880",0.0683453237410072,4.01983738453025,6.66848034237162,3.21804461545592e-07,5.24541272319315e-05,4.33589169240377e-05,"IGF2BP1/EDC3/SMN1/PABPC1/UBAP2L/CAPRIN1/G3BP1/DCP1A/GIGYF2/YTHDF1/RC3H2/CNOT1/LSM2/RBPMS2/LSM14A/FXR2/TUBB/PQBP1/CASC3",19
"GO:0005925","focal adhesion","22/338","424/19880",0.0518867924528302,3.05180305905995,5.61646342421191,3.9685472743639e-06,0.000485154904290987,0.000401032145619931,"FLOT1/SRP68/EZR/PABPC1/NPM1/RPS3A/PTK7/DCAF6/G3BP1/PTPN12/CPNE3/ARHGEF2/DNM2/RPS5/RPLP1/RPS18/PIP5K1A/ARPC3/YWHAE/LAMTOR3/CHP1/YWHAZ",22
"GO:0030055","cell-substrate junction","22/338","434/19880",0.0506912442396313,2.98148501622447,5.48897975736995,5.75639333690857e-06,0.000562975268349658,0.000465358956078503,"FLOT1/SRP68/EZR/PABPC1/NPM1/RPS3A/PTK7/DCAF6/G3BP1/PTPN12/CPNE3/ARHGEF2/DNM2/RPS5/RPLP1/RPS18/PIP5K1A/ARPC3/YWHAE/LAMTOR3/CHP1/YWHAZ",22
"GO:0017101","aminoacyl-tRNA synthetase multienzyme complex","4/338","11/19880",0.363636363636364,21.3878429263045,8.89509783652504,2.46507492314268e-05,0.00200903606236129,0.0016606820534856,"IARS1/EPRS1/LARS1/MARS1",4
"GO:0016607","nuclear speck","20/338","415/19880",0.0481927710843374,2.83453339987168,4.9669933650749,3.15798419976167e-05,0.00220607753383351,0.00182355779354659,"AKAP8L/ACIN1/SAP18/SNRNP70/PIAS1/LUC7L2/TRIP12/DUSP11/HIKESHI/PRPF6/ZNF217/PSPC1/PIP5K1A/SRSF4/COPS4/ZNF106/PQBP1/CASC3/ATP6V0A1/BRD2",20
"GO:0000932","P-body","9/338","100/19880",0.09,5.29349112426036,5.66067913390877,5.22119155370913e-05,0.00319145333720471,0.0026380757324004,"IGF2BP1/EDC3/CAPRIN1/DCP1A/YTHDF1/RC3H2/CNOT1/LSM2/LSM14A",9
"GO:0072379","ER membrane insertion complex","4/338","14/19880",0.285714285714286,16.8047337278106,7.77977609850334,7.18111604956943e-05,0.00390173972026606,0.00322520299770136,"CCDC47/NOMO1/NOMO3/SGTA",4
"GO:0005819","spindle","19/338","435/19880",0.0436781609195402,2.56899952390669,4.35145582541516,0.000179916792812559,0.00879793116853416,0.00727242615158135,"NUDC/AURKA/CCNB1/NPM1/TADA3/PARP4/SEPTIN2/UHRF1/NEK7/ARHGEF2/DAPK3/LATS2/NUSAP1/STAG1/VPS4A/TBL1XR1/LSM14A/WDR62/TUBB",19
