"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071013","catalytic step 2 spliceosome","11/242","90/19880",0.122222222222222,10.040404040404,9.54206828942007,1.23716263694081e-08,5.10948169056555e-06,4.21937573019814e-06,"PPIL2/EFTUD2/CDC5L/PPIL3/PRPF6/HNRNPC/SF3B2/PRPF8/LSM2/ESS2/SNRNP40",11
"GO:0005681","spliceosomal complex","14/242","208/19880",0.0673076923076923,5.52924348378894,7.28936000867235,2.77016584154217e-07,4.51757183255946e-05,3.73058053714608e-05,"PPIL2/SNRNP70/EFTUD2/CDC5L/PPIL3/PRPF6/HNRNPC/SF3B2/CTNNBL1/PRPF8/LSM2/ESS2/SNRNP40/CASC3",14
"GO:0035770","ribonucleoprotein granule","16/242","278/19880",0.0575539568345324,4.72798620607646,6.94868819570138,3.28152917619332e-07,4.51757183255946e-05,3.73058053714608e-05,"EDC3/HNRNPL/SMN1/UBAP2L/DCP1A/GIGYF2/HAX1/RPL28/CNOT1/LSM2/LSM14A/SARNP/FXR2/PQBP1/CASC3/RAC1",16
"GO:0036464","cytoplasmic ribonucleoprotein granule","15/242","261/19880",0.0574712643678161,4.72119312244704,6.71769607947613,7.8584012138991e-07,8.11379925335082e-05,6.70032103500871e-05,"EDC3/SMN1/UBAP2L/DCP1A/GIGYF2/HAX1/RPL28/CNOT1/LSM2/LSM14A/SARNP/FXR2/PQBP1/CASC3/RAC1",15
"GO:0005684","U2-type spliceosomal complex","9/242","95/19880",0.0947368421052632,7.78251413658112,7.35598449173761,2.39297477750796e-06,0.000197659716622157,0.000163226069034227,"SNRNP70/EFTUD2/CDC5L/PRPF6/SF3B2/PRPF8/LSM2/SNRNP40/CASC3",9
"GO:0016607","nuclear speck","18/242","415/19880",0.0433734939759036,3.5630787613263,5.85753804760402,3.61817012390851e-06,0.000249050710195702,0.000205664407043221,"DDX39A/ITPKC/SAP18/SNRNP70/EFTUD2/CDC5L/CDYL/PRPF6/SF3B2/PRPF8/SNRNP40/COPS4/SARNP/ZNF106/PQBP1/CASC3/ATP6V0A1/BRD2",18
"GO:0009295","nucleoid","6/242","49/19880",0.122448979591837,10.0590318772137,7.04796668619224,2.75982688657071e-05,0.00142476063019213,0.00117655777795909,"HADHA/HADHB/LONP1/SSBP1/DNAJA3/VDAC2",6
"GO:0042645","mitochondrial nucleoid","6/242","49/19880",0.122448979591837,10.0590318772137,7.04796668619224,2.75982688657071e-05,0.00142476063019213,0.00117655777795909,"HADHA/HADHB/LONP1/SSBP1/DNAJA3/VDAC2",6
"GO:0120114","Sm-like protein family complex","8/242","119/19880",0.0672268907563025,5.52260573650948,5.49305658608747,0.000105426787855306,0.00483791815380461,0.00399512038188529,"SMN1/SNRNP70/EFTUD2/PRPF6/SF3B2/PRPF8/LSM2/SNRNP40",8
"GO:0097525","spliceosomal snRNP complex","7/242","97/19880",0.0721649484536082,5.92826105478402,5.40119452060022,0.000184016885448422,0.00759989736901982,0.0062759443037146,"SNRNP70/EFTUD2/PRPF6/SF3B2/PRPF8/LSM2/SNRNP40",7
"GO:0046540","U4/U6 x U5 tri-snRNP complex","5/242","45/19880",0.111111111111111,9.12764003673094,6.05913930567601,0.000210624292933255,0.00790798481649402,0.00653036085266742,"EFTUD2/PRPF6/PRPF8/LSM2/SNRNP40",5
"GO:0097526","spliceosomal tri-snRNP complex","5/242","46/19880",0.108695652173913,8.92921307941071,5.97668231695194,0.000233986027801933,0.00805301912351654,0.00665012921121284,"EFTUD2/PRPF6/PRPF8/LSM2/SNRNP40",5
