"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","43/638","169/18805",0.254437869822485,7.49953627274582,15.9053498346279,8.97618288388395e-26,3.79602774159452e-22,3.5224431359073e-22,"RPS23/RPL37A/RPS7/NEMF/PABPC1/YBX1/MTOR/RPL7A/RPS3A/RPSA/EIF4H/RPS9/RPL12/EIF3F/EIF2S3/RPS28/RPL9/RPS12/RPL37/EIF4A1/RPS17/EIF3I/RPS11/RPL18/RPL28/RPS15/DHX9/RPS5/RPL38/RPL13A/EIF4B/RPLP0/RPS3/RPS6/EIF3CL/RPLP1/RPS18/EIF3C/RPS27A/RPL14/RPS13/RPL5/FAU",43
"GO:0022613","ribonucleoprotein complex biogenesis","53/638","494/18805",0.107287449392713,3.16228916274288,9.12672715320417,1.14102994161111e-13,2.41270781153669e-10,2.2388208538559e-10,"RPS23/U2AF2/RPS7/SMN1/GTPBP4/DCAF13/SF3B1/CUL4B/DDX27/SMN2/RPL7A/RPL7L1/HSP90AB1/DDX39B/RPS3A/EIF1AX/RPSA/RRN3/EIF4H/RPS9/LUC7L3/EIF3F/EIF2S3/RPS28/NAT10/RPS12/RPS17/EIF3I/RPS11/RPS15/DHX9/SF3B2/RPS5/RPL38/RPL13A/EIF4B/RPLP0/PRPF8/PRKDC/USP16/RPS6/PRPF19/EIF3CL/EIF3C/RPS27A/WDR55/RAN/RPL14/XRN2/RPS13/EXOSC9/RPL5/FAU",53
"GO:0008380","RNA splicing","45/638","482/18805",0.0933609958506224,2.75180803600463,7.30139081369242,8.72011009855055e-10,1.22924485355901e-06,1.14065159464549e-06,"U2AF2/SMN1/ACIN1/U2AF1/PABPC1/SF3B1/YBX1/SNRNP70/SMN2/TADA3/DDX39B/RBM39/HNRNPA1/LUC7L3/IK/FUS/TRA2B/PPIL3/RNPS1/SUPT6H/HNRNPC/HNRNPR/DHX9/SF3B2/SMU1/SCAF1/PRPF8/HNRNPH1/PRPF19/SLC38A2/RALY/CLK2/ILF3/HNRNPA2B1/RBFOX2/TMBIM6/USP22/CLASRP/NCL/RPS13/PQBP1/HNRNPK/NONO/PRPF40A/PTBP1",45
"GO:0042254","ribosome biogenesis","34/638","317/18805",0.107255520504732,3.16134806127192,7.27282651760001,3.2907475688263e-09,3.47914286714161e-06,3.22839656225907e-06,"RPS23/RPS7/GTPBP4/DCAF13/CUL4B/DDX27/RPL7A/RPL7L1/RPS3A/EIF1AX/RPSA/RRN3/RPS9/RPS28/NAT10/RPS12/RPS17/RPS11/RPS15/RPS5/RPL38/RPLP0/PRKDC/USP16/RPS6/RPS27A/WDR55/RAN/RPL14/XRN2/RPS13/EXOSC9/RPL5/FAU",34
"GO:0006913","nucleocytoplasmic transport","35/638","340/18805",0.102941176470588,3.03418310898027,7.09330605623261,5.67245434650142e-09,3.99813490522575e-06,3.70998417609777e-06,"PRKACA/NXF1/FLNA/MBTPS1/NEMF/IFI27/PABPN1/DDX39B/TRIM28/HNRNPA1/PPP1R10/AHCTF1/IPO7/HIKESHI/HSPA9/SUPT6H/UFM1/AHCYL1/RPS15/DHX9/TXNIP/PRKAG1/EMD/NUP107/HNRNPA2B1/IPO9/ZC3H11A/ANP32A/RAN/WASHC4/PHB2/SMURF1/YWHAE/STRADA/NDC1",35
"GO:0051169","nuclear transport","35/638","340/18805",0.102941176470588,3.03418310898027,7.09330605623261,5.67245434650142e-09,3.99813490522575e-06,3.70998417609777e-06,"PRKACA/NXF1/FLNA/MBTPS1/NEMF/IFI27/PABPN1/DDX39B/TRIM28/HNRNPA1/PPP1R10/AHCTF1/IPO7/HIKESHI/HSPA9/SUPT6H/UFM1/AHCYL1/RPS15/DHX9/TXNIP/PRKAG1/EMD/NUP107/HNRNPA2B1/IPO9/ZC3H11A/ANP32A/RAN/WASHC4/PHB2/SMURF1/YWHAE/STRADA/NDC1",35
"GO:0006413","translational initiation","20/638","124/18805",0.161290322580645,4.7540196177571,7.85961318822108,6.73163118214363e-09,4.0668668956122e-06,3.77376256346337e-06,"MTOR/RPS3A/EIF1AX/EIF4H/EIF3F/EIF2S3/EIF4A1/RPS17/EIF3I/RPS6KB2/RPS5/ABCF1/YTHDF1/RPL13A/EIF4B/EIF4G2/RPS3/BZW1/EIF3CL/EIF3C",20
"GO:0006457","protein folding","27/638","227/18805",0.118942731277533,3.50582768287462,7.11800853798843,1.57501783029936e-08,8.1316648920869e-06,7.54560533601323e-06,"RIC8A/PFDN6/NUDC/FKBP10/FKBP8/ANP32E/NKTR/ERP29/SNRNP70/BAG1/CCT4/HSP90AB1/CCT7/FKBP11/DNAJC18/ST13/AHSA1/PPIL3/HSPA9/B2M/FKBP4/DNAJA3/CANX/PDIA6/CCT5/PPIA/CCT3",27
"GO:0022618","protein-RNA complex assembly","27/638","228/18805",0.118421052631579,3.49045124566903,7.09008643457826,1.73055058001377e-08,8.1316648920869e-06,7.54560533601323e-06,"U2AF2/SMN1/SF3B1/SMN2/HSP90AB1/DDX39B/RPSA/EIF4H/LUC7L3/EIF3F/EIF2S3/RPS28/EIF3I/RPS15/DHX9/SF3B2/RPS5/RPL38/RPL13A/EIF4B/PRPF8/PRKDC/PRPF19/EIF3CL/EIF3C/RPL5/FAU",27
"GO:0042274","ribosomal small subunit biogenesis","18/638","108/18805",0.166666666666667,4.91248693834901,7.64139530023356,2.25561471119345e-08,9.53899461363708e-06,8.85150699297807e-06,"RPS23/RPS7/DCAF13/RPS3A/RPSA/RPS9/RPS28/NAT10/RPS12/RPS17/RPS11/RPS15/RPS5/PRKDC/RPS6/RPS27A/RPS13/FAU",18
