"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","25/353","424/19880",0.0589622641509434,3.32059436634775,6.4941488618749,1.80726364719021e-07,7.21506468321685e-05,5.4564617941548e-05,"FLOT1/CYFIP1/ARPC2/RPL23/PABPC1/CBL/PTK7/KRAS/PTPN12/B2M/DNM2/CTNNA1/PRKAR2A/RPS5/IRF2/RPS18/RPS10/PPP1R12A/TPM4/ARPC3/YWHAE/LAMTOR3/CHP1/YWHAZ/RAC1",25
"GO:0030055","cell-substrate junction","25/353","434/19880",0.0576036866359447,3.24408297541808,6.35529173730683,2.80196686726868e-07,7.21506468321685e-05,5.4564617941548e-05,"FLOT1/CYFIP1/ARPC2/RPL23/PABPC1/CBL/PTK7/KRAS/PTPN12/B2M/DNM2/CTNNA1/PRKAR2A/RPS5/IRF2/RPS18/RPS10/PPP1R12A/TPM4/ARPC3/YWHAE/LAMTOR3/CHP1/YWHAZ/RAC1",25
"GO:0071013","catalytic step 2 spliceosome","11/353","90/19880",0.122222222222222,6.88322316650929,7.52108568899265,5.6342747270865e-07,9.67217161483182e-05,7.31467245270878e-05,"SNRPD1/U2AF1/PABPC1/PPIL3/PRPF6/HNRNPC/SF3B2/PRPF8/LSM2/SNRPD2/ESS2",11
"GO:0005681","spliceosomal complex","16/353","208/19880",0.0769230769230769,4.33209849640445,6.49519354288797,1.03222925809861e-06,0.000132899516980196,0.000100506533025391,"SNRPD1/U2AF1/PABPC1/SNRNP70/LUC7L2/PPIL3/PRPF6/HNRNPC/SF3B2/PRPF8/LSM2/SNRPD2/ESS2/SNU13/TRA2A/CASC3",16
"GO:0016607","nuclear speck","23/353","415/19880",0.0554216867469879,3.12119867572272,5.87144568980777,1.63960294526242e-06,0.000168879103362029,0.000127716439946757,"PRKACA/AKAP8L/ATXN2L/U2AF1/SAP18/SNRNP70/LUC7L2/HIKESHI/PRPF6/CSNK1A1/SF3B2/PRPF8/POMP/HEATR5B/MORF4L1/RNF34/SARNP/AK6/ZNF106/CASC3/ATP6V0A1/CDC34/BRD2",23
"GO:0005684","U2-type spliceosomal complex","10/353","95/19880",0.105263157894737,5.92813478455345,6.47356046864035,7.27302189783402e-06,0.000581493549456729,0.000439760068061297,"SNRPD1/SNRNP70/LUC7L2/PRPF6/SF3B2/PRPF8/LSM2/SNRPD2/SNU13/CASC3",10
"GO:0097525","spliceosomal snRNP complex","10/353","97/19880",0.103092783505155,5.80590520136678,6.37942958239876,8.77246508628657e-06,0.000581493549456729,0.000439760068061297,"SNRPD1/SNRNP70/LUC7L2/PRPF6/SF3B2/PRPF8/LSM2/SNRPD2/SNU13/RBM42",10
"GO:0120114","Sm-like protein family complex","11/353","119/19880",0.092436974789916,5.20579903349442,6.18706095769046,9.03290950612394e-06,0.000581493549456729,0.000439760068061297,"SNRPD1/SMN1/SNRNP70/LUC7L2/PRPF6/SF3B2/PRPF8/LSM2/SNRPD2/SNU13/RBM42",11
"GO:0035770","ribonucleoprotein granule","17/353","278/19880",0.0611510791366906,3.44386247376037,5.51716312252832,1.0718926169706e-05,0.00061336077526651,0.000463859962899558,"CSDE1/HNRNPL/SMN1/ATXN2L/PABPC1/BTBD1/GIGYF2/RPL28/RC3H2/NBDY/LSM2/LSM14A/SARNP/FXR2/TUBB/CASC3/RAC1",17
"GO:0046540","U4/U6 x U5 tri-snRNP complex","7/353","45/19880",0.155555555555556,8.76046584828454,7.00720467272887,1.33190549255795e-05,0.000685931328667345,0.000518742139206781,"SNRPD1/PRPF6/PRPF8/LSM2/SNRPD2/SNU13/RBM42",7
"GO:0097526","spliceosomal tri-snRNP complex","7/353","46/19880",0.152173913043478,8.57002093853923,6.91094916709203,1.54722801701041e-05,0.000724384026145781,0.000547822360089809,"SNRPD1/PRPF6/PRPF8/LSM2/SNRPD2/SNU13/RBM42",7
"GO:0036464","cytoplasmic ribonucleoprotein granule","16/353","261/19880",0.0613026819923372,3.45240033429933,5.36216338945185,1.88616897017775e-05,0.000809480849701282,0.000612177648215584,"CSDE1/SMN1/ATXN2L/PABPC1/BTBD1/GIGYF2/RPL28/RC3H2/NBDY/LSM2/LSM14A/SARNP/FXR2/TUBB/CASC3/RAC1",16
"GO:0030532","small nuclear ribonucleoprotein complex","10/353","107/19880",0.0934579439252336,5.26329723862222,5.94522198281107,2.09550736492997e-05,0.000830143302260719,0.000627803825930436,"SNRPD1/SNRNP70/LUC7L2/PRPF6/SF3B2/PRPF8/LSM2/SNRPD2/SNU13/RBM42",10
"GO:0071005","U2-type precatalytic spliceosome","7/353","50/19880",0.14,7.88441926345609,6.55326624301661,2.71684026469441e-05,0.000999409097369731,0.000755812705215739,"SNRPD1/PRPF6/SF3B2/PRPF8/LSM2/SNRPD2/SNU13",7
"GO:0071011","precatalytic spliceosome","7/353","52/19880",0.134615384615385,7.58117236870778,6.38899191802639,3.52992013737415e-05,0.00121193924716512,0.000916540667248024,"SNRPD1/PRPF6/SF3B2/PRPF8/LSM2/SNRPD2/SNU13",7
"GO:0015935","small ribosomal subunit","8/353","74/19880",0.108108108108108,6.08835464359544,5.89605738405057,4.96052938750996e-05,0.00159667039660477,0.00120749728511756,"MRPL42/DAP3/RPS5/MRPS18B/MRPS35/MRPS33/RPS18/RPS10",8
"GO:1904949","ATPase complex","10/353","127/19880",0.078740157480315,4.43443153175258,5.22043926855506,9.12209294578112e-05,0.00276345756886899,0.00208989126312013,"ATP6AP2/BPTF/ATP6V1A/SUZ12/YY1AP1/BCL7A/ACTR6/ATP6V1B2/SMARCC1/ATP6V0A1",10
"GO:0044391","ribosomal subunit","12/353","186/19880",0.0645161290322581,3.63337293246824,4.85141837769774,0.000128196502432294,0.0036678443751462,0.00277384245028941,"MRPL42/RPL23/DAP3/RPL39/RPL28/RPS5/MRPS18B/MRPS35/MRPS33/RPS18/RPS10/RPL14",12
"GO:0042470","melanosome","9/353","111/19880",0.0810810810810811,4.56626598269658,5.06581967175263,0.000163252304201182,0.00420374683318044,0.0031791238186546,"FLOT1/RAB5A/TFRC/ANXA2/ATP6V1B2/YWHAE/YWHAZ/ATP6V0A1/RAC1",9
"GO:0048770","pigment granule","9/353","111/19880",0.0810810810810811,4.56626598269658,5.06581967175263,0.000163252304201182,0.00420374683318044,0.0031791238186546,"FLOT1/RAB5A/TFRC/ANXA2/ATP6V1B2/YWHAE/YWHAZ/ATP6V0A1/RAC1",9
"GO:0000314","organellar small ribosomal subunit","5/353","32/19880",0.15625,8.79957507082153,5.93682725630127,0.000232910745703626,0.00545222881988033,0.00412330028279146,"MRPL42/DAP3/MRPS18B/MRPS35/MRPS33",5
"GO:0005763","mitochondrial small ribosomal subunit","5/353","32/19880",0.15625,8.79957507082153,5.93682725630127,0.000232910745703626,0.00545222881988033,0.00412330028279146,"MRPL42/DAP3/MRPS18B/MRPS35/MRPS33",5
"GO:0010494","cytoplasmic stress granule","8/353","96/19880",0.0833333333333333,4.69310670443815,4.87682618424799,0.000311386955532233,0.00697236009126523,0.0052729141211408,"CSDE1/ATXN2L/PABPC1/GIGYF2/RC3H2/LSM14A/FXR2/CASC3",8
