"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","23/285","424/19880",0.0542452830188679,3.78384640847402,6.98792898778955,5.42282382708547e-08,2.01805432719529e-05,1.61061281506095e-05,"CYFIP1/SRP68/NPM1/RPS3A/PTK7/DCAF6/G3BP1/PTPN12/CPNE3/DNM2/CTNNA1/CAPN2/CLASP2/IRF2/RPS18/SDCBP/RPS10/ARPC3/YWHAE/AIF1L/CHP1/VIM/RAC1",23
"GO:0030055","cell-substrate junction","23/285","434/19880",0.0529953917050691,3.6966610073571,6.85019828122015,8.27071445571841e-08,2.01805432719529e-05,1.61061281506095e-05,"CYFIP1/SRP68/NPM1/RPS3A/PTK7/DCAF6/G3BP1/PTPN12/CPNE3/DNM2/CTNNA1/CAPN2/CLASP2/IRF2/RPS18/SDCBP/RPS10/ARPC3/YWHAE/AIF1L/CHP1/VIM/RAC1",23
"GO:0098687","chromosomal region","21/285","408/19880",0.0514705882352941,3.59029927760578,6.37561095931803,4.96958773916035e-07,4.69088157213643e-05,3.74380108216238e-05,"ERCC1/WRAP53/CCNB1/SLF2/CENPH/NCAPD2/KNL1/TNKS2/SEPTIN7/CSNK1A1/CLASP2/FEN1/DCTN1/DCTN5/SETX/XPO1/GTF2B/SMARCC1/SEPTIN6/XRCC5/CENPS",21
"GO:0000779","condensed chromosome, centromeric region","14/285","186/19880",0.0752688172043011,5.25033012639125,7.02359129040418,5.13093205619828e-07,4.69088157213643e-05,3.74380108216238e-05,"CCNB1/CENPH/NCAPD2/KNL1/SEPTIN7/CSNK1A1/CLASP2/DCTN1/DCTN5/XPO1/GTF2B/SMARCC1/SEPTIN6/CENPS",14
"GO:0042470","melanosome","11/285","111/19880",0.0990990990990991,6.91259680733365,7.53345964466364,5.7674773427907e-07,4.69088157213643e-05,3.74380108216238e-05,"PDIA4/ERP29/SLC1A5/TFRC/CANX/SDCBP/ANXA2/RPN1/YWHAE/ATP6V0A1/RAC1",11
"GO:0048770","pigment granule","11/285","111/19880",0.0990990990990991,6.91259680733365,7.53345964466364,5.7674773427907e-07,4.69088157213643e-05,3.74380108216238e-05,"PDIA4/ERP29/SLC1A5/TFRC/CANX/SDCBP/ANXA2/RPN1/YWHAE/ATP6V0A1/RAC1",11
"GO:0036464","cytoplasmic ribonucleoprotein granule","16/285","261/19880",0.0613026819923372,4.27613094037776,6.42525153941214,1.2495946247866e-06,8.71145966994088e-05,6.95263174693297e-05,"IGF2BP1/RC3H1/SMN1/SMN2/UBAP2L/LSM3/G3BP1/RPL28/YTHDF1/CLOCK/CNOT1/LSM14A/SARNP/PQBP1/CASC3/RAC1",16
"GO:0000776","kinetochore","13/285","174/19880",0.0747126436781609,5.2115345835854,6.72919043868871,1.42954819126548e-06,8.72024396671943e-05,6.95964251010826e-05,"CCNB1/CENPH/KNL1/SEPTIN7/CSNK1A1/CLASP2/DCTN1/DCTN5/XPO1/GTF2B/SMARCC1/SEPTIN6/CENPS",13
"GO:0016607","nuclear speck","20/285","415/19880",0.0481927710843374,3.36165715493553,5.86355168976549,2.56684522658049e-06,0.000138618886875728,0.000110631984780025,"AKAP8L/CWC22/ACIN1/SAP18/SNRNP70/TRIP12/PRPF6/ZNF217/CSNK1A1/HEATR5B/SON/RNF34/SRSF4/SARNP/PQBP1/CASC3/ATP6V0A1/RBM10/EIF4A3/BRD2",20
"GO:0035770","ribonucleoprotein granule","16/285","278/19880",0.0575539568345324,4.01464091884387,6.10456690902903,2.8405509605682e-06,0.000138618886875728,0.000110631984780025,"IGF2BP1/RC3H1/SMN1/SMN2/UBAP2L/LSM3/G3BP1/RPL28/YTHDF1/CLOCK/CNOT1/LSM14A/SARNP/PQBP1/CASC3/RAC1",16
"GO:0000793","condensed chromosome","15/285","285/19880",0.0526315789473684,3.67128347183749,5.47793451274444,1.68983643012883e-05,0.00074967288900261,0.0005983152910504,"CCNB1/SLF2/CENPH/NCAPD2/KNL1/SEPTIN7/CSNK1A1/CLASP2/DCTN1/DCTN5/XPO1/GTF2B/SMARCC1/SEPTIN6/CENPS",15
"GO:0000775","chromosome, centromeric region","14/285","265/19880",0.0528301886792453,3.68513737173122,5.3069177024325,3.09703281387006e-05,0.00125946001097383,0.00100517731678239,"CCNB1/CENPH/NCAPD2/KNL1/SEPTIN7/CSNK1A1/CLASP2/DCTN1/DCTN5/XPO1/GTF2B/SMARCC1/SEPTIN6/CENPS",14
"GO:0010494","cytoplasmic stress granule","8/285","96/19880",0.0833333333333333,5.81286549707602,5.70071530283447,7.20430905158154e-05,0.00270438678243984,0.00215837599116208,"IGF2BP1/RC3H1/UBAP2L/G3BP1/YTHDF1/LSM14A/PQBP1/CASC3",8
"GO:0035145","exon-exon junction complex","4/285","21/19880",0.19047619047619,13.2865497076023,6.79372501785991,0.000204196379883783,0.00711770238452044,0.00568065116969923,"ACIN1/SAP18/CASC3/EIF4A3",4
"GO:0005840","ribosome","12/285","244/19880",0.0491803278688525,3.43054357204487,4.60700703501042,0.000221663998860106,0.00721146876291543,0.00575548628619222,"RACK1/MRPL42/SRP68/RPS3A/RPL28/RRBP1/RPS18/RPS10/GCN1/RNF10/MRPL2/EIF2AK4",12
"GO:0022626","cytosolic ribosome","8/285","118/19880",0.0677966101694915,4.72911091287541,4.89979510689967,0.000303168811076062,0.0092466487378199,0.00737976711171994,"RACK1/RPS3A/RPL28/RPS18/RPS10/GCN1/RNF10/EIF2AK4",8
