"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006413","translational initiation","16/377","124/18805",0.129032258064516,6.43621117480962,8.68687947322887,3.7650141336115e-09,1.34109803439242e-05,1.22184616567624e-05,"NPM1/MTOR/RPS3A/EIF1AX/EIF2S3/EIF3D/GIGYF2/LARP1/RPS5/ABCF1/EIF4G2/EIF3CL/EIF3C/EIF3G/DDX3X/EIF2AK4",16
"GO:0006605","protein targeting","22/377","339/18805",0.0648967551622419,3.23709146107681,5.94502750411187,1.4976801300958e-06,0.00196454842111607,0.00178985867853685,"HUWE1/ATG13/SRP68/MFN2/GNPTAB/TRAK1/NACA/ZDHHC2/UBE2D3/TIMM17A/MIEF1/VPS4A/CLU/SIL1/SDCBP/ARIH2/GSK3A/SMURF1/YWHAE/NPEPPS/CHP1/YWHAZ",22
"GO:0002181","cytoplasmic translation","15/377","169/18805",0.0887573964497041,4.4272754382936,6.40136667431705,1.65458878813818e-06,0.00196454842111607,0.00178985867853685,"RPL23/PABPC1/MTOR/CNBP/RPS3A/EIF2S3/RPL9/EIF3D/RPS5/EIF3CL/RPLP1/RPS18/RPS10/EIF3C/EIF3G",15
"GO:0022613","ribonucleoprotein complex biogenesis","27/377","494/18805",0.0546558704453441,2.72626961200185,5.56125441215137,2.7020374010633e-06,0.00240616430564687,0.00219220560723109,"SNRPD1/SMN1/GTPBP4/POP4/NPM1/BMS1/RPL7L1/RPS3A/EIF1AX/EIF2S3/EIF3D/PRPF6/CINP/PDCD11/SNRPG/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/EIF3C/SETX/EIF3G/EXOSC9/XRCC5/DDX3X/RBM5",27
"GO:0034504","protein localization to nucleus","20/377","322/18805",0.062111801242236,3.09817618663196,5.43175724535889,8.6430840853658e-06,0.00540529681702253,0.00492465205439891,"WRAP53/TNPO1/RPL23/NPM1/MTOR/CTDNEP1/LAMTOR5/HIKESHI/TFRC/CTNNA1/LATS2/MARK3/STAT3/NUP153/MED1/YWHAE/IPO5/PPP3CB/CHP1/YWHAZ",20
"GO:0072594","establishment of protein localization to organelle","25/377","467/18805",0.0535331905781585,2.67026962552326,5.22788148959622,9.10493568280045e-06,0.00540529681702253,0.00492465205439891,"WRAP53/HUWE1/ATG13/SRP68/MFN2/TNPO1/RPL23/NPM1/GNPTAB/HIKESHI/WBP2/UBE2D3/TIMM17A/STAT3/NUP153/VPS4A/CLU/MED1/ARIH2/TRIM37/GSK3A/SMURF1/NPEPPS/IPO5/CHP1",25
"GO:0007005","mitochondrion organization","24/377","445/18805",0.0539325842696629,2.69019163711144,5.16102912796201,1.21826388232533e-05,0.00583780812480211,0.00531870399502494,"NDUFA11/SLIRP/PTCD2/COA4/HUWE1/NDUFS7/RAB5IF/MFN2/AURKA/NDUFA3/NDUFAF7/TFRC/LONP1/RRM1/MIEF1/DNAJA3/COA1/CLU/NDUFB6/NDUFB7/NDUFAF2/APOO/VDAC2/GSK3A",24
"GO:0006418","tRNA aminoacylation for protein translation","7/377","41/18805",0.170731707317073,8.51620624959565,6.89103728454654,1.53803892410601e-05,0.00583780812480211,0.00531870399502494,"LRRC47/IARS1/EPRS1/RARS2/LARS1/YARS1/MARS1",7
"GO:0022618","protein-RNA complex assembly","16/377","228/18805",0.0701754385964912,3.50039555121225,5.43306680362118,1.55689693144218e-05,0.00583780812480211,0.00531870399502494,"SNRPD1/SMN1/EIF2S3/EIF3D/PRPF6/SNRPG/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/EIF3C/SETX/EIF3G/XRCC5/RBM5",16
"GO:0006913","nucleocytoplasmic transport","20/377","340/18805",0.0588235294117647,2.9341550943985,5.14769483354308,1.90859538641803e-05,0.00583780812480211,0.00531870399502494,"AKAP8L/DDX39A/TNPO1/RPL23/NPM1/SETD2/HIKESHI/NXT2/STAT3/NUP153/XPOT/MED1/ZC3H11A/PPP1R12A/SARNP/SMURF1/YWHAE/IPO5/CASC3/CHP1",20
"GO:0051169","nuclear transport","20/377","340/18805",0.0588235294117647,2.9341550943985,5.14769483354308,1.90859538641803e-05,0.00583780812480211,0.00531870399502494,"AKAP8L/DDX39A/TNPO1/RPL23/NPM1/SETD2/HIKESHI/NXT2/STAT3/NUP153/XPOT/MED1/ZC3H11A/PPP1R12A/SARNP/SMURF1/YWHAE/IPO5/CASC3/CHP1",20
"GO:0043039","tRNA aminoacylation","7/377","44/18805",0.159090909090909,7.93555582348686,6.58773791169997,2.48959253485768e-05,0.00583780812480211,0.00531870399502494,"LRRC47/IARS1/EPRS1/RARS2/LARS1/YARS1/MARS1",7
"GO:0071826","protein-RNA complex organization","16/377","237/18805",0.0675105485232067,3.36746913787507,5.24605247160723,2.50907199621686e-05,0.00583780812480211,0.00531870399502494,"SNRPD1/SMN1/EIF2S3/EIF3D/PRPF6/SNRPG/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/EIF3C/SETX/EIF3G/XRCC5/RBM5",16
"GO:0045727","positive regulation of translation","12/377","140/18805",0.0857142857142857,4.2754831375521,5.56393545497359,2.57690687872308e-05,0.00583780812480211,0.00531870399502494,"PABPC1/NPM1/MTOR/CNBP/EIF3D/LARP1/ABCF1/EIF4G2/PRKDC/EIF3C/DDX3X/EIF2AK4",12
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","24/377","467/18805",0.0513918629550321,2.56345884050233,4.8935677252989,2.67426765383703e-05,0.00583780812480211,0.00531870399502494,"RNF126/HUWE1/PJA2/AURKA/PIAS1/TRIP12/CSNK1A1/UBE2D3/PSMD4/SUMO2/FAF1/PSMA1/CLU/UBE2K/ITCH/RNF34/ZYG11B/TBL1XR1/ARIH2/PSMB3/GSK3A/SMURF1/SMARCC1/PSMD8",24
