"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","32/389","424/19880",0.0754716981132075,3.85701120434593,8.40084747627797,7.79346773954218e-11,3.76361114732112e-08,3.0010591459644e-08,"SRP68/RPL23/PABPC1/NPM1/RPS3A/NCKAP1/PAK1/PTK7/DCAF6/RPL9/G3BP1/PTPN12/DNM2/CTNNA1/RPS5/IRF2/NUMB/RPLP1/PVR/RPS18/SDCBP/PIP5K1A/RPS10/PPP1R12A/ARPC3/ACTN1/YWHAE/CHP1/TSPAN9/YWHAZ/MAPRE1/RAC1",32
"GO:0030055","cell-substrate junction","32/389","434/19880",0.0737327188940092,3.76813997843934,8.23707041207698,1.41489140876734e-10,3.76361114732112e-08,3.0010591459644e-08,"SRP68/RPL23/PABPC1/NPM1/RPS3A/NCKAP1/PAK1/PTK7/DCAF6/RPL9/G3BP1/PTPN12/DNM2/CTNNA1/RPS5/IRF2/NUMB/RPLP1/PVR/RPS18/SDCBP/PIP5K1A/RPS10/PPP1R12A/ARPC3/ACTN1/YWHAE/CHP1/TSPAN9/YWHAZ/MAPRE1/RAC1",32
"GO:0036464","cytoplasmic ribonucleoprotein granule","18/389","261/19880",0.0689655172413793,3.52451023845404,5.79981262791176,4.25075909467569e-06,0.000753801279455823,0.000601072250931335,"EDC3/SMN1/PABPC1/UBAP2L/G3BP1/DCP1A/GIGYF2/SNRPG/LARP1/RC3H2/CNOT1/LSM2/RBPMS2/LSM14A/SARNP/CASC3/DDX3X/RAC1",18
"GO:0016607","nuclear speck","23/389","415/19880",0.0554216867469879,2.8323473843962,5.32917109540993,8.23942014042256e-06,0.000792303174185386,0.000631773207749724,"AKAP8L/DDX39A/SAP18/SNRNP70/PIAS1/EFTUD2/CDC5L/TRIP12/DUSP11/HIKESHI/PRPF6/CSNK1A1/PRPF8/PSPC1/PIP5K1A/MORF4L1/RNF34/SRSF4/SARNP/ZNF106/CASC3/ATP6V0A1/BRD2",23
"GO:0035770","ribonucleoprotein granule","18/389","278/19880",0.0647482014388489,3.30898263394426,5.4770647962865,1.01565717097861e-05,0.000792303174185386,0.000631773207749724,"EDC3/SMN1/PABPC1/UBAP2L/G3BP1/DCP1A/GIGYF2/SNRPG/LARP1/RC3H2/CNOT1/LSM2/RBPMS2/LSM14A/SARNP/CASC3/DDX3X/RAC1",18
"GO:0005852","eukaryotic translation initiation factor 3 complex","5/389","16/19880",0.3125,15.9704370179949,8.46283986771243,1.02231540727084e-05,0.000792303174185386,0.000631773207749724,"EIF3D/EIF3CL/EIF3C/EIF3G/DDX3X",5
"GO:0071013","catalytic step 2 spliceosome","10/389","90/19880",0.111111111111111,5.67837760639817,6.28418029433769,1.04250417655972e-05,0.000792303174185386,0.000631773207749724,"SNRPD1/PPIL2/PABPC1/EFTUD2/CDC5L/PPIL3/PRPF6/SNRPG/PRPF8/LSM2",10
"GO:0033290","eukaryotic 48S preinitiation complex","5/389","17/19880",0.294117647058824,15.0309995463481,8.17608987478307,1.42507294210998e-05,0.000912105010485914,0.000727301779235899,"EIF1AX/EIF3D/EIF3CL/EIF3C/EIF3G",5
"GO:0005635","nuclear envelope","25/389","496/19880",0.0504032258064516,2.57587693838627,5.02107194778267,1.70378427017049e-05,0.000912105010485914,0.000727301779235899,"GTPBP4/MTOR/CLIC1/CCNI/CTDNEP1/ATF6/ANKRD17/PAK1/VAPA/PCM1/NXT2/ABCF1/NUP153/FAF1/RRM1/XPOT/TMPO/VPS4A/SDCBP/LEMD3/MATR3/DCTN5/ENO1/IPO5/CASC3",25
"GO:0010494","cytoplasmic stress granule","10/389","96/19880",0.104166666666667,5.32347900599829,5.99883512984408,1.85271203299737e-05,0.000912105010485914,0.000727301779235899,"PABPC1/UBAP2L/G3BP1/GIGYF2/LARP1/RC3H2/RBPMS2/LSM14A/CASC3/DDX3X",10
