"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","26/303","424/19880",0.0613207547169811,4.02328912136497,7.82855021345543,2.0035389896835e-09,7.2772227273363e-07,5.30720279147254e-07,"CYFIP1/SRP68/ARPC2/PABPC1/NPM1/RPS3A/DCAF6/KRAS/PTPN12/CPNE3/ARHGEF2/FLNB/RPLP1/PVR/RPS18/PTK2/SDCBP/PPP1R12A/TPM4/ARPC3/ACTN1/YWHAE/CHP1/TSPAN9/VIM/YWHAZ",26
"GO:0030055","cell-substrate junction","26/303","434/19880",0.0599078341013825,3.9305866070478,7.67944430923029,3.26332857728085e-09,7.2772227273363e-07,5.30720279147254e-07,"CYFIP1/SRP68/ARPC2/PABPC1/NPM1/RPS3A/DCAF6/KRAS/PTPN12/CPNE3/ARHGEF2/FLNB/RPLP1/PVR/RPS18/PTK2/SDCBP/PPP1R12A/TPM4/ARPC3/ACTN1/YWHAE/CHP1/TSPAN9/VIM/YWHAZ",26
"GO:0005681","spliceosomal complex","14/303","208/19880",0.0673076923076923,4.41609545569942,6.16144984979686,3.98847052115973e-06,0.00059295261747908,0.00043243417229416,"SNRPD1/PABPC1/SNRNP70/EFTUD2/LSM3/PPIL3/PRPF6/HNRNPC/CTNNBL1/SMU1/PRPF8/LSM2/CASC3/RBM5",14
"GO:0042470","melanosome","10/303","111/19880",0.0900900900900901,5.91086135640591,6.45464442396455,7.73534639718675e-06,0.000647097313697058,0.00047192133569127,"PDIA4/RAB5A/TFRC/ANXA2/SDCBP/PDIA6/RPN1/YWHAE/YWHAZ/ATP6V0A1",10
"GO:0048770","pigment granule","10/303","111/19880",0.0900900900900901,5.91086135640591,6.45464442396455,7.73534639718675e-06,0.000647097313697058,0.00047192133569127,"PDIA4/RAB5A/TFRC/ANXA2/SDCBP/PDIA6/RPN1/YWHAE/YWHAZ/ATP6V0A1",10
"GO:0071013","catalytic step 2 spliceosome","9/303","90/19880",0.1,6.56105610561056,6.57811020420111,9.44502594735839e-06,0.000647097313697058,0.00047192133569127,"SNRPD1/PABPC1/EFTUD2/LSM3/PPIL3/PRPF6/HNRNPC/PRPF8/LSM2",9
"GO:0071005","U2-type precatalytic spliceosome","7/303","50/19880",0.14,9.18547854785479,7.20963420382465,1.01562358652005e-05,0.000647097313697058,0.00047192133569127,"SNRPD1/EFTUD2/LSM3/PRPF6/SMU1/PRPF8/LSM2",7
"GO:0071011","precatalytic spliceosome","7/303","52/19880",0.134615384615385,8.83219091139883,7.03543560546156,1.32536225944751e-05,0.000714067470470736,0.00052076197398031,"SNRPD1/EFTUD2/LSM3/PRPF6/SMU1/PRPF8/LSM2",7
"GO:0005684","U2-type spliceosomal complex","9/303","95/19880",0.0947368421052632,6.21573736321001,6.33949991790116,1.47035306345359e-05,0.000714067470470736,0.00052076197398031,"SNRPD1/SNRNP70/EFTUD2/LSM3/PRPF6/SMU1/PRPF8/LSM2/CASC3",9
"GO:0010494","cytoplasmic stress granule","9/303","96/19880",0.09375,6.1509900990099,6.29382684724926,1.60104814006891e-05,0.000714067470470736,0.00052076197398031,"IGF2BP1/NXF1/PABPC1/UBAP2L/GIGYF2/YTHDF1/RBPMS2/LSM14A/CASC3",9
