"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035770","ribonucleoprotein granule","22/294","278/19880",0.079136690647482,5.35114765330593,8.95105207069984,1.86731364056078e-10,8.97876537804696e-08,7.26440405467317e-08,"CSDE1/EDC3/HNRNPL/RC3H1/SMN1/PABPC1/DCP2/BTBD1/SMN2/VCP/DCP1A/HAX1/RPL28/SNRPG/RC3H2/NBDY/RAC1/RBPMS2/LSM14A/PQBP1/TUBB/CASC3",22
"GO:0036464","cytoplasmic ribonucleoprotein granule","21/294","261/19880",0.0804597701149425,5.44061302681992,8.84754551897168,3.61318526279556e-10,8.97876537804696e-08,7.26440405467317e-08,"CSDE1/EDC3/RC3H1/SMN1/PABPC1/DCP2/BTBD1/SMN2/VCP/DCP1A/HAX1/RPL28/SNRPG/RC3H2/NBDY/RAC1/RBPMS2/LSM14A/PQBP1/TUBB/CASC3",21
"GO:0005925","focal adhesion","25/294","424/19880",0.0589622641509434,3.98697214734951,7.61702497241792,4.95336080323696e-09,8.2060677306959e-07,6.639241497672e-07,"FLOT1/RDX/CYFIP1/PABPC1/CBL/VASP/PTK7/PTPN12/B2M/DNM2/PRKAR2A/RPS5/RAC1/IRF2/NUMB/RPS18/RPS10/ARPC3/RPL5/YWHAE/AIF1L/LAMTOR3/SCARB2/CHP1/TSPAN9",25
"GO:0030055","cell-substrate junction","25/294","434/19880",0.0576036866359447,3.89510642966864,7.47123358885855,7.90410467119646e-09,9.8208500539616e-07,7.94570522209749e-07,"FLOT1/RDX/CYFIP1/PABPC1/CBL/VASP/PTK7/PTPN12/B2M/DNM2/PRKAR2A/RPS5/RAC1/IRF2/NUMB/RPS18/RPS10/ARPC3/RPL5/YWHAE/AIF1L/LAMTOR3/SCARB2/CHP1/TSPAN9",25
"GO:0000932","P-body","10/294","100/19880",0.1,6.76190476190476,7.07702922298619,2.30043899966207e-06,0.000228663636566409,0.00018500372586756,"CSDE1/EDC3/RC3H1/DCP2/BTBD1/DCP1A/HAX1/RC3H2/NBDY/LSM14A",10
"GO:0034719","SMN-Sm protein complex","5/294","19/19880",0.263157894736842,17.7944862155388,8.97306934403765,6.70742676924639e-06,0.000555598517385909,0.000449515267693355,"SNRPD1/SMN1/SMN2/SNRPG/SNRPD2",5
"GO:0010494","cytoplasmic stress granule","9/294","96/19880",0.09375,6.33928571428571,6.42480251847677,1.26000911825975e-05,0.000894606473964419,0.000723794711541688,"CSDE1/RC3H1/PABPC1/VCP/RC3H2/RBPMS2/LSM14A/PQBP1/CASC3",9
"GO:0016607","nuclear speck","18/294","415/19880",0.0433734939759036,2.9328743545611,4.87526834506214,5.0296574174683e-05,0.00312467467060218,0.00252806464930643,"PRKACA/PIAS2/AKAP8L/DDX17/ITPKC/U2AF1/SAP18/PIAS1/LUC7L2/CSNK1A1/RREB1/PRPF8/HEATR5B/MORF4L1/AK6/ZNF106/PQBP1/CASC3",18
"GO:0015935","small ribosomal subunit","7/294","74/19880",0.0945945945945946,6.3963963963964,5.69795969753378,0.00011115822776623,0.00552473151064256,0.00446986643453449,"MRPL42/DAP3/RPS5/MRPS18B/MRPS35/RPS18/RPS10",7
"GO:0035861","site of double-strand break","8/294","99/19880",0.0808080808080808,5.46416546416546,5.45546553105888,0.000111161599811721,0.00552473151064256,0.00446986643453449,"WRAP53/DDB1/PARP1/VCP/INTS3/SLF2/MMS22L/ARPC3",8
"GO:0034708","methyltransferase complex","8/294","101/19880",0.0792079207920792,5.35596416784536,5.37701040936953,0.000127926544347552,0.00577995386733938,0.00467635788906839,"SNRPD1/SUZ12/SNRPG/KMT2A/SNRPD2/WDR4/TAF9/TRIM37",8
"GO:0016605","PML body","8/294","110/19880",0.0727272727272727,4.91774891774892,5.0480966845093,0.000231322701924271,0.00958061523803022,0.00775133966097118,"PIAS2/AKAP8L/TOP3A/PIAS1/SLF2/DAPK3/WDFY3/SUMO2",8
