"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046540","U4/U6 x U5 tri-snRNP complex","5/157","45/19880",0.111111111111111,14.069355980184,7.83077863989099,2.72856853445671e-05,0.00283436407408225,0.00249298585037735,"SNRPD1/PRPF8/LSM2/SNU13/PRPF6",5
"GO:0097526","spliceosomal tri-snRNP complex","5/157","46/19880",0.108695652173913,13.7635004153974,7.73221931809248,3.04192410813532e-05,0.00283436407408225,0.00249298585037735,"SNRPD1/PRPF8/LSM2/SNU13/PRPF6",5
"GO:0005925","focal adhesion","13/157","424/19880",0.0306603773584906,3.8823458718904,5.35257607686998,3.31773684397549e-05,0.00283436407408225,0.00249298585037735,"RPS5/NCKAP1/SRP68/PABPC1/YWHAE/RPLP1/NPM1/PTPN12/RPS18/YWHAZ/RPS3A/DNM2/CTNNA1",13
"GO:0030055","cell-substrate junction","13/157","434/19880",0.0299539170506912,3.79289089788371,5.24860996201953,4.21647536373005e-05,0.00283436407408225,0.00249298585037735,"RPS5/NCKAP1/SRP68/PABPC1/YWHAE/RPLP1/NPM1/PTPN12/RPS18/YWHAZ/RPS3A/DNM2/CTNNA1",13
"GO:0022626","cytosolic ribosome","7/157","118/19880",0.0593220338983051,7.51160531145417,6.32957034166421,4.24287216386499e-05,0.00283436407408225,0.00249298585037735,"RPS5/RPLP1/RPS18/RPL7L1/DDX3X/RPS3A/EIF2AK4",7
"GO:0071005","U2-type precatalytic spliceosome","5/157","50/19880",0.1,12.6624203821656,7.36669929714893,4.58387720875836e-05,0.00283436407408225,0.00249298585037735,"SNRPD1/PRPF8/LSM2/SNU13/PRPF6",5
"GO:0071011","precatalytic spliceosome","5/157","52/19880",0.0961538461538462,12.1754042136208,7.19923023748997,5.55180916890991e-05,0.00294245885952225,0.00258806141708582,"SNRPD1/PRPF8/LSM2/SNU13/PRPF6",5
"GO:0071013","catalytic step 2 spliceosome","6/157","90/19880",0.0666666666666667,8.4416135881104,6.31285884272942,7.94469293760074e-05,0.00368435134981234,0.00324059843507399,"SNRPD1/PRPF8/LSM2/PABPC1/PRPF6/HNRNPC",6
"GO:0072379","ER membrane insertion complex","3/157","14/19880",0.214285714285714,27.1337579617834,8.72712652821268,0.000164999460171463,0.00680164441373476,0.0059824365676203,"CCDC47/NOMO3/SGTA",3
"GO:0042470","melanosome","6/157","111/19880",0.0540540540540541,6.84455155792735,5.50910358807154,0.000252211673619372,0.00850641190116246,0.00748187739923496,"RPN1/YWHAE/CANX/YWHAZ/ATP6V0A1/CALU",6
"GO:0048770","pigment granule","6/157","111/19880",0.0540540540540541,6.84455155792735,5.50910358807154,0.000252211673619372,0.00850641190116246,0.00748187739923496,"RPN1/YWHAE/CANX/YWHAZ/ATP6V0A1/CALU",6
