"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007051","spindle organization","15/222","206/18805",0.0728155339805825,6.16800052479664,8.15182892771992,2.38078958248508e-08,6.5114595080967e-05,6.06725429389093e-05,"NUDC/AURKA/TBCE/CCNB1/HAUS6/CENPH/UHRF1/STAG1/SAC3D1/CLASP2/TACC1/LSM14A/TUBB/SKA2/MAPRE1",15
"GO:0140694","membraneless organelle assembly","19/222","427/18805",0.0444964871194379,3.76917315441906,6.32642875602398,8.12300374500472e-07,0.000851324030113783,0.000793247561591636,"MOSPD2/AURKA/HAUS6/UBAP2L/CENPH/UHRF1/STAG1/PRKDC/SAC3D1/CLASP2/PSPC1/LSM14A/TRIM37/TUBB/RPL5/XRCC5/SKA2/MAPRE1/BRCA1",19
"GO:0007059","chromosome segregation","19/222","431/18805",0.0440835266821346,3.73419242908802,6.27638463444235,9.33810636322248e-07,0.000851324030113783,0.000793247561591636,"AKAP8L/TOP3A/NUDC/AURKA/CCNB1/HAUS6/CENPH/NCAPD2/UHRF1/KNL1/STAG1/SAC3D1/CLASP2/BCL7A/LSM14A/TUBB/SKA2/MAPRE1/BRCA1",19
"GO:0007052","mitotic spindle organization","10/222","135/18805",0.0740740740740741,6.27460794127461,6.72246584866247,4.67516827776637e-06,0.00249286145303953,0.00232280095364522,"NUDC/AURKA/TBCE/CCNB1/CENPH/UHRF1/STAG1/CLASP2/TACC1/LSM14A",10
"GO:0051225","spindle assembly","10/222","136/18805",0.0735294117647059,6.228471118177,6.68847848973191,4.99477389386796e-06,0.00249286145303953,0.00232280095364522,"AURKA/HAUS6/UHRF1/STAG1/SAC3D1/CLASP2/LSM14A/TUBB/SKA2/MAPRE1",10
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","11/222","169/18805",0.0650887573964497,5.51348685964071,6.4420320159276,5.46880026260956e-06,0.00249286145303953,0.00232280095364522,"NUDC/AURKA/TBCE/CCNB1/CENPH/UHRF1/STAG1/CLASP2/TACC1/LSM14A/MAPRE1",11
"GO:0000070","mitotic sister chromatid segregation","11/222","193/18805",0.0569948186528497,4.82787191336414,5.84229153445513,1.92028275440512e-05,0.00701580636024677,0.00653719511138552,"AKAP8L/NUDC/CCNB1/NCAPD2/UHRF1/KNL1/STAG1/CLASP2/LSM14A/SKA2/MAPRE1",11
"GO:0007005","mitochondrion organization","17/222","445/18805",0.0382022471910112,3.23600566858994,5.21747362474423,2.30072090742774e-05,0.00701580636024677,0.00653719511138552,"PPP2CB/SLIRP/PTCD2/TOP3A/COA4/HUWE1/AURKA/NDUFA3/CHCHD3/LONP1/CHCHD2/FIS1/SSBP1/DNAJA3/COA1/NDUFB7/MYH14",17
"GO:0000819","sister chromatid segregation","12/222","234/18805",0.0512820512820513,4.34395934395934,5.62593833165707,2.30867485346329e-05,0.00701580636024677,0.00653719511138552,"AKAP8L/NUDC/CCNB1/NCAPD2/UHRF1/KNL1/STAG1/CLASP2/BCL7A/LSM14A/SKA2/MAPRE1",12
"GO:0140014","mitotic nuclear division","13/222","282/18805",0.0460992907801418,3.90494217621877,5.37217408950582,3.23157806547202e-05,0.00883836600906596,0.00823542157527132,"AKAP8L/NUDC/AURKA/CCNB1/NCAPD2/UHRF1/KNL1/STAG1/CLASP2/LSM14A/REEP3/SKA2/MAPRE1",13
