"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072379","ER membrane insertion complex","4/185","14/19880",0.285714285714286,30.7027027027027,10.7748171561962,6.75608080096602e-06,0.00113470476645139,0.000953842619840656,"NOMO1/BAG6/RAB5IF/NOMO3",4
"GO:0042470","melanosome","8/185","111/19880",0.0720720720720721,7.74482590698807,6.90629335339092,9.42954032702584e-06,0.00113470476645139,0.000953842619840656,"PDIA4/RAC1/YWHAE/YWHAZ/ATP6V0A1/ANXA2/HSP90AB1/PDIA6",8
"GO:0048770","pigment granule","8/185","111/19880",0.0720720720720721,7.74482590698807,6.90629335339092,9.42954032702584e-06,0.00113470476645139,0.000953842619840656,"PDIA4/RAC1/YWHAE/YWHAZ/ATP6V0A1/ANXA2/HSP90AB1/PDIA6",8
"GO:0005925","focal adhesion","15/185","424/19880",0.035377358490566,3.80163182049975,5.65161214070279,1.07554954166009e-05,0.00113470476645139,0.000953842619840656,"CAPN2/NCKAP1/PTK7/ARPC2/RAC1/IRF2/YWHAE/NPM1/CHP1/RPS18/YWHAZ/CPNE3/MAPRE1/RPS10/CTNNA1",15
"GO:0030055","cell-substrate junction","15/185","434/19880",0.0345622119815668,3.71403661726242,5.54052048984471,1.41555365051209e-05,0.0011947272810322,0.00100429806362647,"CAPN2/NCKAP1/PTK7/ARPC2/RAC1/IRF2/YWHAE/NPM1/CHP1/RPS18/YWHAZ/CPNE3/MAPRE1/RPS10/CTNNA1",15
"GO:0071013","catalytic step 2 spliceosome","7/185","90/19880",0.0777777777777778,8.35795795795796,6.78048560233217,2.10207593649161e-05,0.00147846007533243,0.00124280629929416,"SNRNP40/CWC22/PPIL2/LSM2/ESS2/HNRNPC/CDC5L",7
"GO:0005681","spliceosomal complex","10/185","208/19880",0.0480769230769231,5.16632016632017,5.85416810081886,2.6127777646542e-05,0.00157513173812011,0.00132406933336612,"SNRNP40/LUC7L2/CWC22/PPIL2/LSM2/ESS2/SNRNP70/HNRNPC/CDC5L/CTNNBL1",10
"GO:0015935","small ribosomal subunit","6/185","74/19880",0.0810810810810811,8.71292914536158,6.44231495111631,6.56348429008704e-05,0.00346223796302091,0.00291038711284123,"MRPL42/RPS27A/MRPS18B/RPS18/RPS10/LARP4",6
"GO:0017101","aminoacyl-tRNA synthetase multienzyme complex","3/185","11/19880",0.272727272727273,29.3071253071253,9.10142183408888,0.000123832599705008,0.0058063730083904,0.00488088726322665,"LARS1/EPRS1/MARS1",3
"GO:0016607","nuclear speck","13/185","415/19880",0.0313253012048193,3.36619993487463,4.72121111484366,0.000143651680115858,0.0060621009008892,0.00509585433674149,"SNRNP40/PIAS2/LUC7L2/CWC22/ITPKC/AK6/PQBP1/PSPC1/SNRNP70/ATP6V0A1/CSNK1A1/CDC5L/BRD2",13
