"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","16/217","424/19880",0.0377358490566038,3.45709068776628,5.37253903550128,1.81777127315837e-05,0.00348160717936447,0.00293350494048448,"NCKAP1/RPS9/RPLP0/KRAS/RPL23/G3BP1/IRF2/YWHAE/NUMB/RPLP1/NPM1/PIP5K1A/RPS10/HYOU1/DNM2/CTNNA1",16
"GO:0030055","cell-substrate junction","16/217","434/19880",0.0368663594470046,3.37743422030623,5.26066295346663,2.41425509176263e-05,0.00348160717936447,0.00293350494048448,"NCKAP1/RPS9/RPLP0/KRAS/RPL23/G3BP1/IRF2/YWHAE/NUMB/RPLP1/NPM1/PIP5K1A/RPS10/HYOU1/DNM2/CTNNA1",16
"GO:0000775","chromosome, centromeric region","12/217","265/19880",0.0452830188679245,4.14850882531954,5.42045745344847,3.65742989919714e-05,0.00348160717936447,0.00293350494048448,"SEPTIN2/SMARCA5/DCTN5/CENPH/NCAPD2/KIF2C/CCNB1/KNL1/PPP2R5A/CSNK1A1/CENPS/DAPK3",12
"GO:0044391","ribosomal subunit","10/217","186/19880",0.0537634408602151,4.92542490461325,5.65038997860298,3.92428904230909e-05,0.00348160717936447,0.00293350494048448,"MRPL42/RPS27A/RPS9/RPLP0/DAP3/RPL23/RPLP1/RPL7L1/RPS10/LARP4",10
"GO:0098687","chromosomal region","15/217","408/19880",0.0367647058823529,3.36812144212524,5.0772788429393,4.49169174911033e-05,0.00348160717936447,0.00293350494048448,"ERCC1/WRAP53/SEPTIN2/SMARCA5/DCTN5/CENPH/NCAPD2/KIF2C/CCNB1/XRCC5/KNL1/PPP2R5A/CSNK1A1/CENPS/DAPK3",15
"GO:0022626","cytosolic ribosome","8/217","118/19880",0.0677966101694915,6.21104428649535,5.96420502650494,4.63184990602812e-05,0.00348160717936447,0.00293350494048448,"RPS27A/RPS9/RPLP0/RPL23/RPLP1/RPL7L1/RPS10/LARP4",8
"GO:0010494","cytoplasmic stress granule","7/217","96/19880",0.0729166666666667,6.68010752688172,5.86053637947619,8.77559245459477e-05,0.00519732862565383,0.00437912389744668,"LSM14A/YTHDF1/UBAP2L/PQBP1/G3BP1/GIGYF2/LARP4",7
"GO:0005819","spindle","15/217","435/19880",0.0344827586206897,3.15906562847608,4.78309209040745,9.21920820515091e-05,0.00519732862565383,0.00437912389744668,"NUSAP1/SEPTIN2/TBL1XR1/LSM14A/NUDC/SAC3D1/UHRF1/KIF2C/CCNB1/NPM1/TADA3/HAUS6/CSNK1A1/DAPK3/LATS2",15
"GO:0005635","nuclear envelope","16/217","496/19880",0.032258064516129,2.95525494276795,4.63259969542731,0.000116928012716665,0.0058593926372462,0.00493696053692585,"LEMD3/ABCF1/CTDNEP1/ATF6/MATR3/ANKRD17/SURF4/DCTN5/VAPA/PCM1/FAF1/RRM1/XPOT/MTOR/CLIC1/NXT2",16
"GO:0036464","cytoplasmic ribonucleoprotein granule","11/217","261/19880",0.0421455938697318,3.86108021258188,4.88780755134401,0.000145860449155543,0.00646087788596658,0.00544375520325344,"LSM14A/YTHDF1/RPLP0/UBAP2L/SMN1/LSM2/PQBP1/G3BP1/GIGYF2/DHX9/LARP4",11
"GO:0015935","small ribosomal subunit","6/217","74/19880",0.0810810810810811,7.42807323452485,5.81969912795538,0.0001575823874626,0.00646087788596658,0.00544375520325344,"MRPL42/RPS27A/RPS9/DAP3/RPS10/LARP4",6
"GO:0000779","condensed chromosome, centromeric region","9/217","186/19880",0.0483870967741935,4.43288241415192,4.94140758312572,0.000212284931192363,0.00797837533064631,0.00672235615442483,"SEPTIN2/DCTN5/CENPH/NCAPD2/KIF2C/CCNB1/KNL1/CSNK1A1/CENPS",9
"GO:0035770","ribonucleoprotein granule","11/217","278/19880",0.039568345323741,3.62497099094918,4.63019154940439,0.00025192532338612,0.00873987083439538,0.00736397099128657,"LSM14A/YTHDF1/RPLP0/UBAP2L/SMN1/LSM2/PQBP1/G3BP1/GIGYF2/DHX9/LARP4",11
