"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016607","nuclear speck","17/194","415/19880",0.0409638554216867,4.19773941125326,6.53520635373467,7.15359754845232e-07,0.000272552066596033,0.000237951244769572,"PRKACA/RREB1/PIAS2/AKAP8L/DDX17/SMU1/LUC7L2/ITPKC/AK6/TRIP12/U2AF1/SAP18/SNRNP70/PRPF6/ATP6V0A1/CDC5L/SRSF4",17
"GO:0005952","cAMP-dependent protein kinase complex","4/194","11/19880",0.363636363636364,37.2633552014995,11.9425127348637,2.75014044929584e-06,0.000523901755590857,0.00045739177998815,"PRKACA/PRKAR2A/PRKAR2B/PRKAR1B",4
"GO:0033290","eukaryotic 48S preinitiation complex","4/194","17/19880",0.235294117647059,24.1115827774409,9.46348546914053,1.89438261053158e-05,0.0023022658076431,0.00200999031693665,"EIF3G/EIF3CL/EIF3I/EIF1AX",4
"GO:0016282","eukaryotic 43S preinitiation complex","4/194","18/19880",0.222222222222222,22.7720504009164,9.1736778749297,2.41707696340483e-05,0.0023022658076431,0.00200999031693665,"EIF3G/EIF3CL/EIF3I/EIF1AX",4
"GO:0070993","translation preinitiation complex","4/194","19/19880",0.210526315789474,21.5735214324471,8.90644252282856,3.03831007042664e-05,0.0023151922736651,0.00202127575211541,"EIF3G/EIF3CL/EIF3I/EIF1AX",4
"GO:0034045","phagophore assembly site membrane","4/194","21/19880",0.19047619047619,19.5189003436426,8.42879605169148,4.62033976538307e-05,0.00293391575101825,0.00256145151905447,"WDR45B/ATG13/WIPI2/RAB1B",4
"GO:0015935","small ribosomal subunit","6/194","74/19880",0.0810810810810811,8.30872109222625,6.25285349237822,8.53386045480383e-05,0.00464485833325751,0.00405518782513987,"MRPL42/RPS27A/MRPS18B/DAP3/RPS18/RPS10",6
"GO:0061695","transferase complex, transferring phosphorus-containing groups","11/194","305/19880",0.0360655737704918,3.69579178637823,4.70982500954034,0.000212230169650403,0.00816922456906545,0.00713213140993144,"PRKACA/POLR3C/ERC1/TAF9/PRKAR2A/ATG13/PRKAR2B/PRKDC/PRPS1/PRKAR1B/PIK3R3",11
"GO:0008287","protein serine/threonine phosphatase complex","5/194","56/19880",0.0892857142857143,9.14948453608247,6.06244623992837,0.000214415343020091,0.00816922456906545,0.00713213140993144,"CTDNEP1/PPP2R1A/PPP2R2D/PPP2R5B/PPP4R2",5
"GO:1903293","phosphatase complex","5/194","56/19880",0.0892857142857143,9.14948453608247,6.06244623992837,0.000214415343020091,0.00816922456906545,0.00713213140993144,"CTDNEP1/PPP2R1A/PPP2R2D/PPP2R5B/PPP4R2",5
