"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","RNA splicing","64/838","482/18805",0.132780082987552,2.97962942790085,9.50864155301128,4.13835539476135e-15,1.96282196373531e-11,1.74638597658929e-11,"AKAP8L/DDX17/SNRPD1/NCBP2/AQR/HNRNPL/CWC22/DDX39A/SNRPN/SMN1/PPIL2/U2AF1/PABPC1/SAP18/YBX1/SNRNP70/SMN2/TADA3/EFTUD2/DDX39B/CDC5L/LUC7L2/FUS/TRA2B/LSM3/PPIL3/PRPF6/HNRNPC/POLR2A/SUGP1/NUP98/SNRPG/DHX9/SF3B2/SMU1/PRPF8/RBM6/LSM2/PRPF19/TSEN15/RPS26/SNRPD2/ESS2/SLC38A2/SON/SRSF4/SNRNP40/ZBTB8OS/RBPMS2/YTHDC1/RTRAF/C2orf49/TRA2A/TAF9/TMBIM6/SETX/USP22/THOC5/PPP4R2/SNU13/CASC3/RBM42/METTL14/RBM25",64
"GO:0006403","RNA localization","35/838","206/18805",0.169902912621359,3.81267812869291,8.76633768166639,7.88350027183078e-12,1.36606119559281e-08,1.21542868340748e-08,"IGF2BP1/AKAP8L/FLOT1/WRAP53/NCBP2/CHTOP/DDX39A/SMG7/DCP2/YBX1/PABPN1/DDX39B/SETD2/CCT7/KPNB1/CCT8/CAPRIN1/PRPF6/NXT2/NUP98/DHX9/PARN/NUP153/LRPPRC/NUP107/NUP214/YTHDC1/RTRAF/ZC3H11A/SARNP/THOC5/FXR2/CASC3/CCT3/NDC1",35
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","46/838","336/18805",0.136904761904762,3.07218860097738,8.27725957807175,1.1520651027559e-11,1.36606119559281e-08,1.21542868340748e-08,"DDX17/SNRPD1/NCBP2/AQR/HNRNPL/CWC22/DDX39A/SNRPN/SMN1/U2AF1/PABPC1/SAP18/SNRNP70/SMN2/EFTUD2/DDX39B/CDC5L/LUC7L2/TRA2B/LSM3/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/SMU1/PRPF8/RBM6/LSM2/PRPF19/SNRPD2/ESS2/SON/SRSF4/SNRNP40/RBPMS2/YTHDC1/TRA2A/SETX/SNU13/CASC3/RBM42/METTL14/RBM25",46
"GO:0000398","mRNA splicing, via spliceosome","46/838","336/18805",0.136904761904762,3.07218860097738,8.27725957807175,1.1520651027559e-11,1.36606119559281e-08,1.21542868340748e-08,"DDX17/SNRPD1/NCBP2/AQR/HNRNPL/CWC22/DDX39A/SNRPN/SMN1/U2AF1/PABPC1/SAP18/SNRNP70/SMN2/EFTUD2/DDX39B/CDC5L/LUC7L2/TRA2B/LSM3/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/SMU1/PRPF8/RBM6/LSM2/PRPF19/SNRPD2/ESS2/SON/SRSF4/SNRNP40/RBPMS2/YTHDC1/TRA2A/SETX/SNU13/CASC3/RBM42/METTL14/RBM25",46
"GO:0000375","RNA splicing, via transesterification reactions","46/838","340/18805",0.135294117647059,3.03604520567177,8.18203938105724,1.74317928259402e-11,1.65357986746869e-08,1.47124331450935e-08,"DDX17/SNRPD1/NCBP2/AQR/HNRNPL/CWC22/DDX39A/SNRPN/SMN1/U2AF1/PABPC1/SAP18/SNRNP70/SMN2/EFTUD2/DDX39B/CDC5L/LUC7L2/TRA2B/LSM3/PPIL3/PRPF6/HNRNPC/NUP98/SNRPG/DHX9/SF3B2/SMU1/PRPF8/RBM6/LSM2/PRPF19/SNRPD2/ESS2/SON/SRSF4/SNRNP40/RBPMS2/YTHDC1/TRA2A/SETX/SNU13/CASC3/RBM42/METTL14/RBM25",46
"GO:0140694","membraneless organelle assembly","51/838","427/18805",0.11943793911007,2.6802272612946,7.58476600997481,1.43582217933265e-10,1.13501743276246e-07,1.00986159946397e-07,"CSDE1/SENP6/EDC3/RC3H1/MOSPD2/EZR/CLASP1/AURKA/DDB1/DCAF13/RPS27/NPM1/HAUS6/SQLE/EIF1AX/ITGB1/KPNB1/CDCA8/PTEN/FUS/UBAP2L/RRP7A/CAPRIN1/UHRF1/LSM3/NEK7/KIAA0753/G3BP1/RPS5/STAG1/NBDY/PRKDC/SAC3D1/CLASP2/HAUS1/CNOT1/PSPC1/CEP152/POGZ/LSM14A/ARHGEF10/DHX29/TRIM37/WDR62/TUBB/RPL5/XRCC5/SKA2/MAPRE1/BRCA1/PPP2R1A",51
"GO:0072594","establishment of protein localization to organelle","52/838","467/18805",0.11134903640257,2.49870958180229,7.08287025948555,1.17913974641264e-09,7.98951402462164e-07,7.1085281855162e-07,"WRAP53/HUWE1/ATG13/USP7/SRP68/MFN2/TNPO1/RPL23/MFF/CBL/NPM1/TIMM44/GNPTAB/TRAM1/VPS53/CCT7/KPNB1/CSNK2A2/NIPBL/HK1/HAX1/RAB3GAP1/MTCH2/NUP98/WBP2/UBE2D3/ZFAND6/TXNIP/TIMM17A/STAT3/FIS1/NUP153/CLU/HK2/PITRM1/MED1/NUP107/NUP214/MACROH2A1/IPO9/ARIH2/TRIM37/SRPRB/SMURF1/NPEPPS/VPS41/IPO5/SCARB2/CCT3/CHP1/SPCS2/SGTA",52
"GO:0002181","cytoplasmic translation","28/838","169/18805",0.165680473372781,3.71792518111593,7.665029760823,1.7625814427297e-09,1.04499047285837e-06,9.29761711039916e-07,"CSDE1/AKT2/IGF2BP1/NCBP2/RPL23/PABPC1/RPS27/YBX1/MTOR/CNBP/PKM/EIF2S3/RPL9/RPS12/EIF3D/RPL28/DHX9/RPS5/RPS26/EIF3CL/RPLP1/RPS18/RPS10/EIF3C/DHX29/EIF2S2/RPL14/RPL5",28
"GO:0045727","positive regulation of translation","25/838","140/18805",0.178571428571429,4.00720252301398,7.71297714474711,2.66544866285967e-09,1.40469144532705e-06,1.24979926191865e-06,"CSDE1/AKT2/IGF2BP1/PABPC1/YBX1/NPM1/MTOR/CNBP/PKM/NIBAN1/MIR15B/EIF3D/RMND1/DHX9/LARP1/LARP4/ABCF1/PRKDC/USP16/EIF3C/DHX29/FXR2/RPL5/METTL14/EIF2AK4",25
"GO:0050657","nucleic acid transport","27/838","165/18805",0.163636363636364,3.67205467563463,7.44515433975868,4.53618713777177e-09,1.95592141767741e-06,1.74024633830881e-06,"IGF2BP1/AKAP8L/FLOT1/NCBP2/CHTOP/DDX39A/SMG7/YBX1/PABPN1/DDX39B/SETD2/KPNB1/NXT2/NUP98/DHX9/NUP153/LRPPRC/NUP107/NUP214/YTHDC1/RTRAF/ZC3H11A/SARNP/THOC5/FXR2/CASC3/NDC1",27
