"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","59/864","424/19880",0.139150943396226,3.20176013277428,9.76833864008501,2.16182374568812e-15,1.35330166480076e-12,9.85336507245217e-13,"PDCD6IP/FLOT1/RDX/CYFIP1/SRP68/EZR/CLASP1/ARPC2/RPL23/PABPC1/CBL/NPM1/NCKAP1/ITGB1/VASP/PTK7/DCAF6/KRAS/RPL9/G3BP1/PTPN12/CPNE3/B2M/ARHGEF2/DNM2/CTNNA1/PRKAR2A/CAPN2/RPS5/FLNB/CORO1C/CLASP2/RAC1/BSG/NUMB/RPLP1/PPFIBP1/RPS18/PTK2/FERMT2/SDCBP/PCBP2/RPS10/PPP1R12A/TPM4/ARPC3/PPIA/RPL5/YWHAE/AIF1L/LAMTOR3/SCARB2/CHP1/TSPAN9/VIM/YWHAZ/MAPRE1/ITGAV/CDC42",59
"GO:0030055","cell-substrate junction","59/864","434/19880",0.135944700460829,3.12798685782557,9.55417560387949,6.27060420083896e-15,1.96269911486259e-12,1.42903769419119e-12,"PDCD6IP/FLOT1/RDX/CYFIP1/SRP68/EZR/CLASP1/ARPC2/RPL23/PABPC1/CBL/NPM1/NCKAP1/ITGB1/VASP/PTK7/DCAF6/KRAS/RPL9/G3BP1/PTPN12/CPNE3/B2M/ARHGEF2/DNM2/CTNNA1/PRKAR2A/CAPN2/RPS5/FLNB/CORO1C/CLASP2/RAC1/BSG/NUMB/RPLP1/PPFIBP1/RPS18/PTK2/FERMT2/SDCBP/PCBP2/RPS10/PPP1R12A/TPM4/ARPC3/PPIA/RPL5/YWHAE/AIF1L/LAMTOR3/SCARB2/CHP1/TSPAN9/VIM/YWHAZ/MAPRE1/ITGAV/CDC42",59
"GO:0036464","cytoplasmic ribonucleoprotein granule","39/864","261/19880",0.149425287356322,3.43816517667092,8.45161096593718,1.46743828801182e-11,3.06205456098465e-09,2.22947641652321e-09,"CSDE1/IGF2BP1/EDC3/RC3H1/SMN1/PABPC1/DCP2/BTBD1/YBX1/SMN2/VCP/KPNB1/TUBA1A/UBAP2L/CAPRIN1/LSM3/G3BP1/DCP1A/GIGYF2/HAX1/RPL28/SNRPG/DHX9/LARP1/LARP4/RC3H2/NBDY/CLOCK/CNOT1/RAC1/LSM2/RBPMS2/PSMA2/LSM14A/SARNP/FXR2/TUBB/CASC3/CDC42",39
"GO:0035770","ribonucleoprotein granule","40/864","278/19880",0.143884892086331,3.31068478550493,8.27003721829943,2.6724838934757e-11,4.18243729328947e-09,3.04522506809205e-09,"CSDE1/IGF2BP1/EDC3/HNRNPL/RC3H1/SMN1/PABPC1/DCP2/BTBD1/YBX1/SMN2/VCP/KPNB1/TUBA1A/UBAP2L/CAPRIN1/LSM3/G3BP1/DCP1A/GIGYF2/HAX1/RPL28/SNRPG/DHX9/LARP1/LARP4/RC3H2/NBDY/CLOCK/CNOT1/RAC1/LSM2/RBPMS2/PSMA2/LSM14A/SARNP/FXR2/TUBB/CASC3/CDC42",40
"GO:0071013","catalytic step 2 spliceosome","21/864","90/19880",0.233333333333333,5.36882716049383,8.85437221905594,1.95443962030525e-10,2.44695840462218e-08,1.781626011773e-08,"SNRPD1/AQR/CWC22/SNRPN/PPIL2/U2AF1/PABPC1/EFTUD2/CDC5L/LSM3/PPIL3/PRPF6/HNRNPC/SNRPG/SF3B2/PRPF8/LSM2/PRPF19/SNRPD2/ESS2/SNRNP40",21
"GO:0005681","spliceosomal complex","32/864","208/19880",0.153846153846154,3.53988603988604,7.84903371187723,4.68107919280405e-10,4.88392595782556e-08,3.55597770260378e-08,"SNRPD1/AQR/CWC22/SNRPN/PPIL2/U2AF1/PABPC1/RHEB/YBX1/SNRNP70/EFTUD2/DDX39B/CDC5L/LUC7L2/TRA2B/LSM3/PPIL3/PRPF6/HNRNPC/SUGP1/SNRPG/SF3B2/SMU1/PRPF8/LSM2/PRPF19/SNRPD2/ESS2/SNRNP40/TRA2A/SNU13/CASC3",32
"GO:0016607","nuclear speck","47/864","415/19880",0.113253012048193,2.60586791610888,7.04695047613362,2.03297334567066e-09,1.8180590205569e-07,1.32372550176751e-07,"PRKACA/PIAS2/AKAP8L/DDX17/CHTOP/CWC22/DDX39A/ITPKC/U2AF1/SAP18/SNRNP70/SMC6/PIAS1/PABPN1/EFTUD2/DDX39B/CDC5L/LUC7L2/CDYL/TRIP12/PRPF6/ZNF217/MSL1/CSNK1A1/SF3B2/RREB1/SNURF/SMU1/PRPF8/PARN/PRPF19/PSPC1/HEATR5B/MORF4L1/SON/RNF34/SRSF4/SNRNP40/YTHDC1/COPS4/SARNP/AK6/NRIP1/ZNF106/CASC3/ATP6V0A1/RBM25",47
"GO:0005684","U2-type spliceosomal complex","20/864","95/19880",0.210526315789474,4.84405458089669,8.00530484327205,3.63422377689794e-09,2.84378010542263e-07,2.07055117815369e-07,"SNRPD1/AQR/CWC22/SNRPN/SNRNP70/EFTUD2/CDC5L/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/SMU1/PRPF8/LSM2/PRPF19/SNRPD2/SNRNP40/SNU13/CASC3",20
"GO:0010494","cytoplasmic stress granule","18/864","96/19880",0.1875,4.31423611111111,6.93835574858229,1.43523408284932e-07,9.98285039848526e-06,7.26849541372813e-06,"CSDE1/IGF2BP1/RC3H1/PABPC1/YBX1/VCP/KPNB1/UBAP2L/CAPRIN1/G3BP1/GIGYF2/LARP1/LARP4/RC3H2/RBPMS2/LSM14A/FXR2/CASC3",18
"GO:0120114","Sm-like protein family complex","20/864","119/19880",0.168067226890756,3.86710239651416,6.68662209556591,1.94533196567786e-07,1.21777781051434e-05,8.86661832777382e-06,"SNRPD1/SNRPN/SMN1/SNRNP70/SMN2/EFTUD2/DDX39B/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/ARFGEF1/SNRPD2/SNRNP40/U2SURP/SNU13/RBM42",20
"GO:0042470","melanosome","19/864","111/19880",0.171171171171171,3.93852185518852,6.6174796972997,2.91340848822168e-07,1.34191462177845e-05,9.7704562170854e-06,"PDCD6IP/FLOT1/PDIA4/ERP29/ITGB1/RAB5A/TFRC/RAC1/BSG/CANX/ANXA2/SDCBP/PDIA6/RPN1/ATP6V1B2/YWHAE/YWHAZ/ATP6V0A1/CALU",19
"GO:0048770","pigment granule","19/864","111/19880",0.171171171171171,3.93852185518852,6.6174796972997,2.91340848822168e-07,1.34191462177845e-05,9.7704562170854e-06,"PDCD6IP/FLOT1/PDIA4/ERP29/ITGB1/RAB5A/TFRC/RAC1/BSG/CANX/ANXA2/SDCBP/PDIA6/RPN1/ATP6V1B2/YWHAE/YWHAZ/ATP6V0A1/CALU",19
"GO:0031965","nuclear membrane","35/864","312/19880",0.112179487179487,2.58116690408357,6.00034672300657,2.95813518145963e-07,1.34191462177845e-05,9.7704562170854e-06,"OSBPL6/GTPBP4/NUDT9/CLIC1/CCNI/KPNB1/CTDNEP1/ANKRD17/SURF4/VAPA/PCM1/TRA2B/TOR1AIP1/HAX1/TRAPPC2B/MINDY3/NUP98/WDFY3/NUP153/TMPO/CANX/SDCBP/LRPPRC/NUP107/LEMD3/EI24/MATR3/DCTN5/ENO1/DNAJC1/TRIM27/IPO5/CASC3/CBX3/NDC1",35
"GO:0071007","U2-type catalytic step 2 spliceosome","10/864","30/19880",0.333333333333333,7.66975308641975,7.7926412347153,3.10359993520224e-07,1.34191462177845e-05,9.7704562170854e-06,"SNRPD1/AQR/CWC22/EFTUD2/CDC5L/SNRPG/PRPF8/PRPF19/SNRPD2/SNRNP40",10
"GO:0046540","U4/U6 x U5 tri-snRNP complex","12/864","45/19880",0.266666666666667,6.1358024691358,7.35178876092761,3.2154503716736e-07,1.34191462177845e-05,9.7704562170854e-06,"SNRPD1/SNRPN/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/SNRPD2/SNRNP40/SNU13/RBM42",12
"GO:0097526","spliceosomal tri-snRNP complex","12/864","46/19880",0.260869565217391,6.0024154589372,7.24015848528705,4.17936610412161e-07,1.63517698823758e-05,1.19056942308201e-05,"SNRPD1/SNRPN/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/SNRPD2/SNRNP40/SNU13/RBM42",12
"GO:0030532","small nuclear ribonucleoprotein complex","18/864","107/19880",0.168224299065421,3.87071651090343,6.3465903427759,7.76782530378043e-07,2.86038743539209e-05,2.0826429452241e-05,"SNRPD1/SNRPN/SNRNP70/EFTUD2/DDX39B/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/ARFGEF1/SNRPD2/SNRNP40/U2SURP/SNU13/RBM42",18
"GO:0097525","spliceosomal snRNP complex","17/864","97/19880",0.175257731958763,4.03255059182894,6.38178840023108,8.64240600104219e-07,3.00563675369578e-05,2.1883987125446e-05,"SNRPD1/SNRPN/SNRNP70/EFTUD2/DDX39B/LUC7L2/LSM3/PRPF6/SNRPG/SF3B2/PRPF8/LSM2/SNRPD2/SNRNP40/U2SURP/SNU13/RBM42",17
"GO:0090734","site of DNA damage","20/864","131/19880",0.152671755725191,3.51286400904721,6.15072957027689,9.56748110733963e-07,3.15223324904979e-05,2.29513535705156e-05,"ARPC4/WRAP53/ELOA/ARPC2/DDB1/SMC6/PARP1/VCP/INTS3/SLF2/MMS22L/UIMC1/PARP9/PRPF19/MACROH2A1/SMARCA5/ARPC3/NBN/XRCC5/CBX3",20
"GO:0071005","U2-type precatalytic spliceosome","12/864","50/19880",0.24,5.52222222222222,6.82448837928298,1.11086893381441e-06,3.47701976283912e-05,2.53161183337706e-05,"SNRPD1/CWC22/EFTUD2/LSM3/PRPF6/SNRPG/SF3B2/SMU1/PRPF8/LSM2/SNRPD2/SNU13",12
"GO:0000932","P-body","17/864","100/19880",0.17,3.91157407407407,6.22170268413503,1.34597932933666e-06,4.01230028649881e-05,2.92134861956278e-05,"CSDE1/IGF2BP1/EDC3/RC3H1/DCP2/BTBD1/YBX1/CAPRIN1/LSM3/DCP1A/HAX1/RC3H2/NBDY/CNOT1/LSM2/PSMA2/LSM14A",17
"GO:0071011","precatalytic spliceosome","12/864","52/19880",0.230769230769231,5.30982905982906,6.63310413668148,1.74317219845397e-06,4.96011725560086e-05,3.61145244942857e-05,"SNRPD1/CWC22/EFTUD2/LSM3/PRPF6/SNRPG/SF3B2/SMU1/PRPF8/LSM2/SNRPD2/SNU13",12
"GO:0005635","nuclear envelope","45/864","496/19880",0.0907258064516129,2.08753360215054,5.22825035836339,2.74458828364852e-06,7.47005332853901e-05,5.43893238819135e-05,"OSBPL6/GTPBP4/NUDT9/MTOR/CLIC1/CCNI/PARP1/KPNB1/CTDNEP1/ATF6/ANKRD17/SURF4/VAPA/PCM1/PCYT1A/TRA2B/TOR1AIP1/HAX1/TRAPPC2B/MINDY3/NXT2/NUP98/ABCF1/WDFY3/NUP153/FAF1/TMPO/CANX/SDCBP/LRPPRC/NUP107/NUP214/LEMD3/EI24/IPO9/MATR3/DCTN5/ENO1/DNAJC1/TRIM27/TUBB/IPO5/CASC3/CBX3/NDC1",45
"GO:0022626","cytosolic ribosome","18/864","118/19880",0.152542372881356,3.50988700564972,5.8287345866207,3.34968568922755e-06,8.73709683940186e-05,6.36146448875232e-05,"RPL23/RPS27/RPL7L1/RPL9/RPS12/RPL28/LARP4/RPS5/RPS26/RPLP1/RPS18/RPS10/GCN1/DHX29/RPL14/RNF10/RPL5/EIF2AK4",18
"GO:0098687","chromosomal region","39/864","408/19880",0.0955882352941176,2.19941448801743,5.21781462022426,3.68458215423926e-06,9.2261937142151e-05,6.71757504330779e-05,"ERCC1/PPP2CB/WRAP53/CLASP1/AURKA/DDB1/SMC6/NCAPD3/PARP1/PTGES3/CDCA8/EID3/SLF2/NCAPD2/KNL1/ORC1/NUP98/CSNK1A1/DAPK3/ACTL6A/STAG1/PRKDC/CLASP2/NLRP2/PPP2R5A/NUP107/MACROH2A1/SMARCA5/DCTN5/SETX/PPP1R12A/NBN/THOC5/SMARCC1/XRCC5/SKA2/CBX3/CENPS/PPP2R1A",39
"GO:0015935","small ribosomal subunit","13/864","74/19880",0.175675675675676,4.04216716716717,5.58849801631114,1.61544655119786e-05,0.000388949823480715,0.000283193666667479,"MRPL42/RPS27/DAP3/MRPS9/RPS12/LARP4/RPS5/MRPS18B/MRPS35/RPS26/RPS18/RPS10/DHX29",13
"GO:0035861","site of double-strand break","15/864","99/19880",0.151515151515152,3.48625140291807,5.2860719576609,2.34875923157067e-05,0.000544564177393791,0.00039649619776612,"ARPC4/WRAP53/ARPC2/DDB1/SMC6/PARP1/VCP/INTS3/SLF2/MMS22L/UIMC1/PRPF19/SMARCA5/ARPC3/NBN",15
"GO:0005840","ribosome","25/864","244/19880",0.102459016393443,2.35750607164542,4.54783537948519,6.56466015691423e-05,0.00146767044936725,0.00106860821351273,"MRPL42/SRP68/RPL23/RPS27/RPL7L1/DAP3/MRPS9/RPL9/RPS12/RPL28/LARP4/RPS5/MRPS18B/RRBP1/MRPS35/RPS26/RPLP1/RPS18/RPS10/GCN1/DHX29/RPL14/RNF10/RPL5/EIF2AK4",25
"GO:0005682","U5 snRNP","7/864","25/19880",0.28,6.44259259259259,5.80410738044533,6.90743823855001e-05,0.00149105390942493,0.00108563366870859,"SNRPD1/SNRPN/PRPF6/SNRPG/PRPF8/SNRPD2/SNRNP40",7
"GO:0000159","protein phosphatase type 2A complex","6/864","18/19880",0.333333333333333,7.66975308641975,6.03433024167098,7.84103849499395e-05,0.0016361633659554,0.00119128760292364,"PPP2CB/PPP2R5A/PPP2R2A/PPP2R2D/PPP2R5B/PPP2R1A",6
"GO:0016605","PML body","15/864","110/19880",0.136363636363636,3.13762626262626,4.7920279027889,8.23093247669018e-05,0.0016621173323897,0.00121018463918739,"PIAS2/AKAP8L/TOP3A/USP7/SMC6/PIAS1/MTOR/ZMYM2/PTEN/SLF2/DAPK3/WDFY3/SUMO2/NBN/TRIM27",15
"GO:0000346","transcription export complex","5/864","12/19880",0.416666666666667,9.58719135802469,6.3424819797118,9.40232576218667e-05,0.00183932997722777,0.0013392128470483,"CHTOP/DDX39B/ZC3H11A/SARNP/THOC5",5
"GO:0090575","RNA polymerase II transcription regulator complex","25/864","254/19880",0.0984251968503937,2.26469087197434,4.32394238798668,0.000125182879601368,0.00236046282637099,0.00171864873687345,"CEBPZ/TADA3/ATF3/ATF6/NCOA1/TAF2/TAF13/TBPL1/STAT3/CLOCK/NFYC/TCF3/RFXANK/ANXA2/MED1/ATF1/MED31/TAF9/USP22/TFDP2/CREB1/MED6/CBX3/MED14/TCEA1",25
"GO:0008287","protein serine/threonine phosphatase complex","10/864","56/19880",0.178571428571429,4.1087962962963,4.96575385675346,0.000131974758662915,0.00236046282637099,0.00171864873687345,"PPP2CB/CTDNEP1/PPP2R5A/PPP2R2A/PPP1R12A/PPP2R2D/PPP2R5B/PPP4R2/PPP3CB/PPP2R1A",10
"GO:1903293","phosphatase complex","10/864","56/19880",0.178571428571429,4.1087962962963,4.96575385675346,0.000131974758662915,0.00236046282637099,0.00171864873687345,"PPP2CB/CTDNEP1/PPP2R5A/PPP2R2A/PPP1R12A/PPP2R2D/PPP2R5B/PPP4R2/PPP3CB/PPP2R1A",10
"GO:0005687","U4 snRNP","5/864","13/19880",0.384615384615385,8.8497150997151,6.03467628737329,0.000147325292075831,0.00256182313442973,0.00186525881487821,"SNRPD1/SNRPN/DDX39B/SNRPG/SNRPD2",5
"GO:0031252","cell leading edge","36/864","434/19880",0.0829493087557604,1.90860215053763,4.0794164063445,0.000167753338235936,0.00283820512799179,0.00206649204711694,"AKT2/IGF2BP1/FLOT1/ABI1/PRKCI/RDX/CYFIP1/EZR/ARPC2/PABPC1/ATP6AP2/PTPN13/NCKAP1/ITGB1/MTMR14/VASP/RAB5A/CAPRIN1/GNAS/HAX1/ARHGEF2/CTNNA1/CORO1C/CLASP2/RAC1/FERMT2/CDC42BPB/ARPC3/ATP6V1B2/SLC39A6/TMEM87A/AIF1L/VIM/ARF4/ITGAV/CDC42",36
"GO:0044391","ribosomal subunit","20/864","186/19880",0.10752688172043,2.47411389884508,4.30541579804572,0.000179276570122599,0.00295334560254597,0.00215032561947605,"MRPL42/RPL23/RPS27/RPL7L1/DAP3/MRPS9/RPL9/RPS12/RPL28/LARP4/RPS5/MRPS18B/MRPS35/RPS26/RPLP1/RPS18/RPS10/DHX29/RPL14/RPL5",20
"GO:0032039","integrator complex","6/864","21/19880",0.285714285714286,6.57407407407407,5.44751266941184,0.000204928550822179,0.00327721877999989,0.00238613709725904,"INTS8/INTS3/NIPBL/INTS6/INTS4/INTS14",6
"GO:0005938","cell cortex","29/864","325/19880",0.0892307692307692,2.0531339031339,4.08028894008396,0.00021031762498847,0.00327721877999989,0.00238613709725904,"AKT2/FLOT1/RDX/EZR/CLASP1/SPTAN1/ERC1/TRAK1/PDE4DIP/EXOC6/HAX1/DSTN/FNBP1/CAPN2/FLNB/CORO1C/NDFIP1/CLASP2/RAC1/PPFIBP1/PTK2/FERMT2/ITCH/TPM4/ENO1/STXBP1/MAPRE1/OSBPL2/STIM1",29
"GO:0030027","lamellipodium","21/864","203/19880",0.103448275862069,2.38026819923372,4.21334102476173,0.000214642124568683,0.00327721877999989,0.00238613709725904,"IGF2BP1/FLOT1/ABI1/RDX/CYFIP1/ARPC2/PABPC1/PTPN13/NCKAP1/ITGB1/VASP/CAPRIN1/HAX1/CTNNA1/CORO1C/RAC1/FERMT2/CDC42BPB/ARPC3/SLC39A6/ITGAV",21
"GO:0000775","chromosome, centromeric region","25/864","265/19880",0.0943396226415094,2.17068483577918,4.089435166499,0.000242479939370052,0.00361410576299173,0.00263142390343941,"PPP2CB/CLASP1/AURKA/SMC6/NCAPD3/CDCA8/NCAPD2/KNL1/NUP98/CSNK1A1/DAPK3/ACTL6A/STAG1/CLASP2/PPP2R5A/NUP107/MACROH2A1/SMARCA5/DCTN5/PPP1R12A/SMARCC1/SKA2/CBX3/CENPS/PPP2R1A",25
"GO:0005819","spindle","35/864","435/19880",0.0804597701149425,1.85131971051511,3.82673067028898,0.000364193648340379,0.0051973526870975,0.003784183140261,"PPP2CB/NUDC/CLASP1/AURKA/NPM1/SMC6/TADA3/PARP4/HAUS6/CDCA8/MAP7D1/TUBB6/UHRF1/NEK7/TPT1/ARHGEF2/CSNK1A1/DAPK3/LATS2/NUSAP1/STAG1/SAC3D1/CLASP2/HAUS1/PRPF19/BIRC6/RTRAF/LSM14A/TFDP2/WDR62/TUBB/SKA2/CBX3/MAPRE1/CDC42",35
"GO:0005874","microtubule","38/864","486/19880",0.0781893004115226,1.79907788446883,3.80161474904858,0.000365309134556374,0.0051973526870975,0.003784183140261,"FAM161B/NUDC/DYNLRB1/CLASP1/DYNC1I2/AURKA/TBCE/PARP4/HAUS6/TCP11L1/CCT7/GAS8/TUBA1A/TUBB6/PDE4DIP/CCT8/NEK7/TPT1/SLAIN2/TTLL7/ARHGEF2/DNM2/NUSAP1/MAP1LC3B/KIF1B/DYNC2LI1/CLASP2/HAUS1/TBCA/TPGS2/LRPPRC/TUBB/SRPRB/REEP3/CCT3/SKA2/MAPRE1/STIM1",38
"GO:0022627","cytosolic small ribosomal subunit","8/864","42/19880",0.19047619047619,4.38271604938272,4.67773699382149,0.000390411091839687,0.00543105207759209,0.00395433924600198,"RPS27/RPS12/LARP4/RPS5/RPS26/RPS18/RPS10/DHX29",8
