"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000375","RNA splicing, via transesterification reactions","25/381","340/18805",0.0735294117647059,3.62918789563069,7.03529112174545,3.18528670966798e-08,8.87426127569233e-05,8.07957786353841e-05,"DDX17/SNRPD1/SNRPN/SMN1/PABPC1/SAP18/EFTUD2/IK/KHSRP/LSM3/PRPF6/SNRPG/CTNNBL1/PRPF8/RBM6/LSM2/ESS2/SRSF4/SETX/NCL/CASC3/METTL14/RBM10/RBM5/PTBP1",25
"GO:0008380","RNA splicing","30/381","482/18805",0.0622406639004149,3.0720096709903,6.62693411811915,5.7667339282136e-08,8.87426127569233e-05,8.07957786353841e-05,"DDX17/SNRPD1/SNRPN/SMN1/PABPC1/SAP18/TADA3/EFTUD2/IK/KHSRP/LSM3/PRPF6/SNRPG/CTNNBL1/TAF15/PRPF8/RBM6/LSM2/ESS2/SRSF4/TMBIM6/SETX/CLASRP/THOC5/NCL/CASC3/METTL14/RBM10/RBM5/PTBP1",30
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","24/381","336/18805",0.0714285714285714,3.52549681289839,6.71723310141301,1.04005406102459e-07,8.87426127569233e-05,8.07957786353841e-05,"DDX17/SNRPD1/SNRPN/SMN1/PABPC1/SAP18/EFTUD2/IK/LSM3/PRPF6/SNRPG/CTNNBL1/PRPF8/RBM6/LSM2/ESS2/SRSF4/SETX/NCL/CASC3/METTL14/RBM10/RBM5/PTBP1",24
"GO:0000398","mRNA splicing, via spliceosome","24/381","336/18805",0.0714285714285714,3.52549681289839,6.71723310141301,1.04005406102459e-07,8.87426127569233e-05,8.07957786353841e-05,"DDX17/SNRPD1/SNRPN/SMN1/PABPC1/SAP18/EFTUD2/IK/LSM3/PRPF6/SNRPG/CTNNBL1/PRPF8/RBM6/LSM2/ESS2/SRSF4/SETX/NCL/CASC3/METTL14/RBM10/RBM5/PTBP1",24
"GO:0006457","protein folding","19/381","227/18805",0.0837004405286344,4.13119890850648,6.82526868952959,2.02596380208871e-07,0.000138292289130575,0.000125908318816123,"PDIA4/NUDC/ANP32E/TBCE/TTC4/PTGES3/ATF6/ST13/KHSRP/DNAJA3/CLU/CANX/PDCD5/TBCA/PDIA6/CCT6A/DNAJC1/ERO1A/FUT10",19
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","9/381","48/18805",0.1875,9.25442913385827,8.23420394600513,4.36842495165681e-07,0.000248490572666745,0.000226238429075279,"PCDHB10/PCDHB5/PCDHB4/PCDHB3/PCDHB9/PCDHB6/PCDHB11/PCDHB2/PCDHB16",9
"GO:0006417","regulation of translation","26/381","451/18805",0.057649667405765,2.84541206185147,5.70442544954862,1.90586238831366e-06,0.000929244047330647,0.000846030942902546,"AARS1/PABPC1/NPM1/MTOR/CNBP/EPRS1/GIGYF2/LARP1/DAPK3/ABCF1/HNRNPD/RPL38/EIF4G2/PRKDC/CNOT1/CNOT10/LSM14A/GCN1/SARNP/NCL/FXR2/DNAJC1/CASC3/EIF2AK1/METTL14/EIF2AK4",26
"GO:0016236","macroautophagy","23/381","374/18805",0.0614973262032086,3.03532078543658,5.71728531759181,2.58354452506273e-06,0.00110220468300489,0.00100350308394542,"WDR45B/HUWE1/ATG13/UFC1/WIPI2/RHEB/MTOR/TBC1D12/SPTLC1/EPG5/ATP6V1A/LARP1/VPS26A/NIPSNAP3A/VPS4A/RAB1B/MTMR3/GSK3A/ATP6V1B2/EIF2AK1/RETREG3/ATP6V0A1/SNX4",23
"GO:0006413","translational initiation","12/381","124/18805",0.0967741935483871,4.77647955295911,6.06727341812815,8.34236975460613e-06,0.00315404595389195,0.00287160351470046,"NPM1/MTOR/RPS3A/EIF1AX/GIGYF2/LARP1/RPS5/ABCF1/EIF4G2/EIF3CL/EIF2AK1/EIF2AK4",12
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","14/381","169/18805",0.0828402366863905,4.08874186584665,5.80021727883094,9.24127147346015e-06,0.00315404595389195,0.00287160351470046,"PCDHB12/PCDHB10/PCDHB5/PCDHB8/PCDHB4/PCDHB7/PCDHB3/PTK7/PCDHB9/PCDHB6/PCDHB11/BSG/PCDHB2/PCDHB16",14
