"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","23/304","424/19880",0.0542452830188679,3.54735600794439,6.60720640936808,1.74911983930924e-07,5.18688426532996e-05,4.44250957017473e-05,"FLOT1/CYFIP1/EZR/ARPC2/CBL/NPM1/PAK4/PTK7/KRAS/PTPN12/RPL18/DNM2/CORO1C/NUMB/RPS18/PTK2/RPS10/TPM4/YWHAE/LAMTOR3/CHP1/MAPRE1/RAC1",23
"GO:0030055","cell-substrate junction","23/304","434/19880",0.0529953917050691,3.46561969439728,6.47184183297962,2.64321906190449e-07,5.18688426532996e-05,4.44250957017473e-05,"FLOT1/CYFIP1/EZR/ARPC2/CBL/NPM1/PAK4/PTK7/KRAS/PTPN12/RPL18/DNM2/CORO1C/NUMB/RPS18/PTK2/RPS10/TPM4/YWHAE/LAMTOR3/CHP1/MAPRE1/RAC1",23
"GO:0046540","U4/U6 x U5 tri-snRNP complex","8/304","45/19880",0.177777777777778,11.625730994152,8.89244221826202,3.59588490596795e-07,5.18688426532996e-05,4.44250957017473e-05,"SNRPN/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/RBM42",8
"GO:0097526","spliceosomal tri-snRNP complex","8/304","46/19880",0.173913043478261,11.3729977116705,8.77708135716279,4.29555632739541e-07,5.18688426532996e-05,4.44250957017473e-05,"SNRPN/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/RBM42",8
"GO:0071013","catalytic step 2 spliceosome","10/304","90/19880",0.111111111111111,7.26608187134503,7.42448788792512,1.17195097555348e-06,0.000113210464238466,9.6963522819477e-05,"SNRPN/U2AF1/EFTUD2/PRPF6/HNRNPC/SNRPG/PRPF8/LSM2/SNRNP40/HNRNPM",10
"GO:0120114","Sm-like protein family complex","10/304","119/19880",0.0840336134453782,5.4953560371517,6.12921980378783,1.47609848888394e-05,0.00118825928355157,0.0010177310633884,"SNRPN/SMN1/SNRNP70/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/RBM42",10
"GO:0097525","spliceosomal snRNP complex","9/304","97/19880",0.0927835051546392,6.06755290287575,6.23462251175837,1.7874826220984e-05,0.0012333630092479,0.00105636191050327,"SNRPN/SNRNP70/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/RBM42",9
"GO:0005682","U5 snRNP","5/304","25/19880",0.2,13.0789473684211,7.53071527766833,3.34385884424142e-05,0.00201885477721076,0.00172912700761431,"SNRPN/PRPF6/SNRPG/PRPF8/SNRNP40",5
"GO:0030532","small nuclear ribonucleoprotein complex","9/304","107/19880",0.0841121495327103,5.5004918839154,5.81684737840903,3.92526103836e-05,0.0021065567572532,0.00180424279307074,"SNRPN/SNRNP70/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40/RBM42",9
"GO:0035770","ribonucleoprotein granule","14/304","278/19880",0.0503597122302158,3.29326012873911,4.79841279392855,0.000103874925533836,0.00459799956425309,0.00393813627275027,"CSDE1/EDC3/HNRNPL/RC3H1/SMN1/DCP2/DCP1A/RPL28/SNRPG/RC3H2/LSM2/LSM14A/FXR2/RAC1",14
"GO:0005684","U2-type spliceosomal complex","8/304","95/19880",0.0842105263157895,5.50692520775623,5.48714209543575,0.000104716346183818,0.00459799956425309,0.00393813627275027,"SNRPN/SNRNP70/EFTUD2/PRPF6/SNRPG/PRPF8/LSM2/SNRNP40",8
"GO:0000932","P-body","8/304","100/19880",0.08,5.23157894736842,5.28641659524531,0.000150105851125871,0.00604176050781632,0.00517470170986556,"CSDE1/EDC3/RC3H1/DCP2/DCP1A/RC3H2/LSM2/LSM14A",8
"GO:0005905","clathrin-coated pit","7/304","78/19880",0.0897435897435897,5.86875843454791,5.3688723846408,0.000190557939332972,0.00701796401168892,0.00601080932024354,"CCDC32/TFRC/DNM2/FNBP1/NUMB/PICALM/AP2A1",7
"GO:0036464","cytoplasmic ribonucleoprotein granule","13/304","261/19880",0.0498084291187739,3.25720911474088,4.57431108025971,0.000203419246715621,0.00701796401168892,0.00601080932024354,"CSDE1/EDC3/RC3H1/SMN1/DCP2/DCP1A/RPL28/SNRPG/RC3H2/LSM2/LSM14A/FXR2/RAC1",13
"GO:0016607","nuclear speck","17/304","415/19880",0.0409638554216867,2.67882054533925,4.30698342343437,0.000239861379879198,0.00772353643211018,0.00661512437140525,"AKAP8L/U2AF1/SAP18/SNRNP70/PIAS1/EFTUD2/PRPF6/CSNK1A1/RREB1/SNURF/PRPF8/HEATR5B/MORF4L1/RNF34/SNRNP40/ZNF106/ATP6V0A1",17
