"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","19/225","424/19880",0.044811320754717,3.95932914046122,6.59024290115372,3.92983377302061e-07,0.000114594077132201,8.69083806278455e-05,"PAK4/RPS5/NCKAP1/CORO1C/CYFIP1/PPP1R12A/PTK7/RAC1/ACTN1/RPL23/PABPC1/YWHAE/YWHAQ/NUMB/NPM1/RPS18/VIM/RPS3A/ARHGEF2",19
"GO:0030055","cell-substrate junction","19/225","434/19880",0.043778801843318,3.86810035842294,6.46362377376373,5.59214480742718e-07,0.000114594077132201,8.69083806278455e-05,"PAK4/RPS5/NCKAP1/CORO1C/CYFIP1/PPP1R12A/PTK7/RAC1/ACTN1/RPL23/PABPC1/YWHAE/YWHAQ/NUMB/NPM1/RPS18/VIM/RPS3A/ARHGEF2",19
"GO:0071013","catalytic step 2 spliceosome","9/225","90/19880",0.1,8.83555555555555,7.97113480155836,8.28390919027959e-07,0.000114594077132201,8.69083806278455e-05,"SNRNP40/PRPF8/PPIL2/LSM2/PPIL3/PABPC1/PRPF6/SNRPG/CDC5L",9
"GO:0005681","spliceosomal complex","12/225","208/19880",0.0576923076923077,5.0974358974359,6.35581985553937,4.65593368934853e-06,0.00048305312026991,0.000366348466609266,"SNRNP40/PRPF8/PPIL2/LSM2/PPIL3/PABPC1/CASC3/SNRNP70/PRPF6/SUGP1/SNRPG/CDC5L",12
"GO:0036464","cytoplasmic ribonucleoprotein granule","13/225","261/19880",0.0498084291187739,4.40085142613878,5.91727129311226,9.25224656938307e-06,0.000767936465258795,0.000582404573525376,"EDC3/LSM14A/FXR2/CNOT1/RAC1/PQBP1/LSM2/PABPC1/GIGYF2/CASC3/HAX1/SNRPG/LARP1",13
"GO:0005684","U2-type spliceosomal complex","8/225","95/19880",0.0842105263157895,7.44046783625731,6.73229585206819,1.24060920854825e-05,0.000858088035912539,0.000650775707641977,"SNRNP40/PRPF8/LSM2/CASC3/SNRNP70/PRPF6/SNRPG/CDC5L",8
"GO:0035770","ribonucleoprotein granule","13/225","278/19880",0.0467625899280576,4.13173461231015,5.62612218334584,1.80904102892961e-05,0.00107250289572255,0.000813388372405943,"EDC3/LSM14A/FXR2/CNOT1/RAC1/PQBP1/LSM2/PABPC1/GIGYF2/CASC3/HAX1/SNRPG/LARP1",13
"GO:0022626","cytosolic ribosome","8/225","118/19880",0.0677966101694915,5.99020715630885,5.81696074038701,5.97755457857313e-05,0.00310085643763481,0.00235169581446495,"RPS5/RPS27A/GCN1/RNF10/RPL23/RPS18/RPS3A/EIF2AK4",8
"GO:0016607","nuclear speck","15/225","415/19880",0.036144578313253,3.19357429718876,4.83171372589875,8.20671312131007e-05,0.00378420660593742,0.00286994996873884,"SNRNP40/SRSF4/COPS4/PRPF8/RBBP6/TRIP12/ZNF106/PQBP1/CASC3/SNRNP70/PRPF6/ATP6V0A1/SON/CDC5L/BRD2",15
"GO:0010494","cytoplasmic stress granule","7/225","96/19880",0.0729166666666667,6.44259259259259,5.71921460265111,0.000109973539425772,0.00456390188616954,0.00346127245140061,"LSM14A/FXR2/PQBP1/PABPC1/GIGYF2/CASC3/LARP1",7
