"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","29/307","424/19880",0.0683962264150943,4.42904554114683,8.93855175439159,2.27819896339475e-11,9.68295907153769e-09,7.5656326983257e-09,"FLNC/FLOT1/FLNA/SRC/CLASP1/CBL/RPL7A/PAK1/EPB41L5/CPNE3/DNM2/RPL3/SHC1/RPS3/CLASP2/IRF2/RPLP1/HMGA1/PTK2/ARPC3/ACTN1/YWHAE/LAMTOR3/CHP1/TSPAN9/YWHAZ/ITGAV/CDC42/RAC1",29
"GO:0030055","cell-substrate junction","29/307","434/19880",0.0668202764976959,4.32699380056741,8.77646190766051,3.99297281300523e-11,9.68295907153769e-09,7.5656326983257e-09,"FLNC/FLOT1/FLNA/SRC/CLASP1/CBL/RPL7A/PAK1/EPB41L5/CPNE3/DNM2/RPL3/SHC1/RPS3/CLASP2/IRF2/RPLP1/HMGA1/PTK2/ARPC3/ACTN1/YWHAE/LAMTOR3/CHP1/TSPAN9/YWHAZ/ITGAV/CDC42/RAC1",29
"GO:0005684","U2-type spliceosomal complex","12/307","95/19880",0.126315789473684,8.17966740956626,8.7848805033849,2.5856956688508e-08,4.18020799797546e-06,3.26614189749575e-06,"U2AF2/SNRPD1/SNRPN/SNRNP70/EFTUD2/LUC7L2/LSM3/PRPF6/SNRPG/SMU1/PRPF8/LSM2",12
"GO:0120114","Sm-like protein family complex","13/307","119/19880",0.109243697478992,7.0741521364246,8.32324049416854,3.97990760956758e-08,4.82563797660069e-06,3.77043878801139e-06,"SNRPD1/SNRPN/SMN1/SNRNP70/SMN2/EFTUD2/LUC7L2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/U2SURP",13
"GO:0097525","spliceosomal snRNP complex","11/307","97/19880",0.11340206185567,7.343429933846,7.84335180807057,3.0464508060179e-07,2.68405875096417e-05,2.09714845436158e-05,"SNRPD1/SNRPN/SNRNP70/EFTUD2/LUC7L2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/U2SURP",11
"GO:0035770","ribonucleoprotein granule","18/307","278/19880",0.0647482014388489,4.19281512900429,6.71403706943296,3.57988128075174e-07,2.68405875096417e-05,2.09714845436158e-05,"HNRNPL/SMN1/BTBD1/SMN2/KPNB1/UBAP2L/LSM3/SNRPG/LARP1/RC3H2/CLOCK/RPS6/LSM2/RBPMS2/LSM14A/TUBB/CDC42/RAC1",18
"GO:0046540","U4/U6 x U5 tri-snRNP complex","8/307","45/19880",0.177777777777778,11.5121245023525,8.84134641131283,3.87389922819571e-07,2.68405875096417e-05,2.09714845436158e-05,"SNRPD1/SNRPN/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2",8
"GO:0097526","spliceosomal tri-snRNP complex","8/307","46/19880",0.173913043478261,11.2618609262144,8.72645076102156,4.62704352564267e-07,2.80514513742087e-05,2.19175745951495e-05,"SNRPD1/SNRPN/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2",8
"GO:0036464","cytoplasmic ribonucleoprotein granule","17/307","261/19880",0.0651340996168582,4.21780423577571,6.55358890915017,6.99576265356702e-07,3.64706826855413e-05,2.849581284166e-05,"SMN1/BTBD1/SMN2/KPNB1/UBAP2L/LSM3/SNRPG/LARP1/RC3H2/CLOCK/RPS6/LSM2/RBPMS2/LSM14A/TUBB/CDC42/RAC1",17
"GO:0030532","small nuclear ribonucleoprotein complex","11/307","107/19880",0.102803738317757,6.65712807086974,7.34834220869172,8.27687106930887e-07,3.64706826855413e-05,2.849581284166e-05,"SNRPD1/SNRPN/SNRNP70/EFTUD2/LUC7L2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/U2SURP",11
"GO:0005681","spliceosomal complex","15/307","208/19880",0.0721153846153846,4.66988223502881,6.66342163089223,8.92443220205329e-07,3.64706826855413e-05,2.849581284166e-05,"U2AF2/SNRPD1/SNRPN/SNRNP70/EFTUD2/LUC7L2/TRA2B/LSM3/PRPF6/SNRPG/SMU1/PRPF8/LSM2/ESS2/HNRNPM",15
"GO:0071005","U2-type precatalytic spliceosome","8/307","50/19880",0.16,10.3609120521173,8.3000281741663,9.02367406652567e-07,3.64706826855413e-05,2.849581284166e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/SMU1/PRPF8/LSM2",8
"GO:0071011","precatalytic spliceosome","8/307","52/19880",0.153846153846154,9.96241543472814,8.10447793379032,1.23142217706208e-06,4.43626602288805e-05,3.46620893812197e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/SMU1/PRPF8/LSM2",8
"GO:0071013","catalytic step 2 spliceosome","10/307","90/19880",0.111111111111111,7.19507781397032,7.37705259706518,1.28057163547284e-06,4.43626602288805e-05,3.46620893812197e-05,"SNRPD1/SNRPN/EFTUD2/LSM3/PRPF6/SNRPG/PRPF8/LSM2/ESS2/HNRNPM",10
"GO:0071004","U2-type prespliceosome","5/307","18/19880",0.277777777777778,17.9876945349258,9.0301915640915,6.17571693231105e-06,0.000187201419510679,0.000146266979975788,"U2AF2/SNRPN/SNRNP70/LUC7L2/SNRPG",5
"GO:0071010","prespliceosome","5/307","18/19880",0.277777777777778,17.9876945349258,9.0301915640915,6.17571693231105e-06,0.000187201419510679,0.000146266979975788,"U2AF2/SNRPN/SNRNP70/LUC7L2/SNRPG",5
"GO:0042470","melanosome","10/307","111/19880",0.0900900900900901,5.83384687619215,6.39587230230136,8.67448432316071e-06,0.000233729160929608,0.000182620722592857,"FLOT1/PDIA4/RAB5A/SGSM2/ANXA11/ANXA2/PDIA6/YWHAE/YWHAZ/RAC1",10
"GO:0048770","pigment granule","10/307","111/19880",0.0900900900900901,5.83384687619215,6.39587230230136,8.67448432316071e-06,0.000233729160929608,0.000182620722592857,"FLOT1/PDIA4/RAB5A/SGSM2/ANXA11/ANXA2/PDIA6/YWHAE/YWHAZ/RAC1",10
"GO:0005938","cell cortex","17/307","325/19880",0.0523076923076923,3.38722124780757,5.4342948480732,1.33370387311145e-05,0.00034044546234687,0.000266001880509763,"AKT2/CAPZA1/FLOT1/FLNA/CLASP1/ERC1/PDE4DIP/WDR1/FNBP1/CLASP2/PTK2/ITCH/DCTN1/AKAP13/ACTN1/PHLDB1/RAC1",17
"GO:0005682","U5 snRNP","5/307","25/19880",0.2,12.9511400651466,7.48828131711765,3.50440162948515e-05,0.000849817395150149,0.000663991887691923,"SNRPD1/SNRPN/PRPF6/SNRPG/PRPF8",5
"GO:0002102","podosome","6/307","41/19880",0.146341463414634,9.47644395010725,6.80430058765801,3.68439785409028e-05,0.000850920456777993,0.000664853748106516,"FLNA/SRC/ERC1/WDR1/DNM2/TJP1",6
"GO:0030863","cortical cytoskeleton","9/307","109/19880",0.0825688073394495,5.34680094432657,5.69910213575334,4.90361596769253e-05,0.00108102442924131,0.000844641984865699,"CAPZA1/FLOT1/FLNA/CLASP1/PDE4DIP/WDR1/CLASP2/AKAP13/ACTN1",9
