"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","43/1006","169/18805",0.254437869822485,4.75616713917677,11.6610651151798,3.95750921119609e-18,1.95896705954207e-14,1.72172479682878e-14,"MTOR/EIF2S3/RPL39/RPS17/RPL28/HNRNPD/EIF4B/RPLP0/RPL4/YBX1/RPL9/EIF3D/RPS5/RPLP1/RPS18/RPS10/RPL14/CSDE1/PABPC1/RPL15/RPS24/CNBP/RPS3A/EIF4H/RPS12/SH3BGRL/AKT2/RACK1/IGF2BP1/RPS14/AARS1/RPL23/RPS27/PKM/RPL12/EIF3I/RPS11/DHX9/RPL3/EIF3CL/EIF3C/EIF3G/HNRNPU",43
"GO:0008380","RNA splicing","70/1006","482/18805",0.145228215767635,2.71472822814152,9.06664968204584,2.01005190327471e-14,4.9748784606049e-11,4.37239185064966e-11,"HNRNPL/CWC22/DDX39A/SMN1/PPIL2/SAP18/SMN2/CDC5L/LUC7L2/FUS/LSM3/SUGP1/TAF15/HNRNPH1/SRSF4/TAF9/NONO/AKAP8L/AQR/YBX1/DDX39B/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/ESS2/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/RBM5/PRPF40A/SNRPN/PABPC1/SMU1/YTHDC1/TMBIM6/CLASRP/SNU13/TRA2A/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/TADA3/EFTUD2/LUC7L3/IK/PRPF6/SNRPG/DHX9/RBM6/LSM2/TSEN15/SLC38A2/RTRAF/SNRNP40/ZBTB8OS/THOC5/PPP4R2/HNRNPU/CASC3/METTL14/EIF4A3",70
"GO:0006403","RNA localization","41/1006","206/18805",0.199029126213592,3.72042019726302,9.33364145119306,2.06309701780145e-13,3.4041100793724e-10,2.99185262265734e-10,"NXF1/DDX39A/SMG7/DCP2/NXT2/XPOT/LRPPRC/FXR2/AKAP8L/WRAP53/YBX1/DDX39B/CCT7/NUP98/NUP107/HNRNPA2B1/ZC3H11A/XPO1/CCT3/NDC1/CHTOP/SETD2/KPNB1/CCT8/CAPRIN1/PARN/NUP214/YTHDC1/SARNP/SEC13/IGF2BP1/PABPN1/NUP205/PRPF6/DHX9/NUP153/RTRAF/THOC5/HNRNPU/CASC3/EIF4A3",41
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","53/1006","336/18805",0.157738095238095,2.94857344031052,8.56822843975031,1.24293919227314e-12,1.23050980035041e-09,1.08148793298208e-09,"HNRNPL/CWC22/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/SRSF4/AQR/DDX39B/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/ESS2/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/RBM5/PRPF40A/SNRPN/PABPC1/SMU1/YTHDC1/SNU13/TRA2A/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/EFTUD2/LUC7L3/IK/PRPF6/SNRPG/DHX9/RBM6/LSM2/SNRNP40/HNRNPU/CASC3/METTL14/EIF4A3",53
"GO:0000398","mRNA splicing, via spliceosome","53/1006","336/18805",0.157738095238095,2.94857344031052,8.56822843975031,1.24293919227314e-12,1.23050980035041e-09,1.08148793298208e-09,"HNRNPL/CWC22/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/SRSF4/AQR/DDX39B/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/ESS2/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/RBM5/PRPF40A/SNRPN/PABPC1/SMU1/YTHDC1/SNU13/TRA2A/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/EFTUD2/LUC7L3/IK/PRPF6/SNRPG/DHX9/RBM6/LSM2/SNRNP40/HNRNPU/CASC3/METTL14/EIF4A3",53
"GO:0000375","RNA splicing, via transesterification reactions","53/1006","340/18805",0.155882352941176,2.91388434101275,8.4665563217912,1.99830162555265e-12,1.64859884108094e-09,1.44894396814195e-09,"HNRNPL/CWC22/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/SRSF4/AQR/DDX39B/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/PRPF8/ESS2/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/RBM5/PRPF40A/SNRPN/PABPC1/SMU1/YTHDC1/SNU13/TRA2A/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/EFTUD2/LUC7L3/IK/PRPF6/SNRPG/DHX9/RBM6/LSM2/SNRNP40/HNRNPU/CASC3/METTL14/EIF4A3",53
"GO:0045727","positive regulation of translation","30/1006","140/18805",0.214285714285714,4.00560920193127,8.48611362539029,5.13286653320581e-11,3.62966990562411e-08,3.19009584687814e-08,"MTOR/LARP4/HNRNPD/USP16/FXR2/YBX1/NPM1/NIBAN1/EIF3D/RMND1/LARP1/PRKDC/EIF2AK4/CSDE1/PABPC1/CNBP/MIR15B/NAT10/ABCF1/YTHDF1/SH3BGRL/DDX3X/AKT2/IGF2BP1/PKM/DHX9/EIF3C/HNRNPU/METTL14/EIF4A3",30
"GO:0006913","nucleocytoplasmic transport","50/1006","340/18805",0.147058823529412,2.74894749152146,7.73691603171084,7.38752393610924e-11,4.06313816486008e-08,3.5710685880631e-08,"NXF1/DDX39A/SMG7/AHCYL1/NXT2/ADAR/XPOT/GSK3B/SUMO1/ANP32A/CHP1/AKAP8L/NPM1/DDX39B/HSPA9/NUP98/NUP107/HNRNPA2B1/IPO9/ZC3H11A/XPO1/SMURF1/NDC1/PRKACA/CHTOP/TNPO1/SETD2/KPNB1/UFM1/CHCHD4/MED1/NUP214/YTHDC1/SARNP/YWHAE/IPO5/SEC13/MBTPS1/RPL23/PABPN1/NUP205/HIKESHI/DHX9/STAT3/NUP153/PPP1R12A/THOC5/PHB2/CASC3/EIF4A3",50
"GO:0051169","nuclear transport","50/1006","340/18805",0.147058823529412,2.74894749152146,7.73691603171084,7.38752393610924e-11,4.06313816486008e-08,3.5710685880631e-08,"NXF1/DDX39A/SMG7/AHCYL1/NXT2/ADAR/XPOT/GSK3B/SUMO1/ANP32A/CHP1/AKAP8L/NPM1/DDX39B/HSPA9/NUP98/NUP107/HNRNPA2B1/IPO9/ZC3H11A/XPO1/SMURF1/NDC1/PRKACA/CHTOP/TNPO1/SETD2/KPNB1/UFM1/CHCHD4/MED1/NUP214/YTHDC1/SARNP/YWHAE/IPO5/SEC13/MBTPS1/RPL23/PABPN1/NUP205/HIKESHI/DHX9/STAT3/NUP153/PPP1R12A/THOC5/PHB2/CASC3/EIF4A3",50
"GO:0051168","nuclear export","33/1006","174/18805",0.189655172413793,3.54519435113457,8.0186969770627,1.76581290956849e-10,7.54996716289437e-08,6.63562238899361e-08,"NXF1/DDX39A/SMG7/AHCYL1/NXT2/ADAR/XPOT/GSK3B/CHP1/AKAP8L/NPM1/DDX39B/HSPA9/NUP98/NUP107/HNRNPA2B1/ZC3H11A/XPO1/SMURF1/PRKACA/CHTOP/SETD2/CHCHD4/NUP214/YTHDC1/SARNP/YWHAE/PABPN1/DHX9/NUP153/THOC5/CASC3/EIF4A3",33
