"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","72/1031","424/19880",0.169811320754717,3.274344380799,11.0712030993755,3.12117808329341e-19,2.06309871305694e-16,1.40288741217504e-16,"PDCD6IP/SRP68/EZR/ARPC2/CBL/NCKAP1/PTK7/EPB41L5/KRAS/RPS17/RPLP0/CLASP2/PTK2/FERMT2/RPL4/SCARB2/CHP1/NPM1/PFN1/PAK1/RPL9/G3BP1/YWHAQ/HSPA9/CTNNA1/RPS5/RPLP1/RPS18/RPS10/TPM4/AIF1L/MAPRE1/ANXA5/PABPC1/RPS3A/DCAF6/PTPN12/B2M/ARHGEF2/DNM2/PRKAR2A/FLNB/CORO1C/CTNNB1/IRF2/NUMB/PPFIBP1/PCBP2/PIP5K1A/PPIA/YWHAE/LAMTOR3/ACTB/YWHAZ/CDC42/RPS14/RDX/CYFIP1/RPL23/RPL12/CPNE3/RPS11/RPL3/CAPN2/SDCBP/PPP1R12A/ARPC3/ACTN1/TSPAN9/VIM/ITGAV/RAC1",72
"GO:0030055","cell-substrate junction","72/1031","434/19880",0.165898617511521,3.19889865773912,10.8322177214268,1.19072380842258e-18,3.93534218683662e-16,2.67599508524442e-16,"PDCD6IP/SRP68/EZR/ARPC2/CBL/NCKAP1/PTK7/EPB41L5/KRAS/RPS17/RPLP0/CLASP2/PTK2/FERMT2/RPL4/SCARB2/CHP1/NPM1/PFN1/PAK1/RPL9/G3BP1/YWHAQ/HSPA9/CTNNA1/RPS5/RPLP1/RPS18/RPS10/TPM4/AIF1L/MAPRE1/ANXA5/PABPC1/RPS3A/DCAF6/PTPN12/B2M/ARHGEF2/DNM2/PRKAR2A/FLNB/CORO1C/CTNNB1/IRF2/NUMB/PPFIBP1/PCBP2/PIP5K1A/PPIA/YWHAE/LAMTOR3/ACTB/YWHAZ/CDC42/RPS14/RDX/CYFIP1/RPL23/RPL12/CPNE3/RPS11/RPL3/CAPN2/SDCBP/PPP1R12A/ARPC3/ACTN1/TSPAN9/VIM/ITGAV/RAC1",72
"GO:0016607","nuclear speck","63/1031","415/19880",0.151807228915663,2.92718497656971,9.27903233347526,1.38896486724687e-14,3.06035259083394e-12,2.08101052040145e-12,"NXF1/CWC22/DDX39A/SAP18/CDC5L/LUC7L2/CDYL/CSNK1A1/SUMO1/MORF4L1/SRSF4/ATP6V0A1/NONO/AKAP8L/DDX39B/DUSP11/SF3B2/SNURF/PRPF8/BCLAF1/SON/RNF34/AK6/NRIP1/PQBP1/PRPF40A/PRKACA/CHTOP/ITPKC/PIAS1/TRIP12/MSL1/SMU1/PARN/HEATR5B/PIP5K1A/YTHDC1/COPS4/SARNP/ZNF106/PIAS2/DDX17/U2AF2/ACIN1/U2AF1/SNRNP70/PABPN1/EFTUD2/LUC7L3/IK/HIKESHI/PRPF6/ZNF217/RREB1/RBBP6/PSPC1/POMP/NFKBIZ/SNRNP40/HNRNPU/CASC3/EIF4A3/BRD2",63
"GO:0035770","ribonucleoprotein granule","49/1031","278/19880",0.176258992805755,3.39867000676859,9.41944148388931,4.04957106601458e-14,6.6919161865891e-12,4.55043906628481e-12,"NXF1/HNRNPL/SMN1/DCP2/BTBD1/SMN2/VCP/LSM3/DCP1A/RPL28/LARP4/RPLP0/CLOCK/SUMO1/PSMA2/FXR2/YBX1/G3BP1/LARP1/PAN3/NBDY/RBPMS2/LSM14A/PQBP1/CSDE1/RC3H1/PABPC1/KPNB1/CAPRIN1/GIGYF2/YTHDF1/CNOT1/SARNP/TUBB/ACTB/DDX3X/CDC42/IGF2BP1/EDC3/TUBA1A/UBAP2L/SNRPG/DHX9/RC3H2/LSM2/NFKBIZ/HNRNPU/CASC3/RAC1",49
"GO:0036464","cytoplasmic ribonucleoprotein granule","47/1031","261/19880",0.18007662835249,3.47228261071533,9.40291210568125,5.91457612145057e-14,7.81906963255765e-12,5.31689263970399e-12,"NXF1/SMN1/DCP2/BTBD1/SMN2/VCP/LSM3/DCP1A/RPL28/LARP4/RPLP0/CLOCK/PSMA2/FXR2/YBX1/G3BP1/LARP1/PAN3/NBDY/RBPMS2/LSM14A/PQBP1/CSDE1/RC3H1/PABPC1/KPNB1/CAPRIN1/GIGYF2/YTHDF1/CNOT1/SARNP/TUBB/ACTB/DDX3X/CDC42/IGF2BP1/EDC3/TUBA1A/UBAP2L/SNRPG/DHX9/RC3H2/LSM2/NFKBIZ/HNRNPU/CASC3/RAC1",47
"GO:0005681","spliceosomal complex","41/1031","208/19880",0.197115384615385,3.80082817279713,9.49677870471017,1.07214078085974e-13,1.18114176024715e-11,8.03165111275630e-12,"CWC22/PPIL2/CDC5L/LUC7L2/LSM3/SUGP1/ADAR/HNRNPH1/AQR/YBX1/DDX39B/TRA2B/PPIL3/HNRNPC/SF3B2/CTNNBL1/PRPF8/ESS2/HNRNPA2B1/RBM5/PRPF40A/SNRPN/PABPC1/RHEB/SMU1/SNU13/TRA2A/U2AF2/SNRPD1/U2AF1/SNRNP70/EFTUD2/LUC7L3/IK/PRPF6/SNRPG/LSM2/SNRNP40/HNRNPU/CASC3/EIF4A3",41
"GO:0022626","cytosolic ribosome","29/1031","118/19880",0.245762711864407,4.73885811044074,9.52679856242579,1.38302964891476e-12,1.30597513990379e-10,8.8805061667158e-11,"RPL39/RPS17/RPL28/LARP4/RPLP0/RPL4/RPL7L1/RPL9/RPS5/RPLP1/RPS18/RPS10/RPL14/RNF10/EEF1A1/EIF2AK4/RPL15/RPS24/RPS3A/RPS12/GCN1/DDX3X/RACK1/RPS14/RPL23/RPS27/RPL12/RPS11/RPL3",29
"GO:0071013","catalytic step 2 spliceosome","23/1031","90/19880",0.255555555555556,4.927686173079,8.73408833006828,1.22550723509073e-10,1.01257535299371e-08,6.88541564978606e-09,"CWC22/PPIL2/CDC5L/LSM3/HNRNPH1/AQR/PPIL3/HNRNPC/SF3B2/PRPF8/ESS2/HNRNPA2B1/SNRPN/PABPC1/SNRPD1/U2AF1/EFTUD2/PRPF6/SNRPG/LSM2/SNRNP40/HNRNPU/EIF4A3",23
"GO:0005840","ribosome","39/1031","244/19880",0.159836065573771,3.08199901416737,7.65299383137851,3.38125694098847e-10,2.4833453755482e-08,1.68865112725389e-08,"SRP68/RPL39/RPS17/RPL28/LARP4/RPLP0/RPL4/RPL7L1/DAP3/MRPS11/RPL9/RPS5/RRBP1/RPLP1/RPS18/RPS10/RPL14/RNF10/MRPL2/EEF1A1/EIF2AK4/RPL15/RPS24/RPS3A/MRPS9/RPS12/MRPS33/GCN1/DDX3X/RACK1/MRPL42/RPS14/RPL23/RPS27/RPL12/RPS11/RPL3/MRPS18B/MRPS35",39
"GO:0005684","U2-type spliceosomal complex","23/1031","95/19880",0.242105263157895,4.66833426923273,8.38195105653383,3.95872882339687e-10,2.61671975226533e-08,1.77934442904259e-08,"CWC22/CDC5L/LUC7L2/LSM3/AQR/SF3B2/PRPF8/PRPF40A/SNRPN/SMU1/SNU13/U2AF2/SNRPD1/SNRNP70/EFTUD2/LUC7L3/IK/PRPF6/SNRPG/LSM2/SNRNP40/CASC3/EIF4A3",23
"GO:0044391","ribosomal subunit","33/1031","186/19880",0.17741935483871,3.42104439785989,7.75844527859599,4.96817437999743e-10,2.98542115016209e-08,2.03005785670709e-08,"RPL39/RPS17/RPL28/LARP4/RPLP0/RPL4/RPL7L1/DAP3/MRPS11/RPL9/RPS5/RPLP1/RPS18/RPS10/RPL14/MRPL2/RPL15/RPS24/RPS3A/MRPS9/RPS12/MRPS33/DDX3X/RACK1/MRPL42/RPS14/RPL23/RPS27/RPL12/RPS11/RPL3/MRPS18B/MRPS35",33
"GO:0015935","small ribosomal subunit","20/1031","74/19880",0.27027027027027,5.21141898445487,8.48844942293356,6.72245185715793e-10,3.70295056465116e-08,2.51797100263722e-08,"RPS17/LARP4/DAP3/MRPS11/RPS5/RPS18/RPS10/RPS24/RPS3A/MRPS9/RPS12/MRPS33/DDX3X/RACK1/MRPL42/RPS14/RPS27/RPS11/MRPS18B/MRPS35",20
"GO:0010494","cytoplasmic stress granule","22/1031","96/19880",0.229166666666667,4.41884901390236,7.85309640063113,2.89741658799251e-09,1.47322489589466e-07,1.00177885269053e-07,"NXF1/VCP/LARP4/FXR2/YBX1/G3BP1/LARP1/RBPMS2/LSM14A/PQBP1/CSDE1/RC3H1/PABPC1/KPNB1/CAPRIN1/GIGYF2/YTHDF1/DDX3X/IGF2BP1/UBAP2L/RC3H2/CASC3",22
