"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045296","cadherin binding","49/997","334/18639",0.146706586826347,2.74269214830119,7.63980661091454,1.23743060311581e-10,1.2448551867345e-07,1.05637496750202e-07,"EZR/CBL/CLIC1/ALDOA/EIF2S3/AHSA1/ASAP1/CAST/NUDC/UBFD1/PFN1/ERC1/SPTBN1/LARP1/CTNNA1/PDXDC1/RPL14/PICALM/MAPRE1/TJP1/CAPZA1/DLG1/RPL15/EIF4H/CCT8/GIGYF2/SEPTIN7/FLNB/CTNNB1/TMPO/NUMB/PPFIBP1/GCN1/ENO1/YWHAE/YWHAZ/GAPVD1/DDX3X/RACK1/ABI1/RDX/SPTAN1/PKM/SNX5/SEPTIN2/VAPA/PCMT1/ANXA2/MARK2",49
"GO:0043021","ribonucleoprotein complex binding","32/997","177/18639",0.180790960451977,3.37990241912177,7.56274982657307,1.17054606400185e-09,5.88784670192929e-07,4.99638346266051e-07,"SRP68/MTOR/EIF4B/USP16/ITCH/NDUFAB1/GTPBP4/NPM1/NOMO1/G3BP1/LARP1/RPLP1/PQBP1/NOMO3/CSDE1/SNRPN/EIF4H/BAG6/CINP/ABCF1/YTHDF1/LEMD3/DDX3X/CCDC47/RACK1/SNRPD1/PRPF6/SNRPG/DHX9/EIF3C/HNRNPU/EIF4A3",32
"GO:0003735","structural constituent of ribosome","30/997","175/18639",0.171428571428571,3.20487175813154,6.96647025736251,1.38878024582366e-08,4.65704309099535e-06,3.95193255916839e-06,"RPL39/RPS17/RPL28/RPLP0/RPL4/RPL7L1/DAP3/MRPS11/RPL9/RPS5/RPLP1/RPS18/RPS10/RPL14/MRPL2/RPL15/RPS24/RPS3A/MRPS9/RPS12/MRPS33/MRPL42/RPS14/RPL23/RPS27/RPL12/RPS11/RPL3/MRPS18B/MRPS35",30
"GO:0016874","ligase activity","28/997","167/18639",0.167664670658683,3.13450531234422,6.5867600023511,6.85135947356131e-08,1.72311690760067e-05,1.4622243508048e-05,"UBA5/ATP6V1A/RARS2/TTLL3/YARS1/ITCH/LARS2/LRRC47/EPRS1/IARS2/ATP5PB/LIG1/ATP5F1C/GART/FARSB/IARS1/ASNS/SUCLA2/LARS1/MARS1/GSS/UBA6/UBA2/AARS1/TTLL7/GMPS/ATP5PO/SUCLG1",28
"GO:0044389","ubiquitin-like protein ligase binding","40/997","322/18639",0.124223602484472,2.32237083922575,5.69019763464362,6.19333595294949e-07,0.000124609919373344,0.000105743062270359,"CUL4B/VCP/KDM4A/NPLOC4/FAF1/UBE2K/GSK3B/SUMO1/ITCH/LRPPRC/TRIM37/WRAP53/MFN2/CCNB1/CUL1/HSPA9/PARP9/RNF34/XRCC5/PRKACA/CBS/PIAS1/BAG6/PRKAR2A/CTNNB1/PCBP2/TMBIM6/TUBB/YWHAE/YWHAZ/PIAS2/RPL23/HERC2/SLF2/PRKAR2B/SUMO2/CLU/CASP8/CASC3/BRCA1",40
"GO:0031625","ubiquitin protein ligase binding","37/997","302/18639",0.122516556291391,2.29045746511056,5.37472622473375,2.25999313900492e-06,0.000378925516306491,0.000321553409777717,"CUL4B/VCP/KDM4A/NPLOC4/FAF1/UBE2K/GSK3B/SUMO1/LRPPRC/TRIM37/WRAP53/MFN2/CUL1/HSPA9/RNF34/XRCC5/PRKACA/CBS/PIAS1/BAG6/PRKAR2A/CTNNB1/PCBP2/TMBIM6/TUBB/YWHAE/YWHAZ/PIAS2/RPL23/HERC2/SLF2/PRKAR2B/SUMO2/CLU/CASP8/CASC3/BRCA1",37
"GO:0034236","protein kinase A catalytic subunit binding","7/997","14/18639",0.5,9.34754262788365,7.42758869647264,3.02254965486713e-06,0.000416361815021339,0.000353321577882501,"EZR/PRKAR1B/GSK3B/PJA2/PRKAR2A/GSK3A/PRKAR2B",7
"GO:0042393","histone binding","32/997","247/18639",0.129554655870445,2.42203533677957,5.34832401425239,3.31102835007029e-06,0.000416361815021339,0.000353321577882501,"NCAPD3/BPTF/NAP1L4/CDYL/KDM4A/RBBP5/USP16/TBL1XR1/SMARCA5/ANP32A/NBN/BAZ1B/WRAP53/NPM1/PARP9/KMT2A/IPO9/SMARCC1/ANP32E/ATAD2/UHRF1/SUZ12/UIMC1/CBX3/KDM5A/SPTY2D1/PHC3/NCAPD2/GLYR1/DPF2/CHD1/BRD2",32
"GO:0003727","single-stranded RNA binding","17/997","89/18639",0.191011235955056,3.57097134098926,5.77954441871098,4.14471607244184e-06,0.000463287152097388,0.000393142074239805,"LARP4/EIF4B/HNRNPH1/AQR/HNRNPC/LONP1/PAN3/LSM14A/PABPC1/CNBP/EIF4H/DDX3X/U2AF2/PABPN1/DHX9/HNRNPU/EIF4A3",17
"GO:0019207","kinase regulator activity","35/997","287/18639",0.121951219512195,2.27988844582528,5.19451124270614,4.68057329434579e-06,0.000470865673411186,0.000399573151759414,"PRKAR1B/FAF1/PAK1IP1/FERMT2/CCNK/MACROH2A1/NBN/CHP1/CIT/CCNB1/NPM1/CCNI/TAOK1/CALM3/KIDINS220/CCNC/NEK9/RPLP1/PPP2R5A/EEF1A1/SAV1/RHEB/TOM1L1/PRKAR2A/GCN1/LAMTOR3/DDX3X/RACK1/ABI1/ATG13/IL6ST/ALS2/PRKAR2B/PIK3R3/MARK2",35
