"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","20/247","424/19880",0.0471698113207547,3.79650141318463,6.52865324801326,3.82146762134794e-07,0.000117725866771218,9.2578704548302e-05,"SRP68/ARPC2/PABPC1/NPM1/RPS3A/G3BP1/PTPN12/CPNE3/CTNNA1/FLNB/CORO1C/RPS18/SDCBP/PPP1R12A/TPM4/ARPC3/ACTN1/YWHAE/TSPAN9/YWHAZ",20
"GO:0030055","cell-substrate junction","20/247","434/19880",0.0460829493087558,3.70902442209743,6.4002222385124,5.51409212043178e-07,0.000117725866771218,9.2578704548302e-05,"SRP68/ARPC2/PABPC1/NPM1/RPS3A/G3BP1/PTPN12/CPNE3/CTNNA1/FLNB/CORO1C/RPS18/SDCBP/PPP1R12A/TPM4/ARPC3/ACTN1/YWHAE/TSPAN9/YWHAZ",20
"GO:0010494","cytoplasmic stress granule","9/247","96/19880",0.09375,7.54554655870445,7.2106911041726,3.08891824952415e-06,0.000439656030848938,0.000345742077753756,"IGF2BP1/PABPC1/UBAP2L/G3BP1/GIGYF2/YTHDF1/RBPMS2/LSM14A/FXR2",9
"GO:0000776","kinetochore","10/247","174/19880",0.0574712643678161,4.62562241146633,5.38778637721496,6.6358234239444e-05,0.0045400213961794,0.00357023745933989,"CCNB1/CENPH/KNL1/NUP98/CSNK1A1/PPP1R12A/XPO1/GTF2B/SMARCC1/CENPS",10
"GO:0016607","nuclear speck","16/247","415/19880",0.0385542168674699,3.10306814301741,4.85626747938934,6.74420985647803e-05,0.0045400213961794,0.00357023745933989,"PIAS2/CWC22/SNRNP70/EFTUD2/CDYL/TRIP12/DUSP11/HIKESHI/PRPF6/CSNK1A1/PRPF8/PSPC1/SON/ZNF106/ATP6V0A1/BRD2",16
"GO:0042470","melanosome","8/247","111/19880",0.0720720720720721,5.80078053762264,5.68896683561734,7.4426580265236e-05,0.0045400213961794,0.00357023745933989,"PDIA4/TFRC/CANX/SDCBP/RPN1/YWHAE/YWHAZ/ATP6V0A1",8
"GO:0048770","pigment granule","8/247","111/19880",0.0720720720720721,5.80078053762264,5.68896683561734,7.4426580265236e-05,0.0045400213961794,0.00357023745933989,"PDIA4/TFRC/CANX/SDCBP/RPN1/YWHAE/YWHAZ/ATP6V0A1",8
"GO:0000779","condensed chromosome, centromeric region","10/247","186/19880",0.0537634408602151,4.32719515911367,5.11352273274467,0.000115560267863624,0.0059990050176424,0.00471757081382454,"CCNB1/CENPH/KNL1/NUP98/CSNK1A1/PPP1R12A/XPO1/GTF2B/SMARCC1/CENPS",10
"GO:0000775","chromosome, centromeric region","12/247","265/19880",0.0452830188679245,3.64464135665725,4.86125022257635,0.00012644272870909,0.0059990050176424,0.00471757081382454,"CCNB1/CENPH/KNL1/NUP98/CSNK1A1/DAPK3/SMARCA5/PPP1R12A/XPO1/GTF2B/SMARCC1/CENPS",12
"GO:0031965","nuclear membrane","13/247","312/19880",0.0416666666666667,3.35357624831309,4.69985825403831,0.000152613337795613,0.00647642649898295,0.0050930113476533,"OSBPL6/CCNI/ANKRD17/SURF4/TOR1AIP1/TOR1AIP2/NUP98/NUP153/CANX/SDCBP/MATR3/XPO1/ENO1",13
"GO:0005635","nuclear envelope","17/247","496/19880",0.0342741935483871,2.75858691393496,4.44872320283765,0.000166840026905884,0.00647642649898295,0.0050930113476533,"OSBPL6/MTOR/CCNI/ATF6/ANKRD17/SURF4/TOR1AIP1/TOR1AIP2/NUP98/ABCF1/NUP153/FAF1/CANX/SDCBP/MATR3/XPO1/ENO1",17
