"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","30/343","424/19880",0.0707547169811321,4.10088563727378,8.55179511789284,6.95923683842652e-11,3.12116897319715e-08,2.60636364732377e-08,"FLOT1/RDX/CYFIP1/EZR/PABPC1/NPM1/PAK4/RPS9/VASP/PTK7/G3BP1/PTPN12/B2M/RPL18/DNM2/CTNNA1/PRKAR2A/CAPN2/RPS5/RPL13A/CLASP2/BSG/RPS10/PPP1R12A/TPM4/ARPC3/YWHAE/AIF1L/CHP1/TSPAN9",30
"GO:0030055","cell-substrate junction","30/343","434/19880",0.0691244239631336,4.00639518480203,8.3905644920421,1.22880668236108e-10,3.12116897319715e-08,2.60636364732377e-08,"FLOT1/RDX/CYFIP1/EZR/PABPC1/NPM1/PAK4/RPS9/VASP/PTK7/G3BP1/PTPN12/B2M/RPL18/DNM2/CTNNA1/PRKAR2A/CAPN2/RPS5/RPL13A/CLASP2/BSG/RPS10/PPP1R12A/TPM4/ARPC3/YWHAE/AIF1L/CHP1/TSPAN9",30
"GO:0005681","spliceosomal complex","17/343","208/19880",0.0817307692307692,4.73704866562009,7.17879500101911,1.33070935824739e-07,2.25333451329892e-05,1.88166972411824e-05,"CWC22/PPIL2/U2AF1/PABPC1/SNRNP70/EFTUD2/PPIL3/PRPF6/HNRNPC/SUGP1/PRPF8/LSM2/NCL/SNU13/TRA2A/HNRNPM/CASC3",17
"GO:0071013","catalytic step 2 spliceosome","11/343","90/19880",0.122222222222222,7.08390022675737,7.66471179663723,4.2412408524856e-07,5.38637588265672e-05,4.49794753566236e-05,"CWC22/PPIL2/U2AF1/PABPC1/EFTUD2/PPIL3/PRPF6/HNRNPC/PRPF8/LSM2/HNRNPM",11
"GO:0031965","nuclear membrane","16/343","312/19880",0.0512820512820513,2.97226582940869,4.65248429918017,0.000112855061537802,0.00746011412794897,0.00622964358384466,"CCNI/ANKRD17/PCM1/TRAPPC2B/WDFY3/NUP153/CANX/LRPPRC/GAPDH/LEMD3/MATR3/DCTN5/ENO1/DNAJC1/TRIM27/CASC3",16
"GO:0046540","U4/U6 x U5 tri-snRNP complex","6/343","45/19880",0.133333333333333,7.72789115646258,5.98665870382692,0.000116604346835421,0.00746011412794897,0.00622964358384466,"EFTUD2/PRPF6/PRPF8/LSM2/SNU13/RBM42",6
"GO:0042470","melanosome","9/343","111/19880",0.0810810810810811,4.69939327082184,5.17863174898553,0.000131604756085721,0.00746011412794897,0.00622964358384466,"FLOT1/RAB5A/TFRC/BSG/CANX/YWHAE/ATP6V0A1/CALU/CD63",9
"GO:0048770","pigment granule","9/343","111/19880",0.0810810810810811,4.69939327082184,5.17863174898553,0.000131604756085721,0.00746011412794897,0.00622964358384466,"FLOT1/RAB5A/TFRC/BSG/CANX/YWHAE/ATP6V0A1/CALU/CD63",9
"GO:0097526","spliceosomal tri-snRNP complex","6/343","46/19880",0.130434782608696,7.55989352262644,5.90181973337823,0.00013216737628256,0.00746011412794897,0.00622964358384466,"EFTUD2/PRPF6/PRPF8/LSM2/SNU13/RBM42",6
"GO:0005635","nuclear envelope","21/343","496/19880",0.0423387096774194,2.45391705069124,4.34484368140936,0.000156799971354055,0.00796543854478602,0.00665161983744046,"CCNI/ATF6/ANKRD17/PCM1/TRAPPC2B/ABCF1/WDFY3/NUP153/FAF1/RRM1/CANX/LRPPRC/GAPDH/LEMD3/MATR3/DCTN5/ENO1/DNAJC1/TRIM27/TUBB/CASC3",21
"GO:0036464","cytoplasmic ribonucleoprotein granule","14/343","261/19880",0.053639846743295,3.10892172961138,4.54420243804907,0.00018895929991522,0.00872648403244834,0.00728713855175442,"EDC3/SMN1/PABPC1/CAPRIN1/G3BP1/LARP4/EIF4G1/CNOT1/LSM2/RBPMS2/SARNP/NCL/TUBB/CASC3",14
"GO:0071005","U2-type precatalytic spliceosome","6/343","50/19880",0.12,6.95510204081633,5.58635127697205,0.00021161245979018,0.00895826079778427,0.00748068607854757,"CWC22/EFTUD2/PRPF6/PRPF8/LSM2/SNU13",6
"GO:0005684","U2-type spliceosomal complex","8/343","95/19880",0.0842105263157895,4.88077336197637,5.02374335275031,0.000238874677721827,0.00933448740636063,0.00779485790460699,"CWC22/SNRNP70/EFTUD2/PRPF6/PRPF8/LSM2/SNU13/CASC3",8
"GO:0071011","precatalytic spliceosome","6/343","52/19880",0.115384615384615,6.68759811616954,5.44134806316426,0.000263383838484015,0.00955707071070568,0.00798072833902692,"CWC22/EFTUD2/PRPF6/PRPF8/LSM2/SNU13",6
