"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043021","ribonucleoprotein complex binding","14/323","177/18639",0.0790960451977401,4.56430707876371,6.32714766699997,2.63495467605173e-06,0.00116635630497014,0.000993489186516302,"SRP68/NPM1/MTOR/NOMO1/BAG6/PRPF6/CINP/UCHL1/SNRPG/LARP1/ABCF1/RPLP1/NDUFAB1/NOMO3",14
"GO:0004812","aminoacyl-tRNA ligase activity","7/323","41/18639",0.170731707317073,9.85222381635581,7.53523480773988,5.96093511909781e-06,0.00116635630497014,0.000993489186516302,"AARS1/LARS2/LRRC47/EPRS1/LARS1/YARS1/MARS1",7
"GO:0016875","ligase activity, forming carbon-oxygen bonds","7/323","41/18639",0.170731707317073,9.85222381635581,7.53523480773988,5.96093511909781e-06,0.00116635630497014,0.000993489186516302,"AARS1/LARS2/LRRC47/EPRS1/LARS1/YARS1/MARS1",7
"GO:0043022","ribosome binding","10/323","112/18639",0.0892857142857143,5.15231092436975,5.85304582018156,2.52249119912138e-05,0.00370175583471062,0.00315311399890172,"SRP68/NPM1/MTOR/NOMO1/BAG6/UCHL1/LARP1/ABCF1/NDUFAB1/NOMO3",10
"GO:0044389","ubiquitin-like protein ligase binding","17/323","322/18639",0.0527950310559006,3.04658385093168,4.91944266662225,5.04551489523485e-05,0.00592343448700572,0.00504551489523485,"PIAS2/WRAP53/CBS/PIAS1/SLF2/BAG6/UCHL1/PARP9/NPLOC4/SUMO2/FAF1/CLU/TMBIM6/TRIM37/YWHAE/CASC3/XRCC5",17
"GO:0031625","ubiquitin protein ligase binding","16/323","302/18639",0.0529801324503311,3.05726529022205,4.78646872147351,8.03698720029784e-05,0.00718548412446156,0.00612051458642382,"PIAS2/WRAP53/CBS/PIAS1/SLF2/BAG6/UCHL1/NPLOC4/SUMO2/FAF1/CLU/TMBIM6/TRIM37/YWHAE/CASC3/XRCC5",16
"GO:0008135","translation factor activity, RNA binding","8/323","83/18639",0.0963855421686747,5.56201275690999,5.53144956713871,9.51807946514615e-05,0.00718548412446156,0.00612051458642382,"EIF2S3/EIF3D/EIF3I/ABCF1/EIF3CL/GCN1/MTRF1/EIF3G",8
"GO:0180051","translation factor activity","8/323","84/18639",0.0952380952380952,5.49579831932773,5.48405222248512,0.000103638099672927,0.00718548412446156,0.00612051458642382,"EIF2S3/EIF3D/EIF3I/ABCF1/EIF3CL/GCN1/MTRF1/EIF3G",8
"GO:0042393","histone binding","14/323","247/18639",0.0566801619433198,3.27077875684687,4.77083523065641,0.000110169262555629,0.00718548412446156,0.00612051458642382,"WRAP53/ANP32E/NPM1/NCAPD3/BPTF/PHC3/NCAPD2/UHRF1/SUZ12/PARP9/DPF2/TBL1XR1/SMARCC1/BRD2",14
"GO:0016874","ligase activity","11/323","167/18639",0.0658682634730539,3.80098626276858,4.82834008285113,0.000163482739742303,0.00959643682287321,0.00817413698711516,"UBA2/ATP5F1C/AARS1/LARS2/LRRC47/EPRS1/ATP6V1A/LARS1/YARS1/ATP5PO/MARS1",11
