"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","26/326","424/19880",0.0613207547169811,3.7394374348883,7.36216924754964,9.27197828043433e-09,3.65849468166211e-06,2.80576283856793e-06,"CYFIP1/SRP68/ARPC2/NPM1/ACTN4/PTK7/DCAF6/CPNE3/ARHGEF2/DNM2/CTNNA1/PRKAR2A/CAPN2/CORO1C/CLASP2/IRF2/NUMB/RPS18/PIP5K1A/RPS10/TPM4/ARPC3/ACTN1/YWHAE/TSPAN9/RAC1",26
"GO:0030055","cell-substrate junction","26/326","434/19880",0.0599078341013825,3.65327528201069,7.21606267579658,1.49326313537229e-08,3.65849468166211e-06,2.80576283856793e-06,"CYFIP1/SRP68/ARPC2/NPM1/ACTN4/PTK7/DCAF6/CPNE3/ARHGEF2/DNM2/CTNNA1/PRKAR2A/CAPN2/CORO1C/CLASP2/IRF2/NUMB/RPS18/PIP5K1A/RPS10/TPM4/ARPC3/ACTN1/YWHAE/TSPAN9/RAC1",26
"GO:0036464","cytoplasmic ribonucleoprotein granule","18/326","261/19880",0.0689655172413793,4.20562724772583,6.73105443033774,3.41115679180737e-07,5.47010312836151e-05,4.19511668490883e-05,"EDC3/NXF1/RC3H1/SMN1/SMN2/UBAP2L/LSM3/DCP1A/GIGYF2/RPL28/SNRPG/LARP1/CLOCK/LSM2/NFKBIZ/LSM14A/CASC3/RAC1",18
"GO:0005684","U2-type spliceosomal complex","11/326","95/19880",0.115789473684211,7.06102680012916,7.64589344247274,4.46539030886654e-07,5.47010312836151e-05,4.19511668490883e-05,"SNRPD1/SNRNP70/EFTUD2/CDC5L/LSM3/PRPF6/SNRPG/SMU1/LSM2/SNU13/CASC3",11
"GO:0035770","ribonucleoprotein granule","18/326","278/19880",0.0647482014388489,3.94844860308073,6.39225407390159,8.57575161797282e-07,8.40423658561337e-05,6.44535437392905e-05,"EDC3/NXF1/RC3H1/SMN1/SMN2/UBAP2L/LSM3/DCP1A/GIGYF2/RPL28/SNRPG/LARP1/CLOCK/LSM2/NFKBIZ/LSM14A/CASC3/RAC1",18
"GO:0071005","U2-type precatalytic spliceosome","8/326","50/19880",0.16,9.75705521472393,8.00515959292502,1.41497571493387e-06,0.000115556350052933,8.862216319849e-05,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/SMU1/LSM2/SNU13",8
"GO:0071011","precatalytic spliceosome","8/326","52/19880",0.153846153846154,9.38178386031147,7.81424342008427,1.92767906968562e-06,0.000134937534877993,0.000103485929004175,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/SMU1/LSM2/SNU13",8
"GO:0046540","U4/U6 x U5 tri-snRNP complex","7/326","45/19880",0.155555555555556,9.48602590320382,7.35838944117475,7.94599099089025e-06,0.000452834641702524,0.000347286717696673,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/LSM2/SNU13",7
"GO:0005681","spliceosomal complex","14/326","208/19880",0.0673076923076923,4.10453043888627,5.81154484494065,9.19890472779261e-06,0.000452834641702524,0.000347286717696673,"SNRPD1/PPIL2/SNRNP70/EFTUD2/CDC5L/LSM3/PRPF6/HNRNPC/SUGP1/SNRPG/SMU1/LSM2/SNU13/CASC3",14
"GO:0097526","spliceosomal tri-snRNP complex","7/326","46/19880",0.152173913043478,9.27980794878634,7.25909176031966,9.24152330005151e-06,0.000452834641702524,0.000347286717696673,"SNRPD1/EFTUD2/LSM3/PRPF6/SNRPG/LSM2/SNU13",7
"GO:0031519","PcG protein complex","7/326","49/19880",0.142857142857143,8.71165644171779,6.97849332609467,1.42200150208786e-05,0.000633437032748228,0.000485793814588866,"SKP1/PHC3/UBAP2L/SUZ12/EED/PCGF2/TRIM37",7
"GO:0071013","catalytic step 2 spliceosome","9/326","90/19880",0.1,6.09815950920245,6.25892919352744,1.69092597257086e-05,0.000690461438799767,0.000529526817726137,"SNRPD1/PPIL2/EFTUD2/CDC5L/LSM3/PRPF6/HNRNPC/SNRPG/LSM2",9
"GO:0016607","nuclear speck","20/326","415/19880",0.0481927710843374,2.93887205262769,5.15387945397144,1.8852515827068e-05,0.000710594827327948,0.00054496746155978,"PIAS2/AKAP8L/NXF1/DDX39A/SAP18/SNRNP70/PIAS1/EFTUD2/CDC5L/TRIP12/HIKESHI/PRPF6/CSNK1A1/SMU1/NFKBIZ/PIP5K1A/SRSF4/AK6/CASC3/ATP6V0A1",20
