"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","70/1428","169/18805",0.414201183431953,5.45451908574081,16.6751461840178,2.13374321454587e-34,1.15200796153332e-30,1.00196089264096e-30,"MTOR/RPL7A/EIF2S3/RPL39/RPS28/UBA52/RPS17/RPL28/EIF4G1/HNRNPD/RPL13A/EIF4B/RPLP0/RPS6/RPS26/RPS27A/DHX29/RPL4/YBX1/RPSA/RPL9/EIF3D/RPL37/RPS5/RPL38/RPLP1/RPS18/RPS10/RPL14/RPL10A/CSDE1/RPL37A/NCBP2/NEMF/PABPC1/RPL15/RPS24/CNBP/RPS3A/EIF4H/RPS12/RPS4X/RPS13/SH3BGRL/RPL41/AKT2/RACK1/IGF2BP1/RPS14/AARS1/RPL23/RPS27/PKM/RPS9/RPL12/EIF3F/EIF3I/RPS11/RPL18/DHX9/RPL3/RPS21/RPS3/EEF1D/EIF3CL/EIF3C/EIF3G/RPS20/RPL5/HNRNPU",70
"GO:0008380","RNA splicing","105/1428","482/18805",0.217842323651452,2.86871491335123,11.9143431502509,1.72565870735154e-23,4.65841568049549e-20,4.05166499657644e-20,"FAM50A/CWC22/HNRNPL/DDX39A/SMN1/PPIL2/SAP18/SMN2/CDK11B/CDC5L/LUC7L2/FUS/LSM3/SUPT6H/POLR2A/SUGP1/TAF15/HNRNPH1/PRPF19/RPS26/SNRPD2/SRSF4/RBFOX2/TAF9/NONO/PTBP1/PLRG1/AKAP8L/AQR/YBX1/DDX39B/HNRNPA1/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/ZRANB2/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/SNRPN/PABPC1/SF3B1/KHSRP/SMU1/SCAF1/ILF3/YTHDC1/C2orf49/TMBIM6/CLASRP/NCL/RPS13/SNU13/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/TADA3/EFTUD2/PSIP1/LUC7L3/IK/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/RBM6/LSM2/TSEN15/SLC38A2/CLK2/RTRAF/SNRNP40/ZBTB8OS/USP22/THOC5/PPP4R2/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",105
"GO:0000375","RNA splicing, via transesterification reactions","77/1428","340/18805",0.226470588235294,2.98233852364475,10.5741251899853,1.5238491383397e-18,2.74242049929869e-15,2.38522491443278e-15,"CWC22/HNRNPL/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/PRPF19/SNRPD2/SRSF4/RBFOX2/PTBP1/PLRG1/AQR/DDX39B/HNRNPA1/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/SNRPN/PABPC1/SF3B1/KHSRP/SMU1/ILF3/YTHDC1/NCL/SNU13/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/EFTUD2/PSIP1/LUC7L3/IK/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/RBM6/LSM2/SNRNP40/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",77
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","76/1428","336/18805",0.226190476190476,2.97864979325063,10.4910439515672,2.75964002072388e-18,2.97985929437764e-15,2.59173771209457e-15,"CWC22/HNRNPL/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/PRPF19/SNRPD2/SRSF4/RBFOX2/PTBP1/PLRG1/AQR/DDX39B/HNRNPA1/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/SNRPN/PABPC1/SF3B1/SMU1/ILF3/YTHDC1/NCL/SNU13/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/EFTUD2/PSIP1/LUC7L3/IK/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/RBM6/LSM2/SNRNP40/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",76
"GO:0000398","mRNA splicing, via spliceosome","76/1428","336/18805",0.226190476190476,2.97864979325063,10.4910439515672,2.75964002072388e-18,2.97985929437764e-15,2.59173771209457e-15,"CWC22/HNRNPL/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/PRPF19/SNRPD2/SRSF4/RBFOX2/PTBP1/PLRG1/AQR/DDX39B/HNRNPA1/TRA2B/PPIL3/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/SNRPN/PABPC1/SF3B1/SMU1/ILF3/YTHDC1/NCL/SNU13/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/ACIN1/U2AF1/SNRNP70/EFTUD2/PSIP1/LUC7L3/IK/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/RBM6/LSM2/SNRNP40/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",76
"GO:0022613","ribonucleoprotein complex biogenesis","89/1428","494/18805",0.180161943319838,2.37251074518876,8.86186277471603,1.18412799970192e-14,1.06551784506511e-11,9.26735966082501e-12,"SMN1/DCAF13/CUL4B/DDX21/SMN2/RPL7A/RRN3/LUC7L2/EIF2S3/RPS28/DICER1/RPS17/RPL13A/EIF4B/RPLP0/ADAR/USP16/RPS6/PAK1IP1/PRPF19/SNRPD2/RPS27A/TAF9/DHX29/WDR75/GTPBP4/NPM1/RPL7L1/DDX39B/EIF1AX/RPSA/RRP7A/EIF3D/EXOSC8/SF3B2/RPS5/RPL38/PRPF8/PRKDC/SETX/XPO1/RPL14/AK6/DHX30/SNRNP200/XRCC5/RBM5/SF3B1/POP4/RPS24/BMS1/RPS3A/EIF4H/NAT10/RPS12/CINP/PDCD11/RPS4X/YTHDC1/RPS13/SNU13/RBM10/DDX3X/DDX17/U2AF2/SNRPD1/RPS14/DDX27/RPS27/PSIP1/PTGES3/RPS9/LUC7L3/EIF3F/PRPF6/EIF3I/RPS11/SNRPG/DHX9/RPS21/LSM2/EIF3CL/EIF3C/XRN2/EIF3G/EXOSC9/RPL5/EIF4A3/SF3A1",89
"GO:0006403","RNA localization","51/1428","206/18805",0.247572815533981,3.26022884882108,9.3506769088251,2.39442861581552e-14,1.84678858525542e-11,1.60624752709068e-11,"NXF1/DDX39A/SMG7/DCP2/SUPT6H/NXT2/XPOT/LRPPRC/CCT6A/FXR2/DDX19A/AKAP8L/WRAP53/YBX1/CCT4/DDX39B/HNRNPA1/CCT7/NUP98/SSB/NUP107/HNRNPA2B1/ZC3H11A/XPO1/CCT3/NDC1/NCBP2/CHTOP/SETD2/KPNB1/KHSRP/CCT8/CAPRIN1/PARN/NUP214/YTHDC1/SARNP/SEC13/IGF2BP1/FLOT1/PABPN1/CCT2/NUP205/PRPF6/DHX9/NUP153/RTRAF/THOC5/HNRNPU/CASC3/EIF4A3",51
"GO:0006913","nucleocytoplasmic transport","69/1428","340/18805",0.202941176470588,2.6724851705388,8.92131558799315,3.36543484055927e-14,2.01888696713105e-11,1.75593038874092e-11,"NXF1/FLNA/DDX39A/SMG7/IPO7/SUPT6H/AHCYL1/NXT2/AKIRIN2/ADAR/XPOT/GSK3B/SUMO1/IPO13/ANP32A/WASHC4/CHP1/DDX19A/AKAP8L/NPM1/DDX39B/HNRNPA1/PPP1R10/HSPA9/NUP98/SSB/NUP107/HNRNPA2B1/IPO9/ZC3H11A/XPO1/SMURF1/NDC1/PRKACA/NCBP2/CHTOP/NEMF/TNPO1/SETD2/KPNB1/UFM1/TXNIP/CHCHD4/MED1/RANBP3/NUP214/CDK5/YTHDC1/SARNP/YWHAE/IPO5/SEC13/RBM10/MBTPS1/RPL23/IFI27/PABPN1/TRIM28/NUP205/HIKESHI/DHX9/STAT3/NUP153/CDKN1A/PPP1R12A/THOC5/PHB2/CASC3/EIF4A3",69
"GO:0051169","nuclear transport","69/1428","340/18805",0.202941176470588,2.6724851705388,8.92131558799315,3.36543484055927e-14,2.01888696713105e-11,1.75593038874092e-11,"NXF1/FLNA/DDX39A/SMG7/IPO7/SUPT6H/AHCYL1/NXT2/AKIRIN2/ADAR/XPOT/GSK3B/SUMO1/IPO13/ANP32A/WASHC4/CHP1/DDX19A/AKAP8L/NPM1/DDX39B/HNRNPA1/PPP1R10/HSPA9/NUP98/SSB/NUP107/HNRNPA2B1/IPO9/ZC3H11A/XPO1/SMURF1/NDC1/PRKACA/NCBP2/CHTOP/NEMF/TNPO1/SETD2/KPNB1/UFM1/TXNIP/CHCHD4/MED1/RANBP3/NUP214/CDK5/YTHDC1/SARNP/YWHAE/IPO5/SEC13/RBM10/MBTPS1/RPL23/IFI27/PABPN1/TRIM28/NUP205/HIKESHI/DHX9/STAT3/NUP153/CDKN1A/PPP1R12A/THOC5/PHB2/CASC3/EIF4A3",69
"GO:0006457","protein folding","53/1428","227/18805",0.233480176211454,3.07464615802268,9.01486671114177,9.74438116268445e-14,5.26099138973334e-11,4.57575624913004e-11,"PPIL2/P3H1/TBCE/ERP29/ST13/AHSA1/DNAJA3/SIL1/PDCD5/CCT6A/TBCB/DNAJB11/FUT10/NUDC/FKBP10/HSPA1B/CCT4/CCT7/DNAJC18/UGGT1/PPIL3/HSPA9/HSPA8/TBCA/CCT3/RIC8A/ANP32E/HYOU1/FKBP11/KHSRP/CCT8/B2M/CHCHD4/CANX/CHORDC1/DNAJC5/PPIA/ERO1A/FKBP4/CCDC47/DNAJA1/PDIA4/FKBP8/SNRNP70/CCT2/TTC4/PTGES3/ATF6/NFYC/NUDCD3/CLU/PDIA6/DNAJC1",53
