"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","103/1460","424/19880",0.242924528301887,3.30776686482295,13.5231219580538,3.74526696525195e-28,1.44514760837179e-25,9.46143640288458e-26,"FLNC/PDCD6IP/FLNA/SRP68/EZR/CLASP1/ARPC2/CBL/RPL7A/NCKAP1/VASP/PTK7/EPB41L5/KRAS/MRC2/ITGA5/RPS17/RPL13A/RPLP0/CLASP2/BSG/HMGA1/PTK2/FERMT2/VCL/RPL4/SCARB2/CHP1/NPM1/HSPA1B/PAK4/PAK1/RPL9/G3BP1/YWHAQ/HSPA9/CTNNA1/RPS5/HSPA8/RPL38/RPLP1/CFL1/RPS18/RPS10/TPM4/AIF1L/MAPRE1/RPL10A/RPL37A/ANXA5/PABPC1/RPS3A/HYOU1/ACTN4/DCAF6/PTPN12/B2M/ARHGEF2/DNM2/PRKAR2A/FLNB/CORO1C/CTNNB1/IRF2/NUMB/PVR/PPFIBP1/PCBP2/PIP5K1A/RPS4X/RPS13/PPIA/YWHAE/LAMTOR3/ACTB/YWHAZ/CDC42/FLOT1/RPS14/SRC/RDX/CYFIP1/RPL23/ITGB1/RPS9/RPL12/CPNE3/RPS11/RPL18/RPL3/CAPN2/RPS3/SDCBP/PPP1R12A/ARPC3/ACTN1/RPL5/HNRNPK/TSPAN9/VIM/DCTN4/ITGAV/RAC1",103
"GO:0022626","cytosolic ribosome","52/1460","118/19880",0.440677966101695,6.00046436034363,15.3378601750886,4.12310301960566e-28,1.44514760837179e-25,9.46143640288458e-26,"RPL7A/RPL39/RPS28/UBA52/RPS17/RPL28/LARP4/RPL13A/RPLP0/RPS6/RPS26/RPS27A/DHX29/RPL4/RPL7L1/RPSA/RPL9/RPL37/RPS5/RPL38/RPLP1/RPS18/RPS10/RPL14/RNF10/EEF1A1/EIF2AK4/RPL10A/RPL37A/NEMF/RPL15/RPS24/RPS3A/RPS12/RPS4X/GCN1/RPS13/DDX3X/RPL41/RACK1/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/RPS21/RPS3/RPS20/RPL5",52
"GO:0030055","cell-substrate junction","103/1460","434/19880",0.237327188940092,3.23155103844454,13.2332168737639,2.8471901621226e-27,6.65293434549313e-25,4.35570144100159e-25,"FLNC/PDCD6IP/FLNA/SRP68/EZR/CLASP1/ARPC2/CBL/RPL7A/NCKAP1/VASP/PTK7/EPB41L5/KRAS/MRC2/ITGA5/RPS17/RPL13A/RPLP0/CLASP2/BSG/HMGA1/PTK2/FERMT2/VCL/RPL4/SCARB2/CHP1/NPM1/HSPA1B/PAK4/PAK1/RPL9/G3BP1/YWHAQ/HSPA9/CTNNA1/RPS5/HSPA8/RPL38/RPLP1/CFL1/RPS18/RPS10/TPM4/AIF1L/MAPRE1/RPL10A/RPL37A/ANXA5/PABPC1/RPS3A/HYOU1/ACTN4/DCAF6/PTPN12/B2M/ARHGEF2/DNM2/PRKAR2A/FLNB/CORO1C/CTNNB1/IRF2/NUMB/PVR/PPFIBP1/PCBP2/PIP5K1A/RPS4X/RPS13/PPIA/YWHAE/LAMTOR3/ACTB/YWHAZ/CDC42/FLOT1/RPS14/SRC/RDX/CYFIP1/RPL23/ITGB1/RPS9/RPL12/CPNE3/RPS11/RPL18/RPL3/CAPN2/RPS3/SDCBP/PPP1R12A/ARPC3/ACTN1/RPL5/HNRNPK/TSPAN9/VIM/DCTN4/ITGAV/RAC1",103
"GO:0044391","ribosomal subunit","55/1460","186/19880",0.295698924731183,4.02636618058624,11.6745422775934,8.99278223390967e-20,1.57598508649267e-17,1.03180343525911e-17,"RPL7A/RPL39/RPS28/UBA52/RPS17/RPL28/LARP4/RPL13A/RPLP0/RPS6/RPS26/RPS27A/DHX29/RPL4/RPL7L1/RPSA/DAP3/MRPS11/RPL9/RPL37/RPS5/RPL38/RPLP1/RPS18/RPS10/RPL14/MRPL2/RPL10A/RPL37A/RPL15/RPS24/RPS3A/MRPS9/RPS12/MRPS33/RPS4X/RPS13/DDX3X/RPL41/RACK1/MRPL42/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/MRPS18B/RPS21/MRPS35/RPS3/RPS20/RPL5",55
"GO:0005840","ribosome","63/1460","244/19880",0.258196721311475,3.51571973950146,11.1316499458087,4.25829957959908e-19,5.97013601059791e-17,3.90867077201095e-17,"SRP68/RPL7A/RPL39/RPS28/UBA52/RPS17/RPL28/LARP4/EIF4G1/RPL13A/RPLP0/RPS6/RPS26/RPS27A/DHX29/RPL4/RPL7L1/RPSA/DAP3/MRPS11/RPL9/RPL37/RPS5/RPL38/RRBP1/RPLP1/RPS18/RPS10/RPL14/RNF10/MRPL2/EEF1A1/EIF2AK4/RPL10A/RPL37A/NEMF/RPL15/RPS24/RPS3A/MRPS9/RPS12/MRPS33/RPS4X/GCN1/RPS13/DDX3X/RPL41/RACK1/MRPL42/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/MRPS18B/RPS21/MRPS35/RPS3/RPS20/RPL5",63
"GO:0022627","cytosolic small ribosomal subunit","25/1460","42/19880",0.595238095238095,8.10502283105023,12.9768732240142,2.75234465010446e-18,3.21565599953871e-16,2.10530222358867e-16,"RPS28/RPS17/LARP4/RPS6/RPS26/RPS27A/DHX29/RPSA/RPS5/RPS18/RPS10/RPS24/RPS3A/RPS12/RPS4X/RPS13/DDX3X/RACK1/RPS14/RPS27/RPS9/RPS11/RPS21/RPS3/RPS20",25
"GO:0005681","spliceosomal complex","56/1460","208/19880",0.269230769230769,3.66596417281349,10.8815459467531,5.0738115505054e-18,5.08105985272041e-16,3.32658922709828e-16,"CWC22/PPIL2/CDC5L/LUC7L2/LSM3/SUGP1/ADAR/HNRNPH1/PRPF19/SNRPD2/PLRG1/AQR/YBX1/DDX39B/HNRNPA1/TRA2B/PPIL3/HNRNPC/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/HNRNPA2B1/SNRNP200/HNRNPM/RBM5/PRPF40A/SNRPN/PABPC1/SF3B1/RHEB/SMU1/NCL/SNU13/TRA2A/U2AF2/SNRPD1/U2AF1/SNRNP70/EFTUD2/LUC7L3/IK/HNRNPH3/PRPF6/HNRNPR/SNRPG/LSM2/SNRNP40/HNRNPU/CASC3/HNRNPK/EIF4A3/SF3A1",56
"GO:0015935","small ribosomal subunit","32/1460","74/19880",0.432432432432432,5.88818955942244,11.8602650169412,1.6048742832164e-17,1.40627109066837e-15,9.2069103616099e-16,"RPS28/RPS17/LARP4/RPS6/RPS26/RPS27A/DHX29/RPSA/DAP3/MRPS11/RPS5/RPS18/RPS10/RPS24/RPS3A/MRPS9/RPS12/MRPS33/RPS4X/RPS13/DDX3X/RACK1/MRPL42/RPS14/RPS27/RPS9/RPS11/MRPS18B/RPS21/MRPS35/RPS3/RPS20",32
"GO:0071013","catalytic step 2 spliceosome","35/1460","90/19880",0.388888888888889,5.29528158295282,11.4979093226187,2.94070310026802e-17,2.29048097031987e-15,1.49958661019515e-15,"CWC22/PPIL2/CDC5L/LSM3/HNRNPH1/PRPF19/SNRPD2/PLRG1/AQR/HNRNPA1/PPIL3/HNRNPC/SF3B2/PRPF8/DDX5/ESS2/RALY/HNRNPA2B1/SNRNP200/HNRNPM/SNRPN/PABPC1/SF3B1/SNRPD1/U2AF1/EFTUD2/PRPF6/HNRNPR/SNRPG/LSM2/SNRNP40/HNRNPU/HNRNPK/EIF4A3/SF3A1",35
"GO:0035770","ribonucleoprotein granule","63/1460","278/19880",0.226618705035971,3.0857396274761,9.85964276462066,4.35970866663625e-16,3.05615577531201e-14,2.00087681963516e-14,"NXF1/HNRNPL/SMN1/ATXN2L/HELZ2/DCP2/BTBD1/SMN2/VCP/LSM3/DCP1A/RPL28/LARP4/EIF4G1/RPLP0/CLOCK/RPS6/SUMO1/PSMA2/FXR2/DDX19A/YBX1/G3BP1/LARP1/SSB/PAN3/NBDY/RBPMS2/LSM14A/DHX30/PQBP1/CSDE1/RC3H1/PABPC1/KPNB1/CAPRIN1/GIGYF2/HAX1/YTHDF1/DAZAP2/CNOT1/RPS4X/SARNP/NCL/TUBB/ACTB/DDX3X/CDC42/IGF2BP1/EDC3/TUBA1A/UBAP2L/SNRPG/DHX9/RC3H2/LSM2/PSMC3/NFKBIZ/TIAL1/HNRNPU/CASC3/HNRNPK/RAC1",63
