"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","51/1387","175/18639",0.291428571428571,3.91632093933464,10.9903014370733,6.61439253959441e-18,7.20307347561832e-15,5.64660247327481e-15,"RPL7A/RPL39/RPS28/UBA52/RPS17/RPL28/RPL13A/RPLP0/RPS6/RPS26/RPS27A/RPL4/RPL7L1/RPSA/DAP3/MRPS11/RPL9/RPL37/RPS5/RPL38/RPLP1/RPS18/RPS10/RPL14/MRPL2/RPL10A/RPL37A/RPL15/RPS24/RPS3A/MRPS9/RPS12/MRPS33/RPS4X/RPS13/RPL41/MRPL42/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/MRPS18B/RPS21/MRPS35/RPS3/RPS20/RPL5",51
"GO:0045296","cadherin binding","72/1387","334/18639",0.215568862275449,2.89689114920843,9.91856711660379,1.14123401069964e-16,6.21401918825953e-14,4.87126727724951e-14,"LDHA/FLNA/TNKS1BP1/EZR/ATXN2L/CBL/CLIC1/RPL7A/ALDOA/VASP/EIF2S3/AHSA1/BSG/RPS26/ASAP1/VCL/CAST/DHX29/NUDC/UBFD1/PAK4/ERC1/SPTBN1/LARP1/CTNNA1/HSPA8/STAT1/DBN1/PDXDC1/RPL14/BAIAP2L1/PICALM/MAPRE1/TJP1/CAPZA1/DLG1/RPL15/EIF4H/CCT8/GIGYF2/SEPTIN7/FLNB/CTNNB1/EIF4G2/TMPO/NUMB/PPFIBP1/GCN1/ENO1/YWHAE/YWHAZ/GAPVD1/DDX3X/CAPZB/EEF1G/RACK1/ABI1/SRC/RDX/SPTAN1/PKM/SNX5/ITGB1/SEPTIN2/VAPA/STK24/PCMT1/EEF1D/TBC1D2/ANXA2/MARK2/HNRNPK",72
"GO:0044389","ubiquitin-like protein ligase binding","64/1387","322/18639",0.198757763975155,2.67097762273462,8.57609447538612,3.11234543466865e-13,1.12978139278472e-10,8.85653385093431e-11,"AURKA/TRAF4/CUL4B/VCP/UBA52/KDM4A/UCHL1/POLR2A/NPLOC4/FAF1/UBE2K/GSK3B/SUMO1/ITCH/VCL/LRPPRC/RPS27A/TRIM37/WRAP53/MFN2/CCNB1/CUL1/HSPA1B/HSPA9/PARP9/HSPA8/STAT1/RNF34/TPI1/NDUFS2/XRCC5/PRKACA/SMC6/CBS/PIAS1/BAG6/DAXX/PRKAR2A/TXNIP/CTNNB1/DAZAP2/PCBP2/UBC/TMBIM6/TUBB/YWHAE/ARRB2/YWHAZ/PIAS2/DNAJA1/RPL23/PARP1/TRIM28/CCT2/HERC2/SLF2/PRKAR2B/SUMO2/CDKN1A/CLU/CASP8/RPL5/CASC3/BRCA1",64
"GO:0031625","ubiquitin protein ligase binding","60/1387","302/18639",0.198675496688742,2.66987208563912,8.29546419941467,1.75831242821177e-12,4.78700558580654e-10,3.75260889284143e-10,"AURKA/TRAF4/CUL4B/VCP/UBA52/KDM4A/UCHL1/POLR2A/NPLOC4/FAF1/UBE2K/GSK3B/SUMO1/VCL/LRPPRC/RPS27A/TRIM37/WRAP53/MFN2/CUL1/HSPA1B/HSPA9/HSPA8/RNF34/TPI1/NDUFS2/XRCC5/PRKACA/SMC6/CBS/PIAS1/BAG6/DAXX/PRKAR2A/TXNIP/CTNNB1/DAZAP2/PCBP2/UBC/TMBIM6/TUBB/YWHAE/ARRB2/YWHAZ/PIAS2/DNAJA1/RPL23/PARP1/TRIM28/CCT2/HERC2/SLF2/PRKAR2B/SUMO2/CDKN1A/CLU/CASP8/RPL5/CASC3/BRCA1",60
"GO:0140297","DNA-binding transcription factor binding","77/1387","488/18639",0.157786885245902,2.12039636200314,7.11130788822802,2.27395605437951e-10,4.95267628643856e-08,3.88248075810901e-08,"CREB3/FLNA/DCAF13/KAT8/NAAA/CRTC2/ZNF516/NSD1/PSMD9/DAPK3/FAF1/TCF3/DNAJA3/TACC1/HMGA1/GTF2I/SLC30A9/GSK3B/RBFOX2/TAF9/NBN/HMGN3/GTF2B/MED14/BBS7/NPM1/PARP9/PRMT2/MED24/CHCHD2/TDG/PRKDC/DDX5/CSNK2B/CREBBP/NRIP1/BAZ2A/CHD4/TBX2/PPARD/PIAS1/CTBP1/ACTN4/TRIP12/DAXX/ASAH1/PDCD11/CTNNB1/DAZAP2/CNOT1/MED1/PCNA/CARM1/ACTB/YWHAZ/FKBP4/PBX2/PIAS2/DNAJA1/SRC/HDAC9/IFI27/TADA3/KDM3A/PARP1/PSIP1/NCOA1/DHX9/WBP2/STAT3/RPS3/EEF1D/MEF2D/CREB1/PHB2/EXOSC9/USF2",77
"GO:0043021","ribonucleoprotein complex binding","39/1387","177/18639",0.220338983050847,2.96099373113536,7.43261478104233,6.05378719888724e-10,9.99567410062161e-08,7.8357659809619e-08,"SRP68/MTOR/UCHL1/EIF4B/USP16/ITCH/DHX29/NDUFAB1/GTPBP4/NPM1/RPSA/NOMO1/G3BP1/LARP1/DDX5/EIF5A/RPLP1/PQBP1/NOMO3/CSDE1/SNRPN/NEMF/EIF4H/BAG6/CINP/ABCF1/YTHDF1/LEMD3/EIF1B/DDX3X/CCDC47/RACK1/SNRPD1/PRPF6/SNRPG/DHX9/EIF3C/HNRNPU/EIF4A3",39
"GO:0042393","histone binding","48/1387","247/18639",0.194331983805668,2.61150241251179,7.2290814340785,6.42513486724989e-10,9.99567410062161e-08,7.8357659809619e-08,"RBBP4/NCAPD3/BPTF/NASP/NAP1L4/CDYL/IPO7/KDM4A/SUPT6H/RBBP5/USP16/TBL1XR1/SMARCA5/ANP32A/NBN/PHF19/BAZ1B/WRAP53/CHD3/NPM1/PARP9/PTMS/KMT2A/STAT1/IPO9/BAZ2A/SMARCC1/CHD4/MTF2/CBX2/CHD8/ANP32E/ATAD2/DAXX/UHRF1/SUZ12/UIMC1/CARM1/CBX3/KDM5A/SPTY2D1/PHC3/NCAPD2/GLYR1/DPF2/SSRP1/CHD1/BRD2",48
"GO:0003712","transcription coregulator activity","72/1387","495/18639",0.145454545454545,1.9546699875467,6.10390140584161,2.95553825005166e-08,4.02322644288282e-06,3.1538704220946e-06,"CD274/SAP18/KAT8/FUS/CDYL/CRTC2/NACA/NSD1/PSMD9/AKIRIN2/TAF15/USP16/HMGA1/RBFOX2/TLE5/TBL1XR1/TAF9/TRIM37/MED14/NPM1/SMARCD2/NIPBL/PARP9/NUP98/PRMT2/MED24/TDG/EWSR1/RALY/BCLAF1/CREBBP/MED31/NRIP1/TRIM27/PQBP1/SMARCC1/CHD4/MED6/PIAS1/CTBP1/ACTN4/DAXX/ASAH1/SUB1/N4BP2L2/CTNNB1/MED1/SMARCD1/CARM1/LPIN1/ENO1/KDM5A/PIAS2/DDX17/CEBPZ/HDAC9/TADA3/KDM3A/TRIM28/PSIP1/PKM/NCOA1/DPF2/DHX9/WBP2/ACTL6A/FLYWCH1/ZNF410/NFKBIZ/USP22/HNRNPU/BRCA1",72
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","55/1387","349/18639",0.157593123209169,2.11779251874239,5.97702701611965,9.02773016471829e-08,1.09235534993091e-05,8.56314522056904e-06,"DCAF13/KAT8/NSD1/FAF1/TCF3/DNAJA3/TACC1/HMGA1/GTF2I/SLC30A9/GSK3B/HMGN3/GTF2B/MED14/BBS7/NPM1/PARP9/PRMT2/MED24/PRKDC/DDX5/CSNK2B/CREBBP/NRIP1/BAZ2A/CHD4/PPARD/CTBP1/ACTN4/TRIP12/DAXX/ASAH1/PDCD11/CTNNB1/CNOT1/MED1/PCNA/ACTB/FKBP4/PIAS2/DNAJA1/SRC/HDAC9/IFI27/TADA3/KDM3A/PARP1/NCOA1/DHX9/WBP2/STAT3/MEF2D/CREB1/PHB2/EXOSC9",55
"GO:0016887","ATP hydrolysis activity","62/1387","417/18639",0.148681055155875,1.99802897408101,5.84428404501802,1.2240255171753e-07,1.26611057350551e-05,9.92523971884366e-06,"DDX39A/HELZ2/DDX21/VCP/ATP6V1A/ABCB8/KIF1B/VPS4A/MORC2/SMARCA5/ATP2B1/DHX29/CCT6A/MYO19/FBH1/DDX19A/AQR/CHD3/TAP1/HSPA1B/CCT4/DDX39B/CCT7/G3BP1/ATAD1/HSPA9/ORC1/LONP1/HSPA8/ABCB7/DDX5/AK6/DHX30/SNRNP200/CHD4/XRCC5/CCT3/PEX6/CHD8/ATP2C1/ATP5F1C/SMC6/KIF5A/PSMC6/ATAD2/CCT8/ABCF1/MYO9B/ABCC6/ACTB/ATP2B4/DDX3X/DDX17/ACIN1/DDX27/CCT2/DDX24/DHX9/CHD1/PSMC3/KIF2C/EIF4A3",62
