"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","84/1871","169/18805",0.497041420118343,4.99565147264855,17.3435037218863,1.1773390927682e-39,6.69552742057277e-36,5.79126903211138e-36,"RPS7/MTOR/RPL7A/RPL17/EIF2S3/RPL39/RPS28/UBA52/RPS17/RPL28/EIF4G1/HNRNPD/RPL13A/EIF4B/RPLP0/RPS6/RPS26/RPS16/RPS27A/DHX29/RPL4/RPS23/YBX1/RPSA/RPL9/EIF3D/RPL37/RPS15/RPS5/RPL38/RPLP1/RPS18/RPS10/RPS25/RPL14/RPL10A/CSDE1/RPL37A/NCBP2/NEMF/PABPC1/RPL15/RPS24/CNBP/RPS3A/EIF5/EIF4H/RPL18A/RPS12/EIF4A1/RPS4X/RPS13/SH3BGRL/RPL41/EIF3L/AKT2/RACK1/IGF2BP1/RPS14/AARS1/RPL23/RPS27/NCBP1/PKM/RPS9/RPL12/EIF3F/EIF3I/RPS11/RPL18/DHX9/RPL3/RPS21/RPS3/EEF1D/EIF3CL/EIF3C/RPL8/EIF2S2/EIF3G/RPS20/RPL5/FAU/HNRNPU",84
"GO:0008380","RNA splicing","129/1871","482/18805",0.267634854771784,2.68993770389279,12.4933285476969,1.380453058497e-26,3.92531827183621e-23,3.3951879696613e-23,"LSM1/FAM50A/CWC22/HNRNPL/DDX39A/SMN1/PPIL2/SAP18/SMN2/CDK11B/CDC5L/LUC7L2/FUS/LSM3/SUPT6H/POLR2A/SUGP1/ALYREF/TAF15/HNRNPH1/PRPF19/RPS26/SNRPD2/METTL16/SRSF4/RBFOX2/TAF9/SRSF11/NONO/PTBP1/PLRG1/AKAP8L/AQR/YBX1/DDX39B/HNRNPA1/MFAP1/PUF60/TRA2B/PPIL3/RNPS1/C1QBP/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/ZRANB2/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/WDR83/SRSF3/SNRPN/PABPC1/SF3B1/SRSF1/KHSRP/SMU1/SCAF1/DHX16/ILF3/DHX8/YTHDC1/RBM48/C2orf49/TMBIM6/CLASRP/NCL/RPS13/SRRM2/SNU13/PRPF31/TRA2A/IWS1/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/HNRNPUL2/ACIN1/U2AF1/SNRNP70/TADA3/EFTUD2/RBM39/NCBP1/PSIP1/LUC7L3/IK/CACTIN/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/CRNKL1/RBM6/LSM2/TSEN15/SLC38A2/CLK2/RTRAF/SNRNP40/ZBTB8OS/RP9/USP22/THOC5/PPP4R2/SART1/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",129
"GO:0000375","RNA splicing, via transesterification reactions","96/1871","340/18805",0.282352941176471,2.83786587858019,11.3673924688571,7.56850040423346e-22,1.43473539329586e-18,1.2409685048766e-18,"LSM1/CWC22/HNRNPL/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/PRPF19/SNRPD2/METTL16/SRSF4/RBFOX2/PTBP1/PLRG1/AQR/DDX39B/HNRNPA1/MFAP1/PUF60/TRA2B/PPIL3/RNPS1/C1QBP/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/WDR83/SRSF3/SNRPN/PABPC1/SF3B1/SRSF1/KHSRP/SMU1/DHX16/ILF3/DHX8/YTHDC1/NCL/SRRM2/SNU13/PRPF31/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/HNRNPUL2/ACIN1/U2AF1/SNRNP70/EFTUD2/RBM39/NCBP1/PSIP1/LUC7L3/IK/CACTIN/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/CRNKL1/RBM6/LSM2/SNRNP40/SART1/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",96
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","94/1871","336/18805",0.279761904761905,2.8118239545952,11.1389994529501,4.14400350086232e-21,4.7133895818808e-18,4.07682702305887e-18,"CWC22/HNRNPL/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/PRPF19/SNRPD2/METTL16/SRSF4/RBFOX2/PTBP1/PLRG1/AQR/DDX39B/HNRNPA1/MFAP1/PUF60/TRA2B/PPIL3/RNPS1/C1QBP/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/WDR83/SRSF3/SNRPN/PABPC1/SF3B1/SRSF1/SMU1/DHX16/ILF3/DHX8/YTHDC1/NCL/SRRM2/SNU13/PRPF31/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/HNRNPUL2/ACIN1/U2AF1/SNRNP70/EFTUD2/RBM39/NCBP1/PSIP1/LUC7L3/IK/CACTIN/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/CRNKL1/RBM6/LSM2/SNRNP40/SART1/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",94
"GO:0000398","mRNA splicing, via spliceosome","94/1871","336/18805",0.279761904761905,2.8118239545952,11.1389994529501,4.14400350086232e-21,4.7133895818808e-18,4.07682702305887e-18,"CWC22/HNRNPL/DDX39A/SMN1/SAP18/SMN2/CDC5L/LUC7L2/LSM3/HNRNPH1/PRPF19/SNRPD2/METTL16/SRSF4/RBFOX2/PTBP1/PLRG1/AQR/DDX39B/HNRNPA1/MFAP1/PUF60/TRA2B/PPIL3/RNPS1/C1QBP/HNRNPC/NUP98/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/SON/RBPMS2/HNRNPA2B1/SETX/PQBP1/SNRNP200/HNRNPM/RBM5/PRPF40A/NCBP2/WDR83/SRSF3/SNRPN/PABPC1/SF3B1/SRSF1/SMU1/DHX16/ILF3/DHX8/YTHDC1/NCL/SRRM2/SNU13/PRPF31/TRA2A/RBM42/RBM10/RBM25/DDX17/U2AF2/SNRPD1/HNRNPUL2/ACIN1/U2AF1/SNRNP70/EFTUD2/RBM39/NCBP1/PSIP1/LUC7L3/IK/CACTIN/HNRNPH3/PRPF6/HNRNPR/SNRPG/DHX9/CRNKL1/RBM6/LSM2/SNRNP40/SART1/HNRNPU/CASC3/HNRNPK/METTL14/EIF4A3/SF3A1",94
"GO:0006403","RNA localization","66/1871","206/18805",0.320388349514563,3.22015120931126,10.6500980103429,1.62613344030523e-18,1.54130347916931e-15,1.33314413448182e-15,"NXF1/DDX39A/SMG7/DCP2/AHCTF1/SUPT6H/NXT2/ALYREF/XPOT/LRPPRC/NUP50/CCT6A/FXR2/DDX19A/AKAP8L/WRAP53/YBX1/CCT4/DDX39B/HNRNPA1/MRPL18/CCT7/NUP98/NUP54/SSB/HSF1/NUP107/HNRNPA2B1/ZC3H11A/RAN/XPO1/PEG10/CCT3/NDC1/NCBP2/CHTOP/SRSF3/SETD2/SENP2/KPNB1/SRSF1/KHSRP/CCT8/CAPRIN1/PARN/CCT5/NUP214/YTHDC1/SARNP/SEC13/IWS1/IGF2BP1/FLOT1/PABPN1/NCBP1/CCT2/NUP205/PRPF6/DHX9/NUP153/RTRAF/THOC5/HNRNPU/CASC3/EIF4A3/CETN2",66
"GO:0022613","ribonucleoprotein complex biogenesis","113/1871","494/18805",0.228744939271255,2.2990639139476,9.72568499990535,1.17006643929724e-17,9.50595405754769e-15,8.22213604636991e-15,"RPS7/SMN1/DCAF13/CUL4B/DDX21/SMN2/RPL7A/HSP90AB1/RRN3/LUC7L2/EIF2S3/RPS28/DICER1/RPS17/TRMT112/RPL13A/EIF4B/RPLP0/ADAR/USP16/RPS6/PAK1IP1/PRPF19/SNRPD2/METTL16/RPS16/RPS27A/TAF9/DHX29/RPS23/WDR75/GTPBP4/NPM1/RPL7L1/DDX39B/EIF1AX/RPSA/PUF60/RRP7A/EIF3D/C1QBP/EXOSC8/RPS15/SF3B2/RPS5/RPL38/PRPF8/PRKDC/RPS25/RAN/SETX/XPO1/RPL14/AK6/DHX30/SNRNP200/XRCC5/RBM5/SF3B1/POP4/RPS24/DIMT1/BMS1/RPS3A/EIF5/EIF4H/SRSF1/NAT10/RPS12/MCAT/CINP/PDCD11/RPS4X/YTHDC1/WDR55/RPS13/SNU13/PRPF31/RBM10/DDX3X/EIF3L/DDX17/U2AF2/SNRPD1/RPS14/DDX27/RPS27/WDR46/NCBP1/PSIP1/PTGES3/RPS9/LUC7L3/EIF3F/PRPF6/EIF3I/RPS11/SNRPG/DHX9/RPS21/CRNKL1/LSM2/EIF3CL/EIF3C/EIF2S2/XRN2/EIF3G/EXOSC9/SART1/RPL5/FAU/EIF4A3/SF3A1",113
"GO:0006457","protein folding","68/1871","227/18805",0.299559471365639,3.01080484181231,10.1313101099982,2.62571294495125e-17,1.86655368974222e-14,1.61446797259963e-14,"PFDN6/PPIL2/P3H1/TBCE/ERP29/HSP90AB1/ST13/AHSA1/CALR/DNLZ/DNAJA3/GAK/SIL1/PDCD5/CCT6A/TBCB/DNAJB11/HSPA4/FUT10/NUDC/FKBP10/NKTR/HSPA1B/CCT4/CCT7/DNAJC18/UGGT1/PPIL3/HSPA9/BAG5/TOR1B/HSPA8/TBCA/PPIB/CCT3/RIC8A/ANP32E/BAG1/HYOU1/FKBP11/KHSRP/CCT8/B2M/CHCHD4/CANX/CCT5/CHORDC1/DNAJC5/P4HB/PPIA/ERO1A/FKBP4/CCDC47/DNAJB4/DNAJA1/PDIA4/FKBP8/SNRNP70/CCT2/TTC4/PTGES3/ATF6/NFYC/NUDCD3/CLU/PDIA6/DNAJC1/MPDU1",68
"GO:0140694","membraneless organelle assembly","98/1871","427/18805",0.229508196721311,2.30673524283499,9.07892974534317,1.43352969229401e-15,9.05831484452896e-13,7.83495234162565e-13,"FLNC/FLNA/EZR/CLASP1/AURKA/ATXN2L/DCAF13/HAUS6/SQLE/CDCA8/PTEN/ZNF207/FUS/RPS28/LSM3/ACTG1/DDX6/KIF4A/CLASP2/CHMP6/NEBL/CEP152/DHX29/CHMP1B/TRIM37/WDR62/GTF2B/POLDIP2/RPS23/MOSPD2/NPM1/HSPA1B/EIF1AX/RPSA/RRP7A/G3BP1/C1QBP/RPS15/RPS5/PAN3/RPL38/CCDC61/NBDY/PRKDC/CHMP4B/HAUS1/HSF1/LSM14A/ARHGEF10/AKAP13/DHX30/XRCC5/SKA2/MDM1/MAPRE1/CSDE1/SENP6/RC3H1/USP10/CDC20/RCC1/KPNB1/EIF5/CENPH/CAPRIN1/UHRF1/NEK7/KIAA0753/TUBGCP5/MCAT/WDR1/EML3/STAG1/YTHDF1/TUBGCP3/SAC3D1/DAZAP2/CNOT1/TUBB/DDX3X/PPP2R1A/EDC3/RPS14/SRC/DDB1/RPS27/MYL9/ITGB1/UBAP2L/DYNC1H1/RPS3/PSPC1/POGZ/RPL5/FAU/HNRNPU/BRCA1/CETN2",98
"GO:0050657","nucleic acid transport","53/1871","165/18805",0.321212121212121,3.22843075328377,9.55653376677906,3.41805975340587e-15,1.76713689251083e-12,1.52847782082925e-12,"NXF1/DDX39A/SMG7/AHCTF1/SUPT6H/NXT2/ALYREF/XPOT/LRPPRC/NUP50/FXR2/DDX19A/AKAP8L/YBX1/DDX39B/HNRNPA1/MRPL18/NUP98/NUP54/SSB/HSF1/NUP107/HNRNPA2B1/ZC3H11A/RAN/XPO1/PEG10/NDC1/NCBP2/CHTOP/SRSF3/SETD2/SENP2/KPNB1/SRSF1/KHSRP/NUP214/YTHDC1/SARNP/SEC13/IWS1/IGF2BP1/FLOT1/PABPN1/NCBP1/NUP205/DHX9/NUP153/RTRAF/THOC5/CASC3/EIF4A3/CETN2",53
