"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","64/1925","118/19880",0.542372881355932,5.60123266563945,16.4141984404593,4.1306145754042e-34,2.95752003598941e-31,1.908778735371e-31,"RPS7/RPL7A/RPL17/HBS1L/RPL39/RPS28/UBA52/RPS17/RPL28/LARP4/ASCC2/RPL13A/RPLP0/RPS6/RPS26/RPS16/RPS27A/DHX29/RPL4/RPS23/RPL7L1/RPSA/RPL9/RPL37/RPS15/RPS5/RPL38/RPLP1/RPS18/RPS10/RPS25/RPL14/RNF10/EEF1A1/EIF2AK4/RPL10A/RPL37A/USP10/NEMF/RPL15/RPS24/RPS3A/RPL18A/RPS12/RPS4X/GCN1/RPS13/DDX3X/RPL41/RACK1/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/RPS21/RPS3/RPL8/RPS20/RPL5/FAU",64
"GO:0005925","focal adhesion","122/1925","424/19880",0.287735849056604,2.97152658662093,13.4362698218311,2.30754300584365e-29,8.26100396092027e-27,5.3316388398177e-27,"FLNC/PDCD6IP/RPS7/FLNA/SRP68/EZR/CLASP1/ARPC2/CBL/RPL7A/NCKAP1/PEAK1/VASP/PTK7/CALR/EPB41L5/KRAS/MRC2/ITGA5/RPS17/CORO1B/ACTG1/RPL13A/SHC1/RPLP0/CLASP2/BSG/GAK/HMGA1/PTK2/FERMT2/VCL/RPS16/PRAG1/RPL4/SCARB2/CHP1/NPM1/HSPA1B/PFN1/PAK4/PAK1/RPL9/G3BP1/YWHAQ/HSPA9/RPS15/CTNNA1/RPS5/HSPA8/RPL38/RPLP1/CFL1/RPS18/RPS10/PPIB/GJA1/TPM4/AIF1L/MAPRE1/RPL10A/RPL37A/AKAP12/ANXA5/PABPC1/RPS3A/HYOU1/ACTN4/DCAF6/PTPN12/B2M/ARHGEF2/DNM2/PRKAR2A/FLNB/CORO1C/CTNNB1/IRF2/ADAM9/NUMB/PVR/PPFIBP1/PCBP2/PIP5K1A/RPS4X/RPS13/P4HB/PPIA/YWHAE/LAMTOR3/ACTB/YWHAZ/CDC42/FLOT1/RPS14/SRC/RDX/CYFIP1/YWHAG/RPL23/ITGB1/RPS9/RPL12/CPNE3/RPS11/RPL18/RPL3/CAPN2/ARPC5/RPS3/SDCBP/RPL8/PPP1R12A/ARPC3/ACTN1/RPL5/HNRNPK/TSPAN9/VIM/DCTN4/ITGAV/RAC1",122
"GO:0030055","cell-substrate junction","122/1925","434/19880",0.28110599078341,2.90305823209049,13.1250730931226,2.49372336019456e-28,5.95168641966434e-26,3.84120896535232e-26,"FLNC/PDCD6IP/RPS7/FLNA/SRP68/EZR/CLASP1/ARPC2/CBL/RPL7A/NCKAP1/PEAK1/VASP/PTK7/CALR/EPB41L5/KRAS/MRC2/ITGA5/RPS17/CORO1B/ACTG1/RPL13A/SHC1/RPLP0/CLASP2/BSG/GAK/HMGA1/PTK2/FERMT2/VCL/RPS16/PRAG1/RPL4/SCARB2/CHP1/NPM1/HSPA1B/PFN1/PAK4/PAK1/RPL9/G3BP1/YWHAQ/HSPA9/RPS15/CTNNA1/RPS5/HSPA8/RPL38/RPLP1/CFL1/RPS18/RPS10/PPIB/GJA1/TPM4/AIF1L/MAPRE1/RPL10A/RPL37A/AKAP12/ANXA5/PABPC1/RPS3A/HYOU1/ACTN4/DCAF6/PTPN12/B2M/ARHGEF2/DNM2/PRKAR2A/FLNB/CORO1C/CTNNB1/IRF2/ADAM9/NUMB/PVR/PPFIBP1/PCBP2/PIP5K1A/RPS4X/RPS13/P4HB/PPIA/YWHAE/LAMTOR3/ACTB/YWHAZ/CDC42/FLOT1/RPS14/SRC/RDX/CYFIP1/YWHAG/RPL23/ITGB1/RPS9/RPL12/CPNE3/RPS11/RPL18/RPL3/CAPN2/ARPC5/RPS3/SDCBP/RPL8/PPP1R12A/ARPC3/ACTN1/RPL5/HNRNPK/TSPAN9/VIM/DCTN4/ITGAV/RAC1",122
"GO:0005840","ribosome","86/1925","244/19880",0.352459016393443,3.63994038748137,13.5857134646414,8.07000436614857e-28,1.44453078154059e-25,9.32297872826111e-26,"RPS7/SRP68/RPL7A/RPL17/HBS1L/RPL39/CALR/RPS28/UBA52/RPS17/RPL28/LARP4/ASCC2/EIF4G1/RPL13A/RPLP0/RPS6/RPS26/RPS16/RPS27A/DHX29/MRPS27/RPL4/RPS23/RPL7L1/MRPL18/RPSA/DAP3/MRPS11/RPL9/RPL37/MRPL41/RPS15/RPS5/RPL38/RRBP1/RPLP1/RPS18/RPS10/RPS25/MRPS15/RPL14/RNF10/MRPL2/EEF1A1/EIF2AK4/RPL10A/RPL37A/MRPS16/USP10/NEMF/RPL15/RPS24/RPS3A/RPL18A/MRPS9/RPS12/MRPL24/MRPS33/MRPL10/RPS4X/GCN1/RPS13/MRPS30/DDX3X/RPL41/RACK1/MRPL42/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/MRPS18B/RPS21/MRPS35/RPS3/NUFIP2/EEF2/RPL8/RPS20/RPL5/FAU",86
"GO:0044391","ribosomal subunit","72/1925","186/19880",0.387096774193548,3.99765395894428,13.4490290600938,2.27199667695751e-26,3.25349924140315e-24,2.09980324459862e-24,"RPS7/RPL7A/RPL17/RPL39/RPS28/UBA52/RPS17/RPL28/LARP4/RPL13A/RPLP0/RPS6/RPS26/RPS16/RPS27A/DHX29/MRPS27/RPL4/RPS23/RPL7L1/MRPL18/RPSA/DAP3/MRPS11/RPL9/RPL37/MRPL41/RPS15/RPS5/RPL38/RPLP1/RPS18/RPS10/RPS25/MRPS15/RPL14/MRPL2/RPL10A/RPL37A/MRPS16/RPL15/RPS24/RPS3A/RPL18A/MRPS9/RPS12/MRPL24/MRPS33/MRPL10/RPS4X/RPS13/MRPS30/DDX3X/RPL41/RACK1/MRPL42/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/MRPS18B/RPS21/MRPS35/RPS3/RPL8/RPS20/RPL5/FAU",72
"GO:0022627","cytosolic small ribosomal subunit","31/1925","42/19880",0.738095238095238,7.62251082251082,14.0675448349876,4.35921145878705e-23,5.20199234081921e-21,3.35735759720617e-21,"RPS7/RPS28/RPS17/LARP4/RPS6/RPS26/RPS16/RPS27A/DHX29/RPS23/RPSA/RPS15/RPS5/RPS18/RPS10/RPS25/RPS24/RPS3A/RPS12/RPS4X/RPS13/DDX3X/RACK1/RPS14/RPS27/RPS9/RPS11/RPS21/RPS3/RPS20/FAU",31
"GO:0015935","small ribosomal subunit","41/1925","74/19880",0.554054054054054,5.72186732186732,13.3245079835687,8.32998528295043e-23,8.52038494656072e-21,5.49904291611314e-21,"RPS7/RPS28/RPS17/LARP4/RPS6/RPS26/RPS16/RPS27A/DHX29/MRPS27/RPS23/RPSA/DAP3/MRPS11/RPS15/RPS5/RPS18/RPS10/RPS25/MRPS15/MRPS16/RPS24/RPS3A/MRPS9/RPS12/MRPS33/RPS4X/RPS13/DDX3X/RACK1/MRPL42/RPS14/RPS27/RPS9/RPS11/MRPS18B/RPS21/MRPS35/RPS3/RPS20/FAU",41
"GO:0071013","catalytic step 2 spliceosome","43/1925","90/19880",0.477777777777778,4.93414141414141,12.2480867416906,1.60513161364273e-20,1.43659279421025e-18,9.2717470840679e-19,"CWC22/PPIL2/CDC5L/LSM3/ALYREF/HNRNPH1/PRPF19/SNRPD2/PLRG1/AQR/HNRNPA1/PPIL3/HNRNPC/SF3B2/PRPF8/DDX5/ESS2/RALY/HNRNPA2B1/SNRNP200/HNRNPM/WDR83/SNRPN/PABPC1/SF3B1/SRSF1/DHX8/SRRM2/SNRPD1/U2AF1/EFTUD2/CACTIN/PRPF6/HNRNPR/SNRPG/CRNKL1/LSM2/SNRNP40/SART1/HNRNPU/HNRNPK/EIF4A3/SF3A1",43
"GO:0005681","spliceosomal complex","68/1925","208/19880",0.326923076923077,3.37622377622378,11.2801448294607,3.41776776932293e-20,2.71902413648357e-18,1.75485386050616e-18,"CWC22/PPIL2/CDC5L/LUC7L2/LSM3/SUGP1/ALYREF/ADAR/HNRNPH1/PRPF19/SNRPD2/PLRG1/AQR/YBX1/DDX39B/HNRNPA1/MFAP1/TRA2B/PPIL3/HNRNPC/SF3B2/CTNNBL1/HSPA8/PRPF8/DDX5/ESS2/RALY/HNRNPA2B1/SNRNP200/HNRNPM/RBM5/PRPF40A/WDR83/SNRPN/PABPC1/SF3B1/RHEB/SRSF1/SMU1/DHX16/DHX8/RBM48/NCL/SRRM2/SNU13/PRPF31/TRA2A/U2AF2/SNRPD1/U2AF1/SNRNP70/EFTUD2/LUC7L3/IK/CACTIN/HNRNPH3/PRPF6/HNRNPR/SNRPG/CRNKL1/LSM2/SNRNP40/SART1/HNRNPU/CASC3/HNRNPK/EIF4A3/SF3A1",68
"GO:0016607","nuclear speck","96/1925","415/19880",0.231325301204819,2.38895947426068,9.36281296548267,3.06153714889828e-16,2.19206059861117e-14,1.41475242985931e-14,"NXF1/CWC22/DDX39A/ATXN2L/SAP18/CDC5L/LUC7L2/CDYL/ALYREF/CSNK1A1/ASCC2/PRPF19/SUMO1/MORF4L1/SRSF4/SRSF11/ATP6V0A1/NONO/H2AX/PLRG1/AKAP8L/HSPA1B/DDX39B/RNPS1/DUSP11/SF3B2/SNURF/PRPF8/DDX5/BCLAF1/SON/RNF34/AK6/TAP2/NRIP1/PQBP1/BAZ2A/PRPF40A/CDC34/PRKACA/CHTOP/SRSF3/ITPKC/SF3B1/SMC6/PIAS1/SRSF1/TRIP12/MSL1/SMU1/PARN/DAZAP2/HEATR5B/PIP5K1A/YTHDC1/COPS4/SARNP/SRRM2/ZNF106/PRPF31/RBM10/RBM25/PIAS2/DDX17/U2AF2/RING1/ACIN1/U2AF1/SNRNP70/PABPN1/EFTUD2/RBM39/OGG1/LUC7L3/IK/CACTIN/HIKESHI/PRPF6/ZNF217/RREB1/CRNKL1/RBBP6/PSPC1/YLPM1/POMP/CLK2/NFKBIZ/SNRNP40/PIN1/SART1/ABHD17A/HNRNPU/CASC3/EIF4A3/SF3A1/BRD2",96
