"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","67/1831","175/18639",0.382857142857143,3.89736443785597,12.7099856452301,5.66848260183702e-24,6.72848884838055e-21,5.28660587918695e-21,"RPS7/RPL7A/RPL17/RPL39/RPS28/UBA52/RPS17/RPL28/RPL13A/RPLP0/RPS6/RPS26/RPS16/RPS27A/RPL4/RPS23/RPL7L1/MRPL18/RPSA/DAP3/MRPS11/RPL9/RPL37/MRPL41/RPS15/RPS5/RPL38/RPLP1/RPS18/RPS10/RPS25/MRPS15/RPL14/MRPL2/RPL10A/RPL37A/MRPS16/RPL15/RPS24/RPS3A/RPL18A/MRPS9/RPS12/MRPL24/MRPS33/MRPL10/RPS4X/RPS13/MRPS30/RPL41/MRPL42/RPS14/RPL23/RPS27/RPS9/RPL12/RPS11/RPL18/RPL3/MRPS18B/RPS21/MRPS35/RPS3/RPL8/RPS20/RPL5/FAU",67
"GO:0045296","cadherin binding","92/1831","334/18639",0.275449101796407,2.80398460315851,10.9801178011751,1.45664833513915e-20,8.64520786905083e-18,6.79258118385939e-18,"LDHA/FLNA/TNKS1BP1/EZR/ATXN2L/CBL/CLIC1/RPL7A/HSP90AB1/ALDOA/VASP/EIF2S3/AHSA1/CORO1B/DDX6/BSG/RPS26/ASAP1/VCL/CAST/DHX29/H1-10/NUDC/UBFD1/SNX1/PFN1/PAK4/ERC1/PUF60/PRDX1/SPTBN1/LARP1/CTNNA1/HSPA8/CHMP4B/STAT1/EMD/DBN1/HDLBP/RAN/PDXDC1/RPL14/BAIAP2L1/PICALM/MAPRE1/TJP1/EXOC3/CAPZA1/DLG1/RPL15/EIF5/EIF4H/CCT8/GIGYF2/SEPTIN7/FLNB/CTNNB1/EIF4G2/TMPO/NUMB/PPFIBP1/GCN1/SLC3A2/ENO1/YWHAE/YWHAZ/GAPVD1/DDX3X/CAPZB/EEF1G/RACK1/ABI1/SRC/RDX/SPTAN1/PKM/SNX5/ITGB1/SEPTIN2/H3C10/VAPA/STK24/PCMT1/EEF1D/BZW1/TBC1D2/SCRIB/ANXA2/EEF2/H3C2/MARK2/HNRNPK",92
"GO:0044389","ubiquitin-like protein ligase binding","81/1831","322/18639",0.251552795031056,2.56072776984372,9.32424608945399,9.47659542962085e-16,3.74957292498665e-13,2.9460573861909e-13,"AURKA/TRAF4/CUL4B/HSP90AB1/VCP/AXIN2/CALR/UBA52/KDM4A/UCHL1/POLR2A/NPLOC4/MAP1LC3B/ACTG1/FAF1/NKD2/UBE2K/GSK3B/SUMO1/ITCH/PSMD1/VCL/LRPPRC/RPS27A/TRIM37/WRAP53/MFN2/CCNB1/CUL1/HSPA1B/HSPA9/BAG5/PARP9/UBE2W/HSPA8/TNK2/STAT1/RNF34/TPI1/GPI/NDUFS2/XRCC5/PRKACA/SMC6/CBS/BAG1/PIAS1/BAG6/DAXX/PRKAR2A/TXNIP/CTNNB1/DAZAP2/PCBP2/UBC/TMBIM6/TUBB/YWHAE/ARRB2/MOAP1/YWHAZ/PIAS2/DNAJA1/RAD18/RPL23/PARP1/TRIM28/CCT2/HERC2/SLF2/UBXN1/PRKAR2B/SUMO2/CDKN1A/CLU/RNF20/CASP8/RPL5/FAU/CASC3/BRCA1",81
"GO:0031625","ubiquitin protein ligase binding","77/1831","302/18639",0.254966887417219,2.59548214886376,9.22607720598968,2.21959847904246e-15,6.58665848655849e-13,5.17516908534636e-13,"AURKA/TRAF4/CUL4B/HSP90AB1/VCP/AXIN2/CALR/UBA52/KDM4A/UCHL1/POLR2A/NPLOC4/MAP1LC3B/ACTG1/FAF1/NKD2/UBE2K/GSK3B/SUMO1/PSMD1/VCL/LRPPRC/RPS27A/TRIM37/WRAP53/MFN2/CUL1/HSPA1B/HSPA9/BAG5/UBE2W/HSPA8/TNK2/RNF34/TPI1/GPI/NDUFS2/XRCC5/PRKACA/SMC6/CBS/BAG1/PIAS1/BAG6/DAXX/PRKAR2A/TXNIP/CTNNB1/DAZAP2/PCBP2/UBC/TMBIM6/TUBB/YWHAE/ARRB2/MOAP1/YWHAZ/PIAS2/DNAJA1/RAD18/RPL23/PARP1/TRIM28/CCT2/HERC2/SLF2/UBXN1/PRKAR2B/SUMO2/CDKN1A/CLU/RNF20/CASP8/RPL5/FAU/CASC3/BRCA1",77
"GO:0043021","ribonucleoprotein complex binding","48/1831","177/18639",0.271186440677966,2.76059206324228,7.76768858184314,4.08898986960997e-11,9.70726195045406e-09,7.62704215678827e-09,"SRP68/MTOR/UCHL1/EIF4B/USP16/ITCH/DHX29/NDUFAB1/MRPS27/GTPBP4/NPM1/RPSA/NOMO1/G3BP1/C1QBP/LARP1/DERL2/DDX5/EIF5A/RPLP1/NOMO2/PQBP1/NOMO3/CSDE1/SNRPN/NEMF/EIF4H/BAG6/CINP/ABCF1/YTHDF1/LEMD3/EIF1B/PRPF31/MTIF2/DDX3X/CCDC47/RACK1/SNRPD1/RBM39/PRPF6/SNRPG/DHX9/EIF3C/EEF2/MRRF/HNRNPU/EIF4A3",48
"GO:0042393","histone binding","58/1831","247/18639",0.234817813765182,2.39037096164349,7.26023189478547,2.18709790874865e-10,4.32680869614108e-08,3.3995942932479e-08,"RBBP4/NCAPD3/BPTF/NASP/TAF1/NAP1L4/CDYL/IPO7/KDM4A/SUPT6H/RBBP5/USP16/PTMA/TBL1XR1/SMARCA5/ANP32A/NBN/PHF19/BAZ1B/H2AX/WRAP53/CHD3/NPM1/PARP9/PTMS/KMT2A/STAT1/IPO9/CTSL/BAZ2A/DNAJC9/SMARCC1/CHD4/MTF2/CBX2/PRMT6/CHD8/ANP32E/LRWD1/RCC1/ATAD2/DAXX/UHRF1/SUZ12/UIMC1/CARM1/CBX3/KDM5A/SPTY2D1/PHC3/NCAPD2/GLYR1/DPF2/SSRP1/CHD1/RNF20/ING4/BRD2",58
"GO:0008135","translation factor activity, RNA binding","29/1831","83/18639",0.349397590361446,3.55675679232495,7.70499016660095,4.72953500698675e-10,8.01994007613325e-08,6.30130528750415e-08,"HBS1L/EIF2S3/EIF4G1/EIF4B/DHX29/MTRF1/EIF1AX/EIF3D/EIF5A/EEF1A1/GFM1/EIF5/EIF4H/EIF4A1/ABCF1/EIF4G2/GCN1/EIF1B/MTIF2/EIF3L/EEF1G/EIF3F/EIF3I/EEF1D/EIF3CL/EIF3C/EEF2/EIF2S2/EIF3G",29
"GO:0180051","translation factor activity","29/1831","84/18639",0.345238095238095,3.51441444955918,7.62310380403589,6.55032659654568e-10,9.71904708762465e-08,7.63630179544667e-08,"HBS1L/EIF2S3/EIF4G1/EIF4B/DHX29/MTRF1/EIF1AX/EIF3D/EIF5A/EEF1A1/GFM1/EIF5/EIF4H/EIF4A1/ABCF1/EIF4G2/GCN1/EIF1B/MTIF2/EIF3L/EEF1G/EIF3F/EIF3I/EEF1D/EIF3CL/EIF3C/EEF2/EIF2S2/EIF3G",29
"GO:0016887","ATP hydrolysis activity","80/1831","417/18639",0.191846522781775,1.95293683131048,6.49560975534076,3.4161710940635e-09,4.50555009850375e-07,3.54003226823422e-07,"DDX39A/HELZ2/DDX21/AFG3L2/SMARCAD1/HSP90AB1/VCP/ATP6V1A/ABCB8/DDX6/KIF1B/VPS4A/MORC2/ATP13A1/MSH2/SMARCA5/ATP2B1/DHX29/CCT6A/MYO19/FBH1/DDX19A/AQR/CHD3/TAP1/HSPA1B/CCT4/DDX39B/CCT7/G3BP1/ATAD1/HSPA9/TOR1B/ORC1/LONP1/HSPA8/ABCB7/KIF21B/DDX5/XRCC6/AK6/ATP6V1G1/TAP2/DHX30/SNRNP200/CHD4/XRCC5/CCT3/PEX6/CHD8/ATP2C1/ATP5F1C/SMC6/KIF5A/ABCD4/MCM5/PSMC6/ATAD2/CCT8/EIF4A1/ABCF1/DHX16/MYO9B/DHX8/CCT5/ABCC6/ACTB/ATP2B4/DDX3X/DDX17/ACIN1/DDX27/CCT2/DDX24/DHX9/DYNC1H1/CHD1/PSMC3/KIF2C/EIF4A3",80
"GO:0031491","nucleosome binding","25/1831","74/18639",0.337837837837838,3.43908217338037,6.93874010958916,1.61882040012205e-08,1.92153981494488e-06,1.50976302579804e-06,"RBBP4/MBD3/H1-4/NAP1L4/SUPT6H/HMGN1/MACROH2A1/SMARCA5/HMGN3/H1-10/SMARCD2/HNRNPC/SMARCC1/CHD4/SUPT16H/H2AZ1/RCC1/EED/ACTB/PARP1/GLYR1/ACTL6A/SSRP1/ACTR6/HMGN2",25
