"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","85/1882","169/18805",0.502958579881657,5.02557709600136,17.5303829554844,1.96414000797415e-40,1.1172028365357e-36,9.66356883923284e-37,"RPS17/RPLP0/RPL8/RPS9/NCBP1/RPS3A/RPL13A/PABPC1/RPL18A/RPS7/RPS6/RPL41/EEF1D/EIF4B/RPL15/RPL37A/RPLP1/UBA52/RPS28/RPL12/RPL7A/RPL28/RPL5/SH3BGRL/PKM/RPS18/RPS25/RPS12/RPS21/DHX29/RPL18/EIF3CL/RACK1/RPS20/EIF4A1/RPSA/HNRNPD/RPL39/MTOR/RPL3/EIF3D/AARS1/RPS27A/YBX1/RPL17/RPL23/RPS27/RPL7/RPS26/RPS13/EIF3G/RPS23/EIF3C/RPS3/RPS10/RPL4/RPS5/RPS15/FAU/RPL14/CNBP/EIF2S2/EIF3F/EIF3L/EIF3I/CSDE1/EIF5/RPL9/EIF4H/RPS16/RPS24/EIF4G1/DHX9/RPS11/RPS14/NEMF/EIF2S3/RPL37/RPL10A/IGF2BP1/HNRNPU/AKT2/NCBP2/RPS4X/RPL38",85
"GO:0008380","RNA splicing","129/1882","482/18805",0.267634854771784,2.67421543250978,12.4174615166009,2.40272648783875e-26,6.83335413141342e-23,5.91070716008334e-23,"CLK2/DDX39B/YTHDC1/NCBP1/RBM6/PPIL3/RBM25/SART1/PABPC1/SNRNP200/TMBIM6/TAF9/SRRM2/HNRNPA1/PPIL2/RBM42/SLC38A2/SNRPG/HNRNPL/SCAF1/PRPF8/DDX39A/SNRNP70/CWC22/CRNKL1/C2orf49/LUC7L3/SAP18/SRSF1/CDC5L/HNRNPC/SNRPD1/DHX8/C1QBP/ZRANB2/TSEN15/CASC3/RBM39/CACTIN/PTBP1/SRSF3/PPP4R2/SF3B2/HSPA8/SETX/LSM3/HNRNPUL2/YBX1/SON/LUC7L2/HNRNPH1/CDK11B/SMN2/FAM50A/AQR/ZBTB8OS/ACIN1/NCL/LSM2/SUGP1/HNRNPK/NONO/PLRG1/SRSF11/SNRNP40/THOC5/HNRNPH3/SNU13/PRPF40A/RBFOX2/METTL16/RPS26/DDX17/RPS13/SF3B1/HNRNPA2B1/RBM5/IWS1/EFTUD2/RBM10/SRSF4/PRPF19/ILF3/DHX16/USP22/PQBP1/CLASRP/FUS/SMN1/EIF4A3/RTRAF/KHSRP/CTNNBL1/SMU1/RNPS1/RP9/POLR2A/PRPF31/PUF60/AKAP8L/METTL14/RBPMS2/TADA3/HNRNPM/DHX9/SUPT6H/TAF15/SF3A1/IK/PRPF6/WDR83/ALYREF/LSM1/SNRPN/NUP98/HNRNPR/PSIP1/HNRNPU/NCBP2/U2AF2/MFAP1/RALY/SNRPD2/RBM48/TRA2B/ESS2/TRA2A/U2AF1/DDX5",129
"GO:0000375","RNA splicing, via transesterification reactions","96/1882","340/18805",0.282352941176471,2.82127898981059,11.3015375862123,1.15221216690969e-21,2.18459426846078e-18,1.8896279537319e-18,"DDX39B/YTHDC1/NCBP1/RBM6/PPIL3/RBM25/SART1/PABPC1/SNRNP200/SRRM2/HNRNPA1/RBM42/SNRPG/HNRNPL/PRPF8/DDX39A/SNRNP70/CWC22/CRNKL1/LUC7L3/SAP18/SRSF1/CDC5L/HNRNPC/SNRPD1/DHX8/C1QBP/CASC3/RBM39/CACTIN/PTBP1/SRSF3/SF3B2/HSPA8/SETX/LSM3/HNRNPUL2/SON/LUC7L2/HNRNPH1/SMN2/AQR/ACIN1/NCL/LSM2/HNRNPK/PLRG1/SNRNP40/HNRNPH3/SNU13/PRPF40A/RBFOX2/METTL16/DDX17/SF3B1/HNRNPA2B1/RBM5/EFTUD2/RBM10/SRSF4/PRPF19/ILF3/DHX16/PQBP1/SMN1/EIF4A3/KHSRP/CTNNBL1/SMU1/RNPS1/PRPF31/PUF60/METTL14/RBPMS2/HNRNPM/DHX9/SF3A1/IK/PRPF6/WDR83/LSM1/SNRPN/NUP98/HNRNPR/PSIP1/HNRNPU/NCBP2/U2AF2/MFAP1/RALY/SNRPD2/TRA2B/ESS2/TRA2A/U2AF1/DDX5",96
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","94/1882","336/18805",0.279761904761905,2.79538927685846,11.0739568927897,6.23982093059115e-21,7.09842029064049e-18,6.13998379570169e-18,"DDX39B/YTHDC1/NCBP1/RBM6/PPIL3/RBM25/SART1/PABPC1/SNRNP200/SRRM2/HNRNPA1/RBM42/SNRPG/HNRNPL/PRPF8/DDX39A/SNRNP70/CWC22/CRNKL1/LUC7L3/SAP18/SRSF1/CDC5L/HNRNPC/SNRPD1/DHX8/C1QBP/CASC3/RBM39/CACTIN/PTBP1/SRSF3/SF3B2/HSPA8/SETX/LSM3/HNRNPUL2/SON/LUC7L2/HNRNPH1/SMN2/AQR/ACIN1/NCL/LSM2/HNRNPK/PLRG1/SNRNP40/HNRNPH3/SNU13/PRPF40A/RBFOX2/METTL16/DDX17/SF3B1/HNRNPA2B1/RBM5/EFTUD2/RBM10/SRSF4/PRPF19/ILF3/DHX16/PQBP1/SMN1/EIF4A3/CTNNBL1/SMU1/RNPS1/PRPF31/PUF60/METTL14/RBPMS2/HNRNPM/DHX9/SF3A1/IK/PRPF6/WDR83/SNRPN/NUP98/HNRNPR/PSIP1/HNRNPU/NCBP2/U2AF2/MFAP1/RALY/SNRPD2/TRA2B/ESS2/TRA2A/U2AF1/DDX5",94
"GO:0000398","mRNA splicing, via spliceosome","94/1882","336/18805",0.279761904761905,2.79538927685846,11.0739568927897,6.23982093059115e-21,7.09842029064049e-18,6.13998379570169e-18,"DDX39B/YTHDC1/NCBP1/RBM6/PPIL3/RBM25/SART1/PABPC1/SNRNP200/SRRM2/HNRNPA1/RBM42/SNRPG/HNRNPL/PRPF8/DDX39A/SNRNP70/CWC22/CRNKL1/LUC7L3/SAP18/SRSF1/CDC5L/HNRNPC/SNRPD1/DHX8/C1QBP/CASC3/RBM39/CACTIN/PTBP1/SRSF3/SF3B2/HSPA8/SETX/LSM3/HNRNPUL2/SON/LUC7L2/HNRNPH1/SMN2/AQR/ACIN1/NCL/LSM2/HNRNPK/PLRG1/SNRNP40/HNRNPH3/SNU13/PRPF40A/RBFOX2/METTL16/DDX17/SF3B1/HNRNPA2B1/RBM5/EFTUD2/RBM10/SRSF4/PRPF19/ILF3/DHX16/PQBP1/SMN1/EIF4A3/CTNNBL1/SMU1/RNPS1/PRPF31/PUF60/METTL14/RBPMS2/HNRNPM/DHX9/SF3A1/IK/PRPF6/WDR83/SNRPN/NUP98/HNRNPR/PSIP1/HNRNPU/NCBP2/U2AF2/MFAP1/RALY/SNRPD2/TRA2B/ESS2/TRA2A/U2AF1/DDX5",94
"GO:0006403","RNA localization","67/1882","206/18805",0.325242718446602,3.24983492050391,10.8276876712299,4.95250467955543e-19,4.69497443621855e-16,4.06105383723545e-16,"NUP107/DDX39B/AHCTF1/YTHDC1/NCBP1/FXR2/CCT6A/CCT7/CCT4/HNRNPA1/NUP214/CETN2/PEG10/DDX39A/ZC3H11A/WRAP53/CCT3/LRPPRC/SRSF1/NXT2/CCT2/CHTOP/SEC13/NUP50/SETD2/CASC3/NUP54/FLOT1/SRSF3/NDC1/YBX1/THOC5/NUP153/HNRNPA2B1/IWS1/CCT5/SMG7/MRPL18/HSF1/XPO1/PABPN1/NXF1/RAN/EIF4A3/CCT8/RTRAF/XPOT/KHSRP/KPNB1/DDX19A/CAPRIN1/NUP205/SSB/AKAP8L/DHX9/SUPT6H/PRPF6/G3BP2/ALYREF/SARNP/PARN/NUP98/IGF2BP1/SENP2/HNRNPU/NCBP2/DCP2",67
"GO:0022613","ribonucleoprotein complex biogenesis","114/1882","494/18805",0.230769230769231,2.30585302051827,9.80839607047804,6.42755121492023e-18,5.22284447292375e-15,4.51765028248679e-15,"RPS17/RPLP0/PRKDC/DDX39B/RPS9/YTHDC1/NCBP1/RPS3A/EIF1AX/RPL13A/SART1/SNRNP200/RPS7/RPS6/EIF4B/AK6/TAF9/RPS28/DIMT1/SNRPG/PRPF8/RPL7A/RPL5/CRNKL1/LUC7L3/RPS25/DCAF13/RPS12/EXOSC8/SRSF1/RPS21/DHX29/SNRPD1/C1QBP/POP4/XRCC5/EIF3CL/RPSA/NPM1/SF3B2/SETX/EIF3D/RPS27A/HSP90AB1/PDCD11/EXOSC9/RRP7A/LUC7L2/SMN2/DHX30/LSM2/CINP/RPS27/DDX27/RPL7/SNU13/METTL16/BMS1/DDX17/RPS13/SF3B1/RBM5/EIF3G/RPS23/PAK1IP1/EIF3C/CUL4B/WDR46/PTGES3/RBM10/PRPF19/TRMT112/XPO1/SMN1/RPS5/RAN/USP16/EIF4A3/RPS15/FAU/RPL14/RPL7L1/EIF2S2/EIF3F/ADAR/PRPF31/PUF60/EIF3L/EIF3I/EIF5/DICER1/EIF4H/RPS16/RPS24/DHX9/SF3A1/RPS11/RPS14/PRPF6/XRN2/GTPBP4/DDX3X/WDR75/EIF2S3/MCAT/PSIP1/U2AF2/SNRPD2/WDR55/DDX21/NAT10/RRN3/RPS4X/RPL38",114
"GO:0006457","protein folding","69/1882","227/18805",0.303964757709251,3.03722490367825,10.2979002180262,8.81478145920686e-18,6.26730961749608e-15,5.42109059741222e-15,"TBCA/RIC8A/TBCB/TBCE/PPIL3/CCT6A/CCT7/B2M/CCT4/CALR/DNAJB1/PPIL2/CHORDC1/BAG1/HSPA1B/NUDCD3/PDIA6/SNRNP70/NKTR/CCT3/SIL1/CCT2/AHSA1/FKBP10/ERP29/TOR1B/HSPA4/ATF6/DNLZ/HSPA8/FKBP11/ST13/PFDN6/HSP90AB1/HSPA9/NFYC/TTC4/PDCD5/PDIA4/NUDC/HYOU1/CANX/ERO1A/P4HB/CLU/PTGES3/BAG5/DNAJA1/DNAJA3/CCT5/DNAJC5/CCT8/FUT10/KHSRP/CHCHD4/UGGT1/DNAJB11/FKBP8/CCDC47/DNAJC18/PPIA/GAK/DNAJB4/ANP32E/PPIB/MPDU1/P3H1/FKBP4/DNAJC1",69
"GO:0140694","membraneless organelle assembly","99/1882","427/18805",0.231850117096019,2.31665326885793,9.17767108651124,7.41680740769636e-16,4.6874222816641e-13,4.05452138287401e-13,"CDCA8/SQLE/PRKDC/WDR1/DYNC1H1/EIF1AX/RCC1/RPS28/HAUS6/CETN2/HSPA1B/POLDIP2/RPL5/GTF2B/UBAP2L/ITGB1/EML3/DCAF13/NBDY/SENP6/DDB1/DHX29/C1QBP/TRIM37/XRCC5/TUBB/RPSA/NPM1/LSM3/PAN3/DDX6/POGZ/MAPRE1/SRC/RRP7A/ACTG1/STAG1/KIF4A/ATXN2L/PSPC1/DHX30/UHRF1/ZNF207/RPS27/CDC20/WDR62/KIAA0753/NEK7/AKAP13/RPS23/ARHGEF10/CHMP4B/CHMP1B/RPS3/HSF1/CENPH/CNOT1/FUS/RPS5/SAC3D1/FLNC/RPS15/FAU/LSM14A/KPNB1/CAPRIN1/DAZAP2/FLNA/HAUS1/G3BP1/YTHDF1/MYL9/RC3H1/CSDE1/EIF5/PPP2R1A/CLASP1/AURKA/MDM1/CHMP6/CEP152/SKA2/NEBL/RPS14/EZR/DDX3X/CLASP2/TUBGCP3/G3BP2/EDC3/MCAT/PTEN/HNRNPU/MOSPD2/BRCA1/USP10/TUBGCP5/CCDC61/RPL38",99
"GO:0050657","nucleic acid transport","54/1882","165/18805",0.327272727272727,3.27011882909864,9.76706015562227,9.76679002775582e-16,5.05031833435228e-13,4.36841881241442e-13,"NUP107/DDX39B/AHCTF1/YTHDC1/NCBP1/FXR2/HNRNPA1/NUP214/CETN2/PEG10/DDX39A/ZC3H11A/LRPPRC/SRSF1/NXT2/CHTOP/SEC13/NUP50/SETD2/CASC3/NUP54/FLOT1/SRSF3/NDC1/YBX1/THOC5/NUP153/HNRNPA2B1/IWS1/SMG7/MRPL18/HSF1/XPO1/PABPN1/NXF1/RAN/EIF4A3/RTRAF/XPOT/KHSRP/KPNB1/DDX19A/NUP205/SSB/AKAP8L/DHX9/SUPT6H/G3BP2/ALYREF/SARNP/NUP98/IGF2BP1/SENP2/NCBP2",54
