"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","65/1936","118/19880",0.550847457627119,5.65642947191483,16.6636025514922,5.01954729243341e-35,3.59901540867476e-32,2.31955922250344e-32,"RPS17/RPLP0/HBS1L/RPL8/RPS9/RPS3A/RPL13A/RPL18A/RPS7/RPS6/RPL41/RPL15/RPL37A/RPLP1/UBA52/RPS28/RPL12/RPL7A/RPL28/RPL5/EEF1A1/RPS18/RPS25/RPS12/RPS21/DHX29/RPL18/RACK1/RPS20/RPSA/RPL39/RPL3/RPS27A/RPL17/RPL23/LARP4/RPS27/RPL7/RPS26/RPS13/GCN1/RPS23/RPS3/RPS10/RNF10/RPL4/RPS5/RPS15/FAU/RPL14/RPL7L1/ASCC2/RPL9/RPS16/RPS24/RPS11/RPS14/DDX3X/NEMF/RPL37/RPL10A/EIF2AK4/USP10/RPS4X/RPL38",65
"GO:0005925","focal adhesion","123/1936","424/19880",0.290094339622642,2.97886129736473,13.5288791450077,9.89191090756955e-30,3.54625006036368e-27,2.28555204653844e-27,"RPS17/RAC1/LAMTOR3/RPLP0/RPL8/SHC1/RPS9/PRAG1/NCKAP1/RPS3A/RPL13A/PABPC1/RPS7/B2M/RPL37A/CALR/RPLP1/ARPC2/TPM4/YWHAE/RPL12/HSPA1B/ACTN4/ARPC5/RPL7A/RPL5/PTPN12/ACTB/ITGB1/RPS18/DCTN4/CFL1/ITGAV/VIM/CYFIP1/ARPC3/CAPN2/RPL18/CTNNA1/YWHAZ/ADAM9/ITGA5/FLOT1/PTK2/RPL3/NPM1/ACTN1/HSPA8/HMGA1/MAPRE1/HSPA9/SRC/RPL23/ACTG1/PCBP2/AKAP12/SRP68/CHP1/PRKAR2A/HNRNPK/RPL7/KRAS/FLNB/BSG/YWHAQ/PDCD6IP/PIP5K1A/NUMB/ARHGEF2/RPS13/PFN1/HYOU1/CDC42/PPP1R12A/PTK7/P4HB/CORO1C/RPS3/SDCBP/GJA1/ANXA5/CPNE3/RPS10/RPL4/RPS5/FLNC/VCL/RPS15/YWHAG/PAK1/CTNNB1/FLNA/G3BP1/VASP/IRF2/CLASP1/RPL9/TSPAN9/CBL/RPS16/PPIA/PEAK1/PPFIBP1/PVR/CORO1B/RPS11/DNM2/GAK/RPS14/FERMT2/EZR/CLASP2/DCAF6/MRC2/PPIB/PAK4/RPL10A/AIF1L/SCARB2/RDX/RPS4X/EPB41L5/RPL38",123
"GO:0030055","cell-substrate junction","123/1936","434/19880",0.283410138248848,2.91022394028259,13.2161305731294,1.0981123868082e-28,2.6244886044716e-26,1.69147837827649e-26,"RPS17/RAC1/LAMTOR3/RPLP0/RPL8/SHC1/RPS9/PRAG1/NCKAP1/RPS3A/RPL13A/PABPC1/RPS7/B2M/RPL37A/CALR/RPLP1/ARPC2/TPM4/YWHAE/RPL12/HSPA1B/ACTN4/ARPC5/RPL7A/RPL5/PTPN12/ACTB/ITGB1/RPS18/DCTN4/CFL1/ITGAV/VIM/CYFIP1/ARPC3/CAPN2/RPL18/CTNNA1/YWHAZ/ADAM9/ITGA5/FLOT1/PTK2/RPL3/NPM1/ACTN1/HSPA8/HMGA1/MAPRE1/HSPA9/SRC/RPL23/ACTG1/PCBP2/AKAP12/SRP68/CHP1/PRKAR2A/HNRNPK/RPL7/KRAS/FLNB/BSG/YWHAQ/PDCD6IP/PIP5K1A/NUMB/ARHGEF2/RPS13/PFN1/HYOU1/CDC42/PPP1R12A/PTK7/P4HB/CORO1C/RPS3/SDCBP/GJA1/ANXA5/CPNE3/RPS10/RPL4/RPS5/FLNC/VCL/RPS15/YWHAG/PAK1/CTNNB1/FLNA/G3BP1/VASP/IRF2/CLASP1/RPL9/TSPAN9/CBL/RPS16/PPIA/PEAK1/PPFIBP1/PVR/CORO1B/RPS11/DNM2/GAK/RPS14/FERMT2/EZR/CLASP2/DCAF6/MRC2/PPIB/PAK4/RPL10A/AIF1L/SCARB2/RDX/RPS4X/EPB41L5/RPL38",123
"GO:0005840","ribosome","87/1936","244/19880",0.35655737704918,3.6613433139141,13.7391421451652,2.27682079092101e-28,4.08120126772591e-26,2.6303271768798e-26,"RPS17/RPLP0/HBS1L/RPL8/RPS9/RPS3A/RPL13A/RPL18A/RPS7/RPS6/RPL41/RPL15/RPL37A/CALR/RPLP1/UBA52/RPS28/RPL12/MRPS30/RPL7A/RPL28/RPL5/EEF1A1/RPS18/RPS25/RPS12/RPS21/DHX29/EEF2/MRPL42/RPL18/MRPS33/RACK1/RPS20/RPSA/RPL39/RPL3/MRPS27/MRPS15/RPS27A/DAP3/RPL17/RPL23/MRPS9/NUFIP2/LARP4/SRP68/RPS27/RPL7/MRPL2/RPS26/RPS13/GCN1/RPS23/MRPL41/RRBP1/RPS3/MRPL18/RPS10/RNF10/RPL4/RPS5/RPS15/FAU/RPL14/MRPS16/RPL7L1/MRPL24/MRPS35/ASCC2/RPL9/RPS16/MRPS11/RPS24/MRPS18B/EIF4G1/RPS11/RPS14/DDX3X/NEMF/MRPL10/RPL37/RPL10A/EIF2AK4/USP10/RPS4X/RPL38",87
"GO:0044391","ribosomal subunit","73/1936","186/19880",0.39247311827957,4.0301475162179,13.6377771677615,5.23599572012228e-27,7.50841786265535e-25,4.83916236028143e-25,"RPS17/RPLP0/RPL8/RPS9/RPS3A/RPL13A/RPL18A/RPS7/RPS6/RPL41/RPL15/RPL37A/RPLP1/UBA52/RPS28/RPL12/MRPS30/RPL7A/RPL28/RPL5/RPS18/RPS25/RPS12/RPS21/DHX29/MRPL42/RPL18/MRPS33/RACK1/RPS20/RPSA/RPL39/RPL3/MRPS27/MRPS15/RPS27A/DAP3/RPL17/RPL23/MRPS9/LARP4/RPS27/RPL7/MRPL2/RPS26/RPS13/RPS23/MRPL41/RPS3/MRPL18/RPS10/RPL4/RPS5/RPS15/FAU/RPL14/MRPS16/RPL7L1/MRPL24/MRPS35/RPL9/RPS16/MRPS11/RPS24/MRPS18B/RPS11/RPS14/DDX3X/MRPL10/RPL37/RPL10A/RPS4X/RPL38",73
"GO:0022627","cytosolic small ribosomal subunit","31/1936","42/19880",0.738095238095238,7.57920110192838,14.0197147260879,5.17486695973793e-23,6.18396601688683e-21,3.98555543039465e-21,"RPS17/RPS9/RPS3A/RPS7/RPS6/RPS28/RPS18/RPS25/RPS12/RPS21/DHX29/RACK1/RPS20/RPSA/RPS27A/LARP4/RPS27/RPS26/RPS13/RPS23/RPS3/RPS10/RPS5/RPS15/FAU/RPS16/RPS24/RPS11/RPS14/DDX3X/RPS4X",31
"GO:0015935","small ribosomal subunit","41/1936","74/19880",0.554054054054054,5.68935671208398,13.2745881464218,1.03425789417481e-22,1.05937558589049e-20,6.8276573765826e-21,"RPS17/RPS9/RPS3A/RPS7/RPS6/RPS28/RPS18/RPS25/RPS12/RPS21/DHX29/MRPL42/MRPS33/RACK1/RPS20/RPSA/MRPS27/MRPS15/RPS27A/DAP3/MRPS9/LARP4/RPS27/RPS26/RPS13/RPS23/RPS3/RPS10/RPS5/RPS15/FAU/MRPS16/MRPS35/RPS16/MRPS11/RPS24/MRPS18B/RPS11/RPS14/DDX3X/RPS4X",41
"GO:0071013","catalytic step 2 spliceosome","43/1936","90/19880",0.477777777777778,4.90610651974288,12.1992393707346,1.99949252098339e-20,1.79204517193136e-18,1.15497002198909e-18,"PPIL3/SART1/PABPC1/SNRNP200/SRRM2/HNRNPA1/PPIL2/SNRPG/PRPF8/CWC22/CRNKL1/SRSF1/CDC5L/HNRNPC/SNRPD1/DHX8/CACTIN/SF3B2/LSM3/HNRNPH1/AQR/LSM2/HNRNPK/PLRG1/SNRNP40/SF3B1/HNRNPA2B1/EFTUD2/PRPF19/EIF4A3/HNRNPM/SF3A1/PRPF6/WDR83/ALYREF/SNRPN/HNRNPR/HNRNPU/RALY/SNRPD2/ESS2/U2AF1/DDX5",43
"GO:0005681","spliceosomal complex","68/1936","208/19880",0.326923076923077,3.35704068658614,11.2244430796821,4.65964537553942e-20,3.71218414917973e-18,2.39249628054012e-18,"DDX39B/PPIL3/SART1/PABPC1/SNRNP200/SRRM2/HNRNPA1/PPIL2/SNRPG/PRPF8/SNRNP70/CWC22/CRNKL1/LUC7L3/SRSF1/CDC5L/HNRNPC/SNRPD1/DHX8/CASC3/CACTIN/SF3B2/HSPA8/LSM3/YBX1/LUC7L2/HNRNPH1/AQR/NCL/LSM2/SUGP1/HNRNPK/PLRG1/SNRNP40/HNRNPH3/SNU13/PRPF40A/SF3B1/HNRNPA2B1/RBM5/EFTUD2/PRPF19/DHX16/EIF4A3/CTNNBL1/RHEB/SMU1/ADAR/PRPF31/HNRNPM/SF3A1/IK/PRPF6/WDR83/ALYREF/SNRPN/HNRNPR/HNRNPU/U2AF2/MFAP1/RALY/SNRPD2/RBM48/TRA2B/ESS2/TRA2A/U2AF1/DDX5",68
"GO:0016607","nuclear speck","96/1936","415/19880",0.231325301204819,2.3753858408842,9.30061584431128,4.4192703085619e-16,3.16861681123888e-14,2.04216806890387e-14,"BRD2/POMP/CLK2/DDX39B/YTHDC1/MORF4L1/RBM25/SART1/AK6/SRRM2/YLPM1/ATP6V0A1/TRIP12/HSPA1B/PRPF8/DDX39A/SNRNP70/CWC22/CRNKL1/LUC7L3/SAP18/SRSF1/RNF34/CDC5L/HIKESHI/COPS4/CHTOP/CDYL/SMC6/CASC3/BAZ2A/RBM39/CACTIN/ZNF106/SRSF3/SF3B2/RING1/BCLAF1/SON/ATXN2L/LUC7L2/PSPC1/ACIN1/PRKACA/CSNK1A1/NONO/PLRG1/SRSF11/SNRNP40/OGG1/PRPF40A/PIP5K1A/NRIP1/DDX17/RREB1/SF3B1/EFTUD2/RBM10/SRSF4/PRPF19/MSL1/PQBP1/PABPN1/ABHD17A/NXF1/EIF4A3/DAZAP2/SMU1/RNPS1/PRPF31/TAP2/H2AX/NFKBIZ/CDC34/AKAP8L/PIAS1/ASCC2/DUSP11/SF3A1/ZNF217/PIN1/IK/PIAS2/PRPF6/ALYREF/SARNP/HEATR5B/PARN/RBBP6/SNURF/HNRNPU/SUMO1/U2AF2/ITPKC/U2AF1/DDX5",96
