"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","68/1840","175/18639",0.388571428571429,3.93618633540373,12.915362255392,1.25622828955749e-24,1.49365543628385e-21,1.17424286434426e-21,"RPS17/RPLP0/RPL8/RPS9/RPS3A/RPL13A/RPL18A/RPS7/RPS6/RPL41/RPL15/RPL37A/RPLP1/UBA52/RPS28/RPL12/MRPS30/RPL7A/RPL28/RPL5/RPS18/RPS25/RPS12/RPS21/MRPL42/RPL18/MRPS33/RPS20/RPSA/RPL39/RPL3/MRPS15/RPS27A/DAP3/RPL17/RPL23/MRPS9/RPS27/RPL7/MRPL2/RPS26/RPS13/RPS23/MRPL41/RPS3/MRPL18/RPS10/RPL4/RPS5/RPS15/FAU/RPL14/MRPS16/RPL7L1/MRPL24/MRPS35/RPL9/RPS16/MRPS11/RPS24/MRPS18B/RPS11/RPS14/MRPL10/RPL37/RPL10A/RPS4X/RPL38",68
"GO:0045296","cadherin binding","93/1840","334/18639",0.278443113772455,2.82059847695912,11.1114156059207,5.55782137459134e-21,3.30412480719455e-18,2.59755020033532e-18,"ERC1/HDLBP/CAST/ALDOA/VAPA/EEF1D/RPL15/GAPVD1/DNAJB1/YWHAE/RPL7A/PKM/CLIC1/ITGB1/TJP1/ASAP1/DHX29/EEF2/AHSA1/CTNNA1/STK24/YWHAZ/RACK1/BAIAP2L1/MARK2/CAPZB/HSPA8/ANXA2/DDX6/MAPRE1/HSP90AB1/TBC1D2/SRC/ENO1/ATXN2L/EIF4G2/ABI1/DLG1/HNRNPK/FLNB/BSG/SCRIB/PRDX1/NUMB/RPS26/EEF1G/UBFD1/NUDC/PFN1/GCN1/LDHA/CHMP4B/SPTAN1/STAT1/SEPTIN2/RAN/VCL/CCT8/RPL14/EXOC3/CTNNB1/FLNA/SEPTIN7/PUF60/SLC3A2/PCMT1/VASP/PDXDC1/EIF5/H3C10/CBL/TMPO/EIF4H/BZW1/PPFIBP1/CORO1B/DBN1/PICALM/EMD/TNKS1BP1/EZR/DDX3X/H1-10/EIF2S3/PAK4/H3C2/SNX1/CAPZA1/GIGYF2/LARP1/SNX5/RDX/SPTBN1",93
"GO:0044389","ubiquitin-like protein ligase binding","82/1840","322/18639",0.254658385093168,2.57966176073454,9.46306271881606,3.88025873662395e-16,1.53787587928196e-13,1.20900693267441e-13,"CDKN1A/PARP9/TRIM28/UBC/TMBIM6/CALR/UBA52/YWHAE/BAG1/HSPA1B/CASP8/RPL5/BAG6/SLF2/WRAP53/TPI1/LRPPRC/RNF34/PSMD1/GPI/UCHL1/CCT2/TNK2/SMC6/MOAP1/TRIM37/XRCC5/CASC3/YWHAZ/TUBB/HERC2/AXIN2/HSPA8/RPS27A/HSP90AB1/HSPA9/RPL23/ACTG1/PCBP2/GSK3B/NDUFS2/ITCH/PRKACA/PRKAR2A/UBXN1/RAD18/NPLOC4/CUL4B/CLU/BAG5/KDM4A/DNAJA1/DAXX/PARP1/STAT1/CBS/VCP/FAF1/CCNB1/VCL/ARRB2/FAU/SUMO2/TXNIP/PRKAR2B/CTNNB1/DAZAP2/POLR2A/ABI2/PIAS1/AURKA/NKD2/TRAF4/RNF20/MFN2/PIAS2/MAP1LC3B/UBE2K/UBE2W/SUMO1/BRCA1/CUL1",82
"GO:0031625","ubiquitin protein ligase binding","78/1840","302/18639",0.258278145695364,2.61632954218255,9.37208221870047,8.82458206003884e-16,2.62310701734655e-13,2.06216549192487e-13,"CDKN1A/TRIM28/UBC/TMBIM6/CALR/UBA52/YWHAE/BAG1/HSPA1B/CASP8/RPL5/BAG6/SLF2/WRAP53/TPI1/LRPPRC/RNF34/PSMD1/GPI/UCHL1/CCT2/TNK2/SMC6/MOAP1/TRIM37/XRCC5/CASC3/YWHAZ/TUBB/HERC2/AXIN2/HSPA8/RPS27A/HSP90AB1/HSPA9/RPL23/ACTG1/PCBP2/GSK3B/NDUFS2/PRKACA/PRKAR2A/UBXN1/RAD18/NPLOC4/CUL4B/CLU/BAG5/KDM4A/DNAJA1/DAXX/PARP1/CBS/VCP/FAF1/VCL/ARRB2/FAU/SUMO2/TXNIP/PRKAR2B/CTNNB1/DAZAP2/POLR2A/ABI2/PIAS1/AURKA/NKD2/TRAF4/RNF20/MFN2/PIAS2/MAP1LC3B/UBE2K/UBE2W/SUMO1/BRCA1/CUL1",78
"GO:0043021","ribonucleoprotein complex binding","48/1840","177/18639",0.271186440677966,2.74708916728077,7.72910453183908,4.85250377387067e-11,1.15392539742645e-08,9.07162810778348e-09,"ABCF1/DERL2/EIF4B/RPLP1/SNRPG/BAG6/DHX29/EEF2/SNRPD1/UCHL1/C1QBP/RACK1/RBM39/RPSA/NOMO1/MTOR/NPM1/MRPS27/NOMO3/ITCH/SRP68/CINP/EIF3C/MTIF2/PQBP1/EIF5A/USP16/EIF4A3/NOMO2/NDUFAB1/CCDC47/PRPF31/G3BP1/YTHDF1/CSDE1/EIF4H/DHX9/LEMD3/MRRF/PRPF6/GTPBP4/DDX3X/NEMF/SNRPN/HNRNPU/LARP1/DDX5/EIF1B",48
"GO:0042393","histone binding","58/1840","247/18639",0.234817813765182,2.37867892976589,7.21878298496937,2.64456094950778e-10,5.24063828160793e-08,4.11994758449634e-08,"SSRP1/BRD2/SMARCC1/SMARCA5/PRMT6/RBBP5/PARP9/BPTF/UIMC1/CHD8/RCC1/NAP1L4/MTF2/WRAP53/PHF19/ANP32A/CDYL/CBX2/IPO7/BAZ2A/NPM1/TBL1XR1/CHD3/LRWD1/IPO9/UHRF1/CTSL/RBBP4/KDM4A/DAXX/ATAD2/STAT1/TAF1/NCAPD3/USP16/KDM5A/CHD4/GLYR1/PHC3/NCAPD2/DNAJC9/CARM1/H2AX/SPTY2D1/NBN/SUPT6H/NASP/PTMA/RNF20/CHD1/CBX3/SUZ12/PTMS/KMT2A/ANP32E/BAZ1B/ING4/DPF2",58
"GO:0008135","translation factor activity, RNA binding","29/1840","83/18639",0.349397590361446,3.53935961236249,7.67340149609785,5.30920669797633e-10,9.01806680556265e-08,7.08958728992929e-08,"ABCF1/HBS1L/EIF1AX/EEF1D/EIF4B/EEF1A1/DHX29/EEF2/EIF3CL/EIF4A1/EIF3D/EIF4G2/EEF1G/GCN1/EIF3G/EIF3C/MTIF2/EIF5A/EIF2S2/EIF3F/EIF3L/EIF3I/EIF5/GFM1/EIF4H/EIF4G1/EIF2S3/MTRF1/EIF1B",29
"GO:0180051","translation factor activity","29/1840","84/18639",0.345238095238095,3.49722437888199,7.59160459297609,7.34942655193324e-10,1.09230852128108e-07,8.58722470804831e-08,"ABCF1/HBS1L/EIF1AX/EEF1D/EIF4B/EEF1A1/DHX29/EEF2/EIF3CL/EIF4A1/EIF3D/EIF4G2/EEF1G/GCN1/EIF3G/EIF3C/MTIF2/EIF5A/EIF2S2/EIF3F/EIF3L/EIF3I/EIF5/GFM1/EIF4H/EIF4G1/EIF2S3/MTRF1/EIF1B",29
"GO:0016887","ATP hydrolysis activity","80/1840","417/18639",0.191846522781775,1.94338442289647,6.44800784848062,4.26947487454457e-09,5.64045069537055e-07,4.4342616240884e-07,"ABCF1/SMARCA5/DDX39B/TAP1/AFG3L2/PSMC6/DYNC1H1/CCT6A/MYO19/SNRNP200/CCT7/CHD8/AK6/CCT4/ATAD1/HSPA1B/DDX39A/ACTB/CCT3/DHX29/CCT2/DHX8/ABCB7/SMC6/XRCC5/ATP5F1C/EIF4A1/ATP2B4/MYO9B/MSH2/TOR1B/HSPA8/DDX6/HSP90AB1/HSPA9/CHD3/FBH1/DHX30/AQR/ACIN1/DDX27/HELZ2/KIF1B/DDX17/PEX6/XRCC6/ABCC6/ABCB8/ATAD2/DHX16/CCT5/VCP/ATP6V1G1/EIF4A3/ATP2B1/CCT8/MORC2/CHD4/DDX19A/ABCD4/LONP1/G3BP1/TAP2/MCM5/ATP13A1/DDX24/SMARCAD1/DHX9/VPS4A/KIF21B/KIF2C/PSMC3/CHD1/DDX3X/ATP6V1A/KIF5A/ATP2C1/DDX21/ORC1/DDX5",80
"GO:0051082","unfolded protein binding","34/1840","121/18639",0.28099173553719,2.84641573841179,6.74360289999091,1.17383126425601e-08,1.3956853732004e-06,1.0972233291151e-06,"AFG3L2/CCT6A/CCT7/CCT4/NAP1L4/CALR/DNAJB1/HSPA1B/NUDCD3/CCT3/SIL1/CCT2/NPM1/HSPA8/PFDN6/HSP90AB1/HSPA9/NUDC/HYOU1/CANX/CLU/PTGES3/DNAJA1/DNAJA3/CCT5/CHAF1A/CCT8/NACA/UGGT1/DNAJB11/SERPINH1/PPIA/DNAJB4/PPIB",34
