cluster_id	total_sequences	dominant_category	dominant_count	dominant_percentage	True_Positive_count	True_Positive_percentage	True_Negative_count	True_Negative_percentage	False_Positive_count	False_Positive_percentage	False_Negative_count	False_Negative_percentage
0	3429	True Negative	1366	39.836687080781566	1317	38.4076990376203	1366	39.836687080781566	372	10.84864391951006	374	10.906969962088073
1	7	True Positive	3	42.857142857142854	3	42.857142857142854	1	14.285714285714285	3	42.857142857142854	0	0.0
2	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
3	4	True Positive	3	75.0	3	75.0	1	25.0	0	0.0	0	0.0
4	3	True Negative	2	66.66666666666666	0	0.0	2	66.66666666666666	1	33.33333333333333	0	0.0
5	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
6	11	True Negative	9	81.81818181818183	1	9.090909090909092	9	81.81818181818183	1	9.090909090909092	0	0.0
7	6	False Negative	2	33.33333333333333	1	16.666666666666664	2	33.33333333333333	1	16.666666666666664	2	33.33333333333333
8	11	True Positive	8	72.72727272727273	8	72.72727272727273	2	18.181818181818183	1	9.090909090909092	0	0.0
9	7	True Negative	5	71.42857142857143	1	14.285714285714285	5	71.42857142857143	0	0.0	1	14.285714285714285
10	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
11	41	True Negative	28	68.29268292682927	5	12.195121951219512	28	68.29268292682927	3	7.317073170731707	5	12.195121951219512
12	10	True Negative	5	50.0	3	30.0	5	50.0	2	20.0	0	0.0
13	32	True Negative	18	56.25	2	6.25	18	56.25	4	12.5	8	25.0
14	27	True Negative	15	55.55555555555556	6	22.22222222222222	15	55.55555555555556	1	3.7037037037037033	5	18.51851851851852
15	9	True Negative	5	55.55555555555556	2	22.22222222222222	5	55.55555555555556	1	11.11111111111111	1	11.11111111111111
16	17	True Positive	7	41.17647058823529	7	41.17647058823529	3	17.647058823529413	4	23.52941176470588	3	17.647058823529413
17	7	True Negative	7	100.0	0	0.0	7	100.0	0	0.0	0	0.0
18	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
19	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
20	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
21	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
22	4	False Positive	4	100.0	0	0.0	0	0.0	4	100.0	0	0.0
23	8	True Negative	8	100.0	0	0.0	8	100.0	0	0.0	0	0.0
24	7	True Negative	4	57.14285714285714	0	0.0	4	57.14285714285714	0	0.0	3	42.857142857142854
25	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
26	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
27	37	True Negative	24	64.86486486486487	3	8.108108108108109	24	64.86486486486487	6	16.216216216216218	4	10.81081081081081
28	19	True Positive	14	73.68421052631578	14	73.68421052631578	4	21.052631578947366	0	0.0	1	5.263157894736842
29	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
30	39	True Negative	26	66.66666666666666	3	7.6923076923076925	26	66.66666666666666	9	23.076923076923077	1	2.564102564102564
31	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
32	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
33	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
34	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
35	11	True Negative	9	81.81818181818183	1	9.090909090909092	9	81.81818181818183	0	0.0	1	9.090909090909092
36	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
37	6	True Positive	3	50.0	3	50.0	3	50.0	0	0.0	0	0.0
38	20	True Negative	12	60.0	4	20.0	12	60.0	0	0.0	4	20.0
39	5	True Positive	4	80.0	4	80.0	0	0.0	1	20.0	0	0.0
40	7	True Positive	5	71.42857142857143	5	71.42857142857143	1	14.285714285714285	1	14.285714285714285	0	0.0
41	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
42	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
43	7	True Negative	5	71.42857142857143	1	14.285714285714285	5	71.42857142857143	0	0.0	1	14.285714285714285
44	6	True Positive	3	50.0	3	50.0	1	16.666666666666664	1	16.666666666666664	1	16.666666666666664
45	13	True Negative	10	76.92307692307693	2	15.384615384615385	10	76.92307692307693	1	7.6923076923076925	0	0.0
46	4	False Positive	2	50.0	2	50.0	0	0.0	2	50.0	0	0.0
47	10	True Negative	10	100.0	0	0.0	10	100.0	0	0.0	0	0.0
48	9	True Negative	6	66.66666666666666	1	11.11111111111111	6	66.66666666666666	0	0.0	2	22.22222222222222
49	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
50	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
51	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
52	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
53	11	True Negative	4	36.36363636363637	4	36.36363636363637	4	36.36363636363637	2	18.181818181818183	1	9.090909090909092
54	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
55	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
56	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
57	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
58	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
59	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
60	4	False Positive	4	100.0	0	0.0	0	0.0	4	100.0	0	0.0
61	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
62	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
63	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
64	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
65	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
66	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
67	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
68	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
69	6	True Positive	5	83.33333333333334	5	83.33333333333334	1	16.666666666666664	0	0.0	0	0.0
70	10	False Positive	4	40.0	3	30.0	2	20.0	4	40.0	1	10.0
71	12	True Negative	7	58.333333333333336	0	0.0	7	58.333333333333336	1	8.333333333333332	4	33.33333333333333
72	4	False Positive	4	100.0	0	0.0	0	0.0	4	100.0	0	0.0
73	8	True Negative	8	100.0	0	0.0	8	100.0	0	0.0	0	0.0
74	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
75	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
76	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
77	4	False Positive	4	100.0	0	0.0	0	0.0	4	100.0	0	0.0
78	11	True Negative	11	100.0	0	0.0	11	100.0	0	0.0	0	0.0
79	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
80	3	True Negative	2	66.66666666666666	0	0.0	2	66.66666666666666	0	0.0	1	33.33333333333333
81	7	True Negative	3	42.857142857142854	1	14.285714285714285	3	42.857142857142854	1	14.285714285714285	2	28.57142857142857
82	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
83	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
84	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
85	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
86	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
87	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
88	13	True Positive	9	69.23076923076923	9	69.23076923076923	2	15.384615384615385	0	0.0	2	15.384615384615385
89	9	True Positive	5	55.55555555555556	5	55.55555555555556	1	11.11111111111111	3	33.33333333333333	0	0.0
90	4	False Positive	4	100.0	0	0.0	0	0.0	4	100.0	0	0.0
91	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
92	5	True Negative	3	60.0	0	0.0	3	60.0	1	20.0	1	20.0
93	4	False Positive	4	100.0	0	0.0	0	0.0	4	100.0	0	0.0
94	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
95	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
96	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
97	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
98	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
99	10	True Positive	3	30.0	3	30.0	3	30.0	1	10.0	3	30.0
100	7	True Negative	7	100.0	0	0.0	7	100.0	0	0.0	0	0.0
101	3	True Negative	2	66.66666666666666	0	0.0	2	66.66666666666666	0	0.0	1	33.33333333333333
102	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
103	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
104	4	True Negative	2	50.0	1	25.0	2	50.0	0	0.0	1	25.0
105	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
106	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
